,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.208B,1.208B,940.80M,266.80M,105.60M,16.20M,-3.00M,20.90M,0.50M,-20.40M,-7.00M,114.80M,152.00M,0.50M,20.90M,-20.40M,-4.70M,-20.40M,126.90M,22.00M,104.90M,,-0.10M,104.80M,106.96M,194.80M,47.00M,147.80M,0.77,,,0.7859,0.77,0.77,,,0.7859,0.77,135.80M,136.10M,0.4
2020-06,845.10M,845.10M,698.80M,146.30M,97.20M,16.30M,-25.90M,21.40M,1.00M,-20.40M,,113.50M,32.80M,1.00M,21.40M,-20.40M,-10.00M,-20.40M,2.40M,8.50M,-6.10M,,0.00,-6.10M,12.81M,70.30M,46.50M,23.80M,-0.05,,,0.0893,-0.05,-0.05,,,0.0893,-0.05,135.70M,135.70M,0.4
2020-03,1.046B,1.046B,822.70M,222.80M,117.80M,16.40M,-3.50M,20.90M,0.90M,-20.00M,,134.20M,88.60M,0.90M,20.90M,-20.00M,-7.90M,-20.00M,60.70M,15.00M,45.70M,,0.00,45.70M,48.32M,129.10M,47.50M,81.60M,0.34,0.0,,0.3594,0.34,0.34,0.0,,0.3594,0.34,135.40M,135.60M,0.4
2019-12,1.145B,1.145B,872.50M,272.40M,117.60M,16.00M,-4.70M,22.20M,1.90M,-20.30M,,133.60M,138.80M,1.90M,22.20M,-20.30M,-3.70M,-20.30M,114.80M,27.90M,86.90M,,-0.10M,86.80M,89.90M,184.20M,47.20M,137.00M,0.642,,,0.665,0.642,0.64,,,0.6628,0.64,135.10M,136.00M,0.4
2019-09,1.239B,1.239B,963.80M,275.50M,115.20M,16.30M,-1.80M,22.60M,1.50M,-21.10M,,131.50M,144.00M,1.50M,22.60M,-21.10M,0.10M,-21.10M,123.00M,23.40M,99.60M,,0.00,99.60M,100.33M,194.00M,48.40M,145.60M,0.74,,,0.7454,0.74,0.74,,,0.7454,0.74,134.90M,135.40M,0.4
2019-06,1.213B,1.213B,943.50M,269.70M,118.30M,16.90M,-1.40M,24.50M,2.60M,-21.90M,,135.20M,134.50M,2.60M,24.50M,-21.90M,1.50M,-21.90M,114.10M,27.80M,86.30M,,-0.10M,86.20M,87.26M,188.60M,50.00M,138.60M,0.64,,,0.6479,0.64,0.64,,,0.6479,0.64,134.70M,135.20M,0.4
2019-03,1.155B,1.155B,922.10M,233.00M,118.60M,14.10M,-2.90M,21.40M,1.40M,-20.00M,,132.70M,100.30M,1.40M,21.40M,-20.00M,-2.10M,-20.00M,78.20M,17.10M,61.10M,,0.10M,61.20M,63.46M,145.90M,46.30M,99.60M,0.46,0.0,,0.4768,0.46,0.45,0.0,,0.4668,0.45,134.40M,135.00M,0.38
2018-12,1.047B,1.047B,833.50M,213.20M,111.90M,5.20M,-12.60M,17.40M,1.60M,-15.80M,,117.10M,96.10M,1.60M,17.40M,-15.80M,-12.10M,-15.80M,68.20M,15.10M,53.10M,,-0.10M,53.00M,62.81M,120.70M,35.10M,85.60M,0.3955,0.0,,0.4687,0.3955,0.39,0.0,,0.4629,0.39,134.00M,134.60M,0.38
2018-09,1.092B,1.092B,864.40M,227.10M,100.70M,5.20M,0.50M,13.10M,2.00M,-11.10M,,105.90M,121.20M,2.00M,13.10M,-11.10M,3.20M,-11.10M,113.30M,23.30M,90.00M,,0.00,90.00M,89.60M,160.20M,33.80M,126.40M,0.67,,,0.667,0.67,0.67,,,0.6671,0.67,133.80M,134.70M,0.38
2018-06,1.102B,1.102B,871.50M,231.00M,107.80M,5.10M,0.00,16.00M,2.40M,-13.60M,,112.90M,118.10M,2.40M,16.00M,-13.60M,3.00M,-13.60M,107.50M,22.40M,85.10M,,-0.10M,85.00M,85.00M,157.30M,33.80M,123.50M,0.63,,,0.63,0.63,0.63,,,0.63,0.63,134.10M,135.00M,0.38
2018-03,1.029B,1.029B,811.40M,217.40M,104.70M,5.00M,-0.20M,14.40M,2.40M,-12.00M,,109.70M,107.70M,2.40M,14.40M,-12.00M,-0.30M,-12.00M,95.40M,17.50M,77.90M,,0.00,77.90M,78.06M,143.20M,33.40M,109.80M,0.58,,,0.5812,0.58,0.57,,,0.5712,0.57,135.30M,136.30M,0.36
2017-12,984.50M,984.50M,776.00M,208.50M,94.30M,4.70M,23.10M,12.30M,2.40M,-9.90M,,99.00M,109.50M,2.40M,12.30M,-9.90M,11.00M,-9.90M,110.60M,74.20M,36.40M,0.00,-0.10M,36.30M,22.44M,154.40M,31.50M,122.90M,0.2677,0.0,,0.1656,0.2677,0.2677,0.0,,0.1663,0.2677,135.70M,136.70M,0.36
2017-09,1.010B,1.010B,793.20M,216.50M,95.40M,6.20M,-4.50M,10.20M,1.70M,-8.50M,,101.60M,114.90M,1.70M,10.20M,-8.50M,-5.70M,-8.50M,100.70M,17.20M,83.50M,-0.90M,0.00,82.60M,87.24M,143.10M,32.20M,110.90M,0.62,-0.01,,0.6475,0.61,0.61,-0.01,,0.6373,0.6,135.70M,136.90M,0.36
2017-06,989.30M,989.30M,758.60M,230.70M,104.70M,4.70M,,10.40M,1.50M,-8.90M,,109.40M,121.30M,1.50M,10.40M,-8.90M,1.00M,-8.90M,113.40M,25.80M,87.60M,,,87.60M,87.60M,155.70M,31.90M,123.80M,0.64,0.0,,0.64,0.64,0.64,0.0,,0.64,0.64,136.00M,137.40M,0.36
2017-03,960.30M,960.30M,733.60M,226.70M,106.10M,5.10M,0.20M,10.60M,2.00M,-8.60M,,111.20M,115.50M,2.00M,10.60M,-8.60M,0.40M,-8.60M,107.30M,21.20M,86.10M,,,86.10M,85.94M,148.20M,30.30M,117.90M,0.63,0.0,,0.6288,0.63,0.62,0.0,,0.6188,0.62,136.80M,138.10M,0.34
2016-12,903.70M,903.70M,697.00M,206.70M,97.00M,4.80M,16.10M,9.40M,1.20M,-8.20M,,101.80M,104.90M,1.20M,9.40M,-8.20M,13.30M,-8.20M,110.00M,27.00M,83.00M,-1.30M,-0.10M,81.60M,70.75M,148.40M,29.00M,119.40M,0.6038,-0.0095,,0.5153,0.5943,0.6,-0.01,,0.5129,0.59,137.30M,139.40M,0.34
2016-09,948.90M,948.90M,721.50M,227.40M,93.90M,5.20M,-0.40M,9.90M,0.90M,-9.00M,,99.10M,128.30M,0.90M,9.90M,-9.00M,1.90M,-9.00M,121.20M,27.60M,93.60M,0.00,-0.10M,93.50M,93.81M,160.30M,29.20M,131.10M,0.68,0.0,,0.6822,0.68,0.67,0.0,,0.6722,0.67,137.40M,139.40M,0.34
2016-06,958.90M,958.90M,724.90M,234.00M,99.70M,4.80M,14.60M,10.30M,1.00M,-9.30M,,104.50M,129.50M,1.00M,10.30M,-9.30M,17.00M,-9.30M,137.20M,37.70M,99.50M,20.30M,1.40M,121.20M,90.39M,176.40M,28.90M,147.50M,0.73,0.15,,0.6537,0.88,0.72,0.15,,0.645,0.87,137.80M,140.10M,0.34
2016-03,938.40M,938.40M,704.80M,233.60M,105.10M,5.10M,2.50M,9.20M,0.80M,-8.40M,,110.20M,123.40M,0.80M,9.20M,-8.40M,3.70M,-8.40M,118.70M,27.70M,91.00M,0.10M,-1.60M,89.50M,87.48M,156.20M,28.30M,127.90M,0.64,0.0,,0.6262,0.64,0.63,0.0,,0.6164,0.63,139.10M,141.20M,0.32
2015-12,944.60M,944.60M,711.00M,233.60M,115.90M,5.20M,-5.60M,8.60M,1.00M,-7.60M,,121.40M,112.20M,1.00M,8.60M,-7.60M,1.90M,-7.60M,106.50M,24.70M,81.80M,0.00,-1.30M,80.50M,84.80M,143.30M,28.20M,115.10M,0.5754,0.0,,0.6062,0.5754,0.57,0.0,,0.6003,0.57,139.70M,142.00M,0.32
2015-09,1.009B,1.009B,768.00M,241.10M,96.90M,5.20M,-0.20M,10.30M,1.10M,-9.20M,,102.10M,139.00M,1.10M,10.30M,-9.20M,2.50M,-9.20M,132.30M,36.10M,96.20M,-0.10M,-0.90M,95.20M,95.45M,171.10M,28.50M,142.60M,0.68,0.0,,0.681,0.68,0.67,0.0,,0.671,0.67,140.40M,142.50M,0.32
2015-06,997.30M,997.30M,766.60M,230.70M,106.60M,5.20M,0.90M,11.20M,1.00M,-10.20M,,111.80M,118.90M,1.00M,11.20M,-10.20M,0.30M,-10.20M,109.00M,32.30M,76.70M,1.80M,-0.80M,77.70M,75.27M,147.10M,26.90M,120.20M,0.54,0.01,,0.5355,0.55,0.53,0.01,,0.5256,0.54,141.40M,143.40M,0.31
2015-03,966.20M,966.20M,748.40M,217.80M,97.50M,5.20M,-4.10M,11.00M,1.30M,-9.70M,,102.70M,115.10M,1.30M,11.00M,-9.70M,-3.40M,-9.70M,102.00M,28.70M,73.30M,-0.50M,-1.10M,71.70M,75.15M,142.60M,29.60M,113.00M,0.51,0.0,,0.5308,0.51,0.5,0.0,,0.5205,0.5,141.90M,143.80M,0.31
2014-12,953.30M,953.30M,749.50M,203.80M,132.00M,5.20M,2.90M,10.60M,1.50M,-9.10M,,136.00M,67.80M,1.50M,10.60M,-9.10M,0.30M,-9.10M,59.00M,12.80M,46.20M,-24.60M,-1.00M,20.60M,42.93M,99.90M,30.30M,69.60M,0.3206,-0.1745,,0.3045,0.1461,0.32,-0.18,,0.3041,0.14,141.10M,143.20M,0.31
2014-09,997.40M,997.40M,788.30M,209.10M,131.40M,4.90M,0.00,10.40M,1.50M,-8.90M,,136.30M,72.80M,1.50M,10.40M,-8.90M,2.60M,-8.90M,66.50M,13.10M,53.40M,-4.40M,-0.80M,48.20M,52.60M,106.10M,29.20M,76.90M,0.37,-0.03,,0.37,0.34,0.37,-0.03,,0.37,0.34,140.80M,142.50M,0.31
2014-06,956.10M,956.10M,755.40M,200.70M,94.10M,4.80M,0.00,10.40M,1.40M,-9.00M,,98.90M,101.80M,1.40M,10.40M,-9.00M,0.40M,-9.00M,93.20M,23.60M,69.60M,-92.70M,-0.80M,-23.90M,68.80M,133.10M,29.50M,103.60M,0.49,-0.66,,0.49,-0.17,0.48,-0.66,,0.48,-0.17,141.40M,143.10M,0.3
2014-03,875.50M,875.50M,698.70M,176.80M,92.10M,4.80M,,10.40M,1.40M,-9.00M,,96.90M,79.90M,1.40M,10.40M,-9.00M,5.90M,-9.00M,76.80M,20.80M,56.00M,-2.30M,-0.60M,53.10M,55.40M,116.10M,28.90M,87.20M,0.39,-0.02,,0.39,0.37,0.38,-0.02,,0.38,0.37,142.40M,144.00M,0.3
2013-12,859.20M,859.20M,694.10M,165.10M,91.10M,9.30M,,10.40M,1.50M,-8.90M,,98.50M,66.60M,1.50M,10.40M,-8.90M,-61.40M,-8.90M,-3.70M,-14.20M,10.50M,-4.20M,-0.70M,5.60M,9.80M,41.00M,34.30M,6.70M,0.0417,-0.0028,,0.0417,0.0389,0.04,-0.0028,,0.04,0.0389,144.00M,146.10M,0.3
2013-09,877.60M,877.60M,698.00M,179.60M,85.40M,5.30M,,10.60M,1.70M,-8.90M,,90.70M,88.90M,1.70M,10.60M,-8.90M,10.50M,-8.90M,90.50M,24.00M,66.50M,5.50M,-0.70M,71.30M,65.80M,130.30M,29.20M,101.10M,0.45,0.04,,0.45,0.49,0.45,0.04,,0.45,0.49,144.90M,147.00M,0.3
2013-06,958.80M,958.80M,759.70M,199.10M,98.80M,5.40M,0.00,10.90M,1.80M,-9.10M,,104.20M,94.90M,1.80M,10.90M,-9.10M,3.60M,-9.10M,89.40M,24.30M,65.10M,6.80M,-0.60M,71.30M,64.50M,130.10M,29.80M,100.30M,0.44,0.05,,0.44,0.49,0.44,0.05,,0.44,0.48,145.80M,148.10M,0.29
2013-03,932.70M,932.70M,743.80M,188.90M,107.20M,5.70M,,12.80M,2.70M,-10.10M,,112.90M,76.00M,2.70M,12.80M,-10.10M,3.40M,-10.10M,69.30M,19.90M,49.40M,0.10M,-0.40M,49.10M,49.00M,111.40M,29.30M,82.10M,0.34,0.0,,0.34,0.34,0.33,0.0,,0.33,0.33,145.90M,148.00M,0.29
2012-12,558.50M,558.50M,433.00M,125.50M,65.10M,6.00M,,13.00M,1.60M,-11.40M,,70.60M,54.90M,1.60M,13.00M,-11.40M,1.90M,-11.40M,45.40M,-17.20M,62.60M,11.40M,-0.50M,73.50M,62.10M,88.20M,29.80M,58.40M,0.5065,0.0,,0.5065,0.5065,0.5,0.0,,0.5,0.5,145.20M,147.50M,0.29
2012-09,978.10M,978.10M,773.20M,204.90M,94.10M,6.50M,,11.30M,1.60M,-9.70M,,100.60M,104.30M,1.60M,11.30M,-9.70M,0.60M,-9.70M,95.20M,28.60M,66.60M,0.00,-0.80M,65.80M,65.80M,138.00M,31.50M,106.50M,0.46,0.0,,0.46,0.46,0.45,0.0,,0.45,0.45,144.40M,146.10M,0.29
2012-06,934.60M,934.60M,747.90M,186.70M,91.80M,6.40M,,9.60M,1.60M,-8.00M,,98.20M,88.50M,1.60M,9.60M,-8.00M,-1.70M,-8.00M,78.80M,21.50M,57.30M,8.10M,-0.50M,64.90M,56.80M,117.10M,28.70M,88.40M,0.39,0.06,,0.39,0.45,0.39,0.06,,0.39,0.45,144.10M,145.40M,0.28
2012-03,946.80M,946.80M,768.50M,178.30M,97.90M,6.20M,,9.50M,1.70M,-7.80M,,104.10M,74.20M,1.70M,9.50M,-7.80M,0.40M,-7.80M,66.80M,22.30M,44.50M,,-0.50M,44.00M,44.00M,105.30M,29.00M,76.30M,0.31,,,0.31,0.31,0.3,,,0.3,0.3,143.60M,145.10M,0.28
2011-12,837.00M,837.00M,690.80M,146.20M,90.20M,3.30M,-16.30M,9.80M,1.50M,-8.30M,,93.60M,52.60M,1.50M,9.80M,-8.30M,-12.20M,-8.30M,32.10M,5.40M,26.70M,-17.40M,-0.60M,8.70M,39.66M,70.60M,28.70M,41.90M,0.18,-0.12,,0.2748,0.06,0.18,-0.12,,0.2738,0.06,143.00M,144.60M,0.28
