,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-06,150.48M,,,,,43.84M,43.84M,-5.401M,8.785M,-0.638M,,,,1.894M,,198.96M,,-14.28M,,-14.28M,-184.09M,,-0.075M,-198.44M,,,-65.71M,-65.71M,,-5.302M,-5.302M,-20.68M,-20.68M,16.61M,,-75.08M,,570.23M,-74.56M,20.81M,516.48M,,,,,-5.302M,,AOR,Restated
2017-03,138.93M,,,,,42.54M,42.54M,4.767M,5.328M,-50.63M,,,,1.51M,,142.44M,,-13.38M,,-13.38M,-334.54M,,-0.324M,-348.25M,,,58.89M,58.89M,,-0.172M,-0.172M,-20.62M,-20.62M,13.78M,,51.88M,,717.26M,-153.92M,6.898M,570.23M,,,,,-0.172M,,AOR,Restated
2016-12,109.11M,,-0.743M,,-0.743M,56.75M,56.75M,-2.994M,5.637M,0.336M,,,,79.23M,,247.32M,,-22.78M,1.832M,-20.95M,-31.44M,,0.00,-52.39M,,,-552.77M,219.40M,,-100.06M,-100.06M,-20.56M,-20.56M,2.388M,-2.724M,98.44M,,445.47M,293.37M,-21.58M,717.26M,,,,,-100.06M,,AOR,Restated
2016-09,130.69M,,0.00,,0.00,42.03M,42.03M,-7.02M,5.358M,-1.001M,,,,-1.097M,,168.96M,,-15.25M,0.00,-15.25M,-66.51M,,0.00,-81.75M,,,15.20M,15.20M,,-100.78M,-100.78M,-20.75M,-20.75M,7.573M,0.865M,-97.90M,,456.20M,-10.69M,-0.035M,445.47M,,,,,-100.78M,,AOR,Restated
2016-06,138.19M,,,,,40.85M,40.85M,-0.681M,5.956M,-0.895M,,,,5.516M,,188.94M,,-14.14M,,-14.14M,1.143M,,0.50M,-12.49M,,,-61.43M,-61.43M,,-18.64M,-18.64M,-20.95M,-20.95M,5.657M,2.23M,-93.13M,,386.94M,83.32M,-14.06M,456.20M,,,,,-18.64M,,AOR,Restated
2016-03,134.17M,,,,,40.09M,40.09M,5.063M,5.079M,-0.932M,,,,-31.85M,,151.62M,,-11.12M,,-11.12M,-294.61M,,,-305.73M,,,283.33M,283.33M,,-116.66M,-116.66M,-21.01M,-21.01M,2.004M,1.966M,149.64M,,381.00M,-4.469M,10.40M,386.94M,,,,,-116.66M,,AOR,Restated
2015-12,136.84M,,,,,39.43M,39.43M,11.66M,6.083M,-7.387M,,,,12.77M,,199.40M,,-23.79M,0.00,-23.79M,0.00,,0.129M,-23.66M,,-35.12M,66.53M,31.41M,,-128.88M,-128.88M,-21.33M,-21.33M,2.283M,0.661M,-115.84M,,328.03M,59.89M,-6.921M,381.00M,,,0.00,-35.12M,-128.88M,,AOR,Restated
2015-09,156.40M,,,,,37.71M,37.71M,-8.353M,5.60M,-0.568M,,,,-3.037M,,187.75M,,-19.31M,0.00,-19.31M,-157.66M,,-0.132M,-177.10M,,3.56M,257.12M,260.68M,,-249.30M,-249.30M,-21.32M,-21.32M,5.92M,1.101M,-2.914M,,326.59M,7.742M,-6.296M,328.03M,,,150.00M,-146.44M,-249.30M,,AOR,Restated
2015-06,155.51M,,,,,37.06M,37.06M,4.42M,7.217M,-0.703M,,,,-40.04M,,163.46M,,-11.62M,0.421M,-11.19M,-198.81M,,-0.426M,-210.43M,,50.00M,-72.19M,-22.19M,,-31.57M,-31.57M,-21.70M,-21.70M,17.86M,12.63M,-44.96M,,406.59M,-91.92M,11.92M,326.59M,,,50.00M,0.00,-31.57M,,AOR,Restated
2015-03,142.11M,,,,,35.26M,35.26M,-1.267M,4.862M,-50.54M,,,,-8.491M,,121.93M,,-14.37M,,-14.37M,0.00,,,-14.37M,,-0.45M,-24.70M,-25.15M,,-25.66M,-25.66M,-21.64M,-21.64M,13.13M,6.082M,-53.24M,,377.62M,54.31M,-25.34M,406.59M,,,,-0.45M,-25.66M,,AOR,Restated
2014-12,152.00M,,0.00,,0.00,35.78M,35.78M,20.92M,4.816M,0.481M,,,,-0.698M,,213.31M,,-24.05M,0.00,-24.05M,0.00,,-0.001M,-24.05M,,-0.381M,90.45M,90.07M,,-243.40M,-243.40M,-21.82M,-21.82M,3.75M,1.61M,-169.80M,,369.61M,19.46M,-11.46M,377.62M,,,0.00,-0.381M,-243.40M,,AOR,Restated
2014-09,141.81M,,-0.869M,,-0.869M,36.62M,36.62M,0.684M,4.747M,-0.48M,,,,14.10M,,196.62M,,-17.99M,0.95M,-17.04M,-114.96M,,0.146M,-131.86M,,499.69M,-444.08M,55.60M,,-0.149M,-0.149M,-22.04M,-22.04M,1.41M,0.98M,35.80M,,282.77M,100.56M,-13.72M,369.61M,,,500.00M,-0.312M,-0.149M,,AOR,Restated
2014-06,150.06M,,,,,32.93M,32.93M,-0.332M,6.142M,-0.637M,,,,-33.09M,,155.08M,,-14.83M,0.00,-14.83M,-297.19M,,-0.118M,-312.14M,,0.00,187.66M,187.66M,,-1.727M,-1.727M,-22.02M,-22.02M,6.397M,2.741M,173.04M,,265.34M,15.98M,1.453M,282.77M,,,0.00,0.00,-1.727M,,AOR,Restated
2014-03,140.59M,,,,,33.25M,33.25M,-0.698M,4.166M,-2.609M,,,,-13.73M,,160.96M,,-14.46M,,-14.46M,-161.49M,,2.364M,-173.58M,,-0.221M,-6.516M,-6.737M,,-0.009M,-0.009M,-14.66M,-14.66M,3.936M,2.558M,-14.91M,,295.20M,-27.54M,-2.33M,265.34M,,,,-0.221M,-0.009M,,AOR,Restated
2013-12,135.67M,,0.00,,0.00,31.72M,31.72M,3.07M,5.065M,-0.809M,,,,34.84M,,209.55M,,-26.17M,0.00,-26.17M,-250.34M,,-0.34M,-276.84M,,-0.131M,110.02M,109.89M,,-0.015M,-0.015M,-14.65M,-14.65M,5.845M,3.324M,104.40M,,254.88M,37.11M,3.218M,295.20M,,,0.00,-0.131M,-0.015M,,AOR,Restated
