,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2004-12,27.64M,,,,,11.50M,11.50M,3.368M,,0.306M,,,15.00M,8.647M,,55.55M,,-6.609M,,-6.609M,-0.067M,,7.091M,0.415M,,,,-47.35M,3.095M,,3.095M,,-4.097M,,,-42.83M,,23.54M,13.14M,,37.58M,,3.095M,,,,,,
2004-09,29.02M,,,,,9.72M,9.72M,-1.74M,,-7.143M,,,-6.793M,-6.793M,,23.06M,,-5.447M,,-5.447M,-49.65M,,3.71M,-51.38M,,,,25.91M,3.496M,,3.496M,,-4.083M,,,25.32M,,26.54M,-2.998M,,23.54M,,3.496M,,,,,,
2004-06,27.67M,,,,,9.339M,9.339M,2.604M,,0.80M,,,-4.443M,-4.443M,,35.97M,,-4.486M,,-4.486M,-93.82M,,-0.48M,-98.79M,,,,68.96M,6.809M,,6.809M,,-4.063M,,,71.70M,,17.66M,8.881M,,26.54M,,6.809M,,,,,,
2004-03,24.66M,,,,,9.354M,9.354M,1.946M,,6.06M,,,-0.845M,-0.845M,,41.18M,,-4.483M,,-4.483M,,,-0.223M,-4.706M,,,,-31.98M,2.886M,,2.886M,,-4.034M,,,-33.13M,,14.31M,3.345M,,17.66M,,2.886M,,,,,,
2003-12,24.36M,,,,,9.512M,9.512M,7.166M,,4.142M,,,-18.92M,1.64M,,46.82M,,-171.73M,,-171.73M,163.18M,,2.263M,-6.284M,,,,-48.70M,7.677M,0.00,7.677M,,-2.009M,,,-43.04M,,16.81M,-2.496M,,14.31M,,7.677M,,,0.00,,,
2003-09,21.92M,,,,,8.42M,8.42M,-0.01M,,1.422M,,,0.076M,0.076M,,31.83M,,-5.507M,,-5.507M,-48.92M,,-0.139M,-54.57M,,,,10.37M,4.528M,0.00,4.528M,,-2.152M,,,12.74M,,26.81M,-9.999M,,16.81M,,4.528M,,,0.00,,,
2003-06,21.82M,,,,,8.955M,8.955M,-0.577M,,0.29M,,,19.82M,19.82M,,50.30M,,-4.507M,,-4.507M,0.00,,1.113M,-3.394M,,,,-43.29M,3.915M,0.00,3.915M,,-1.997M,,,-41.37M,,21.27M,5.538M,,26.81M,,3.915M,,,0.00,,,
2003-03,19.72M,,,,,8.586M,8.586M,5.707M,,-1.911M,,,-6.151M,-6.151M,,25.95M,,-3.491M,,-3.491M,-114.26M,,0.995M,-116.76M,,,,105.59M,0.816M,-5.848M,-5.032M,,-1.966M,,,98.59M,,13.48M,7.787M,,21.27M,,0.816M,,,-5.848M,,,
2002-12,21.33M,,,,,8.408M,8.408M,10.22M,,-0.932M,,,-28.34M,-15.65M,,23.37M,,-4.674M,,-4.674M,,,1.00M,-3.674M,,,,-27.06M,4.559M,0.00,4.559M,,-1.974M,,,-24.48M,,18.27M,-4.786M,,13.48M,,4.559M,,,0.00,,,
2002-09,21.38M,,,,,8.274M,8.274M,0.738M,,1.091M,,,-7.922M,-7.922M,,23.56M,,-4.763M,,-4.763M,,,2.644M,-2.119M,,,,-10.99M,1.716M,-7.346M,-5.63M,,-1.975M,,,-18.60M,,15.42M,2.847M,,18.27M,,1.716M,,,-7.346M,,,
2002-06,21.32M,,,,,8.336M,8.336M,-1.735M,,-4.601M,,,24.45M,24.45M,,47.78M,,-3.885M,,-3.885M,,,-4.775M,-8.66M,,,,-37.22M,3.139M,,3.139M,,-1.98M,,,-36.06M,,12.36M,3.062M,,15.42M,,3.139M,,,,,,
2002-03,19.66M,,,,,7.932M,7.932M,1.735M,,-1.934M,,,-18.44M,-18.44M,,8.955M,,-4.052M,,-4.052M,,,-1.224M,-5.276M,,,,-7.492M,4.001M,,4.001M,,-1.967M,,,-5.458M,,14.14M,-1.779M,,12.36M,,4.001M,,,,,,
2001-12,11.46M,,,,,13.15M,13.15M,0.042M,,5.115M,70.08M,,-10.15M,22.84M,,52.60M,,-8.039M,,-8.039M,-63.69M,,3.18M,-68.55M,,,,23.21M,0.894M,0.00,0.894M,,-1.96M,,,22.14M,,7.943M,6.196M,,14.14M,,0.894M,,,0.00,,,
2001-09,17.73M,,,,,11.28M,11.28M,3.639M,,-3.613M,0.00,,1.392M,1.392M,,30.42M,,24.95M,,24.95M,-68.10M,,-0.397M,-43.55M,,,,25.19M,1.679M,-11.63M,-9.949M,,-1.978M,,,13.27M,,7.806M,0.137M,,7.943M,,1.679M,,,-11.63M,,,
2001-06,18.65M,,,,,10.77M,10.77M,,,-1.157M,-47.00M,,-7.289M,-54.29M,,-26.03M,,-39.31M,,-39.31M,,,4.599M,-34.71M,,,,58.64M,4.675M,,4.675M,,-1.979M,,,61.34M,,7.207M,0.599M,,7.806M,,4.675M,,,,,,
2001-03,18.27M,,,,,11.26M,11.26M,,,-3.437M,2.00M,,-28.95M,-26.95M,,-0.863M,,-7.013M,,-7.013M,,,1.302M,-5.711M,,,,3.302M,5.253M,,5.253M,,-1.961M,,,6.594M,,7.187M,0.02M,,7.207M,,5.253M,,,,,,
2000-12,17.24M,,,,,12.17M,12.17M,2.028M,,2.239M,-21.78M,,42.41M,-5.252M,,28.42M,,-11.90M,-0.606M,-12.50M,0.00,1.672M,,-10.83M,,,,-20.13M,4.715M,0.00,4.715M,,-1.934M,,,-17.35M,,6.942M,0.245M,,7.187M,,4.715M,,,0.00,,,
2000-09,17.32M,,,,,9.989M,9.989M,1.692M,,-0.249M,1.00M,,-5.415M,-4.415M,,24.34M,,-5.989M,0.00,-5.989M,-81.02M,-0.152M,,-87.16M,,,,67.39M,0.908M,0.00,0.908M,,-1.926M,,,66.37M,,3.394M,3.548M,,6.942M,,0.908M,,,0.00,,,
2000-06,17.22M,,,,,10.29M,10.29M,2.71M,,1.031M,-2.00M,,-10.20M,-12.20M,,19.05M,,-6.111M,3.92M,-2.191M,,-1.663M,-0.947M,-4.801M,,,,-15.11M,1.356M,0.00,1.356M,,-1.921M,,,-15.68M,,4.822M,-1.428M,,3.394M,,1.356M,,,0.00,,,
2000-03,16.75M,,,,,10.80M,10.80M,,,-2.021M,6.00M,,-23.62M,-17.62M,,7.912M,,-5.558M,,-5.558M,,,0.947M,-4.611M,,,,-4.258M,0.67M,-1.611M,-0.941M,,-1.916M,,,-7.115M,,8.636M,-3.814M,,4.822M,,0.67M,,,-1.611M,,,
1999-12,15.05M,,,,,11.28M,11.28M,2.07M,,47.55M,,0.99M,12.21M,-0.802M,,75.15M,,-158.04M,22.42M,-135.63M,123.80M,,3.414M,-8.417M,,,,-56.73M,0.145M,,-9.155M,,-1.884M,,,-67.67M,,9.602M,-0.934M,,8.60M,,0.145M,,,,,,
1999-09,15.59M,,,,,9.591M,9.591M,2.659M,,-3.468M,,0.61M,-9.347M,-8.737M,,15.64M,,-6.094M,0.705M,-5.389M,-70.09M,3.508M,-3.114M,-75.08M,,,,62.35M,1.146M,,1.146M,,-1.956M,,,61.54M,,7.505M,2.097M,,9.602M,,1.146M,,,,,,
1999-06,15.56M,,,,,9.438M,9.438M,0.371M,,1.287M,,,-3.766M,-3.766M,,22.89M,,-6.844M,0.00,-6.844M,-23.39M,-1.032M,,-31.27M,,,,6.933M,2.298M,,2.298M,,-1.93M,,,7.301M,,8.577M,-1.072M,,7.505M,,2.298M,,,,,,
1999-03,14.60M,,,,,9.286M,9.286M,,,-1.273M,,,-5.695M,-5.695M,,16.91M,,-6.819M,6.38M,-0.439M,-30.32M,-2.476M,,-33.23M,,,,16.15M,0.911M,,0.911M,,-1.93M,,,15.13M,,9.768M,-1.191M,,8.577M,,0.911M,,,,,,
1998-12,6.077M,,,,,9.296M,9.296M,-2.497M,,3.134M,,2.026M,13.35M,8.778M,,24.79M,,-128.26M,,-123.46M,,112.45M,2.964M,-8.047M,,,,-11.92M,4.80M,-3.164M,1.636M,,-1.889M,,-0.812M,-12.98M,,6.024M,3.76M,,9.80M,,4.80M,,,-3.164M,,,
1998-09,14.02M,,,,,9.504M,9.504M,0.197M,,24.67M,,-5.326M,-13.35M,-18.68M,,29.71M,,102.96M,,102.96M,,-114.65M,-5.864M,-17.55M,,,,4.516M,-3.40M,-15.94M,-19.34M,,-1.911M,,3.812M,-12.92M,,6.70M,-0.76M,,6.024M,,-3.40M,,,-15.94M,,,
1998-06,15.40M,,,,,9.70M,9.70M,0.60M,,-8.30M,,,,,,17.40M,,-22.90M,,-22.90M,,-0.10M,2.80M,-20.20M,,,,9.50M,0.70M,0.00,0.70M,,-2.00M,,,8.20M,,1.30M,5.40M,,6.70M,,0.70M,,,0.00,,,
1998-03,14.90M,,,,,9.90M,9.90M,,,-18.30M,,,,,,6.50M,,-117.00M,,-117.00M,,-0.70M,,-117.70M,,,,120.10M,2.70M,-8.90M,-6.20M,,-2.00M,,,111.90M,,0.70M,0.70M,,1.30M,,2.70M,,,-8.90M,,,
1997-12,13.60M,,,,,8.50M,8.50M,-4.90M,,7.40M,,,,,-1.60M,17.20M,,-13.30M,,-2.40M,,38.70M,-43.40M,-7.10M,,,,-6.60M,7.10M,,1.70M,,-2.00M,,-5.10M,-12.00M,,0.00,-1.90M,,0.70M,,7.10M,,,,,,
1997-09,8.40M,,,,,8.20M,8.20M,2.00M,,5.00M,,,,,-0.20M,23.40M,,-11.40M,,-11.40M,,-4.50M,5.60M,-10.30M,,,,-17.00M,-3.00M,,-3.00M,,-2.00M,,0.90M,-21.10M,,0.00,-8.00M,,0.00,,-3.00M,,,,,,
1997-06,14.70M,,,,,7.80M,7.80M,0.60M,,8.00M,,,,,1.80M,32.90M,,-9.90M,,-9.90M,,-34.00M,-1.40M,-45.30M,,,,20.80M,2.30M,,2.30M,,-1.90M,,-0.20M,21.00M,,1.903M,8.60M,,0.00,,2.30M,,,,,,
1997-03,13.70M,,,,,8.40M,8.40M,0.20M,,-24.70M,,,,,0.20M,-2.20M,,-6.60M,,-6.60M,,-1.30M,,-7.90M,,,,10.90M,0.70M,,0.70M,,-2.00M,,0.10M,9.70M,,2.40M,-0.40M,,1.903M,,0.70M,,,,,,
1996-12,13.10M,,,,,7.80M,7.80M,1.40M,,13.30M,,,,,1.20M,30.00M,,-16.90M,,-12.90M,,3.10M,-5.80M,-15.60M,,,,-17.80M,1.30M,0.00,1.30M,,-2.00M,,0.80M,-17.70M,,0.00,-3.30M,,0.00,,1.30M,,,0.00,,,
1996-09,12.90M,,,,,6.80M,6.80M,1.00M,,-14.60M,,,,,6.20M,12.30M,,-7.30M,,-7.30M,,0.70M,0.50M,-6.10M,,,,-1.60M,1.20M,-1.80M,-0.60M,,-2.00M,,-0.20M,-4.40M,,0.00,1.80M,,0.00,,1.20M,,,-1.80M,,,
1996-06,13.00M,,,,,9.00M,9.00M,0.70M,,9.10M,,,,,,31.80M,,-8.50M,,-8.50M,,-2.20M,0.70M,-10.00M,,,,-17.00M,4.50M,-5.40M,-0.90M,,-1.90M,,-1.10M,-20.90M,,0.00,0.90M,,0.00,,4.50M,,,-5.40M,,,
1996-03,12.20M,,,,,9.10M,9.10M,-0.60M,,-22.70M,,,,,,-2.00M,,-6.40M,,-6.40M,,,-1.10M,-7.50M,,,,12.00M,,-5.30M,-5.30M,,-2.00M,,1.10M,5.80M,,7.00M,-3.70M,,0.00,,,,,-5.30M,,,
1995-12,10.90M,,,,11.20M,7.20M,7.20M,5.60M,,3.50M,,,,,-1.60M,24.80M,,-9.40M,4.70M,-4.70M,,0.20M,-0.10M,-4.60M,,,,-10.60M,,-6.60M,-1.00M,,-2.00M,,-2.80M,-16.40M,,0.00,3.80M,,0.00,,,,,-6.60M,,,
1995-09,10.80M,,,,0.00,8.10M,8.10M,0.50M,,-20.10M,,,,,0.00,-0.70M,,-6.70M,0.00,-6.70M,,1.00M,0.20M,-5.50M,,,,-0.10M,,-7.30M,-7.30M,,-2.00M,,2.10M,-7.30M,,0.00,-13.50M,,0.00,,,,,-7.30M,,,
1995-06,22.60M,,,,-11.20M,8.20M,8.20M,-2.40M,,18.40M,,,,,-2.60M,33.00M,,-8.20M,38.00M,29.80M,,3.10M,-5.90M,27.00M,,,,-35.50M,,-11.80M,-11.80M,,-2.00M,,0.70M,-48.60M,,0.00,11.40M,,0.00,,,,,-11.80M,,,
1995-03,10.70M,,,,,9.30M,9.30M,0.30M,,-20.00M,,,,,,0.30M,,-5.00M,,-5.00M,,,-32.50M,-37.50M,,,,50.70M,,-13.90M,-13.90M,,-2.00M,,0.60M,35.40M,,7.20M,-1.80M,,0.00,,,,,-13.90M,,,
1994-12,10.30M,,,,-0.60M,11.00M,11.00M,3.40M,,-4.90M,,,,3.90M,,23.10M,,-6.30M,-7.30M,-13.60M,,8.90M,0.90M,-3.80M,,,,-32.10M,,0.00,0.00,,-2.10M,,3.20M,-31.00M,,0.00,-11.70M,,0.00,,,,,0.00,,,
1994-09,10.20M,,,,32.20M,8.80M,8.80M,-0.50M,,1.00M,,-42.40M,,-42.40M,,9.30M,,-5.40M,7.30M,1.90M,,0.50M,-7.60M,-5.20M,,,,-40.10M,,-8.60M,-8.60M,,-2.00M,,-1.50M,-52.20M,,0.00,-48.10M,,0.00,,,,,-8.60M,,,
1994-06,9.70M,,,,,8.80M,8.80M,-1.20M,,0.20M,,14.50M,,14.50M,,32.00M,,-4.00M,,-4.00M,,5.70M,6.70M,8.40M,,,,15.70M,,-36.10M,-36.10M,,-2.20M,,0.00,-22.60M,,0.00,17.80M,,0.00,,,,,-36.10M,,,
1994-03,8.80M,,,,,8.70M,8.70M,3.10M,,-1.20M,,27.90M,,27.90M,,47.30M,,-7.40M,,-7.40M,,1.20M,-0.30M,-6.50M,,,,40.80M,,-74.10M,-74.10M,,-2.60M,,3.80M,-32.10M,,40.50M,8.70M,,0.00,,,,,-74.10M,,,
1993-12,-21.60M,,,,,9.10M,9.10M,-20.00M,,-3.50M,,7.90M,,15.00M,,29.90M,,-9.10M,,-9.10M,,-14.90M,3.70M,-20.30M,,,,-0.60M,,0.00,1.30M,,-2.60M,,-1.30M,-3.20M,,0.00,6.40M,,0.00,,,,,0.00,,,
1993-09,2.00M,,,,,8.80M,8.80M,-0.50M,,3.40M,,-8.30M,,-8.30M,,5.40M,,-10.40M,,-10.40M,,27.40M,4.20M,21.20M,,,,-17.20M,,0.00,0.00,,-7.40M,,0.40M,-24.20M,,0.00,2.40M,,0.00,,,,,0.00,,,
1993-06,6.20M,,,,,10.70M,10.70M,0.50M,,3.40M,,-0.90M,,-0.90M,,19.90M,,-0.70M,,-0.70M,,0.40M,0.20M,-0.10M,,,,5.90M,,-8.90M,-8.90M,,-15.10M,,0.80M,-17.30M,,0.00,2.50M,,0.00,,,,,-8.90M,,,
1993-03,6.10M,,,,,7.30M,7.30M,,,-3.30M,,,,,,10.10M,,-18.10M,,-18.10M,,-14.50M,-0.10M,-32.70M,,,,-7.50M,,,,,,,0.20M,-7.30M,,59.10M,-29.90M,,0.00,,,,,,,,
1992-12,10.60M,,,,,15.30M,15.30M,,,,,10.00M,,10.70M,,38.30M,,-8.20M,,4.60M,,-1.50M,0.80M,3.90M,,,,-1.80M,,,,,-7.50M,,-2.80M,-8.70M,,0.00,33.50M,,0.00,,,,,,,,
1992-09,10.70M,,,,,7.40M,7.40M,,,,,-11.30M,,-11.30M,,6.80M,,-5.80M,,-5.80M,,0.20M,-0.40M,-6.00M,,,,-11.90M,,,,,-7.50M,,0.50M,-18.90M,,0.00,-18.10M,,0.00,,,,,,,,
1992-06,11.80M,,,,,7.30M,7.30M,,,,,2.90M,,2.90M,,22.00M,,-6.20M,,-6.20M,,-12.30M,0.40M,-18.10M,,,,-1.70M,,,,,-7.50M,,1.70M,-7.50M,,0.00,-3.60M,,0.00,,,,,,,,
1992-03,11.30M,,,,,7.30M,7.30M,,,,,-7.10M,,-7.10M,,11.50M,,-3.80M,,-3.80M,,12.60M,,8.80M,,,,-0.80M,,,,,-7.50M,,0.50M,-7.80M,,34.90M,12.50M,,0.00,,,,,,,,
1991-12,10.40M,,,,,15.30M,15.30M,,,0.00,,-7.30M,,2.60M,,31.20M,,-5.60M,-6.80M,-12.40M,,-13.40M,-3.10M,-28.90M,,,,-12.60M,,,,,-7.50M,,0.00,-20.10M,,0.00,-17.80M,,0.00,,,,,,,,
1991-09,9.50M,,,,,7.00M,7.00M,,,-0.10M,,0.60M,,0.60M,,17.00M,,-4.90M,6.80M,1.90M,,-2.70M,-1.40M,-2.20M,,,,-3.50M,,,,,-7.40M,,0.30M,-10.60M,,0.00,4.20M,,0.00,,,,,,,,
1991-06,9.50M,,,,,7.20M,7.20M,,,,,14.60M,,14.60M,,31.30M,,-5.00M,,-5.00M,,-8.00M,1.40M,-11.60M,,,,-3.70M,,,,,-7.10M,,0.20M,-10.60M,,0.00,9.10M,,0.00,,,,,,,,
1991-03,8.60M,,,,,7.00M,7.00M,,,,,-11.90M,,-11.90M,,3.70M,,-3.30M,,-3.30M,,-31.70M,,-35.00M,,,,-9.60M,,,,,-7.00M,,0.30M,-16.30M,,86.90M,-47.60M,,0.00,,,,,,,,
1990-12,8.20M,,,,,16.90M,16.90M,,,-8.80M,,,,,,30.40M,,-6.30M,,-6.30M,,35.70M,-4.30M,25.10M,,,,0.80M,,-2.10M,-2.10M,,-7.00M,,-0.90M,-9.20M,,0.00,46.30M,,0.00,,,,,-2.10M,,,
1990-09,8.90M,,,,,6.20M,6.20M,,,-6.70M,,,,,,8.40M,,-8.60M,,-8.60M,,-1.10M,-13.40M,-23.10M,,,,-1.60M,,-3.60M,-3.60M,,-7.00M,,-1.10M,-13.30M,,0.00,-28.00M,,0.00,,,,,-3.60M,,,
1990-06,10.40M,,,,,5.00M,5.00M,,,17.30M,,,,,,32.70M,,-13.40M,,-13.40M,,-28.80M,11.10M,-31.10M,,,,-8.80M,,,,,-7.10M,,0.20M,-15.70M,,0.00,-14.10M,,0.00,,,,,,,,
1990-03,9.80M,,,,,5.40M,5.40M,,,0.10M,,,,,,15.30M,,-7.40M,,-7.40M,,1.60M,0.60M,-5.20M,,,,-4.80M,,,,,-7.10M,,,-11.90M,,84.40M,-1.80M,,0.00,,,,,,,,
