,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.199B,1.199B,769.97M,428.98M,130.87M,,,19.46M,-19.46M,,130.87M,298.11M,19.46M,-19.46M,-1.941M,-19.46M,276.71M,55.68M,221.02M,,,221.02M,221.02M,296.17M,,296.17M,,0.96,,,,0.96,0.96,,0.95,,,,0.95,0.95,,229.98M,231.89M,0.18,,AOR,
2020-09,1.127B,1.127B,732.70M,394.24M,123.50M,,,21.19M,-21.19M,,123.50M,270.74M,21.19M,-21.19M,-1.479M,-21.19M,248.08M,43.49M,204.58M,,,204.58M,204.58M,332.26M,62.99M,269.26M,,0.89,,,,0.89,0.89,,0.88,,,,0.88,0.88,,229.58M,231.46M,0.18,,AOR,
2020-06,1.012B,1.012B,669.20M,342.73M,115.74M,,,22.67M,-22.67M,,115.74M,226.99M,22.67M,-22.67M,2.131M,-22.67M,206.45M,40.24M,166.22M,,,166.22M,166.22M,290.46M,61.34M,229.12M,,0.73,,,,0.73,0.73,,0.72,,,,0.72,0.72,,229.22M,230.38M,0.18,,AOR,
2020-03,1.202B,1.202B,824.65M,377.57M,145.53M,,,22.74M,-22.74M,,145.53M,232.04M,22.74M,-22.74M,141.78M,-22.74M,351.08M,70.46M,280.62M,,,280.62M,280.62M,439.88M,66.07M,373.82M,,1.23,,,,1.23,1.23,,1.22,,,,1.22,1.22,,228.96M,230.87M,0.18,,AOR,
2019-12,1.305B,1.305B,858.18M,446.65M,148.99M,,,23.04M,-23.04M,,148.99M,297.66M,23.04M,-23.04M,-6.63M,-23.04M,267.98M,47.20M,220.78M,,,220.78M,220.78M,355.13M,64.11M,291.02M,,0.97,,,,0.97,0.97,,0.96,,,,0.96,0.96,,228.56M,230.01M,0.14,,AOR,
2019-09,1.277B,1.277B,823.26M,453.37M,152.32M,,,21.31M,-21.31M,,152.32M,301.06M,21.31M,-21.31M,-5.517M,-21.31M,274.23M,53.48M,220.75M,,,220.75M,220.75M,350.80M,55.26M,295.54M,,0.97,,,,0.97,0.97,,0.96,,,,0.96,0.96,,228.04M,229.56M,0.14,,AOR,Restated
2019-06,1.289B,1.289B,838.15M,451.26M,155.85M,,,21.48M,-21.48M,,155.85M,295.41M,21.48M,-21.48M,-3.336M,-21.48M,270.60M,55.10M,215.50M,,,215.50M,215.50M,349.25M,57.17M,292.07M,,0.95,,,,0.95,0.95,,0.94,,,,0.94,0.94,,227.58M,229.33M,0.14,,AOR,Restated
2019-03,1.288B,1.288B,851.31M,436.38M,153.12M,,,22.65M,-22.65M,,153.12M,283.26M,22.65M,-22.65M,-3.668M,-22.65M,256.94M,52.67M,204.27M,,,204.27M,204.27M,337.09M,57.50M,279.59M,,0.90,,,,0.90,0.90,,0.89,,,,0.89,0.89,,226.86M,228.69M,0.14,,AOR,Restated
2018-12,1.271B,1.271B,835.27M,436.06M,154.04M,,,20.32M,-20.32M,,154.04M,282.02M,20.32M,-20.32M,-2.931M,-20.32M,258.77M,47.25M,211.52M,,,211.52M,211.52M,332.67M,53.58M,279.09M,,0.92,,,,0.92,0.92,,0.91,,,,0.91,0.91,,229.61M,231.34M,0.14,,AOR,Restated
2018-09,1.193B,1.193B,782.99M,409.97M,144.70M,,,19.39M,-19.39M,,144.70M,265.27M,19.39M,-19.39M,-0.945M,-19.39M,244.93M,53.72M,191.21M,,,191.21M,191.21M,312.45M,48.13M,264.32M,,0.83,,,,0.83,0.83,,0.82,,,,0.82,0.82,,231.50M,233.25M,0.14,,AOR,Restated
