,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,7.272B,7.272B,4.086B,3.186B,,802.00M,38.00M,0.00,35.00M,,-35.00M,,2.032B,1.154B,,35.00M,-35.00M,-79.00M,-35.00M,1.04B,253.00M,803.00M,1.00M,,-34.00M,770.00M,769.00M,2.267B,1.192B,1.075B,,1.47,0.00,,1.47,1.47,,1.45,0.00,,1.45,1.45,,524.44M,529.04M,0.963,,AOR,
2020-09,6.855B,6.855B,3.835B,3.02B,,770.00M,36.00M,0.00,38.00M,,-38.00M,,1.974B,1.046B,,38.00M,-38.00M,-36.00M,-38.00M,972.00M,265.00M,730.00M,1.00M,,-31.00M,700.00M,699.00M,2.178B,1.168B,1.01B,,1.33,0.00,,1.33,1.33,,1.32,0.00,,1.32,1.32,,525.69M,530.42M,0.963,,AOR,
2020-06,6.377B,6.377B,3.619B,2.758B,,760.00M,34.00M,,18.00M,,-18.00M,,1.918B,840.00M,,18.00M,-18.00M,-204.00M,-18.00M,618.00M,164.00M,483.00M,0.00,,-25.00M,458.00M,458.00M,1.76B,1.124B,636.00M,,0.87,0.00,,0.87,0.87,,0.87,0.00,,0.87,0.87,,525.51M,529.05M,0.963,,AOR,
2020-03,6.739B,6.739B,3.843B,2.896B,,861.00M,44.00M,,24.00M,,-24.00M,,2.047B,849.00M,,24.00M,-24.00M,-71.00M,-24.00M,754.00M,165.00M,606.00M,2.00M,,-35.00M,573.00M,571.00M,1.92B,1.142B,778.00M,,1.07,0.00,,1.07,1.07,,1.07,0.00,,1.07,1.07,,531.22M,534.96M,0.963,,AOR,
2019-12,7.08B,7.08B,4.187B,2.893B,,844.00M,49.00M,3.00M,216.00M,,-8.00M,,2.055B,838.00M,,216.00M,-8.00M,-158.00M,-8.00M,672.00M,162.00M,534.00M,4.00M,,-27.00M,511.00M,504.72M,2.05B,1.162B,888.00M,,0.94,0.01,,0.9358,0.95,,0.94,0.01,,0.9358,0.95,,536.61M,541.16M,0.875,,AOR,
2019-09,7.00B,7.00B,4.061B,2.939B,,850.00M,44.00M,164.00M,,3.00M,3.00M,,1.989B,950.00M,3.00M,,3.00M,48.00M,3.00M,1.001B,298.00M,731.00M,7.00M,,-3.00M,735.00M,612.87M,2.045B,1.095B,950.00M,,1.35,0.01,,1.137,1.36,,1.34,0.01,,1.128,1.35,,539.75M,543.62M,0.875,,AOR,Restated
2019-06,7.204B,7.204B,4.28B,2.924B,,884.00M,45.00M,,10.00M,,-10.00M,,2.124B,800.00M,,10.00M,-10.00M,-107.00M,-10.00M,683.00M,169.00M,542.00M,9.00M,,-29.00M,522.00M,513.00M,1.888B,1.195B,693.00M,,0.95,0.02,,0.95,0.97,,0.94,0.02,,0.94,0.96,,542.56M,546.49M,0.875,,AOR,Restated
2019-03,6.944B,6.944B,4.116B,2.828B,,879.00M,46.00M,,23.00M,,-23.00M,,2.148B,680.00M,,23.00M,-23.00M,-86.00M,-23.00M,571.00M,140.00M,465.00M,89.00M,,-37.00M,517.00M,428.00M,1.817B,1.223B,594.00M,,0.80,0.15,,0.80,0.95,,0.79,0.15,,0.79,0.94,,545.55M,549.15M,0.875,,AOR,Restated
2018-12,5.801B,5.801B,3.955B,1.846B,,718.00M,42.00M,3.293B,173.00M,,-72.00M,,1.662B,184.00M,,173.00M,-72.00M,3.066B,-72.00M,3.178B,355.00M,2.837B,117.00M,,24.00M,2.978B,-64.15M,4.253B,902.00M,3.351B,,8.06,0.33,,1.676,8.39,,7.97,0.32,,1.648,8.29,,458.20M,462.68M,0.825,,AOR,Restated
2018-09,3.008B,3.008B,1.698B,1.31B,,294.00M,23.00M,0.00,40.00M,,-40.00M,,623.00M,687.00M,,40.00M,-40.00M,-24.00M,-40.00M,623.00M,156.00M,480.00M,0.00,,-19.00M,461.00M,461.00M,969.00M,306.00M,663.00M,,1.60,0.00,,1.60,1.60,,1.58,0.00,,1.58,1.58,,288.09M,291.51M,0.825,,AOR,Restated
