,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,3.754B,3.754B,4.167B,162.00M,4.329B,,,,1.729B,1.112B,,,10.92B,,,,,,,,,28.71B,28.20B,16.18B,44.38B,,,,,4.209B,77.30B,88.23B,,3.095B,,3.095B,,3.095B,,,,,4.002B,,4.002B,1.769B,1.769B,4.874B,13.74B,,12.15B,,12.15B,,,,,2.252B,13.00M,12.76B,24.92B,38.66B,,1.00M,17.18B,40.20B,5.374B,,,,-4.69B,47.32B,,AOR,
2020-09,5.199B,5.199B,4.485B,170.00M,4.203B,400.00M,374.00M,959.00M,1.733B,1.127B,,,12.26B,,,,,,,,,27.94B,27.24B,15.73B,42.97B,,,,,4.029B,74.94B,87.21B,,2.903B,,2.903B,,2.903B,,,3.23B,2.614B,5.844B,,5.844B,1.714B,1.714B,4.331B,14.79B,,11.96B,,11.96B,,,,,2.404B,13.00M,11.87B,23.84B,38.63B,,1.00M,16.93B,40.20B,4.983B,,,,-5.973B,46.18B,,AOR,
2020-06,4.941B,4.941B,4.41B,226.00M,4.22B,387.00M,359.00M,969.00M,1.715B,1.194B,,,12.07B,,,,,,,,,27.69B,26.58B,15.50B,42.08B,,,,,4.006B,73.78B,85.86B,,2.816B,,2.816B,,2.816B,,,2.944B,3.458B,6.402B,,6.402B,1.693B,1.693B,4.184B,15.10B,,11.08B,,11.08B,,,,,2.387B,13.00M,11.75B,22.84B,37.93B,,1.00M,16.78B,40.21B,4.836B,,,,-6.621B,45.54B,,AOR,
2020-03,4.014B,4.014B,4.447B,311.00M,4.395B,374.00M,338.00M,977.00M,1.689B,1.255B,,,11.51B,,,,,,,,,27.42B,26.07B,15.34B,41.41B,,,,,4.026B,72.86B,84.37B,,2.965B,,2.965B,,2.965B,,,3.994B,2.86B,6.854B,,6.854B,1.854B,1.854B,3.817B,15.49B,,10.02B,,10.02B,,,,,2.375B,92.00M,11.62B,21.73B,37.22B,,1.00M,16.85B,40.18B,4.872B,,,,-7.388B,44.78B,,AOR,
2019-12,2.70B,2.70B,4.628B,368.00M,4.965B,396.00M,331.00M,970.00M,1.697B,516.00M,,264.00M,10.35B,0.00,1.229B,3.162B,36.78B,1.025B,3.146B,45.34B,-15.25B,30.09B,27.02B,16.14B,43.16B,2.067B,150.00M,82.00M,333.00M,249.00M,76.26B,86.61B,,3.266B,638.00M,3.904B,1.825B,5.729B,38.00M,,996.00M,2.267B,3.263B,260.00M,3.523B,1.758B,1.758B,997.00M,12.16B,321.00M,10.69B,716.00M,11.41B,,7.236B,2.548B,45.00M,2.448B,113.00M,1.023B,22.93B,35.09B,,1.00M,16.84B,40.20B,3.156B,,,,-4.814B,49.07B,,AOR,
2019-09,2.12B,2.12B,4.238B,367.00M,4.605B,373.00M,331.00M,949.00M,1.653B,1.202B,,,9.812B,,,,,28.46B,,28.46B,,28.46B,26.26B,15.84B,42.10B,,,,,4.025B,74.58B,84.39B,,3.071B,,3.071B,,3.071B,,,483.00M,2.151B,2.634B,282.00M,2.916B,1.597B,1.597B,3.299B,10.88B,,10.57B,810.00M,11.38B,,,,,2.341B,14.00M,10.83B,22.22B,33.10B,,1.00M,16.81B,40.18B,2.443B,,,,-5.60B,48.95B,,AOR,Restated
2019-06,2.686B,2.686B,4.483B,405.00M,4.888B,362.00M,337.00M,1.009B,1.708B,1.116B,,,10.68B,,,,,,,,,29.54B,26.95B,15.80B,42.75B,,,,,4.217B,76.51B,87.19B,,3.358B,,3.358B,,3.358B,,,785.00M,917.00M,1.702B,,1.702B,1.682B,1.682B,3.779B,10.52B,,12.26B,,12.26B,,,,,2.315B,15.00M,11.52B,23.79B,34.31B,,1.00M,16.56B,40.16B,1.772B,,,,-4.377B,50.56B,,AOR,Restated
2019-03,5.791B,5.791B,4.39B,305.00M,4.695B,355.00M,323.00M,989.00M,1.667B,1.203B,,,15.09B,,,,,,,,,29.42B,26.82B,15.94B,42.76B,,,,,4.371B,76.55B,91.64B,,3.166B,,3.166B,,3.166B,,,216.00M,1.74B,1.956B,,1.956B,1.719B,1.719B,4.299B,11.14B,,12.19B,,12.19B,,,,,5.457B,15.00M,11.66B,23.87B,35.01B,,1.00M,16.57B,40.17B,1.333B,,,,-4.235B,51.18B,,AOR,Restated
2018-12,4.466B,4.466B,4.41B,283.00M,4.83B,339.00M,321.00M,991.00M,1.651B,533.00M,,228.00M,17.27B,0.00,1.162B,3.083B,35.40B,,2.296B,41.94B,-12.22B,29.72B,26.87B,16.22B,43.10B,1.914B,135.00M,127.00M,658.00M,265.00M,76.11B,93.39B,,3.219B,892.00M,4.111B,1.982B,6.093B,36.00M,,829.00M,2.179B,3.008B,,3.008B,1.546B,1.546B,2.052B,12.96B,324.00M,12.29B,0.00,12.29B,,7.611B,2.004B,43.00M,5.484B,16.00M,799.00M,23.35B,36.31B,,1.00M,16.53B,40.15B,629.00M,,,,-4.456B,51.60B,,AOR,Restated
2018-09,600.00M,600.00M,1.852B,,1.852B,218.00M,54.00M,350.00M,622.00M,231.00M,,,3.305B,,,,,,,25.71B,-13.99B,11.72B,3.201B,513.00M,3.714B,,,,,1.235B,16.67B,19.98B,,978.00M,,978.00M,,978.00M,,,83.00M,1.614B,1.697B,,1.697B,,,1.185B,3.86B,,6.615B,,6.615B,,,,,503.00M,15.00M,2.754B,9.384B,13.24B,,4.00M,13.91B,4.088B,7.117B,,,,-4.656B,6.232B,,AOR,Restated
2018-06,479.00M,479.00M,1.877B,,1.877B,222.00M,54.00M,330.00M,606.00M,202.00M,,,3.164B,,,,,,,25.52B,-13.82B,11.70B,3.20B,525.00M,3.725B,,,,,1.246B,16.67B,19.84B,,967.00M,,967.00M,,967.00M,,,214.00M,1.015B,1.229B,,1.229B,,,1.083B,3.279B,,7.229B,,7.229B,,,,,501.00M,14.00M,2.786B,10.03B,13.31B,,4.00M,13.69B,4.066B,7.137B,,,,-4.596B,6.027B,,AOR,Restated
2018-03,545.00M,545.00M,1.90B,,1.90B,223.00M,54.00M,342.00M,619.00M,265.00M,,,3.329B,,,,,,,26.22B,-14.10B,12.11B,3.274B,547.00M,3.821B,,,,,1.329B,17.26B,20.59B,,988.00M,,988.00M,,988.00M,,,492.00M,1.014B,1.506B,,1.506B,,,1.04B,3.534B,,7.336B,,7.336B,,,,,516.00M,13.00M,2.825B,10.17B,13.71B,,4.00M,13.45B,4.049B,7.152B,,,,-3.98B,6.368B,,AOR,Restated
2017-12,617.00M,617.00M,1.814B,34.00M,1.804B,224.00M,57.00M,333.00M,614.00M,185.00M,,65.00M,3.285B,0.00,589.00M,1.202B,22.34B,,1.159B,25.29B,-13.47B,11.82B,3.233B,785.00M,4.018B,739.00M,54.00M,,245.00M,183.00M,17.15B,20.44B,,922.00M,292.00M,1.214B,570.00M,1.784B,12.00M,,202.00M,1.015B,1.217B,,1.217B,9.00M,9.00M,232.00M,3.307B,23.00M,7.783B,,7.783B,,1.236B,851.00M,,493.00M,11.00M,326.00M,10.62B,13.92B,,4.00M,13.22B,4.084B,7.196B,,,,-4.098B,6.018B,,AOR,Restated
