,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2021-03,2.639B,2.639B,1.534B,1.105B,,,,,-38.00M,156.00M,-156.00M,52.00M,52.00M,1.053B,156.00M,-156.00M,-31.00M,-156.00M,866.00M,193.00M,673.00M,,,1.00M,673.00M,702.53M,1.314B,292.00M,1.022B,,2.67,,,,2.787,2.67,,2.66,,,,2.777,2.66,,251.40M,252.60M,0.99,,AOR,
2020-12,2.573B,2.573B,1.504B,1.069B,,,,,138.00M,160.00M,-160.00M,47.00M,47.00M,1.022B,160.00M,-160.00M,5.00M,-160.00M,867.00M,196.00M,671.00M,,,0.00,671.00M,564.20M,1.314B,287.00M,1.027B,,2.662,,,,2.240,2.662,,2.64,,,,2.221,2.64,,253.30M,254.80M,0.94,,AOR,
2020-09,2.506B,2.506B,1.555B,951.00M,,,,,-59.00M,155.00M,-155.00M,52.00M,52.00M,899.00M,155.00M,-155.00M,-20.00M,-155.00M,724.00M,155.00M,569.00M,,,2.00M,569.00M,615.37M,1.172B,293.00M,879.00M,,2.23,,,,2.412,2.23,,2.22,,,,2.401,2.22,,254.60M,256.10M,0.94,,AOR,
2020-06,2.085B,2.085B,1.386B,699.00M,,,,,-40.00M,156.00M,-156.00M,49.00M,49.00M,650.00M,156.00M,-156.00M,9.00M,-156.00M,503.00M,111.00M,392.00M,,,,392.00M,423.16M,941.00M,282.00M,659.00M,,1.53,,,,1.652,1.53,,1.53,,,,1.651,1.53,,255.40M,256.70M,0.94,,AOR,
2020-03,2.625B,2.625B,1.578B,1.047B,,,,,-427.00M,154.00M,-154.00M,52.00M,52.00M,995.00M,154.00M,-154.00M,-405.00M,-154.00M,436.00M,55.00M,381.00M,,,1.00M,381.00M,754.20M,882.00M,292.00M,590.00M,,1.48,,,,2.930,1.48,,1.47,,,,2.913,1.47,,257.30M,258.70M,0.94,,AOR,Restated
2019-12,2.69B,2.69B,1.671B,1.019B,,,,,86.00M,152.00M,-152.00M,11.00M,11.00M,1.008B,152.00M,-152.00M,-28.00M,-152.00M,828.00M,162.00M,666.00M,,,1.00M,666.00M,596.83M,1.265B,285.00M,980.00M,,2.582,,,,2.316,2.582,,2.55,,,,2.286,2.55,,259.40M,261.70M,0.94,,AOR,Restated
2019-09,2.841B,2.841B,1.702B,1.139B,,,,,-48.00M,150.00M,-150.00M,95.00M,95.00M,1.044B,150.00M,-150.00M,-26.00M,-150.00M,868.00M,211.00M,657.00M,,,1.00M,657.00M,693.34M,1.305B,287.00M,1.018B,,2.50,,,,2.639,2.50,,2.49,,,,2.627,2.49,,262.10M,264.30M,0.94,,AOR,Restated
2019-06,2.925B,2.925B,1.75B,1.175B,,,,,-50.00M,153.00M,-153.00M,60.00M,60.00M,1.115B,153.00M,-153.00M,-28.00M,-153.00M,934.00M,212.00M,722.00M,,,2.00M,722.00M,760.65M,1.371B,284.00M,1.087B,,2.72,,,,2.866,2.72,,2.70,,,,2.845,2.70,,264.80M,267.10M,0.86,,AOR,Restated
2019-03,2.84B,2.84B,1.771B,1.069B,,,,,-49.00M,149.00M,-149.00M,54.00M,54.00M,1.015B,149.00M,-149.00M,-5.00M,-149.00M,861.00M,184.00M,677.00M,,,1.00M,677.00M,715.51M,1.293B,283.00M,1.01B,,2.53,,,,2.674,2.53,,2.51,,,,2.653,2.51,,267.10M,269.40M,0.86,,AOR,Restated
2018-12,2.896B,2.896B,1.847B,1.049B,,,,,6.00M,148.00M,-148.00M,-74.00M,-74.00M,1.123B,148.00M,-148.00M,-45.00M,-148.00M,930.00M,228.00M,702.00M,,,2.00M,702.00M,697.47M,1.36B,282.00M,1.078B,,2.618,,,,2.602,2.618,,2.57,,,,2.553,2.57,,270.50M,273.00M,0.80,,AOR,Restated
