,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,671.00M,-25.00M,-25.00M,287.00M,287.00M,287.00M,64.00M,0.00,-66.00M,35.00M,26.00M,,-52.00M,-70.00M,,-61.00M,,870.00M,,-441.00M,42.00M,-399.00M,42.00M,,-357.00M,,-56.00M,-56.00M,16.00M,-479.00M,-463.00M,-238.00M,-238.00M,,-757.00M,,1.359B,-244.00M,1.115B,,16.00M,0.00,-56.00M,-479.00M,193.00M,182.00M,,AOR,
2020-09,569.00M,-3.00M,-3.00M,293.00M,293.00M,293.00M,22.00M,99.00M,-48.00M,-62.00M,10.00M,,25.00M,104.00M,,77.00M,,1.009B,,-318.00M,33.00M,-285.00M,7.00M,,-278.00M,,-11.00M,-11.00M,27.00M,-291.00M,-264.00M,-240.00M,-240.00M,,-515.00M,,1.143B,216.00M,1.359B,,27.00M,0.00,-11.00M,-291.00M,117.00M,108.00M,,AOR,
2020-06,392.00M,-3.00M,-3.00M,282.00M,282.00M,282.00M,45.00M,,-90.00M,66.00M,8.00M,,63.00M,40.00M,,177.00M,,803.00M,,-369.00M,100.00M,-269.00M,-38.00M,,-307.00M,,470.00M,470.00M,12.00M,-203.00M,-191.00M,-240.00M,-240.00M,,39.00M,,608.00M,535.00M,1.143B,,12.00M,784.00M,-314.00M,-203.00M,-15.00M,166.00M,,AOR,
2020-03,381.00M,377.00M,377.00M,292.00M,292.00M,292.00M,11.00M,,-44.00M,32.00M,-21.00M,,-33.00M,-40.00M,,-62.00M,,955.00M,,-366.00M,158.00M,-208.00M,-25.00M,,-233.00M,,0.00,0.00,14.00M,-466.00M,-452.00M,-242.00M,-242.00M,,-694.00M,,580.00M,28.00M,608.00M,,14.00M,0.00,,-466.00M,16.00M,121.00M,,AOR,
2019-12,666.00M,-38.00M,-38.00M,285.00M,285.00M,285.00M,105.00M,0.00,-41.00M,53.00M,22.00M,,-44.00M,-113.00M,,-82.00M,,895.00M,,-525.00M,95.00M,-430.00M,-11.00M,,-441.00M,,350.00M,350.00M,6.00M,-549.00M,-543.00M,-244.00M,-244.00M,,-414.00M,,540.00M,40.00M,580.00M,,6.00M,788.00M,-438.00M,-549.00M,139.00M,163.00M,,AOR,Restated
2019-09,657.00M,3.00M,3.00M,287.00M,287.00M,287.00M,92.00M,0.00,9.00M,64.00M,-10.00M,,-15.00M,-42.00M,,-3.00M,,1.045B,,-515.00M,68.00M,-447.00M,-24.00M,,-471.00M,,350.00M,350.00M,3.00M,-500.00M,-497.00M,-247.00M,-247.00M,,-394.00M,,360.00M,180.00M,540.00M,,3.00M,350.00M,0.00,-500.00M,189.00M,121.00M,,AOR,Restated
2019-06,722.00M,11.00M,11.00M,284.00M,284.00M,284.00M,76.00M,,-43.00M,9.00M,-28.00M,,43.00M,-3.00M,,21.00M,,1.071B,,-512.00M,62.00M,-450.00M,-52.00M,,-502.00M,,54.00M,54.00M,16.00M,-550.00M,-534.00M,-228.00M,-228.00M,,-708.00M,,499.00M,-139.00M,360.00M,,16.00M,804.00M,-750.00M,-550.00M,206.00M,159.00M,,AOR,Restated
2019-03,677.00M,-18.00M,-18.00M,283.00M,283.00M,283.00M,57.00M,,-43.00M,-39.00M,-21.00M,,12.00M,-27.00M,,-75.00M,,881.00M,,-467.00M,152.00M,-315.00M,-35.00M,,-350.00M,,250.00M,250.00M,2.00M,-500.00M,-498.00M,-230.00M,-230.00M,,-478.00M,,446.00M,53.00M,499.00M,,2.00M,250.00M,,-500.00M,9.00M,112.00M,,AOR,Restated
2018-12,702.00M,-145.00M,-145.00M,282.00M,282.00M,282.00M,35.00M,,-83.00M,32.00M,60.00M,,-91.00M,50.00M,,51.00M,,842.00M,,-625.00M,111.00M,-514.00M,-3.00M,,-517.00M,,0.00,0.00,2.00M,-481.00M,-479.00M,-217.00M,-217.00M,,-696.00M,,817.00M,-371.00M,446.00M,,2.00M,0.00,0.00,-481.00M,205.00M,169.00M,,AOR,Restated
2018-09,702.00M,-12.00M,-12.00M,276.00M,276.00M,276.00M,49.00M,,-5.00M,-10.00M,-7.00M,,26.00M,39.00M,,48.00M,,1.058B,,-490.00M,45.00M,-445.00M,90.00M,,-355.00M,,1.48B,1.48B,23.00M,-1.60B,-1.577B,-219.00M,-219.00M,,-316.00M,,430.00M,387.00M,817.00M,,23.00M,1.48B,0.00,-1.60B,188.00M,81.00M,,AOR,Restated
2018-06,710.00M,-6.00M,-6.00M,274.00M,274.00M,274.00M,44.00M,,-59.00M,-66.00M,-15.00M,,6.00M,122.00M,,47.00M,,1.01B,,-453.00M,35.00M,-418.00M,3.00M,,-415.00M,,-650.00M,-650.00M,15.00M,-399.00M,-384.00M,-203.00M,-203.00M,,-1.237B,,1.072B,-642.00M,430.00M,,15.00M,0.00,-650.00M,-399.00M,119.00M,177.00M,,AOR,Restated
2018-03,552.00M,-8.00M,-8.00M,272.00M,272.00M,272.00M,45.00M,,-21.00M,-26.00M,-23.00M,,13.00M,12.00M,,-24.00M,,816.00M,,-383.00M,13.00M,-370.00M,-1.00M,,-371.00M,,443.00M,443.00M,,-301.00M,-301.00M,-205.00M,-205.00M,,-63.00M,,690.00M,382.00M,1.072B,,,543.00M,-100.00M,-301.00M,7.00M,69.00M,,AOR,Restated
2017-12,3.968B,-30.00M,-30.00M,268.00M,268.00M,268.00M,-3.078B,,-212.00M,18.00M,23.00M,,-139.00M,-30.00M,,-128.00M,,788.00M,,-408.00M,65.00M,-343.00M,36.00M,,-307.00M,,-55.00M,-55.00M,14.00M,-300.00M,-286.00M,-174.00M,-174.00M,,-515.00M,,724.00M,-34.00M,690.00M,,14.00M,-3.00M,-52.00M,-300.00M,111.00M,183.00M,,AOR,Restated
2017-09,506.00M,-42.00M,-42.00M,266.00M,266.00M,266.00M,105.00M,,-35.00M,-47.00M,44.00M,,20.00M,72.00M,,89.00M,,889.00M,,-432.00M,77.00M,-355.00M,5.00M,,-350.00M,,-5.00M,-5.00M,33.00M,-310.00M,-277.00M,-175.00M,-175.00M,,-457.00M,,642.00M,82.00M,724.00M,,33.00M,-5.00M,0.00,-310.00M,253.00M,75.00M,,AOR,Restated
2017-06,497.00M,-11.00M,-11.00M,265.00M,265.00M,265.00M,58.00M,,-34.00M,41.00M,-8.00M,,17.00M,-95.00M,,-45.00M,,730.00M,,-445.00M,25.00M,-420.00M,0.00,,-420.00M,,-252.00M,-252.00M,8.00M,-202.00M,-194.00M,-177.00M,-177.00M,,-623.00M,,955.00M,-313.00M,642.00M,,8.00M,298.00M,-550.00M,-202.00M,329.00M,200.00M,,AOR,Restated
2017-03,433.00M,-9.00M,-9.00M,260.00M,260.00M,260.00M,56.00M,,-36.00M,-53.00M,-24.00M,,31.00M,188.00M,,142.00M,,846.00M,,-438.00M,35.00M,-403.00M,-1.00M,,-404.00M,,-100.00M,-100.00M,34.00M,-200.00M,-166.00M,-177.00M,-177.00M,,-443.00M,,956.00M,-1.00M,955.00M,,34.00M,,-100.00M,-200.00M,12.00M,70.00M,,AOR,Restated
2016-12,416.00M,-8.00M,-8.00M,260.00M,260.00M,260.00M,50.00M,,-44.00M,15.00M,72.00M,,-48.00M,9.00M,,48.00M,,722.00M,,-583.00M,43.00M,-540.00M,38.00M,,-502.00M,,100.00M,100.00M,24.00M,-200.00M,-176.00M,-172.00M,-172.00M,,-248.00M,,984.00M,-28.00M,956.00M,,24.00M,100.00M,0.00,-200.00M,184.00M,206.00M,,AOR,Restated
2016-09,460.00M,-31.00M,-31.00M,259.00M,259.00M,259.00M,76.00M,,-65.00M,25.00M,5.00M,,27.00M,124.00M,,181.00M,,880.00M,,-372.00M,47.00M,-325.00M,-93.00M,,-418.00M,,0.00,0.00,32.00M,-203.00M,-171.00M,-173.00M,-173.00M,,-344.00M,,866.00M,118.00M,984.00M,,32.00M,0.00,0.00,-203.00M,158.00M,77.00M,,AOR,Restated
2016-06,405.00M,-5.00M,-5.00M,258.00M,258.00M,258.00M,57.00M,,-13.00M,-2.00M,9.00M,,19.00M,-175.00M,,-149.00M,,553.00M,,-534.00M,28.00M,-506.00M,2.00M,,-504.00M,,594.00M,594.00M,1.00M,-193.00M,-192.00M,-174.00M,-174.00M,,228.00M,,589.00M,277.00M,866.00M,,1.00M,594.00M,0.00,-193.00M,249.00M,190.00M,,AOR,Restated
2016-03,387.00M,-2.00M,-2.00M,253.00M,253.00M,253.00M,44.00M,,-28.00M,-15.00M,-44.00M,,84.00M,200.00M,,225.00M,,879.00M,,-398.00M,12.00M,-386.00M,-22.00M,,-408.00M,,-600.00M,-600.00M,,-207.00M,-207.00M,-176.00M,-176.00M,,-983.00M,,1.101B,-512.00M,589.00M,,,,-600.00M,-207.00M,2.00M,70.00M,,AOR,Restated
