,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.933B,1.933B,827.00M,1.106B,114.00M,0.00,0.00,,292.00M,,-292.00M,15.00M,465.00M,641.00M,,292.00M,-292.00M,85.00M,-292.00M,434.00M,111.00M,323.00M,,,-14.00M,1.00M,309.00M,307.51M,1.152B,426.00M,726.00M,0.25,,,,0.2488,0.25,0.25,,,,0.2488,0.25,1.214B,1.215B,0.4
2020-06,1.781B,1.781B,716.00M,1.065B,127.00M,0.00,0.00,,294.00M,,-294.00M,6.00M,453.00M,612.00M,,294.00M,-294.00M,114.00M,-294.00M,432.00M,117.00M,315.00M,,,-12.00M,,303.00M,302.27M,1.156B,430.00M,726.00M,0.25,,,,0.2494,0.25,0.25,,,,0.2494,0.25,1.214B,1.215B,0.4
2020-03,1.913B,1.913B,838.00M,1.075B,113.00M,938.00M,-1.125B,,296.00M,,-296.00M,7.00M,457.00M,618.00M,,296.00M,-296.00M,-1.096B,-296.00M,-774.00M,-204.00M,-570.00M,,,53.00M,1.00M,-517.00M,309.28M,-49.00M,429.00M,-478.00M,-0.43,,,,0.2512,-0.43,-0.43,,,,0.2512,-0.43,1.213B,1.213B,0.4
2019-12,2.107B,2.107B,980.00M,1.127B,148.00M,0.00,-419.00M,,298.00M,,-298.00M,-22.00M,503.00M,624.00M,,298.00M,-298.00M,-286.00M,-298.00M,40.00M,91.00M,-51.00M,,,190.00M,1.00M,124.00M,441.95M,777.00M,439.00M,338.00M,0.11,,,,0.3599,0.1,0.11,,,,0.3595,0.1,1.212B,1.214B,0.38
2019-09,1.999B,1.999B,888.00M,1.111B,130.00M,114.00M,-114.00M,,296.00M,,-296.00M,-11.00M,483.00M,628.00M,,296.00M,-296.00M,-13.00M,-296.00M,319.00M,77.00M,242.00M,,,-21.00M,1.00M,221.00M,302.17M,1.05B,435.00M,615.00M,0.18,,,,0.247,0.18,0.18,,,,0.2469,0.18,1.212B,1.214B,0.38
2019-06,2.041B,2.041B,931.00M,1.11B,152.00M,-2.00M,-62.00M,,296.00M,,-296.00M,9.00M,548.00M,562.00M,,296.00M,-296.00M,156.00M,-296.00M,422.00M,98.00M,324.00M,,,-14.00M,,310.00M,262.40M,1.142B,424.00M,718.00M,0.26,,,,0.2207,0.26,0.26,,,,0.2208,0.26,1.212B,1.214B,0.38
2019-03,2.054B,2.054B,981.00M,1.073B,128.00M,74.00M,-74.00M,,296.00M,,-296.00M,44.00M,512.00M,561.00M,,296.00M,-296.00M,18.00M,-296.00M,283.00M,69.00M,214.00M,,,-19.00M,1.00M,195.00M,250.20M,995.00M,416.00M,579.00M,0.16,,,,0.2056,0.16,0.16,,,,0.2055,0.16,1.211B,1.214B,0.38
2018-12,2.204B,2.204B,1.149B,1.055B,133.00M,32.00M,-1.031B,,294.00M,,-294.00M,43.00M,549.00M,506.00M,,294.00M,-294.00M,-917.00M,-294.00M,-705.00M,-159.00M,-546.00M,,,-25.00M,,-571.00M,224.38M,24.00M,435.00M,-411.00M,-0.4727,,,,0.1828,-0.4727,-0.4727,,,,0.1828,-0.4727,1.213B,1.213B,0.34
2018-09,2.303B,2.303B,1.245B,1.058B,174.00M,0.00,0.00,,270.00M,,-270.00M,-6.00M,557.00M,501.00M,,270.00M,-270.00M,159.00M,-270.00M,390.00M,190.00M,200.00M,,,-71.00M,,129.00M,127.54M,1.085B,425.00M,660.00M,0.13,,,,0.1286,0.13,0.13,,,,0.1286,0.13,1.024B,1.027B,0.34
2018-06,2.091B,2.091B,1.096B,995.00M,130.00M,0.00,-4.00M,,275.00M,,-275.00M,1.00M,519.00M,476.00M,,275.00M,-275.00M,120.00M,-275.00M,321.00M,52.00M,269.00M,,,-134.00M,,135.00M,133.32M,1.03B,434.00M,596.00M,0.16,,,,0.158,0.16,0.16,,,,0.158,0.16,827.87M,830.11M,0.34
