,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2004-12,430.05M,430.05M,131.31M,298.75M,,,140.01M,94.84M,-15.43M,0.00,,,,,214.33M,84.41M,,,,0.00,,90.44M,31.96M,58.48M,,76.78M,-7.633M,84.41M,,2004-12,0.11,0.11,,2004-12,0.10,0.10,,2004-12,,,2004-12,,
2004-09,375.01M,375.01M,113.03M,261.98M,,,94.38M,64.88M,33.02M,-1.716M,,,,,192.28M,69.70M,,,,-1.716M,,73.40M,24.64M,48.76M,,113.68M,43.99M,69.70M,,2004-09,0.0921,0.09,,2004-09,0.09,0.09,,2004-09,,,2004-09,,
2004-06,306.90M,306.90M,96.77M,210.13M,,,93.03M,58.09M,35.06M,-32.86M,,,,5.087M,191.27M,18.86M,,,,-32.86M,,5.082M,7.472M,-12.55M,,66.93M,48.07M,18.86M,,2004-06,0.0189,-0.02,,2004-06,-0.02,-0.02,,2004-06,,,2004-06,,
2004-03,224.05M,224.05M,74.02M,150.03M,,,52.40M,46.63M,4.129M,,,,,,103.16M,46.87M,,,,,,49.36M,15.82M,33.54M,,60.07M,13.20M,46.87M,,2004-03,0.09,0.09,,2004-03,0.08,0.08,,2004-03,,,2004-03,,
2003-12,206.96M,206.96M,70.63M,136.33M,,,51.55M,44.70M,5.375M,-15.19M,,,,,101.62M,34.71M,,,,-15.19M,,20.23M,5.498M,14.73M,,45.40M,10.69M,34.71M,,2003-12,0.0484,0.02,,2003-12,0.01,0.01,,2003-12,,,2003-12,,
2003-09,172.13M,172.13M,62.94M,109.19M,,,41.23M,44.93M,1.998M,-4.765M,,,,,88.16M,21.02M,,,,-4.765M,,14.90M,7.70M,7.205M,,38.71M,17.69M,21.02M,,2003-09,0.0274,0.02,,2003-09,0.02,0.02,,2003-09,,,2003-09,,
2003-06,165.10M,165.10M,62.43M,102.67M,,,41.01M,43.01M,7.803M,9.275M,,,,,91.82M,10.86M,,,,9.275M,,17.80M,4.217M,13.58M,,31.35M,20.50M,10.86M,,2003-06,0.0213,0.04,,2003-06,0.03,0.03,,2003-06,,,2003-06,,
2003-03,157.21M,157.21M,61.35M,95.86M,,,40.46M,43.47M,7.522M,4.352M,,,,,91.45M,4.408M,,,,4.352M,,6.063M,2.38M,3.683M,,25.58M,21.17M,4.408M,,2003-03,0.0030,0.01,,2003-03,0.01,0.01,,2003-03,,,2003-03,,
2002-12,155.27M,155.27M,63.09M,92.17M,,,42.08M,44.28M,-3.336M,2.601M,,,,,80.52M,11.65M,,,,2.601M,,9.952M,1.50M,8.452M,,20.04M,8.393M,11.65M,,2002-12,0.0241,0.03,,2002-12,0.03,0.03,,2002-12,,,2002-12,,
2002-09,152.03M,152.03M,68.86M,83.16M,,,46.86M,48.77M,8.727M,-65.81M,,,,2.507M,106.86M,-23.70M,,,,-65.99M,,-86.83M,1.50M,-88.33M,,1.669M,25.37M,-23.70M,,2002-09,-0.1333,-0.24,,2002-09,-0.24,-0.24,,2002-09,,,2002-09,,
2002-06,117.04M,117.04M,48.16M,68.88M,,,35.00M,33.77M,-6.362M,,,,,,62.41M,6.475M,,,,-0.111M,,6.981M,0.75M,6.231M,,11.36M,4.884M,6.475M,,2002-06,0.02,0.02,,2002-06,0.02,0.02,,2002-06,,,2002-06,,
2002-03,122.22M,122.22M,50.00M,72.22M,,,37.13M,35.07M,15.28M,-30.60M,,,,,87.47M,-15.25M,,,,-31.62M,,-45.25M,0.75M,-46.00M,,9.152M,24.40M,-15.25M,,2002-03,-0.0843,-0.14,,2002-03,-0.14,-0.14,,2002-03,,,2002-03,,
2001-12,151.03M,151.03M,58.78M,92.25M,,,50.33M,36.76M,27.69M,,,,,,114.79M,-22.54M,,,,,,-8.44M,-3.314M,-5.126M,,9.846M,32.38M,-22.54M,,2001-12,-0.01,-0.01,,2001-12,-0.01,-0.01,,2001-12,,,2001-12,,
2001-09,201.70M,201.70M,119.77M,81.94M,,,42.78M,37.90M,27.97M,-11.00M,,,,,108.64M,-26.70M,,,,-12.48M,,-30.99M,-1.265M,-29.73M,,9.027M,35.73M,-26.70M,,2001-09,-0.0570,-0.09,,2001-09,-0.09,-0.09,,2001-09,,,2001-09,,
2001-06,202.18M,202.18M,80.48M,121.70M,,,45.40M,42.08M,31.12M,-46.04M,,,,,118.60M,3.105M,,,,-46.04M,,-33.02M,4.107M,-37.13M,,34.22M,26.93M,3.105M,,2001-06,-0.0332,-0.12,,2001-06,-0.12,-0.12,,2001-06,,,2001-06,,
2001-03,332.10M,332.10M,113.74M,218.36M,,,51.79M,42.99M,36.58M,,,,,,131.36M,87.00M,,,,,,88.99M,30.43M,58.57M,,139.63M,52.63M,87.00M,,2001-03,0.19,0.19,,2001-03,0.17,0.17,,2001-03,,,2001-03,,
2000-12,295.39M,295.39M,66.62M,228.77M,,,45.44M,30.24M,,-33.82M,,,,,93.50M,135.27M,,,,-33.82M,,99.58M,37.42M,62.16M,,163.09M,18.56M,135.27M,,2000-12,0.2776,0.21,,2000-12,0.18,0.18,,2000-12,,,2000-12,,
2000-09,201.20M,201.20M,70.29M,130.91M,,,28.83M,23.60M,2.272M,,,,,,54.70M,76.21M,,,,,,87.85M,29.78M,58.07M,,81.59M,5.383M,76.21M,,2000-09,0.19,0.19,,2000-09,0.17,0.17,,2000-09,,,2000-09,,
2000-06,113.03M,113.03M,40.75M,72.28M,,,21.42M,18.00M,2.315M,-10.00M,,,,10.00M,51.73M,20.54M,,,,-10.00M,,30.42M,10.80M,19.62M,,26.66M,6.117M,20.54M,,2000-06,0.0814,0.06,,2000-06,0.06,0.06,,2000-06,,,2000-06,,
2000-03,63.89M,63.89M,25.10M,38.78M,,,14.52M,15.99M,2.391M,,,,,,32.90M,5.885M,,,,,,12.52M,4.45M,8.071M,,10.62M,4.74M,5.885M,,2000-03,0.025,0.025,,2000-03,0.025,0.025,,2000-03,,,2000-03,,
1999-12,45.41M,45.41M,13.70M,31.71M,,,10.70M,15.80M,,,,,,,32.90M,-1.194M,,,,,,5.00M,1.90M,3.10M,,5.206M,6.40M,-1.194M,,1999-12,0.0099,0.0099,,1999-12,0.0099,0.0099,,1999-12,,,1999-12,,
1999-09,29.56M,29.56M,11.90M,17.66M,,,7.30M,11.50M,,,,,,,20.20M,-2.536M,,,,,,-1.20M,0.40M,-1.60M,,-1.136M,1.40M,-2.536M,,1999-09,-0.0017,-0.0017,,1999-09,-0.0017,-0.0017,,1999-09,,,1999-09,,
1999-06,17.60M,17.60M,8.60M,9.00M,,,4.80M,8.00M,0.30M,,,,,0.60M,13.70M,-4.70M,,,,,,-3.80M,0.10M,-3.90M,,-4.40M,0.30M,-4.70M,,1999-06,-0.0033,-0.0033,,1999-06,-0.0033,-0.0033,,1999-06,,,1999-06,,
1999-03,10.00M,10.00M,5.20M,4.80M,,,3.40M,6.20M,,0.30M,,,,,11.70M,-6.90M,,,,0.30M,,,,-6.70M,,-4.80M,2.10M,-6.90M,,1999-03,-0.0056,-0.005,,1999-03,-0.005,-0.005,,1999-03,,,1999-03,,
