,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.342B,499.30M,1.841B,754.00M,754.00M,166.40M,277.30M,,,3.038B,,,,,941.30M,,,941.30M,,941.30M,3.337B,151.90M,3.489B,720.40M,,,,505.50M,5.656B,8.695B,269.60M,,269.60M,284.80M,554.40M,,,,750.20M,750.20M,,1.502B,1.726B,159.20M,1.885B,383.80M,383.80M,-11.80M,,66.60M,2.632B,4.134B,0.00,-2.669B,7.215B,,,,2020-09,AOR,
2020-06,1.460B,397.60M,1.858B,754.70M,754.70M,118.00M,270.60M,,,3.001B,,,,,955.80M,,,955.80M,,955.80M,3.337B,161.30M,3.498B,712.40M,,,,573.70M,5.740B,8.742B,238.00M,,238.00M,308.10M,546.10M,,,,834.50M,834.50M,,1.596B,1.720B,162.10M,1.882B,377.10M,377.10M,,,61.30M,2.681B,4.277B,0.00,-2.768B,7.256B,,,,2020-06,AOR,
2020-03,1.399B,523.00M,1.922B,675.10M,675.10M,97.30M,278.70M,,,2.973B,,,,,968.70M,,,968.70M,,968.70M,3.337B,170.70M,3.508B,608.30M,,,,552.00M,5.637B,8.610B,236.40M,,236.40M,279.50M,515.90M,,,,854.70M,854.70M,,1.536B,1.713B,153.60M,1.866B,400.10M,400.10M,,,45.80M,2.682B,4.219B,0.00,-2.831B,7.281B,,,,2020-03,AOR,
2019-12,1.216B,738.00M,1.954B,879.70M,879.70M,90.60M,285.70M,,,3.210B,0.00,243.50M,255.00M,1.318B,169.70M,12.90M,216.90M,2.216B,-1.216B,1.001B,3.337B,185.80M,3.523B,589.80M,,,,514.60M,5.628B,8.838B,219.50M,,219.50M,282.50M,502.00M,,,,812.90M,812.90M,,1.544B,1.687B,158.10M,1.845B,410.50M,410.50M,-3.10M,,58.10M,2.683B,4.227B,0.00,-2.741B,7.370B,,,,2019-12,AOR,
2019-09,1.205B,1.041B,2.246B,635.80M,635.80M,90.10M,216.00M,,,3.188B,,,,,1.021B,,,1.021B,,1.021B,3.338B,195.70M,3.534B,581.10M,,,,430.40M,5.566B,8.754B,229.00M,,229.00M,275.40M,504.40M,,,,741.60M,741.60M,,1.423B,1.686B,163.50M,1.85B,377.10M,377.10M,1.10M,,58.10M,2.688B,4.111B,0.00,-2.833B,7.502B,,,,2019-09,AOR,Restated
2019-06,1.381B,1.419B,2.800B,659.40M,659.40M,92.10M,206.90M,,,3.759B,,,,,1.047B,,,1.047B,,1.047B,3.338B,205.60M,3.544B,74.80M,,,,479.30M,5.145B,8.903B,183.30M,,183.30M,255.90M,439.20M,,299.50M,299.50M,820.00M,820.00M,,1.766B,1.490B,167.50M,1.658B,381.40M,381.40M,,,97.40M,2.546B,4.312B,0.00,-2.889B,7.491B,,,,2019-06,AOR,Restated
2019-03,2.156B,1.227B,3.383B,645.40M,645.40M,92.40M,188.80M,,,4.310B,,,,,1.077B,,,1.077B,,1.077B,3.109B,113.50M,3.223B,119.70M,,,,409.20M,4.828B,9.138B,219.10M,,219.10M,243.10M,462.20M,,,,860.10M,860.10M,,1.489B,1.790B,176.70M,1.966B,370.80M,370.80M,,,53.20M,2.798B,4.287B,0.00,-2.806B,7.669B,,,,2019-03,AOR,Restated
2018-12,2.489B,1.070B,3.559B,754.60M,754.60M,80.60M,187.50M,,,4.582B,0.00,243.20M,254.30M,1.372B,,19.50M,235.20M,2.124B,-1.172B,951.70M,3.109B,118.50M,3.227B,199.00M,,,,403.50M,4.782B,9.363B,208.80M,,208.80M,233.50M,442.30M,,349.90M,349.90M,829.30M,829.30M,,1.842B,1.789B,0.00,1.789B,384.30M,384.30M,,,119.80M,2.698B,4.540B,0.00,-2.831B,7.673B,,,,2018-12,AOR,Restated
2018-09,2.502B,887.30M,3.389B,648.30M,648.30M,74.10M,179.30M,,,4.291B,,,,,,,,,,967.60M,3.094B,115.00M,3.209B,259.00M,,,,373.70M,4.810B,9.100B,184.70M,,184.70M,214.80M,399.50M,,349.70M,349.70M,814.10M,814.10M,,1.740B,1.789B,,1.789B,351.20M,351.20M,,,132.40M,2.709B,4.449B,0.00,-3.023B,7.698B,,,,2018-09,AOR,Restated
2018-06,2.690B,432.30M,3.123B,702.20M,702.20M,79.50M,200.20M,,,4.105B,,,,,,,,,,987.10M,3.096B,119.40M,3.216B,407.80M,,,,406.00M,5.016B,9.121B,183.20M,,183.20M,204.10M,387.30M,,349.50M,349.50M,872.10M,872.10M,,1.808B,1.788B,,1.788B,365.10M,365.10M,,,125.90M,2.895B,4.703B,0.00,-3.176B,7.610B,,,,2018-06,AOR,Restated
2018-03,2.614B,317.70M,2.932B,679.90M,679.90M,92.60M,216.30M,,,3.921B,,,,,,,,,,1.014B,3.096B,123.80M,3.22B,516.50M,,,,407.50M,5.158B,9.078B,189.20M,,189.20M,230.50M,419.70M,,349.30M,349.30M,888.20M,888.20M,,1.83B,1.788B,,1.788B,368.70M,368.70M,,,117.90M,2.924B,4.754B,0.00,-3.303B,7.616B,,,,2018-03,AOR,Restated
2017-12,2.006B,1.026B,3.033B,852.00M,852.00M,93.80M,206.10M,,,4.184B,0.00,241.00M,252.80M,1.417B,,53.50M,258.60M,2.223B,-1.202B,1.021B,3.096B,128.10M,3.224B,988.40M,,,,415.50M,5.649B,9.834B,217.60M,,217.60M,304.30M,521.90M,,,,1.030B,1.030B,,1.738B,2.136B,,2.136B,509.00M,509.00M,,,118.80M,3.415B,5.153B,0.00,-3.356B,8.042B,,,,2017-12,AOR,Restated
2017-09,2.364B,922.00M,3.286B,724.30M,724.30M,84.90M,188.40M,,,4.283B,,,,,,,,,,1.008B,3.096B,133.00M,3.229B,913.60M,,,,310.70M,5.461B,9.744B,205.40M,,205.40M,236.30M,441.70M,,,,977.40M,977.40M,,1.585B,2.136B,,2.136B,485.50M,485.50M,,,155.70M,3.001B,4.586B,0.00,-3.046B,8.211B,,,,2017-09,AOR,Restated
2017-06,2.392B,752.70M,3.145B,750.40M,750.40M,87.60M,161.90M,,,4.145B,,,,,,,,,,1.026B,3.079B,121.70M,3.201B,1.069B,,,,311.10M,5.608B,9.753B,210.70M,,210.70M,258.10M,468.80M,,,,998.00M,998.00M,,1.673B,2.135B,,2.135B,503.00M,503.00M,,,134.80M,2.994B,4.667B,0.00,-3.139B,8.242B,,,,2017-06,AOR,Restated
2017-03,2.242B,742.30M,2.984B,670.90M,670.90M,94.80M,243.80M,,,3.994B,,,,,,,,,,1.050B,3.079B,125.90M,3.205B,1.059B,,,,329.10M,5.644B,9.638B,201.90M,,201.90M,210.80M,412.70M,,,,992.50M,992.50M,,1.583B,2.134B,,2.134B,500.50M,500.50M,,,185.40M,3.037B,4.620B,0.00,-3.249B,8.289B,,,,2017-03,AOR,Restated
2016-12,1.833B,752.30M,2.586B,1.054B,1.054B,91.40M,240.90M,,,3.972B,0.00,241.00M,251.80M,1.402B,,26.20M,235.60M,2.157B,-1.093B,1.064B,3.082B,130.20M,3.212B,1.072B,,,,337.10M,5.685B,9.656B,221.00M,,221.00M,249.30M,470.30M,,,,1.032B,1.032B,,1.736B,2.134B,,2.134B,449.10M,449.10M,,,166.10M,2.958B,4.694B,0.00,-3.282B,8.282B,,,,2016-12,AOR,Restated
