,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.604B,2.604B,,10.62M,10.62M,6.641M,-6.641M,-6.196M,4.422M,6.641M,-6.641M,57.48M,-6.641M,272.51M,29.45M,243.06M,,243.06M,243.06M,,279.15M,6.08,,6.08,6.08,6.07,,6.07,6.07,39.48M,39.56M,1.55
2020-06,2.249B,2.249B,,8.733M,8.733M,7.253M,-7.253M,4.063M,12.80M,7.253M,-7.253M,-32.49M,-7.253M,237.07M,46.19M,190.88M,,190.88M,190.88M,,244.32M,4.78,,4.78,4.78,4.77,,4.77,4.77,39.45M,39.52M,1.55
2020-03,2.004B,2.004B,,9.833M,9.833M,7.583M,-7.583M,21.77M,31.61M,7.583M,-7.583M,23.36M,-7.583M,-43.62M,-60.23M,16.61M,,16.61M,16.61M,,-36.04M,0.41,,0.41,0.41,0.41,,0.41,0.41,40.20M,40.30M,1.55
2019-12,2.214B,2.214B,,10.34M,10.34M,7.721M,-7.721M,,10.34M,7.721M,-7.721M,41.52M,-7.721M,219.08M,1.434M,217.64M,,217.64M,217.64M,,226.80M,5.34,,5.34,5.34,5.32,,5.32,5.32,40.30M,40.42M,1.55
2019-09,2.043B,2.043B,,8.435M,8.435M,7.907M,-7.907M,,8.435M,7.907M,-7.907M,-31.02M,-7.907M,93.02M,-11.38M,104.40M,,104.40M,104.40M,,100.93M,2.56,,2.56,2.56,2.56,,2.56,2.56,40.29M,40.41M,1.4
2019-06,2.009B,2.009B,,7.535M,7.535M,8.434M,-8.434M,,7.535M,8.434M,-8.434M,-18.22M,-8.434M,372.34M,39.48M,332.87M,,332.87M,332.87M,,380.78M,8.17,,8.17,8.17,8.15,,8.15,8.15,40.28M,40.40M,1.4
2019-03,1.966B,1.966B,,6.652M,6.652M,7.631M,-7.631M,,6.652M,7.631M,-7.631M,-3.30M,-7.631M,414.54M,59.99M,354.55M,,354.55M,354.55M,,422.18M,8.7,,8.7,8.7,8.67,,8.67,8.67,40.30M,40.44M,1.4
2018-12,1.792B,1.792B,,7.153M,7.153M,7.984M,-7.984M,,7.153M,7.984M,-7.984M,-21.82M,-7.984M,-705.42M,-320.11M,-385.31M,,-385.31M,-385.31M,,-697.44M,-9.5,,-9.5,-9.5,-9.5,,-9.5,-9.5,40.23M,40.41M,1.4
2018-09,1.936B,1.936B,,7.89M,7.89M,7.901M,-7.901M,,7.89M,7.901M,-7.901M,-13.41M,-7.901M,189.47M,-8.91M,198.38M,,198.38M,198.38M,,197.37M,4.87,,4.87,4.87,4.84,,4.84,4.84,40.35M,40.54M,1.3
2018-06,1.893B,1.893B,,6.633M,6.633M,7.728M,-7.728M,,6.633M,7.728M,-7.728M,3.036M,-7.728M,60.76M,-9.132M,69.90M,,69.90M,69.90M,,68.49M,1.71,,1.71,1.71,1.7,,1.7,1.7,40.50M,40.71M,1.3
2018-03,1.745B,1.745B,,8.996M,8.996M,7.418M,-7.418M,,8.996M,7.418M,-7.418M,12.06M,-7.418M,217.64M,7.325M,210.32M,,210.32M,210.32M,,225.06M,5.14,,5.14,5.14,5.11,,5.11,5.11,40.47M,40.69M,1.3
2017-12,1.881B,1.881B,,4.615M,4.615M,7.314M,-7.314M,,4.615M,7.314M,-7.314M,37.93M,-7.314M,709.53M,124.72M,584.81M,,584.81M,584.81M,,716.85M,13.92,,13.92,13.92,13.85,,13.85,13.85,40.59M,40.82M,1.3
2017-09,1.725B,1.725B,,5.932M,5.932M,7.266M,-7.266M,,5.932M,7.266M,-7.266M,-54.57M,-7.266M,-904.07M,-264.69M,-639.37M,,-639.37M,-639.37M,,-896.80M,-15.73,,-15.73,-15.73,-15.73,,-15.73,-15.73,40.64M,40.88M,1.25
2017-06,1.531B,1.531B,,6.919M,6.919M,8.059M,-8.059M,,6.919M,8.059M,-8.059M,0.388M,-8.059M,275.53M,29.86M,245.67M,,245.67M,245.67M,,283.59M,5.98,,5.98,5.98,5.95,,5.95,5.95,40.62M,40.87M,1.25
