,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,185.70M,2.90M,2.90M,432.30M,432.30M,-90.70M,,15.10M,53.90M,-149.90M,-256.60M,200.70M,,131.60M,-74.20M,525.00M,-59.10M,,,-20.90M,0.00,-0.40M,0.80M,-58.70M,0.10M,0.30M,0.40M,,,,,0.00,-146.10M,-145.70M,324.70M,320.60M,21.80M,667.10M,,0.00,0.10M,
2020-06,39.40M,17.20M,17.20M,415.70M,415.70M,-75.80M,,15.30M,88.10M,49.00M,-144.00M,5.00M,,-30.40M,-120.40M,379.50M,-53.80M,,,-9.30M,0.00,-21.60M,0.90M,-74.50M,-555.90M,0.00,-555.90M,,,,,0.00,-28.40M,-584.30M,587.90M,-279.30M,16.10M,324.70M,,0.10M,-556.00M,
2020-03,20.80M,17.30M,17.30M,415.00M,415.00M,-43.90M,,19.40M,35.90M,73.60M,-131.80M,-190.20M,,75.00M,-173.40M,291.10M,-110.50M,,,-67.10M,,-35.50M,0.40M,-145.60M,0.10M,,0.10M,,,,,0.60M,-25.50M,-24.80M,491.10M,120.70M,-23.90M,587.90M,,33.10M,-33.00M,
2019-12,20.50M,18.50M,18.50M,547.70M,547.70M,-34.60M,,5.90M,211.40M,0.70M,-35.30M,105.00M,,-153.10M,-82.70M,686.70M,-119.90M,,,-46.30M,0.00,1.70M,3.70M,-114.50M,-450.40M,0.10M,-450.30M,,,,,0.10M,-14.20M,-464.40M,374.40M,107.80M,8.90M,491.10M,,1.00M,-451.40M,
2019-09,189.80M,10.40M,10.40M,469.70M,469.70M,-100.20M,,16.10M,49.80M,-219.60M,-150.80M,23.00M,,199.60M,-147.80M,487.80M,-59.40M,,,-17.00M,-141.60M,-0.20M,24.30M,-176.90M,-100.70M,-26.20M,-126.90M,,,,,4.00M,-9.80M,-132.70M,212.70M,178.20M,-16.50M,374.40M,,0.90M,-101.60M,
2019-06,-168.50M,16.20M,16.20M,501.40M,501.40M,-64.50M,,16.80M,93.90M,136.10M,-143.80M,324.70M,,-43.40M,273.60M,668.90M,-158.20M,,,-114.10M,0.00,0.00,-0.20M,-158.40M,-549.90M,25.80M,-524.10M,,,,,1.60M,-9.30M,-531.80M,230.90M,-21.30M,3.10M,212.70M,,5.40M,-555.30M,
2019-03,-25.00M,17.00M,17.00M,500.50M,500.50M,6.70M,,18.00M,-6.00M,62.80M,-183.00M,-491.10M,,60.40M,-550.90M,-39.70M,-68.50M,,,-15.40M,-7.10M,-0.20M,0.20M,-75.60M,-0.10M,-1.50M,-1.60M,,,,,2.40M,-40.90M,-40.10M,389.30M,-155.40M,-3.00M,230.90M,,0.10M,-0.20M,
2018-12,51.20M,20.10M,20.10M,608.90M,608.90M,-114.40M,,5.30M,59.80M,77.90M,-122.10M,307.90M,,-258.50M,5.20M,636.10M,-445.20M,,,-330.50M,241.20M,-0.90M,,-175.60M,-566.40M,1.50M,-564.90M,,0.00,0.00,,2.20M,-13.50M,-576.20M,503.10M,-115.70M,1.90M,389.30M,,0.20M,-566.60M,0.00
2018-09,176.70M,12.60M,12.60M,500.60M,500.60M,-84.50M,,-29.20M,-41.90M,-216.80M,-144.80M,142.00M,,338.90M,119.30M,653.60M,-60.10M,,,1.40M,-243.80M,1.80M,,-302.10M,0.50M,-224.90M,-224.40M,,0.00,0.00,,1.90M,-2.30M,-224.80M,384.20M,126.70M,-7.80M,503.10M,,0.50M,0.00,0.00
2018-06,37.50M,22.90M,22.90M,501.90M,501.90M,-81.40M,,-0.80M,184.90M,108.80M,-123.10M,-5.00M,,-215.50M,-234.80M,430.20M,-317.20M,,,-272.00M,0.00,13.40M,,-303.80M,-21.80M,-130.10M,-151.90M,,0.00,0.00,,2.90M,-19.50M,-168.50M,445.10M,-42.10M,-18.80M,384.20M,,2.079B,-2.101B,0.00
2018-03,87.10M,23.10M,23.10M,498.50M,498.50M,16.00M,,21.40M,54.40M,370.20M,-157.60M,-248.50M,,-42.80M,-78.70M,621.80M,-373.10M,,,-342.40M,-63.30M,7.50M,,-428.90M,0.40M,309.10M,309.50M,,-432.00M,-432.00M,,10.80M,-9.70M,-121.40M,369.90M,71.50M,3.70M,445.10M,,498.40M,-498.00M,-432.00M
2017-12,244.30M,-19.20M,-19.20M,526.00M,526.00M,-128.80M,,10.50M,3.90M,-378.40M,-41.60M,366.30M,,-87.50M,-141.20M,495.50M,-181.00M,,,-61.50M,-95.40M,0.10M,55.60M,-220.70M,-165.10M,45.40M,-119.70M,,-500.20M,-500.20M,,5.00M,-24.30M,-639.20M,750.80M,-364.40M,-16.50M,369.90M,,320.30M,-485.40M,-500.20M
2017-09,88.30M,22.30M,22.30M,443.10M,443.10M,147.40M,,22.20M,117.10M,-186.10M,52.00M,-2.50M,,-155.20M,-291.80M,548.60M,-126.90M,,,-79.80M,0.00,0.00,0.00,-126.90M,-420.60M,-5.60M,-426.20M,,0.00,0.00,,3.90M,-0.80M,-423.10M,748.80M,-1.40M,3.40M,750.80M,,0.10M,-420.70M,0.00
2017-06,297.00M,21.70M,21.70M,421.20M,421.20M,-165.60M,,18.90M,-4.60M,115.60M,-34.30M,83.50M,,-185.60M,-20.80M,567.80M,-452.00M,,,-401.10M,0.00,0.00,0.00,-452.00M,-220.90M,-25.10M,-246.00M,,,,,3.90M,-13.00M,-255.10M,859.60M,-139.30M,28.50M,748.80M,,555.70M,-776.60M,
2017-03,66.40M,33.20M,33.20M,415.50M,415.50M,35.60M,,23.10M,107.70M,286.70M,-105.60M,-417.70M,,8.00M,-228.60M,452.90M,-136.30M,,,-77.90M,-71.60M,0.00,31.10M,-176.80M,-550.00M,-17.60M,-567.60M,,,,,5.00M,-13.10M,-575.70M,1.147B,-299.60M,12.20M,859.60M,,,-550.00M,
2016-12,417.50M,27.30M,27.30M,476.60M,476.60M,-252.90M,,17.80M,312.40M,-315.10M,57.40M,118.90M,,-510.40M,-649.20M,349.50M,-314.80M,,,-163.90M,-330.20M,-1.70M,50.50M,-596.20M,3.10M,-7.80M,-4.70M,,,,,2.70M,-42.80M,-44.80M,1.257B,-291.50M,-24.70M,1.147B,,5.232B,-5.229B,
2016-09,-119.80M,29.70M,29.70M,445.90M,445.90M,-264.50M,,19.20M,741.20M,283.90M,-101.20M,125.20M,,41.00M,348.90M,1.201B,-134.80M,,,-16.30M,-5.337B,-0.60M,-307.90M,-5.780B,-526.00M,-6.10M,-532.10M,,,,,4.30M,-3.20M,-531.00M,6.362B,-5.111B,5.40M,1.257B,,41.00M,-567.00M,
2016-06,168.40M,24.90M,24.90M,303.40M,303.40M,-130.60M,,25.40M,126.60M,-184.10M,-12.70M,23.00M,,72.30M,-101.50M,416.60M,-143.60M,,,-74.40M,-943.30M,-3.80M,-50.60M,-1.141B,5.979B,-10.40M,5.968B,,,,,3.20M,-81.70M,5.890B,1.199B,5.165B,-2.70M,6.362B,,6.479B,-500.00M,
2016-03,13.90M,30.90M,30.90M,297.10M,297.10M,38.50M,,26.50M,81.30M,83.50M,-222.80M,-141.90M,,-126.50M,-407.70M,80.50M,-157.40M,,,-105.60M,0.00,-2.60M,,-160.00M,0.00,65.10M,65.10M,,,,,3.60M,-38.20M,30.50M,1.236B,-49.00M,12.40M,1.199B,,,0.00,
2015-12,194.60M,27.60M,27.60M,340.70M,340.70M,-53.70M,,26.40M,152.60M,120.10M,-32.00M,-96.40M,,-27.90M,-36.20M,652.00M,-233.90M,,,-78.30M,-693.10M,0.70M,-4.10M,-930.40M,999.20M,0.50M,999.70M,,,,,4.90M,-13.60M,923.50M,587.00M,645.10M,3.90M,1.236B,,1.149B,-150.00M,
2015-09,428.60M,27.80M,27.80M,257.70M,257.70M,14.10M,,16.10M,65.60M,79.80M,-57.00M,137.60M,,4.50M,164.90M,974.80M,-408.90M,,,-323.60M,,0.30M,37.10M,-371.50M,27.40M,-435.30M,-407.90M,,,,,6.40M,-30.60M,-432.10M,439.70M,171.20M,-23.90M,587.00M,,3.388B,-3.360B,
2015-06,167.90M,25.00M,25.00M,258.70M,258.70M,-89.10M,,15.90M,95.70M,-511.00M,-94.70M,145.10M,,101.20M,-359.40M,114.70M,-167.00M,,,-93.10M,0.00,-2.10M,-11.20M,-180.30M,-0.70M,267.20M,266.50M,,,,,19.00M,-63.10M,222.40M,277.20M,156.80M,5.70M,439.70M,,872.90M,-873.60M,
2015-03,56.60M,24.70M,24.70M,175.00M,175.00M,12.80M,,34.40M,64.00M,376.90M,-136.70M,-218.70M,,-122.00M,-100.50M,267.00M,-59.60M,,,-11.50M,,-27.90M,,-87.50M,0.00,-161.60M,-161.60M,,,,,67.40M,-14.80M,-109.00M,225.50M,70.50M,-18.80M,277.20M,,100.00M,-100.00M,
