,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,664.50M,131.10M,795.60M,2.588B,376.30M,2.964B,892.60M,426.60M,1.703B,,3.022B,189.10M,2.60M,,361.30M,7.335B,0.0,125.50M,1.220B,2.603B,227.90M,271.90M,4.448B,-2.162B,2.286B,9.817B,10.97B,20.78B,57.60M,658.10M,123.40M,23.91B,31.24B,900.80M,343.30M,547.00M,1.791B,799.80M,2.591B,697.90M,,,,3.183B,3.183B,68.50M,3.251B,,,,735.20M,7.275B,9.102B,156.90M,9.258B,1.417B,,1.417B,412.20M,,194.50M,11.42B,18.70B,6.10M,6.277B,8.688B,999.70M,,,,-1.424B,12.55B
2020-06,323.60M,96.70M,420.30M,2.441B,312.40M,2.753B,877.40M,410.30M,1.498B,,2.786B,168.20M,1.10M,,336.10M,6.465B,0.0,123.10M,1.199B,2.543B,230.20M,247.70M,4.343B,-2.075B,2.268B,9.523B,10.96B,20.48B,71.40M,749.40M,123.10M,23.69B,30.16B,801.30M,288.00M,455.40M,1.545B,617.80M,2.162B,694.40M,,,,3.144B,3.144B,68.20M,3.213B,,,,901.80M,6.971B,8.994B,159.20M,9.154B,1.542B,,1.542B,402.40M,,229.50M,11.44B,18.41B,6.10M,6.092B,8.673B,999.70M,,,,-2.025B,11.75B
2020-03,572.40M,125.40M,697.80M,2.429B,345.40M,2.775B,859.30M,395.60M,1.385B,,2.640B,162.00M,15.50M,,311.00M,6.600B,0.0,122.00M,1.193B,2.514B,236.40M,236.80M,4.302B,-1.999B,2.303B,9.327B,11.05B,20.37B,81.10M,701.30M,86.00M,23.55B,30.15B,875.30M,254.30M,398.20M,1.528B,672.50M,2.200B,700.50M,,,,1.434B,1.434B,70.50M,1.504B,,,,823.00M,5.228B,11.20B,164.10M,11.36B,1.538B,,1.538B,405.60M,,248.80M,13.66B,18.88B,6.10M,6.052B,8.658B,999.70M,,,,-2.454B,11.26B
2019-12,475.60M,109.10M,584.70M,2.640B,418.70M,3.059B,886.80M,417.20M,1.367B,,2.671B,156.70M,15.50M,,270.70M,6.757B,0.0,124.60M,1.197B,2.524B,254.60M,277.30M,4.378B,-1.973B,2.404B,9.591B,11.65B,21.24B,92.20M,703.10M,58.20M,24.50B,31.26B,1.062B,213.00M,466.20M,1.741B,664.40M,2.406B,796.50M,,,,567.50M,567.50M,76.70M,644.20M,,,,1.723B,5.569B,11.21B,175.70M,11.39B,1.628B,,1.628B,408.90M,,266.60M,13.80B,19.37B,6.10M,6.031B,8.644B,999.70M,,,,-1.797B,11.88B
2019-09,358.90M,121.70M,480.60M,2.547B,401.40M,2.948B,983.30M,430.50M,1.350B,,2.764B,153.70M,15.50M,,283.80M,6.645B,0.0,124.10M,1.185B,2.465B,258.90M,277.00M,4.310B,-1.927B,2.383B,9.387B,11.82B,21.21B,106.60M,628.10M,79.50M,24.41B,31.05B,1.083B,153.20M,428.10M,1.664B,767.90M,2.432B,720.30M,,,,554.50M,554.50M,76.40M,630.90M,,,,861.40M,4.645B,12.46B,181.30M,12.64B,1.557B,,1.557B,383.40M,,287.70M,14.95B,19.59B,6.10M,6.011B,8.638B,999.70M,,,,-2.191B,11.46B
2019-06,211.50M,117.40M,328.90M,2.277B,427.20M,2.704B,1.001B,472.00M,1.303B,,2.776B,154.00M,1.20M,,301.30M,6.265B,0.0,132.10M,1.201B,2.473B,250.80M,248.50M,4.306B,-1.909B,2.397B,9.693B,12.73B,22.42B,118.40M,553.10M,59.60M,25.55B,31.82B,1.017B,138.50M,521.20M,1.677B,627.50M,2.304B,645.10M,,25.00M,,675.20M,700.20M,78.80M,779.00M,,,,832.00M,4.560B,12.59B,170.90M,12.76B,1.635B,,1.635B,393.30M,,500.10M,15.35B,19.91B,6.10M,5.821B,8.617B,999.70M,,,,-1.542B,11.90B
2019-03,229.80M,101.80M,331.60M,2.367B,411.10M,2.778B,987.00M,415.40M,1.306B,,2.709B,131.80M,1.10M,,310.50M,6.262B,0.0,130.50M,1.188B,2.445B,236.20M,249.00M,4.249B,-1.861B,2.388B,9.608B,12.96B,22.56B,127.40M,507.80M,58.10M,25.64B,31.91B,907.00M,23.20M,409.50M,1.340B,606.10M,1.946B,604.10M,,,,655.30M,655.30M,80.00M,735.30M,,,,872.40M,4.158B,13.09B,154.30M,13.24B,1.643B,,1.643B,390.30M,,506.70M,15.86B,20.02B,6.00M,5.989B,8.606B,999.70M,,,,-1.710B,11.89B
2018-12,388.10M,91.30M,479.40M,2.416B,464.50M,2.881B,955.70M,369.90M,1.255B,,2.580B,130.60M,1.20M,,295.30M,6.368B,0.0,131.30M,1.182B,2.421B,,239.70M,3.974B,-1.804B,2.170B,9.748B,13.66B,23.41B,138.70M,572.20M,73.70M,26.37B,32.73B,1.123B,121.50M,493.80M,1.738B,590.20M,2.329B,626.70M,,,,657.10M,657.10M,0.00,657.10M,,,,975.30M,4.588B,13.16B,0.00,13.16B,1.722B,,1.722B,397.70M,,537.00M,15.98B,20.57B,6.00M,6.011B,8.591B,999.70M,,,,-1.441B,12.17B
2018-09,449.20M,,449.20M,2.591B,357.70M,2.949B,926.00M,369.50M,1.265B,,2.561B,583.20M,,,,6.542B,0.0,133.80M,1.170B,2.365B,,221.10M,3.890B,-1.771B,2.120B,9.797B,14.24B,24.04B,149.50M,514.00M,95.20M,26.91B,33.46B,963.70M,75.70M,437.40M,1.477B,697.60M,2.174B,631.90M,,,,1.136B,1.136B,,1.136B,,,,1.240B,5.182B,13.29B,,13.29B,1.764B,,1.764B,411.70M,,584.30M,16.21B,21.39B,6.00M,5.966B,8.585B,999.70M,,,,-1.491B,12.07B
2018-06,330.20M,,330.20M,2.477B,341.60M,2.818B,906.20M,384.20M,1.271B,,2.561B,588.40M,,,,6.298B,0.0,139.60M,1.172B,2.384B,,208.70M,3.905B,-1.719B,2.186B,9.881B,14.15B,24.03B,193.20M,467.80M,93.10M,26.97B,33.27B,906.50M,26.70M,435.60M,1.369B,555.70M,1.924B,670.00M,,,,1.361B,1.361B,,1.361B,,,,907.50M,4.863B,13.32B,,13.32B,1.824B,,1.824B,408.10M,,483.10M,16.20B,21.06B,6.00M,5.789B,8.613B,999.70M,,,,-1.199B,12.21B
2018-03,367.40M,,367.40M,2.555B,469.50M,3.025B,861.40M,432.40M,1.347B,,2.641B,728.00M,,,,6.761B,0.0,144.10M,1.186B,2.424B,,229.00M,3.983B,-1.708B,2.275B,10.32B,15.05B,25.37B,209.00M,497.60M,75.50M,28.42B,35.18B,921.80M,31.60M,464.80M,1.418B,725.30M,2.144B,626.10M,,,355.00M,2.266B,2.621B,,2.621B,,,,996.50M,6.387B,12.45B,,12.45B,2.042B,,2.042B,428.90M,,539.10M,15.62B,22.01B,6.00M,5.752B,8.610B,999.70M,,,,-191.50M,13.18B
