,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,6.488B,6.488B,1.822B,1.408B,3.23B,,3.23B,,1.874B,1.364B,291.00M,1.073B,,,16.00M,1.073B,1.073B,404.00M,1.814B,1.31,,,1.31,1.31,1.3,,,1.3,1.3,804.00M,805.00M,0.0
2020-06,6.118B,6.118B,1.362B,1.349B,2.711B,,2.711B,,1.884B,622.00M,365.00M,257.00M,,,17.00M,257.00M,257.00M,374.00M,1.164B,0.29,,,0.29,0.29,0.29,,,0.29,0.29,804.00M,805.00M,0.43
2020-03,7.462B,7.462B,1.705B,1.395B,3.10B,,3.10B,,2.33B,452.00M,85.00M,367.00M,,,32.00M,367.00M,367.00M,337.00M,1.168B,0.41,,,0.41,0.41,0.41,,,0.41,0.41,807.00M,808.00M,0.43
2019-12,8.092B,8.092B,1.942B,1.623B,3.565B,,3.565B,,2.284B,1.986B,293.00M,1.693B,,,20.00M,1.693B,1.693B,305.00M,2.787B,2.04,,,2.04,2.04,2.03,,,2.03,2.03,813.00M,815.00M,0.43
2019-09,7.817B,7.817B,1.821B,1.499B,3.32B,,3.32B,,2.203B,2.266B,511.00M,1.755B,,,21.00M,1.755B,1.755B,300.00M,3.143B,2.09,,,2.09,2.09,2.08,,,2.08,2.08,825.00M,827.00M,0.43
2019-06,7.623B,7.623B,1.776B,1.367B,3.143B,,3.143B,,2.074B,2.219B,458.00M,1.761B,,,19.00M,1.761B,1.761B,286.00M,3.11B,2.07,,,2.07,2.07,2.07,,,2.07,2.07,834.00M,836.00M,0.39
2019-03,7.363B,7.363B,1.575B,1.422B,2.997B,,2.997B,,2.059B,1.958B,408.00M,1.55B,,,21.00M,1.55B,1.55B,297.00M,2.853B,1.81,,,1.81,1.81,1.8,,,1.8,1.8,841.00M,843.00M,0.39
2018-12,7.463B,7.463B,1.82B,1.294B,3.114B,,3.114B,,2.032B,1.831B,-179.00M,2.01B,,,19.00M,2.01B,2.01B,286.00M,2.665B,2.33,,,2.33,2.33,2.32,,,2.32,2.32,847.00M,853.00M,0.39
2018-09,7.287B,7.287B,1.642B,1.35B,2.992B,,2.992B,,1.961B,2.118B,464.00M,1.654B,,,20.00M,1.654B,1.654B,322.00M,2.895B,1.89,,,1.89,1.89,1.88,,,1.88,1.88,858.00M,860.00M,0.39
2018-06,7.153B,7.153B,1.663B,1.28B,2.943B,,2.943B,,1.829B,2.091B,468.00M,1.623B,,,20.00M,1.623B,1.623B,337.00M,2.802B,1.85,,,1.85,1.85,1.84,,,1.84,1.84,860.00M,862.00M,0.35
