,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.073B,,,404.00M,404.00M,-256.00M,66.00M,66.00M,,868.00M,-640.00M,,,228.00M,,2.18B,-353.00M,,-353.00M,0.00,-2.515B,5.00M,-4.957B,-4.00B,122.00M,-3.878B,1.00M,-1.00M,0.00,,,,-363.00M,-363.00M,,-3.602B,42.10B,-6.379B,-97.00M,35.63B,1.00M,0.00,-4.00B,-1.00M
2020-06,257.00M,,,374.00M,374.00M,2.00M,66.00M,66.00M,,977.00M,-1.101B,,,-124.00M,,2.13B,-354.00M,,-354.00M,0.00,-14.90B,2.00M,219.00M,-3.85B,-1.979B,-5.829B,17.00M,-2.00M,15.00M,,,,-366.00M,-366.00M,,638.00M,38.61B,2.987B,508.00M,42.10B,17.00M,0.00,-3.85B,-2.00M
2020-03,367.00M,,,337.00M,337.00M,333.00M,43.00M,43.00M,,-6.229B,309.00M,,,-5.92B,,-2.219B,-335.00M,,-335.00M,0.00,3.379B,,21.93B,-5.849B,-2.88B,-8.729B,16.00M,-1.023B,-1.007B,,,,-383.00M,-383.00M,,-5.418B,24.45B,14.29B,-128.00M,38.61B,16.00M,0.00,-5.849B,-1.023B
2019-12,1.693B,,,305.00M,305.00M,-193.00M,66.00M,66.00M,,626.00M,-325.00M,,,301.00M,,3.196B,-431.00M,,-431.00M,-82.00M,30.00M,4.00M,-5.455B,-575.00M,3.601B,3.026B,9.00M,-1.222B,-1.213B,,,,-374.00M,-374.00M,,1.423B,25.35B,-836.00M,-72.00M,24.45B,9.00M,-4.00M,-571.00M,-1.222B
2019-09,1.755B,,,300.00M,300.00M,134.00M,61.00M,61.00M,,-4.599B,429.00M,,,-4.17B,,-1.041B,-374.00M,,-374.00M,-179.00M,39.00M,0.00,-753.00M,630.00M,37.00M,667.00M,11.00M,-1.451B,-1.44B,,,,-346.00M,-346.00M,,-398.00M,27.33B,-2.192B,214.00M,25.35B,11.00M,3.53B,-2.90B,-1.451B
2019-06,1.761B,,,286.00M,286.00M,348.00M,71.00M,71.00M,,-282.00M,-115.00M,,,-397.00M,,2.93B,-492.00M,,-492.00M,-71.00M,-2.051B,0.00,-7.79B,-1.011B,777.00M,-234.00M,47.00M,-660.00M,-613.00M,,,,-347.00M,-347.00M,,-1.461B,33.63B,-6.321B,22.00M,27.33B,47.00M,5.547B,-6.558B,-660.00M
2019-03,1.55B,,,297.00M,297.00M,137.00M,85.00M,85.00M,,6.026B,-357.00M,,,5.669B,,8.547B,-348.00M,,-348.00M,-20.00M,-1.833B,148.00M,-2.709B,-188.00M,-1.099B,-1.287B,19.00M,-1.352B,-1.333B,,,,-355.00M,-355.00M,,-83.00M,27.81B,5.755B,68.00M,33.63B,19.00M,3.633B,-3.821B,-1.352B
2018-12,2.01B,,,286.00M,286.00M,802.00M,53.00M,53.00M,88.00M,-6.498B,573.00M,,480.00M,-5.357B,,-1.252B,-439.00M,,-439.00M,-8.00M,1.396B,,-5.444B,2.856B,821.00M,3.677B,19.00M,-768.00M,-749.00M,,,,-354.00M,-354.00M,,3.24B,31.26B,-3.456B,2.00M,27.81B,19.00M,4.489B,-1.633B,-768.00M
2018-09,1.654B,,,322.00M,322.00M,-181.00M,76.00M,76.00M,76.00M,2.315B,161.00M,,-154.00M,2.398B,,5.086B,-335.00M,,-335.00M,-31.00M,-1.501B,,-5.79B,-546.00M,338.00M,-208.00M,19.00M,-779.00M,-760.00M,,,,-325.00M,-325.00M,,626.00M,31.26B,-78.00M,78.00M,31.26B,19.00M,6.474B,-7.02B,-779.00M
2018-06,1.623B,,,337.00M,337.00M,88.00M,70.00M,70.00M,-286.00M,249.00M,342.00M,,-196.00M,109.00M,,3.033B,-299.00M,,-299.00M,-6.00M,-1.497B,,-7.688B,3.538B,182.00M,3.72B,38.00M,-4.00M,34.00M,,,,-321.00M,-321.00M,,4.184B,31.51B,-471.00M,227.00M,31.26B,38.00M,6.577B,-3.039B,-4.00M
