,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-11,5.038B,5.185B,4.554B,631.43M,58.80M,420.00M,478.80M,101.80M,,19.46M,176.44M,156.98M,478.80M,152.63M,176.44M,19.46M,156.98M,0.887M,156.98M,310.50M,75.20M,235.30M,235.30M,235.30M,391.49M,61.53M,329.96M,1.44,,1.44,1.44,1.42,,1.42,1.42,163.73M,165.77M
2020-08,5.208B,5.372B,4.620B,752.14M,50.50M,439.71M,490.21M,101.10M,,22.47M,147.20M,124.73M,490.21M,261.94M,147.20M,22.47M,124.73M,1.68M,124.73M,388.34M,91.64M,296.70M,296.70M,296.70M,471.44M,60.63M,410.81M,1.82,,1.82,1.82,1.79,,1.79,1.79,163.43M,165.62M
2020-05,3.129B,3.229B,2.875B,354.18M,,,373.72M,,,23.96M,50.95M,26.99M,373.72M,-19.53M,50.95M,23.96M,26.99M,-3.295M,26.99M,4.164M,-0.814M,4.978M,4.978M,4.978M,86.46M,58.34M,28.12M,0.03,,0.03,0.03,0.03,,0.03,0.03,162.67M,163.54M
2020-02,4.802B,4.962B,4.290B,672.86M,,,484.73M,,,22.31M,111.91M,89.60M,484.73M,188.13M,111.91M,22.31M,89.60M,-1.096M,89.60M,276.63M,61.70M,214.93M,214.93M,214.93M,356.52M,57.58M,298.94M,1.32,,1.32,1.32,1.3,,1.3,1.3,163.38M,165.82M
2019-11,4.640B,4.790B,4.176B,613.65M,,,484.85M,,,21.84M,114.03M,92.19M,484.85M,128.80M,114.03M,21.84M,92.19M,6.57M,92.19M,227.56M,54.40M,173.16M,173.16M,173.16M,304.16M,54.76M,249.40M,1.05,,1.05,1.05,1.04,,1.04,1.04,164.27M,166.53M
2019-08,5.025B,5.201B,4.508B,693.45M,46.80M,434.03M,480.83M,96.70M,,21.07M,114.13M,93.06M,480.83M,212.62M,114.13M,21.07M,93.06M,-0.143M,93.06M,305.54M,71.94M,233.60M,233.60M,233.60M,378.57M,51.96M,326.61M,1.41,,1.41,1.41,1.4,,1.4,1.4,165.35M,167.27M
2019-05,5.203B,5.366B,4.624B,742.38M,,,489.66M,,,17.78M,115.96M,98.18M,489.66M,252.72M,115.96M,17.78M,98.18M,0.359M,98.18M,351.26M,84.51M,266.74M,266.74M,266.74M,420.55M,51.51M,369.04M,1.6,,1.6,1.6,1.59,,1.59,1.59,166.32M,167.64M
2019-02,4.172B,4.319B,3.719B,599.38M,,,428.97M,,,20.98M,103.70M,82.73M,428.97M,170.41M,103.70M,20.98M,82.73M,2.689M,82.73M,255.83M,63.27M,192.56M,192.56M,192.56M,323.44M,46.64M,276.80M,1.14,,1.14,1.14,1.13,,1.13,1.13,169.59M,170.57M
2018-11,4.152B,4.296B,3.727B,569.24M,,,409.52M,,,18.81M,109.72M,90.91M,409.52M,159.72M,109.72M,18.81M,90.91M,-2.82M,90.91M,247.81M,57.50M,190.31M,190.31M,190.31M,311.92M,45.30M,266.62M,1.09,,1.09,1.09,1.09,,1.09,1.09,173.82M,175.32M
2018-08,4.603B,4.766B,4.115B,650.64M,,,453.55M,,,17.95M,109.67M,91.72M,453.55M,197.08M,109.67M,17.95M,91.72M,0.686M,91.72M,289.48M,68.60M,220.89M,220.89M,220.89M,352.40M,44.97M,307.44M,1.25,,1.25,1.25,1.24,,1.24,1.24,176.28M,178.20M
2018-05,4.639B,4.793B,4.131B,661.34M,,,438.23M,,,18.05M,115.59M,97.54M,438.23M,223.11M,115.59M,18.05M,97.54M,-0.963M,97.54M,319.68M,81.03M,238.66M,238.66M,238.66M,383.08M,45.34M,337.74M,1.34,,1.34,1.34,1.33,,1.33,1.33,178.14M,179.42M
2018-02,3.956B,4.084B,3.547B,536.73M,43.40M,365.41M,408.81M,86.40M,,19.67M,101.07M,81.41M,408.81M,127.91M,101.07M,19.67M,81.41M,0.802M,81.41M,210.12M,87.98M,122.15M,122.15M,122.15M,276.56M,46.77M,229.79M,0.68,,0.68,0.68,0.67,,0.67,0.67,180.67M,182.28M
2017-11,3.978B,4.107B,3.568B,539.19M,36.50M,363.17M,399.67M,86.00M,,17.40M,102.81M,85.40M,399.67M,139.52M,102.81M,17.40M,85.40M,0.279M,85.40M,225.20M,76.36M,148.84M,148.84M,148.84M,287.70M,45.10M,242.60M,0.82,,0.82,0.82,0.81,,0.81,0.81,181.89M,184.03M
2017-08,4.242B,4.387B,3.783B,604.00M,,,405.06M,,,16.84M,107.94M,91.10M,405.06M,198.94M,107.94M,16.84M,91.10M,0.189M,91.10M,290.23M,108.81M,181.42M,181.42M,181.42M,351.25M,44.18M,307.07M,0.99,,0.99,0.99,0.98,,0.98,0.98,182.87M,184.70M
2017-05,4.397B,4.542B,3.893B,648.94M,,,403.50M,,,16.84M,109.36M,92.52M,403.50M,245.44M,109.36M,16.84M,92.52M,0.093M,92.52M,338.05M,126.35M,211.70M,211.70M,211.70M,398.78M,43.89M,354.89M,1.14,,1.14,1.14,1.13,,1.13,1.13,185.20M,186.86M
2017-02,3.916B,4.050B,3.488B,562.16M,40.10M,345.31M,385.41M,78.20M,,16.35M,82.90M,66.54M,385.41M,176.75M,82.90M,16.35M,66.54M,-0.977M,66.54M,242.32M,89.71M,152.60M,152.60M,152.60M,301.89M,43.22M,258.67M,0.82,,0.82,0.82,0.81,,0.81,0.81,187.08M,189.14M
2016-11,3.579B,3.702B,3.198B,503.14M,34.80M,321.94M,356.74M,75.80M,,15.07M,89.36M,74.29M,356.74M,146.40M,89.36M,15.07M,74.29M,-1.027M,74.29M,219.66M,83.02M,136.64M,136.64M,136.64M,277.37M,42.64M,234.73M,0.72,,0.72,0.72,0.72,,0.72,0.72,189.20M,190.82M
2016-08,3.861B,3.997B,3.452B,545.36M,34.50M,331.63M,366.13M,75.10M,,13.90M,95.97M,82.06M,366.13M,179.24M,95.97M,13.90M,82.06M,0.435M,82.06M,261.74M,99.37M,162.36M,162.36M,162.36M,317.85M,42.21M,275.64M,0.85,,0.85,0.85,0.84,,0.84,0.84,191.54M,193.62M
2016-05,3.997B,4.126B,3.554B,572.64M,34.80M,345.43M,380.23M,71.70M,,11.09M,100.76M,89.67M,380.23M,192.41M,100.76M,11.09M,89.67M,0.616M,89.67M,282.69M,107.33M,175.36M,175.36M,175.36M,334.58M,40.80M,293.78M,0.91,,0.91,0.91,0.9,,0.9,0.9,193.53M,195.25M
2016-02,3.594B,3.706B,3.217B,489.26M,,,333.86M,,,11.78M,92.33M,80.55M,333.86M,155.40M,92.33M,11.78M,80.55M,-9.768M,80.55M,226.19M,85.16M,141.03M,141.03M,141.03M,274.83M,36.86M,237.97M,0.72,,0.72,0.72,0.71,,0.71,0.71,195.82M,197.43M
2015-11,3.423B,3.544B,3.080B,464.33M,37.50M,300.01M,337.51M,70.10M,,10.02M,92.32M,82.30M,337.51M,126.82M,92.32M,10.02M,82.30M,-1.157M,82.30M,207.96M,79.76M,128.20M,128.20M,128.20M,253.29M,35.32M,217.98M,0.64,,0.64,0.64,0.63,,0.63,0.63,201.29M,203.38M
2015-08,3.742B,3.885B,3.364B,521.37M,34.80M,295.98M,330.78M,68.60M,,7.45M,98.28M,90.83M,330.78M,190.59M,98.28M,7.45M,90.83M,-1.593M,90.83M,279.82M,107.59M,172.23M,172.23M,172.23M,320.39M,33.12M,287.27M,0.83,,0.83,0.83,0.82,,0.82,0.82,207.25M,209.65M
2015-05,3.869B,4.015B,3.471B,543.79M,33.70M,316.08M,349.78M,65.30M,,7.103M,109.11M,102.00M,349.78M,194.02M,109.11M,7.103M,102.00M,-0.041M,102.00M,295.98M,114.00M,181.97M,181.97M,181.97M,335.15M,32.07M,303.08M,0.87,,0.87,0.87,0.86,,0.86,0.86,208.70M,211.65M
2015-02,3.197B,3.514B,3.038B,475.84M,34.40M,295.61M,330.01M,63.40M,,2.183M,90.38M,88.20M,330.01M,145.83M,90.38M,2.183M,88.20M,-1.196M,88.20M,232.83M,89.69M,143.14M,143.14M,143.14M,265.19M,30.18M,235.02M,0.68,,0.68,0.68,0.67,,0.67,0.67,209.76M,213.01M
2014-11,3.331B,3.405B,2.959B,446.62M,28.30M,288.33M,316.63M,61.90M,,7.338M,89.72M,82.38M,316.63M,129.99M,89.72M,7.338M,82.38M,-1.536M,82.38M,210.84M,80.79M,130.05M,130.05M,130.05M,247.40M,29.23M,218.17M,0.61,,0.61,0.61,0.6,,0.6,0.6,214.23M,217.02M
2014-08,3.520B,3.599B,3.136B,463.34M,29.40M,268.24M,297.64M,60.00M,,7.351M,92.57M,85.22M,297.64M,165.70M,92.57M,7.351M,85.22M,-0.283M,85.22M,250.64M,96.12M,154.52M,154.52M,154.52M,286.42M,28.42M,257.99M,0.71,,0.71,0.71,0.7,,0.7,0.7,218.18M,221.07M
