,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-11,236.64M,236.64M,168.98M,,,168.98M,2.780B,,492.61M,,58.66M,3.737B,,,,,3.482B,,,3.482B,,3.482B,13.27B,159.21M,286.76M,17.20B,20.93B,570.17M,18.32M,588.50M,372.43M,960.92M,,446.14M,446.14M,30.73M,476.86M,,,,1.438B,14.48B,431.07M,14.91B,,,,454.52M,15.37B,16.80B,81.52M,2.738B,1.462B,-152.92M,4.128B
2020-08,711.56M,711.56M,203.16M,,,203.16M,2.825B,,520.88M,,67.31M,4.328B,,,,,4.831B,,,4.831B,-1.342B,3.489B,13.01B,133.75M,282.66M,16.92B,21.25B,683.72M,64.73M,748.45M,344.19M,1.093B,,468.69M,468.69M,37.61M,506.30M,,,,1.599B,14.80B,527.31M,15.33B,,,,339.72M,15.66B,17.26B,82.08M,2.601B,1.460B,-160.43M,3.983B
2020-05,658.02M,658.02M,145.02M,,,145.02M,1.899B,,480.56M,,100.70M,3.284B,,,,,4.807B,,,4.807B,-1.299B,3.508B,12.79B,119.07M,266.70M,16.69B,19.97B,390.16M,0.00,390.16M,290.08M,680.24M,,439.88M,439.88M,30.88M,470.77M,,,,1.151B,14.42B,435.32M,14.85B,,,,391.71M,15.24B,16.39B,81.38M,2.304B,1.358B,-165.40M,3.578B
2020-02,58.21M,58.21M,191.09M,,,191.09M,2.846B,,481.04M,,86.93M,3.664B,0.0,948.17M,2.187B,750.89M,449.09M,171.24M,278.78M,4.785B,-1.267B,3.518B,13.55B,89.84M,258.75M,17.42B,21.08B,737.14M,1.389M,738.53M,331.74M,1.070B,,433.46M,433.46M,30.98M,464.44M,,,,1.535B,14.94B,440.67M,15.38B,,,,393.87M,15.78B,17.31B,81.54M,2.488B,1.349B,-150.07M,3.769B
2019-11,56.58M,56.58M,142.74M,,,142.74M,2.683B,,458.49M,,109.86M,3.450B,,,,,4.731B,,,4.731B,-1.239B,3.491B,13.28B,67.16M,201.80M,17.04B,20.49B,641.43M,1.497M,642.93M,335.96M,978.89M,,406.82M,406.82M,35.32M,442.15M,,,,1.421B,14.60B,525.85M,15.13B,,,,238.03M,15.37B,16.79B,81.90M,2.377B,1.322B,-82.01M,3.698B
2019-08,40.74M,40.74M,141.09M,,,141.09M,2.605B,,483.37M,,114.99M,3.385B,,,,,4.637B,,,4.637B,-1.199B,3.438B,13.07B,66.05M,185.60M,16.76B,20.14B,628.51M,1.389M,629.90M,301.50M,931.40M,,435.24M,435.24M,30.07M,465.30M,,,,1.397B,14.38B,448.64M,14.83B,,,,299.22M,15.13B,16.53B,82.44M,2.307B,1.313B,-91.63M,3.612B
2019-05,42.20M,42.20M,133.88M,,,133.88M,2.551B,,479.44M,,77.09M,3.284B,,,,,3.393B,,,3.393B,,3.393B,12.78B,56.71M,203.79M,16.43B,19.71B,656.90M,78.20M,735.10M,288.14M,1.023B,,432.34M,432.34M,29.82M,462.16M,,,,1.485B,14.03B,458.79M,14.49B,,,,289.82M,14.78B,16.26B,82.70M,2.190B,1.262B,-81.21M,3.453B
2019-02,46.94M,46.94M,139.85M,,,139.85M,2.519B,,440.67M,,67.10M,3.214B,0.0,870.22M,2.212B,671.17M,,125.01M,247.12M,4.125B,-1.297B,2.828B,12.43B,61.35M,185.96M,15.50B,18.72B,593.17M,3.784M,596.96M,318.20M,915.16M,,396.35M,396.35M,0.00,396.35M,,,,1.312B,13.78B,0.00,13.78B,,,,272.80M,14.05B,15.36B,83.74M,2.104B,1.237B,-68.01M,3.357B
2018-11,35.05M,35.05M,111.16M,,,111.16M,2.425B,,426.61M,,59.90M,3.057B,,,,,,,,4.063B,-1.263B,2.800B,12.30B,57.89M,182.18M,15.34B,18.40B,558.32M,1.634M,559.96M,280.10M,840.06M,,373.72M,373.72M,11.09M,384.81M,,,,1.225B,12.99B,504.78M,13.49B,,,,242.64M,13.74B,14.96B,85.89M,2.147B,1.256B,-54.14M,3.435B
2018-08,37.15M,37.15M,104.88M,,,104.88M,2.357B,,447.64M,,75.06M,3.022B,,,,,,,,,,2.767B,12.14B,56.35M,190.71M,15.15B,18.18B,605.54M,,605.54M,266.21M,871.75M,,401.13M,401.13M,10.58M,411.71M,,,,1.283B,12.67B,505.17M,13.18B,,,,233.60M,13.41B,14.69B,87.64M,2.183B,1.266B,-54.44M,3.482B
