,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-11,235.30M,,,,61.53M,61.53M,-28.13M,11.15M,0.868M,34.18M,44.75M,,-149.00M,9.787M,,-267.83M,-328.11M,-21.39M,-31.95M,1.02M,1.02M,,1.215M,,-29.72M,-341.74M,0.17M,-341.57M,2.571M,-104.47M,-101.90M,,-4.76M,-448.23M,1.368B,-499.34M,868.44M,2.571M,3.169B,-3.511B,-104.47M,,
2020-08,296.70M,,,,60.63M,60.63M,-16.44M,37.74M,-0.288M,-58.14M,-925.53M,,407.01M,33.46M,,-243.00M,-786.20M,-359.78M,-29.13M,0.826M,0.826M,,1.016M,,-27.28M,408.38M,0.752M,409.13M,90.02M,-0.011M,90.01M,,-5.427M,493.71M,1.261B,106.64M,1.368B,90.02M,3.381B,-2.973B,-0.011M,,
2020-05,4.978M,,,,58.34M,58.34M,25.04M,25.06M,5.386M,46.07M,946.99M,,-382.10M,-13.77M,,398.00M,995.19M,1.250B,-62.87M,0.00,0.00,,-2.201M,,-65.07M,-524.74M,0.046M,-524.69M,1.706M,-54.14M,-52.43M,,-2.61M,-579.74M,656.39M,604.75M,1.261B,1.706M,2.960B,-3.484B,-54.14M,,
2020-02,214.93M,,,,57.58M,57.58M,-0.358M,10.68M,3.579M,-48.35M,-163.84M,,64.84M,22.03M,,-356.94M,-482.28M,-118.70M,-82.72M,0.00,0.00,,-50.06M,,-132.78M,364.60M,-0.381M,364.22M,28.03M,-109.16M,-81.13M,,-5.253M,277.84M,630.03M,26.36M,656.39M,28.03M,4.761B,-4.396B,-109.16M,,
2019-11,173.16M,,,,54.76M,54.76M,-4.556M,29.29M,-3.79M,-1.646M,-77.82M,,47.24M,6.583M,,-284.31M,-309.96M,7.55M,-77.83M,0.00,0.00,,0.111M,,-77.72M,173.88M,-0.494M,173.39M,9.846M,-116.66M,-106.81M,,-3.987M,62.59M,637.61M,-7.579M,630.03M,9.846M,4.262B,-4.088B,-116.66M,,
2019-08,233.60M,,,,51.96M,51.96M,-5.58M,23.86M,1.982M,-7.212M,-53.61M,,-108.52M,-38.06M,,-332.63M,-540.03M,-168.66M,-92.38M,0.001M,0.001M,,-0.381M,,-92.76M,349.57M,0.244M,349.82M,53.27M,-129.97M,-76.70M,,-7.446M,265.67M,633.35M,4.258M,637.61M,53.27M,4.475B,-4.126B,-129.97M,,
2019-05,266.74M,,,,51.51M,51.51M,9.392M,45.02M,1.736M,5.971M,-31.69M,,81.89M,-10.39M,,-440.60M,-394.82M,43.20M,-78.97M,0.002M,0.002M,,-7.143M,,-86.11M,263.47M,-0.458M,263.01M,33.25M,-211.96M,-178.71M,,-3.416M,80.88M,595.38M,37.97M,633.35M,33.25M,4.566B,-4.303B,-211.96M,,
2019-02,192.56M,,,,46.64M,46.64M,1.391M,13.61M,-1.279M,-28.69M,-94.76M,,64.12M,-8.062M,,-188.32M,-255.70M,48.34M,-61.32M,0.012M,0.012M,,-0.203M,,-61.52M,311.25M,0.693M,311.94M,3.55M,-271.56M,-268.01M,,-4.734M,39.20M,569.35M,26.03M,595.38M,3.55M,4.266B,-3.954B,-271.56M,,
2018-11,190.31M,,,,45.30M,45.30M,-1.63M,7.169M,2.746M,-6.273M,-67.34M,,-35.40M,18.79M,,-207.01M,-297.24M,3.745M,-72.20M,0.115M,0.115M,,0.036M,,-72.05M,290.22M,-2.86M,287.36M,7.078M,-251.82M,-244.74M,,-4.14M,38.47M,599.18M,-29.83M,569.35M,7.078M,4.154B,-3.864B,-251.82M,,
2018-08,220.89M,,,,44.97M,44.97M,-1.063M,25.24M,-0.11M,-3.532M,-97.33M,,-24.09M,15.36M,,-358.89M,-468.49M,-119.96M,-91.39M,0.245M,0.245M,,0.615M,,-90.53M,321.90M,2.931M,324.83M,38.45M,-170.30M,-131.85M,,-4.542M,188.44M,621.24M,-22.06M,599.18M,38.45M,3.301B,-2.979B,-170.30M,,
