,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,526.00M,526.00M,2.143B,35.00M,2.184B,,112.00M,312.00M,,,81.00M,3.504B,,,,,,,57.21B,-30.92B,26.29B,21.48B,8.563B,30.04B,2.766B,59.10B,62.60B,,2020-09,1.364B,1.742B,1.176B,2.918B,,,1.487B,1.487B,401.00M,1.888B,738.00M,738.00M,335.00M,5.879B,31.10B,,31.10B,3.232B,3.232B,4.345B,,4.349B,43.03B,2020-09,1.097B,-5.743B,21.13B,,13.69B,,2020-09,AOR,
2020-06,1.763B,1.763B,2.182B,33.00M,2.284B,,122.00M,340.00M,,,63.00M,4.858B,,,,,,,56.41B,-30.33B,26.08B,21.47B,8.903B,30.37B,2.862B,59.31B,64.17B,,2020-06,1.448B,1.785B,1.22B,3.005B,,,2.885B,2.885B,474.00M,3.359B,759.00M,759.00M,349.00M,7.472B,31.41B,,31.41B,3.094B,3.094B,4.428B,,4.301B,43.24B,2020-06,1.097B,-6.109B,21.38B,,13.46B,,2020-06,AOR,
2020-03,1.564B,1.564B,2.175B,33.00M,2.281B,,119.00M,333.00M,3.00M,,85.00M,4.69B,,,,,57.44B,,57.44B,-29.81B,27.62B,21.47B,9.226B,30.70B,1.044B,59.37B,64.06B,,2020-03,1.581B,1.935B,1.066B,3.001B,,,1.129B,1.129B,416.00M,1.545B,788.00M,788.00M,369.00M,5.703B,33.48B,1.316B,34.80B,2.957B,2.957B,4.516B,,2.792B,45.06B,2020-03,1.098B,-6.486B,21.63B,,13.29B,,2020-03,AOR,
2019-12,1.69B,1.69B,1.971B,436.00M,2.336B,,105.00M,274.00M,3.00M,,59.00M,4.768B,0.00,867.00M,7.984B,44.27B,1.686B,2.30B,57.11B,-29.35B,27.76B,21.53B,9.567B,31.10B,1.108B,59.97B,64.74B,,2019-12,1.724B,2.035B,1.392B,3.427B,88.00M,,2.30B,2.30B,416.00M,2.716B,804.00M,804.00M,223.00M,7.258B,32.39B,1.342B,33.74B,2.918B,2.918B,4.594B,,2.766B,44.01B,2019-12,1.09B,-6.814B,21.87B,,13.47B,,2019-12,AOR,
2019-09,1.404B,1.404B,2.29B,51.00M,2.346B,,137.00M,352.00M,3.00M,,53.00M,4.589B,,,,,56.36B,,56.36B,-28.76B,27.60B,21.51B,9.879B,31.39B,1.158B,60.14B,64.73B,,2019-09,1.712B,2.10B,1.21B,3.31B,,,1.744B,1.744B,419.00M,2.163B,798.00M,798.00M,318.00M,6.589B,33.38B,1.351B,34.73B,2.91B,2.91B,4.14B,,2.683B,44.46B,2019-09,1.09B,-7.018B,22.10B,,13.67B,,2019-09,AOR,Restated
2019-06,410.00M,410.00M,2.585B,57.00M,2.59B,,151.00M,371.00M,3.00M,,66.00M,3.878B,,,,,55.80B,,55.80B,-28.10B,27.70B,21.53B,10.21B,31.73B,1.192B,60.63B,64.51B,,2019-06,1.634B,2.008B,1.215B,3.223B,,,1.595B,1.595B,488.00M,2.083B,852.00M,852.00M,337.00M,6.495B,33.19B,1.467B,34.66B,2.826B,2.826B,4.213B,,2.622B,44.32B,2019-06,1.09B,-7.321B,22.34B,,13.69B,,2019-06,AOR,Restated
2019-03,441.00M,441.00M,2.503B,58.00M,2.474B,,154.00M,386.00M,3.00M,,98.00M,3.82B,,,,,55.13B,,55.13B,-27.38B,27.74B,21.53B,10.51B,32.04B,1.188B,60.97B,64.79B,,2019-03,1.481B,1.867B,1.175B,3.042B,,,632.00M,632.00M,561.00M,1.193B,841.00M,841.00M,297.00M,5.373B,34.86B,1.501B,36.36B,2.701B,2.701B,4.265B,,2.547B,45.87B,2019-03,1.09B,-7.693B,22.58B,,13.54B,,2019-03,AOR,Restated
2018-12,488.00M,488.00M,2.094B,498.00M,2.532B,,120.00M,307.00M,4.00M,,108.00M,3.82B,0.00,871.00M,8.02B,42.67B,,1.704B,53.27B,-26.86B,26.41B,28.03B,10.78B,38.81B,1.218B,66.44B,70.26B,,2018-12,1.933B,2.27B,1.465B,3.735B,30.00M,,652.00M,652.00M,0.00,652.00M,832.00M,832.00M,282.00M,5.531B,35.41B,0.00,35.41B,2.527B,2.527B,4.319B,,2.642B,44.90B,2018-12,1.08B,-1.643B,22.85B,,19.83B,,2018-12,AOR,Restated
2018-09,390.00M,390.00M,2.618B,359.00M,2.903B,,131.00M,379.00M,3.00M,,134.00M,4.114B,,,,,,,52.66B,-26.49B,26.17B,30.77B,11.17B,41.94B,1.153B,69.26B,73.37B,,2018-09,1.387B,1.847B,1.567B,3.414B,,,,778.00M,,778.00M,983.00M,983.00M,111.00M,5.286B,35.75B,,35.75B,2.502B,2.502B,4.392B,,2.639B,45.28B,2018-09,1.081B,777.00M,23.40B,,22.80B,,2018-09,AOR,Restated
2018-06,700.00M,700.00M,2.631B,,2.898B,,107.00M,329.00M,5.00M,,154.00M,4.451B,,,,,,,52.37B,-25.87B,26.49B,30.72B,11.54B,42.25B,1.15B,69.90B,74.35B,,2018-06,1.36B,1.704B,1.302B,3.006B,30.00M,,,437.00M,,437.00M,750.00M,750.00M,298.00M,4.521B,36.88B,,36.88B,2.407B,2.407B,4.884B,,2.667B,46.84B,2018-06,1.079B,1.04B,23.36B,,22.99B,,2018-06,AOR,Restated
