,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,366.00M,,,,,-34.00M,-42.00M,1.193B,1.193B,95.00M,,0.00,31.00M,,110.00M,-32.00M,,-5.00M,,,31.00M,,1.794B,,2020-09,-988.00M,35.00M,35.00M,,,11.00M,-942.00M,,2020-09,-1.806B,,-1.806B,,,,562.00M,-275.00M,-2.089B,,2020-09,1.784B,,547.00M,,2020-09,,832.00M,-2.638B,-20.00M,426.00M,,2020-09,AOR,
2020-06,377.00M,,,,,-37.00M,-30.00M,1.162B,1.162B,115.00M,,-2.00M,20.00M,,-15.00M,-62.00M,,-99.00M,,,228.00M,,1.749B,,2020-06,-1.009B,49.00M,49.00M,,,1.00M,-959.00M,,2020-06,-320.00M,,-320.00M,,,,-562.00M,-271.00M,-597.00M,,2020-06,1.591B,,1.784B,,2020-06,,888.00M,-1.208B,14.00M,445.00M,,2020-06,AOR,
2020-03,314.00M,,,,,-25.00M,54.00M,1.16B,1.16B,105.00M,,2.00M,69.00M,,11.00M,60.00M,,-131.00M,,,-380.00M,,1.299B,,2020-03,-974.00M,35.00M,35.00M,,,,-939.00M,,2020-03,-126.00M,,-126.00M,,,,,-291.00M,-486.00M,,2020-03,1.717B,,1.591B,,2020-03,,2.362B,-2.488B,6.00M,383.00M,,2020-03,AOR,
2019-12,223.00M,,,,,12.00M,10.00M,1.21B,1.21B,90.00M,,-10.00M,48.00M,,-50.00M,2.00M,,-107.00M,,,464.00M,,1.909B,,2019-12,-940.00M,39.00M,39.00M,,,2.00M,-899.00M,,2019-12,-429.00M,,-429.00M,,,,,-271.00M,-724.00M,,2019-12,1.431B,,1.717B,,2019-12,,2.569B,-2.998B,,522.00M,,2019-12,AOR,
2019-09,302.00M,,,,,-16.00M,-20.00M,1.235B,1.235B,106.00M,,10.00M,38.00M,,-6.548B,125.00M,,112.00M,,,-85.00M,,1.888B,,2019-09,-957.00M,28.00M,28.00M,,,-25.00M,-954.00M,,2019-09,339.00M,,339.00M,,,,554.00M,-275.00M,57.00M,,2019-09,440.00M,,1.431B,,2019-09,,1.038B,-699.00M,-22.00M,456.00M,,2019-09,AOR,Restated
2019-06,371.00M,,,,,6.00M,-51.00M,1.196B,1.196B,118.00M,,-2.00M,43.00M,,6.584B,-137.00M,,-52.00M,,,174.00M,,1.701B,,2019-06,-800.00M,1.00M,1.00M,,,-12.00M,-811.00M,,2019-06,-652.00M,,-652.00M,,,,-554.00M,-269.00M,-924.00M,,2019-06,474.00M,,440.00M,,2019-06,,-45.00M,-607.00M,15.00M,570.00M,,2019-06,AOR,Restated
2019-03,-6.165B,,,,,-14.00M,-23.00M,1.188B,1.188B,126.00M,,6.508B,33.00M,,-2.00M,5.00M,,-194.00M,,,-340.00M,,1.182B,,2019-03,-931.00M,25.00M,25.00M,,,,-906.00M,,2019-03,-8.00M,,-8.00M,,,,,-285.00M,-320.00M,,2019-03,518.00M,,474.00M,,2019-03,,145.00M,-153.00M,7.00M,480.00M,,2019-03,AOR,Restated
2018-12,-2.412B,,,,,-28.00M,-51.00M,1.262B,1.262B,36.00M,,2.70B,42.00M,,45.00M,33.00M,,133.00M,,,174.00M,,1.996B,,2018-12,-915.00M,33.00M,33.00M,,,0.00,-882.00M,,2018-12,-437.00M,,-437.00M,,,,,-577.00M,-1.016B,,2018-12,420.00M,,518.00M,,2018-12,,-40.00M,-397.00M,,567.00M,,2018-12,AOR,Restated
2018-09,272.00M,,,,,-444.00M,-415.00M,1.285B,1.285B,86.00M,,18.00M,49.00M,,-45.00M,-43.00M,,386.00M,,,158.00M,,1.787B,,2018-09,-684.00M,0.00,0.00,,,0.00,-684.00M,,2018-09,-826.00M,,-826.00M,,,,1.156B,-579.00M,-1.415B,,2018-09,732.00M,,420.00M,,2018-09,,185.00M,-1.011B,,510.00M,,2018-09,AOR,Restated
2018-06,292.00M,,,,,-146.00M,-146.00M,1.29B,1.29B,277.00M,,1.00M,54.00M,,-55.00M,-82.00M,,-326.00M,,,241.00M,,1.582B,,2018-06,-771.00M,122.00M,122.00M,,,-95.00M,-744.00M,,2018-06,-55.00M,,-55.00M,,,,-576.00M,-576.00M,-643.00M,,2018-06,537.00M,,732.00M,,2018-06,,0.00,-55.00M,-2.00M,570.00M,,2018-06,AOR,Restated
