,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,17.56B,17.56B,9.13B,8.43B,361.00M,4.011B,4.372B,1.515B,278.00M,,,,323.00M,15.00M,-308.00M,-138.00M,6.027B,2.403B,15.00M,323.00M,-308.00M,-268.00M,-308.00M,1.827B,128.00M,1.698B,-1.00M,,,1.697B,1.700B,3.833B,1.683B,2.15B,1.9,0.0,,,1.902,1.9,1.89,0.0,,,1.892,1.89,891.40M,897.30M,1.63
2020-06,18.12B,18.12B,9.423B,8.70B,363.00M,4.531B,4.894B,1.582B,284.00M,,,,323.00M,23.00M,-300.00M,-133.00M,6.627B,2.073B,23.00M,323.00M,-300.00M,-200.00M,-300.00M,1.571B,209.00M,1.362B,-1.00M,,,1.361B,1.336B,3.573B,1.679B,1.894B,1.53,0.0,,,1.501,1.53,1.52,0.0,,,1.4909999999999999,1.52,889.44M,894.94M,1.63
2020-03,17.57B,17.57B,9.649B,7.922B,428.00M,5.186B,5.614B,1.625B,284.00M,,,,326.00M,51.00M,-275.00M,-60.00M,7.463B,459.00M,51.00M,326.00M,-275.00M,-234.00M,-275.00M,-49.00M,-1.226B,1.176B,-1.00M,,,1.175B,1.154B,1.911B,1.634B,277.00M,1.32,0.0,,,1.295,1.32,1.31,0.0,,,1.286,1.31,888.00M,895.00M,1.62
2019-12,21.78B,21.78B,10.68B,11.10B,413.00M,4.69B,5.103B,1.596B,294.00M,,,,354.00M,48.00M,-306.00M,-210.00M,6.783B,4.317B,48.00M,354.00M,-306.00M,-21.00M,-306.00M,3.993B,324.00M,3.669B,1.00M,,,3.67B,3.641B,5.997B,1.65B,4.347B,4.14,0.0,,,4.109,4.14,4.11,0.0,,,4.079,4.11,887.04M,893.75M,1.62
2019-09,18.03B,18.03B,9.692B,8.336B,381.00M,4.354B,4.735B,1.553B,276.00M,,,,432.00M,63.00M,-369.00M,-152.00M,6.412B,1.924B,63.00M,432.00M,-369.00M,-32.00M,-369.00M,1.522B,-151.00M,1.673B,-1.00M,,,1.672B,1.645B,3.623B,1.669B,1.954B,1.89,0.0,,,1.858,1.89,1.87,0.0,,,1.838,1.87,886.00M,892.80M,1.62
2019-06,19.16B,19.16B,10.15B,9.01B,421.00M,4.923B,5.344B,1.407B,95.00M,,,,348.00M,167.00M,-181.00M,-205.00M,6.641B,2.369B,167.00M,348.00M,-181.00M,579.00M,-181.00M,2.768B,269.00M,2.499B,-1.00M,,,2.498B,2.392B,4.41B,1.294B,3.116B,2.82,0.0,,,2.7,2.82,2.81,0.0,,,2.69,2.81,886.27M,890.83M,1.62
2019-03,18.18B,18.18B,10.14B,8.043B,432.00M,4.141B,4.573B,1.433B,97.00M,,,,210.00M,70.00M,-140.00M,-81.00M,6.022B,2.021B,70.00M,210.00M,-140.00M,1.00M,-140.00M,1.883B,289.00M,1.593B,-2.00M,,,1.591B,1.502B,3.539B,1.446B,2.093B,1.79,0.0,,,1.6880000000000002,1.79,1.78,0.0,,,1.679,1.78,889.60M,893.90M,1.57
2018-12,21.76B,21.76B,11.07B,10.69B,335.00M,4.248B,4.583B,1.358B,106.00M,11.00M,-11.00M,,193.00M,77.00M,-116.00M,-184.00M,5.863B,4.824B,77.00M,193.00M,-116.00M,-272.00M,-116.00M,4.434B,2.481B,1.953B,-2.00M,,,1.951B,1.884B,5.739B,1.112B,4.627B,2.17,0.0,,,2.094,2.17,2.15,0.0,,,2.074,2.15,901.39M,905.26M,1.57
2018-09,18.76B,18.76B,9.953B,8.803B,323.00M,3.926B,4.249B,1.252B,110.00M,4.00M,-4.00M,,191.00M,70.00M,-121.00M,-275.00M,5.336B,3.467B,70.00M,191.00M,-121.00M,-349.00M,-121.00M,2.996B,304.00M,2.692B,2.00M,,,2.694B,2.677B,4.325B,1.138B,3.187B,2.95,0.0,,,2.9330000000000003,2.95,2.94,0.0,,,2.923,2.94,911.20M,915.20M,1.57
2018-06,20.00B,20.00B,10.80B,9.199B,407.00M,4.301B,4.708B,1.364B,109.00M,40.00M,-40.00M,,173.00M,47.00M,-126.00M,-250.00M,5.931B,3.268B,47.00M,173.00M,-126.00M,-367.00M,-126.00M,2.776B,373.00M,2.402B,1.00M,,,2.403B,2.404B,4.065B,1.116B,2.949B,2.63,0.0,,,2.6319999999999997,2.63,2.61,0.0,,,2.612,2.61,915.10M,919.40M,1.57
