,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.698B,,,-81.00M,1.07B,613.00M,1.683B,1.683B,222.00M,-437.00M,,,764.00M,,4.285B,-893.00M,65.00M,-660.00M,-168.00M,-265.00M,826.00M,-65.00M,-332.00M,-232.00M,-18.00M,-250.00M,,-14.00M,-14.00M,-1.453B,-1.453B,28.00M,-1.689B,12.19B,2.264B,101.00M,14.55B,,147.00M,-379.00M,-14.00M
2020-06,1.361B,,,-154.00M,1.056B,623.00M,1.679B,1.679B,247.00M,435.00M,,,444.00M,,3.576B,-733.00M,36.00M,-549.00M,-148.00M,725.00M,-1.378B,114.00M,-1.236B,997.00M,-1.035B,-38.00M,,-167.00M,-167.00M,-1.45B,-1.45B,31.00M,-1.624B,11.37B,715.00M,102.00M,12.19B,,4.135B,-3.138B,-167.00M
2020-03,1.175B,,,315.00M,1.012B,622.00M,1.634B,1.634B,189.00M,1.00M,,,1.162B,,4.476B,-783.00M,46.00M,-584.00M,-153.00M,13.00M,-158.00M,-20.00M,-902.00M,770.00M,586.00M,1.356B,,-44.00M,-44.00M,-1.44B,-1.44B,13.00M,-115.00M,8.314B,3.46B,-403.00M,11.37B,,6.055B,-5.285B,-44.00M
2019-12,3.67B,,,-268.00M,1.021B,629.00M,1.65B,1.65B,211.00M,-469.00M,,,-284.00M,,3.451B,-729.00M,85.00M,-491.00M,-153.00M,149.00M,0.00,623.00M,128.00M,-3.724B,-457.00M,-4.181B,,-86.00M,-86.00M,-1.438B,-1.438B,30.00M,-5.675B,10.22B,-2.096B,185.00M,8.314B,,329.00M,-4.053B,-86.00M
2019-09,1.672B,,,-41.00M,1.058B,611.00M,1.669B,1.669B,220.00M,220.00M,,,99.00M,,3.619B,-751.00M,69.00M,-519.00M,-163.00M,-32.55B,588.00M,2.269B,-30.37B,-4.775B,-1.833B,-6.608B,,-159.00M,-159.00M,-1.436B,-1.436B,26.00M,-8.177B,45.53B,-34.93B,-379.00M,10.22B,,247.00M,-5.022B,-159.00M
2019-06,2.498B,,,-611.00M,987.00M,307.00M,1.294B,1.294B,135.00M,135.00M,,,-375.00M,,2.941B,-732.00M,302.00M,-281.00M,-149.00M,813.00M,144.00M,3.635B,4.162B,23.17B,-328.00M,22.84B,,-407.00M,-407.00M,-1.436B,-1.436B,33.00M,21.03B,17.27B,28.13B,129.00M,45.53B,,25.27B,-2.101B,-407.00M
2019-03,1.591B,,,-176.00M,1.143B,303.00M,1.446B,1.446B,113.00M,113.00M,,,1.785B,,4.759B,-695.00M,81.00M,-458.00M,-156.00M,32.00M,-464.00M,193.00M,-853.00M,4.211B,21.00M,4.232B,,-981.00M,-981.00M,-1.397B,-1.397B,9.00M,1.863B,11.60B,5.77B,-102.00M,17.27B,,5.979B,-1.768B,-981.00M
2018-12,1.951B,,,141.00M,790.00M,322.00M,1.112B,1.112B,139.00M,0.00,,,-77.00M,,4.119B,-933.00M,56.00M,-726.00M,-151.00M,-16.00M,2.229B,-881.00M,455.00M,-2.11B,965.00M,-1.145B,,-2.073B,-2.073B,-1.416B,-1.416B,29.00M,-4.605B,11.73B,-31.00M,-96.00M,11.60B,,2.177B,-4.287B,-2.073B
2018-09,2.694B,,,-24.00M,790.00M,348.00M,1.138B,1.138B,129.00M,0.00,,,295.00M,,4.232B,-955.00M,12.00M,-800.00M,-143.00M,-1.00M,-1.981B,-44.00M,-2.969B,1.616B,-21.00M,1.595B,,-631.00M,-631.00M,-1.431B,-1.431B,31.00M,-436.00M,10.96B,826.00M,-55.00M,11.73B,,2.208B,-592.00M,-631.00M
2018-06,2.404B,,,-28.00M,773.00M,343.00M,1.116B,1.116B,126.00M,-2.00M,,,-1.322B,,2.294B,-1.08B,77.00M,-854.00M,-149.00M,-51.00M,-91.00M,510.00M,-635.00M,-23.00M,-15.00M,-38.00M,,-1.08B,-1.08B,-1.437B,-1.437B,36.00M,-2.519B,12.26B,-858.00M,-444.00M,10.96B,,336.00M,-359.00M,-1.08B
