,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-09,,9.48B,88.00M,9.568B,7.987B,,17.13B,25.11B,,1.224B,388.00M,1.00M,1.613B,4.158B,,1.66B,,42.11B,,,,,,,29.23B,-18.57B,10.66B,30.28B,2.776B,33.05B,5.586B,,9.517B,,3.69B,,66.54B,108.65B,5.166B,2.883B,8.049B,3.902B,11.95B,1.60B,5.939B,7.539B,,7.539B,10.46B,10.46B,,-1.00M,33.73B,,32.12B,,32.12B,,3.593B,3.593B,,17.01B,,157.00M,8.739B,61.47B,95.20B,53.22B,142.90B,154.67B,,,,,-28.16B,13.29B
2015-06,,8.393B,367.00M,8.76B,8.632B,,19.28B,27.91B,,1.548B,364.00M,,1.912B,4.47B,,2.133B,1.00M,45.19B,,,,,,,38.64B,-27.94B,10.70B,30.54B,2.939B,33.47B,5.377B,,10.34B,,4.211B,,67.54B,112.73B,5.943B,3.639B,9.582B,5.301B,14.88B,700.00M,4.629B,5.329B,,5.329B,11.33B,11.33B,,,35.54B,,33.34B,,33.34B,,3.892B,3.892B,,17.30B,,153.00M,8.828B,63.36B,98.89B,53.06B,141.22B,153.16B,,,,,-27.43B,13.68B
2015-03,,8.796B,8.00M,8.804B,8.806B,,19.04B,27.85B,,1.599B,371.00M,,1.97B,5.89B,,1.805B,-2.00M,46.32B,,,,,,,38.30B,-27.79B,10.51B,29.87B,2.991B,32.86B,5.466B,,9.82B,,4.374B,,65.72B,112.04B,6.314B,3.539B,9.853B,5.765B,15.62B,0.00,4.532B,4.532B,,4.532B,12.16B,12.16B,,,35.64B,,34.30B,,34.30B,,3.811B,3.811B,,17.21B,,148.00M,8.791B,64.11B,99.75B,52.93B,139.03B,151.98B,,,,,-27.84B,12.14B
2014-12,,8.476B,0.00,8.476B,9.09B,,22.74B,31.83B,,1.674B,430.00M,-1.00M,2.103B,4.967B,,,,47.38B,0.0,667.00M,9.524B,28.84B,,,39.04B,-28.26B,10.77B,30.56B,3.103B,33.66B,594.00M,,11.62B,681.00M,8.202B,705.00M,69.90B,117.27B,6.864B,5.084B,11.95B,5.994B,17.94B,650.00M,5.081B,5.731B,,5.731B,11.88B,11.88B,,,39.58B,3.282B,34.99B,,34.99B,129.00M,3.691B,3.82B,331.00M,20.59B,31.00M,146.00M,2.61B,65.68B,105.26B,52.67B,137.79B,150.72B,,,,,-27.88B,11.87B
2014-09,,9.561B,4.00M,9.565B,9.122B,,18.88B,28.00B,,1.848B,508.00M,,2.356B,5.022B,,2.219B,-1.00M,47.16B,,,,,,,39.95B,-28.88B,11.07B,31.04B,3.373B,34.42B,5.126B,,10.99B,,2.697B,,71.74B,118.91B,5.855B,2.475B,8.33B,5.788B,14.12B,6.474B,6.402B,12.88B,,12.88B,11.35B,11.35B,,1.00M,42.31B,,32.82B,,32.82B,,3.683B,3.683B,,15.09B,,140.00M,10.61B,62.21B,104.52B,52.45B,133.40B,150.62B,,,,,-20.98B,14.26B
2014-06,,9.715B,5.00M,9.72B,9.902B,,20.18B,30.08B,,1.889B,449.00M,,2.338B,4.263B,,1.783B,1.00M,48.18B,,,,,,,40.94B,-27.19B,13.75B,31.57B,3.585B,35.15B,5.369B,,12.14B,,2.828B,,76.13B,124.31B,6.271B,2.335B,8.606B,4.737B,13.34B,6.549B,5.914B,12.46B,,12.46B,12.59B,12.59B,,-1.00M,42.43B,,34.01B,,34.01B,,4.152B,4.152B,,15.98B,,136.00M,10.22B,64.37B,106.80B,52.16B,134.48B,148.90B,,,,,-20.37B,17.38B
2014-03,,9.409B,295.00M,9.704B,9.682B,,19.98B,29.66B,,1.984B,472.00M,,2.456B,4.43B,,1.708B,,47.96B,,,,,,,40.48B,-26.80B,13.68B,31.21B,3.698B,34.91B,5.03B,,11.92B,,3.034B,,74.69B,122.65B,6.865B,2.245B,9.11B,5.292B,14.40B,,,9.312B,,9.312B,13.68B,13.68B,,-1.00M,41.06B,,34.67B,,34.67B,,4.042B,4.042B,,16.03B,,133.00M,10.11B,64.85B,105.91B,51.94B,131.43B,145.61B,,,,,-21.16B,16.61B
2013-12,,10.72B,350.00M,11.07B,10.46B,,21.37B,31.84B,,1.866B,444.00M,,2.31B,4.488B,,1.651B,-1.00M,51.35B,0.0,706.00M,9.68B,30.09B,,,40.48B,-26.65B,13.82B,31.18B,3.871B,35.06B,310.00M,,12.93B,401.00M,4.703B,738.00M,74.87B,126.22B,7.461B,4.633B,12.09B,4.748B,16.84B,2.458B,4.405B,6.863B,,6.863B,12.56B,12.56B,,-1.00M,40.15B,3.318B,32.86B,,32.86B,1.741B,4.108B,5.849B,402.00M,18.61B,126.00M,137.00M,1.789B,63.14B,103.29B,51.59B,130.04B,137.24B,,,,,-21.60B,22.79B
2013-09,,10.07B,160.00M,10.23B,9.865B,,18.47B,28.33B,,1.964B,528.00M,,2.492B,4.723B,,1.752B,,47.53B,,,,,,,40.81B,-26.93B,13.88B,30.88B,4.002B,34.88B,4.718B,,11.68B,,3.682B,,70.31B,117.84B,6.263B,4.746B,11.01B,4.643B,15.65B,,,7.702B,,7.702B,11.66B,11.66B,,,39.22B,,28.48B,,28.48B,,4.087B,4.087B,,17.99B,,131.00M,8.056B,58.62B,97.84B,51.20B,124.88B,131.24B,,,,,-24.97B,19.88B
2013-06,,9.558B,799.00M,10.36B,10.28B,,18.56B,28.84B,,1.906B,482.00M,1.00M,2.389B,4.746B,,1.584B,-1.00M,47.91B,,,,,,,39.55B,-26.20B,13.36B,28.85B,3.418B,32.26B,4.721B,,11.83B,,4.15B,,67.24B,115.15B,6.821B,4.708B,11.53B,5.214B,16.74B,,,7.83B,,7.83B,12.24B,12.24B,,,41.04B,,26.29B,,26.29B,,4.166B,4.166B,,17.96B,,127.00M,7.813B,56.23B,97.27B,50.89B,121.88B,129.24B,,,,,-25.77B,17.76B
2013-03,,10.58B,1.407B,11.99B,10.08B,,18.11B,28.20B,,1.902B,519.00M,,2.421B,4.747B,,1.592B,1.00M,48.95B,,,,,,,40.06B,-26.46B,13.60B,29.02B,3.602B,32.63B,5.011B,,11.95B,,4.227B,,68.31B,117.26B,7.203B,4.678B,11.88B,4.583B,16.46B,,,8.725B,,8.725B,12.97B,12.97B,,-2.00M,42.12B,,24.67B,,24.67B,,4.409B,4.409B,,19.07B,,122.00M,7.772B,55.92B,98.04B,50.52B,119.71B,125.68B,,,,,-25.47B,19.09B
2012-12,,10.41B,717.00M,11.13B,10.67B,,19.91B,30.58B,,1.812B,475.00M,,2.287B,4.024B,,1.415B,,49.43B,0.0,747.00M,9.61B,30.14B,,,40.50B,-26.50B,14.00B,29.25B,3.787B,33.03B,346.00M,,13.02B,585.00M,5.603B,735.00M,69.78B,119.21B,7.952B,4.948B,12.90B,4.847B,17.75B,1.80B,7.382B,9.182B,,9.182B,11.95B,11.95B,,-1.00M,43.62B,2.654B,24.09B,,24.09B,448.00M,4.491B,4.939B,383.00M,22.81B,78.00M,124.00M,1.629B,56.60B,100.23B,50.11B,117.64B,123.13B,,,,,-25.76B,18.86B
2012-09,,11.91B,345.00M,12.25B,11.84B,15.20B,,26.76B,,1.937B,649.00M,,2.586B,5.016B,,1.522B,,48.14B,,,,,,,40.72B,-26.69B,14.03B,28.27B,3.563B,31.83B,5.006B,5.223B,5.568B,,2.555B,,67.64B,115.78B,7.085B,2.147B,9.232B,4.973B,14.20B,,,9.334B,,9.334B,11.23B,11.23B,,,39.50B,,24.33B,,24.33B,,4.263B,4.263B,,16.68B,,125.00M,9.335B,54.61B,94.11B,49.60B,112.77B,120.12B,,,,,-20.72B,21.54B
2012-06,,10.86B,323.00M,11.19B,11.88B,15.25B,,26.86B,,2.006B,752.00M,,2.758B,5.113B,,1.478B,-1.00M,47.39B,,,,,,,40.16B,-26.29B,13.86B,27.74B,3.658B,31.39B,4.73B,,10.80B,,2.795B,,66.44B,113.83B,7.482B,2.183B,9.665B,4.602B,14.27B,,,7.669B,,7.669B,12.31B,12.31B,,,38.90B,,24.77B,,24.77B,,3.889B,3.889B,,16.54B,,92.00M,9.167B,54.37B,93.27B,49.16B,109.93B,117.12B,,,,,-21.50B,20.47B
2012-03,,11.84B,500.00M,12.34B,11.68B,15.44B,,26.84B,,2.058B,696.00M,,2.754B,5.299B,,1.617B,1.00M,48.85B,,,,,,,40.44B,-26.50B,13.94B,27.47B,3.641B,31.11B,4.822B,,10.55B,,3.10B,1.00M,66.50B,115.35B,7.416B,2.184B,9.60B,4.677B,14.28B,,,6.293B,,6.293B,13.27B,13.27B,,,38.21B,,25.76B,,25.76B,,3.904B,3.904B,,17.58B,,82.00M,9.112B,56.36B,94.56B,48.80B,107.04B,114.02B,,,,,-21.12B,20.70B
2011-12,,11.92B,0.00,11.92B,11.18B,,18.38B,29.56B,,2.007B,589.00M,-1.00M,2.595B,5.249B,,1.601B,,50.93B,0.0,786.00M,9.531B,29.81B,,,40.12B,-26.24B,13.88B,26.21B,3.394B,29.61B,258.00M,,10.98B,753.00M,5.287B,598.00M,65.51B,116.43B,8.517B,3.313B,11.83B,4.535B,16.36B,2.30B,6.165B,8.465B,,8.465B,12.20B,12.20B,,-3.00M,42.12B,4.155B,22.86B,,22.86B,549.00M,3.847B,4.396B,412.00M,20.60B,166.00M,97.00M,1.492B,54.08B,96.20B,48.13B,104.86B,110.96B,,,,,-21.88B,20.14B
2011-09,,11.30B,0.00,11.30B,10.84B,14.41B,,24.99B,,2.045B,618.00M,,2.663B,5.172B,,1.247B,1.00M,45.37B,,,,,,,40.14B,-26.25B,13.89B,24.91B,3.033B,27.95B,5.422B,,9.83B,,2.57B,-1.00M,64.78B,110.16B,7.093B,2.36B,9.453B,4.426B,13.88B,,,6.071B,,6.071B,11.25B,11.25B,,,36.03B,,24.09B,,24.09B,,3.634B,3.634B,,15.38B,,87.00M,8.654B,51.75B,87.78B,47.56B,100.27B,107.43B,,,,,-18.10B,22.29B
2011-06,,11.71B,50.00M,11.76B,11.67B,15.00B,,26.38B,,2.013B,560.00M,,2.573B,4.662B,,1.557B,,46.94B,,,,,,,41.13B,-26.89B,14.24B,25.61B,3.206B,28.82B,5.329B,,10.42B,,2.877B,,66.54B,113.47B,7.112B,2.363B,9.475B,5.144B,14.62B,,,7.858B,,7.858B,12.66B,12.66B,,,39.84B,,21.92B,,21.92B,,3.641B,3.641B,,16.01B,,84.00M,8.851B,50.42B,90.26B,46.98B,97.33B,104.07B,,,,,-17.11B,23.13B
2011-03,,12.76B,482.00M,13.24B,11.29B,14.68B,,25.66B,,2.001B,548.00M,,2.549B,4.376B,,1.695B,1.00M,47.52B,,,,,,,40.76B,-26.56B,14.21B,25.41B,3.324B,28.73B,5.38B,10.25B,,,3.076B,-2.00M,65.44B,112.96B,6.747B,2.531B,9.278B,5.336B,14.61B,,,8.508B,,8.508B,12.82B,12.82B,,-1.00M,40.39B,,21.75B,,21.75B,,3.724B,3.724B,,16.00B,,104.00M,8.329B,49.80B,90.18B,46.28B,94.59B,100.08B,,,,,-18.12B,22.67B
2010-12,,10.66B,990.00M,11.65B,11.97B,16.60B,,28.22B,,2.018B,432.00M,,2.45B,4.226B,,1.564B,,48.12B,0.0,777.00M,9.414B,26.68B,,3.422B,40.29B,-26.19B,14.10B,25.14B,3.488B,28.62B,5.778B,,10.55B,,3.22B,2.00M,65.34B,113.45B,7.804B,4.216B,12.02B,10.18B,22.20B,,,6.778B,,6.778B,11.58B,11.58B,,,40.56B,,21.85B,,21.85B,,3.666B,3.666B,,15.98B,,126.00M,8.228B,49.72B,90.28B,45.42B,92.53B,96.16B,,,,,-18.74B,23.05B
2010-09,,9.859B,1.227B,11.09B,10.90B,13.96B,,24.50B,,2.113B,516.00M,,2.629B,4.661B,,1.596B,1.00M,44.47B,,,,,,,39.94B,-25.93B,14.01B,22.70B,3.047B,25.75B,6.166B,,9.448B,,2.953B,,62.70B,107.17B,7.084B,2.908B,9.992B,4.745B,14.74B,,,5.556B,,5.556B,10.50B,10.50B,,,35.44B,,21.90B,,21.90B,,3.487B,3.487B,,15.14B,,121.00M,8.841B,49.37B,84.82B,44.33B,88.10B,92.71B,,,,,-17.48B,22.24B
2010-06,,10.32B,1.916B,12.24B,10.19B,13.68B,,23.49B,,2.102B,493.00M,,2.595B,5.124B,,1.444B,-1.00M,44.90B,,,,,,,38.29B,-24.76B,13.53B,20.54B,2.526B,23.07B,6.038B,,9.185B,,3.122B,1.00M,58.52B,103.42B,7.233B,2.895B,10.13B,4.539B,14.67B,,,5.633B,,5.633B,10.67B,10.67B,,,34.99B,,21.02B,,21.02B,,3.341B,3.341B,,14.60B,,117.00M,8.295B,47.25B,82.24B,43.52B,85.32B,89.28B,,,,,-18.51B,21.06B
2010-03,,12.47B,1.505B,13.98B,10.43B,13.50B,,23.51B,,1.969B,555.00M,,2.524B,4.121B,,1.565B,-1.00M,45.70B,,,,,,,39.02B,-25.18B,13.84B,20.89B,2.618B,23.51B,5.794B,,9.542B,,3.537B,2.00M,59.51B,105.21B,6.345B,2.775B,9.12B,5.285B,14.40B,,,5.014B,,5.014B,11.46B,11.46B,,,34.58B,,21.30B,,21.30B,,3.456B,3.456B,,15.22B,,116.00M,8.506B,48.48B,83.06B,42.66B,82.78B,85.24B,,,,,-18.18B,22.03B
2009-12,,12.18B,1.791B,13.97B,11.88B,15.35B,,26.79B,,1.96B,534.00M,,2.494B,3.944B,,1.73B,,48.94B,0.0,737.00M,9.314B,25.89B,,3.657B,39.60B,-25.43B,14.16B,20.19B,2.513B,22.70B,5.379B,,10.64B,,4.195B,,60.09B,109.02B,7.436B,3.826B,11.26B,5.222B,16.48B,,,4.168B,,4.168B,10.84B,10.84B,,,36.00B,,21.93B,,21.93B,,3.562B,3.562B,,15.95B,,118.00M,8.818B,50.26B,86.27B,41.81B,80.90B,81.24B,,,,,-18.83B,22.64B
2009-09,,9.532B,1.98B,11.51B,10.68B,13.35B,,23.62B,,1.992B,554.00M,,2.546B,3.934B,,1.832B,,43.45B,,,,,,,39.79B,-25.60B,14.19B,19.27B,2.436B,21.71B,5.051B,,10.23B,,6.341B,,60.23B,103.68B,6.145B,2.213B,8.358B,5.704B,14.06B,,,4.885B,,4.885B,9.703B,9.703B,,-1.00M,32.96B,,20.58B,,20.58B,,3.348B,3.348B,,18.43B,,98.00M,9.864B,52.22B,85.18B,40.48B,76.81B,78.41B,,,,,-20.49B,18.40B
2009-06,,11.68B,848.00M,12.53B,10.74B,13.52B,,23.86B,,2.126B,565.00M,,2.691B,3.709B,,1.652B,1.00M,44.44B,,,,,,,38.67B,-24.72B,13.95B,18.74B,2.58B,21.32B,4.813B,,10.20B,,6.762B,1.00M,59.22B,103.66B,5.869B,2.259B,8.128B,5.562B,13.69B,,,8.504B,,8.504B,10.34B,10.34B,,,36.43B,,20.87B,,20.87B,,3.283B,3.283B,,18.46B,,94.00M,9.142B,51.75B,88.18B,39.77B,74.33B,77.68B,,,,,-21.04B,15.38B
2009-03,,12.29B,1.00M,12.30B,10.51B,13.31B,,23.46B,,2.191B,568.00M,,2.759B,4.068B,,1.41B,,44.00B,,,,,,,37.59B,-23.86B,13.73B,18.07B,2.721B,20.79B,4.928B,,10.04B,,6.523B,-1.00M,57.95B,101.94B,5.878B,2.032B,7.91B,5.87B,13.78B,,,9.87B,,9.87B,10.41B,10.41B,,,37.42B,,21.11B,,21.11B,,3.23B,3.23B,,18.28B,,92.00M,8.214B,50.83B,88.25B,39.43B,71.97B,76.15B,,,,,-21.65B,13.60B
2008-12,,12.74B,166.00M,12.91B,12.08B,15.83B,,27.56B,,2.176B,524.00M,1.00M,2.701B,4.299B,,1.542B,,49.00B,0.0,729.00M,8.819B,24.95B,1.00M,3.946B,38.44B,-24.14B,14.30B,18.23B,2.878B,21.10B,5.058B,,11.18B,,7.27B,-1.00M,60.52B,109.52B,7.014B,2.743B,9.757B,6.58B,16.34B,,,11.24B,,11.24B,10.24B,10.24B,,,42.44B,,22.69B,,22.69B,,3.171B,3.171B,,19.45B,,119.00M,8.193B,53.50B,95.94B,39.13B,70.35B,74.17B,,,,,-21.84B,13.46B
2008-09,,9.755B,1.00M,9.756B,11.03B,14.22B,,24.94B,,2.323B,677.00M,,3.00B,4.714B,,1.778B,,44.19B,,,,,,,39.01B,-24.35B,14.66B,18.86B,3.05B,21.91B,5.526B,10.99B,-136.00M,,,-1.00M,71.72B,115.91B,6.77B,2.497B,9.267B,5.324B,14.59B,,,16.18B,,16.18B,9.555B,9.555B,,-1.00M,44.75B,,18.23B,,18.23B,,2.881B,2.881B,,13.58B,,,8.944B,43.64B,88.39B,38.87B,66.60B,73.57B,,,,,-4.384B,27.52B
2008-06,,9.626B,221.00M,9.847B,11.99B,15.56B,,27.23B,,2.248B,667.00M,,2.915B,4.371B,,1.949B,2.00M,46.31B,,,,,,,40.32B,-24.93B,15.39B,19.62B,3.277B,22.90B,5.829B,11.54B,-65.00M,,,,74.62B,120.93B,7.531B,2.831B,10.36B,6.508B,16.87B,,,12.71B,,12.71B,10.82B,10.82B,,,44.68B,,21.52B,,21.52B,,3.171B,3.171B,,14.24B,,,9.045B,47.98B,92.66B,37.88B,64.46B,71.07B,,,,,-3.006B,28.26B
2008-03,,10.79B,1.241B,12.03B,12.15B,15.05B,,26.89B,,2.224B,752.00M,,2.976B,4.456B,,2.072B,,48.42B,,,,,,,40.01B,-24.54B,15.47B,18.62B,3.122B,21.75B,6.262B,11.52B,-60.00M,,,,73.40B,121.82B,7.329B,3.033B,10.36B,6.553B,16.92B,,,15.24B,,15.24B,11.08B,11.08B,,,47.05B,,19.95B,,19.95B,,3.235B,3.235B,,14.26B,,,8.60B,46.05B,93.10B,36.25B,62.38B,66.62B,,,,,-3.282B,28.73B
2007-12,,14.99B,1.155B,16.15B,12.50B,16.58B,,28.79B,,1.996B,668.00M,,2.664B,3.891B,,1.687B,,53.18B,0.0,701.00M,8.498B,29.39B,,,38.58B,-23.50B,15.08B,14.28B,2.107B,16.39B,5.248B,11.60B,,,1.513B,-1.00M,67.25B,120.43B,8.054B,,8.054B,5.901B,13.96B,5.831B,6.404B,12.24B,,12.24B,9.802B,9.802B,,3.673B,44.31B,114.00M,23.04B,,23.04B,1.064B,3.06B,4.124B,388.00M,14.64B,534.00M,,2.705B,47.65B,91.96B,35.19B,60.64B,63.94B,,,,,-3.414B,28.47B
2007-09,,9.295B,4.528B,13.82B,11.27B,13.78B,,24.80B,,2.051B,804.00M,,2.855B,3.14B,,1.969B,,46.59B,,,,,,,38.32B,-23.48B,14.84B,13.84B,2.162B,16.00B,9.007B,10.27B,,,,-1.00M,62.02B,108.61B,6.732B,2.564B,9.296B,5.948B,15.24B,,,16.55B,,16.55B,8.826B,8.826B,,1.00M,45.01B,,18.78B,,18.78B,,2.98B,2.98B,,13.62B,,,7.678B,43.05B,88.06B,34.70B,57.30B,63.94B,,,,,-7.513B,20.55B
2007-06,,7.01B,3.179B,10.19B,10.90B,13.64B,,24.29B,,2.082B,766.00M,,2.848B,3.175B,,1.794B,,42.29B,,,,37.13B,,,37.13B,-22.65B,14.48B,13.20B,2.09B,15.29B,8.865B,10.24B,,,,-1.00M,60.26B,102.55B,6.653B,2.314B,8.967B,5.392B,14.36B,,,20.54B,,20.54B,9.359B,9.359B,,,48.08B,,14.18B,,14.18B,,2.907B,2.907B,,13.22B,,,7.405B,37.71B,85.79B,33.37B,55.50B,64.12B,,,,,-7.997B,16.76B
2007-03,,6.953B,3.829B,10.78B,11.07B,13.23B,,24.02B,,2.15B,762.00M,,2.912B,2.985B,,1.751B,-1.00M,42.45B,,,,36.72B,,,36.72B,-22.31B,14.41B,13.10B,2.157B,15.26B,8.383B,10.12B,,,,-1.00M,59.17B,101.62B,6.859B,2.096B,8.955B,5.152B,14.11B,,,9.661B,,9.661B,9.38B,9.38B,,,36.76B,,14.28B,,14.28B,,,,,13.15B,,,9.611B,37.05B,73.81B,32.26B,53.88B,49.73B,,,,,-8.607B,27.81B
2006-12,,8.022B,2.634B,10.66B,11.75B,15.40B,,26.85B,,2.304B,506.00M,,2.81B,2.539B,,1.806B,1.00M,44.66B,0.0,693.00M,8.243B,23.91B,1.00M,3.678B,36.52B,-22.08B,14.44B,12.85B,2.203B,15.06B,8.381B,10.07B,,,,-1.00M,58.57B,103.23B,7.964B,4.67B,12.63B,5.372B,18.01B,3.779B,5.123B,8.902B,,8.902B,8.587B,8.587B,,1.00M,40.09B,106.00M,13.78B,,13.78B,665.00M,2.502B,3.167B,1.331B,13.55B,235.00M,,2.465B,34.64B,74.73B,31.27B,52.43B,46.30B,,,,,-8.901B,28.51B
2006-09,,8.484B,2.417B,10.90B,10.28B,12.71B,,22.68B,,2.292B,842.00M,,3.134B,2.548B,,1.403B,-1.00M,40.67B,,,,35.64B,,,35.64B,-21.59B,14.06B,10.34B,1.599B,11.94B,4.855B,9.434B,,,,-1.00M,63.49B,104.16B,22.25B,4.125B,26.37B,,26.37B,,,8.555B,,8.555B,,,,,34.93B,,13.44B,,13.44B,,,,,13.01B,,,8.53B,34.98B,69.91B,30.26B,49.40B,45.10B,,,,,-315.00M,34.25B
2006-06,,7.10B,2.89B,9.99B,10.27B,12.43B,,22.34B,,2.238B,873.00M,,3.111B,2.514B,,1.64B,,39.59B,,,,35.24B,,,35.24B,-21.27B,13.96B,10.32B,1.657B,11.98B,5.046B,9.504B,,,,-1.00M,63.79B,103.38B,22.40B,3.816B,26.21B,,26.21B,,,7.907B,,7.907B,,,,,34.12B,,13.87B,,13.87B,,,,,13.05B,,,8.789B,35.71B,69.83B,29.82B,47.65B,43.57B,,,,,-354.00M,33.55B
2006-03,,9.135B,3.167B,12.30B,9.789B,12.50B,,21.89B,,1.848B,1.104B,,2.952B,2.651B,,1.784B,,41.58B,,,,34.38B,,,34.38B,-20.67B,13.71B,10.12B,1.715B,11.84B,4.975B,9.281B,,,,-1.00M,60.88B,102.47B,22.21B,3.895B,26.11B,,26.11B,,,7.16B,,7.16B,,,,,33.27B,,15.32B,,15.32B,,,,,12.89B,,,8.252B,36.47B,69.74B,29.43B,46.10B,41.04B,,,,,-1.758B,32.73B
2005-12,,12.57B,1.118B,13.69B,10.68B,14.17B,,24.43B,,1.939B,902.00M,,2.841B,23.57B,,1.765B,-20.62B,45.66B,,,,,,,34.26B,-20.50B,13.76B,9.441B,1.663B,11.10B,4.974B,9.628B,,,,20.62B,60.09B,105.75B,7.349B,4.71B,12.06B,5.233B,17.29B,858.00M,6.358B,7.216B,,7.216B,7.319B,7.319B,,,35.15B,,15.42B,,15.42B,1.616B,2.437B,4.053B,1.504B,13.78B,314.00M,,2.423B,37.50B,72.65B,28.93B,44.73B,38.55B,,,,,-2.016B,33.10B
2005-09,,8.252B,2.00M,8.254B,10.89B,12.44B,,23.33B,,2.09B,1.20B,,3.29B,2.718B,,1.555B,,39.14B,,,,,,,34.33B,-20.29B,14.04B,,11.06B,11.06B,,,,,,36.76B,61.87B,101.01B,22.02B,,22.02B,,22.02B,,,4.05B,,4.05B,,,,3.898B,29.96B,,17.37B,,17.37B,,,,,,,,23.44B,40.81B,70.77B,28.19B,41.90B,37.64B,,,,,-2.211B,30.24B
2005-06,,8.648B,11.00M,8.659B,11.64B,13.12B,,24.27B,,2.075B,1.173B,,3.248B,2.653B,,1.679B,,40.51B,,,,34.65B,,,34.65B,-20.44B,14.21B,9.165B,1.801B,10.97B,7.029B,9.198B,,,,,62.88B,103.39B,22.23B,3.83B,26.06B,,26.06B,,,6.134B,,6.134B,,,,,32.20B,,17.58B,,17.58B,,,,,15.16B,,,8.326B,41.07B,73.26B,27.72B,40.72B,35.99B,,,,,-2.324B,30.12B
2005-03,,8.637B,14.00M,8.651B,11.25B,13.90B,,24.58B,,2.241B,1.176B,,3.417B,2.746B,,1.95B,,41.34B,,,,35.51B,,,35.51B,-20.80B,14.71B,8.593B,1.739B,10.33B,6.938B,9.799B,,,,,63.56B,104.90B,23.66B,3.838B,27.49B,,27.49B,,,6.329B,,6.329B,,,,,33.82B,,17.08B,,17.08B,,,,,15.60B,,,8.478B,41.16B,74.98B,27.30B,39.22B,34.43B,,,,,-2.163B,29.92B
2004-12,,10.05B,517.00M,10.57B,12.34B,16.48B,,28.14B,,2.137B,1.179B,,3.316B,2.708B,,2.413B,,47.14B,0.0,840.00M,9.10B,22.70B,,3.744B,36.38B,-21.21B,15.18B,8.437B,1.789B,10.23B,7.115B,10.95B,,,,,63.86B,111.00B,9.444B,4.728B,14.17B,6.536B,20.71B,3.151B,4.948B,8.099B,,8.099B,7.175B,7.175B,,,39.79B,,14.83B,,14.83B,1.77B,2.222B,3.992B,1.796B,15.88B,434.00M,,2.596B,39.53B,79.32B,26.67B,38.15B,31.07B,,,,,-2.061B,31.69B
2004-09,,9.178B,493.00M,9.671B,10.83B,13.16B,,23.99B,,2.162B,1.169B,,3.331B,2.627B,,2.505B,306.00M,42.43B,,,,,,,37.16B,-22.55B,14.61B,,8.172B,8.172B,,,,,,35.47B,58.25B,100.68B,22.44B,,22.44B,,22.44B,,,8.427B,,8.427B,,,,4.295B,35.17B,,13.52B,,13.52B,,,,,,,,22.28B,35.81B,70.97B,17.69B,41.83B,28.25B,,,,,-1.564B,29.70B
2004-06,,7.715B,478.00M,8.193B,10.81B,13.85B,,24.66B,,2.089B,1.093B,,3.182B,2.65B,,2.416B,307.00M,41.41B,,,,,,,36.81B,-22.24B,14.57B,,8.055B,8.055B,,,,,,35.55B,58.17B,99.58B,22.54B,,22.54B,,22.54B,,,7.505B,,7.505B,,4.315B,4.315B,,34.36B,,14.42B,,14.42B,,,,,,,,21.97B,36.40B,70.75B,17.41B,40.31B,26.99B,,,,,-1.896B,28.83B
2004-03,,7.45B,1.051B,8.501B,10.88B,14.66B,,25.55B,,1.997B,1.052B,,3.049B,2.626B,,2.581B,313.00M,42.62B,,,,,,,37.19B,-22.58B,14.61B,,7.371B,7.371B,,,,,,37.22B,59.21B,101.82B,22.74B,,22.74B,,22.74B,,,7.568B,,7.568B,,,,5.072B,35.38B,,16.10B,,16.10B,,,,,,,,22.16B,38.26B,73.64B,16.95B,38.73B,25.71B,,,,,-1.793B,28.18B
