,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,985.38M,985.38M,8.909M,471.05M,479.96M,1.79M,,481.75M,-0.405M,830.28M,364.52M,71.38M,293.14M,,14.82M,293.14M,293.14M,40.91M,496.21M,,1.62,,,1.62,1.62,,1.61,,,1.61,1.61,,172.14M,172.93M,0.20,,,
2020-06,905.67M,905.67M,8.621M,441.17M,449.79M,2.01M,,451.80M,1.529M,787.41M,318.41M,61.64M,256.77M,,14.82M,256.77M,256.77M,43.13M,474.42M,,1.41,,,1.41,1.41,,1.40,,,1.40,1.40,,171.63M,172.66M,0.20,,,
2020-03,899.97M,899.97M,11.84M,458.41M,470.25M,2.284M,,472.54M,2.628M,752.13M,271.79M,53.10M,218.69M,,13.02M,218.69M,218.69M,40.50M,475.78M,,1.20,,,1.20,1.20,,1.20,,,1.20,1.20,,170.84M,172.04M,0.19,,,
2019-12,861.75M,861.75M,17.62M,434.74M,452.36M,2.558M,,454.91M,-1.541M,720.12M,309.04M,62.71M,246.33M,,10.71M,246.33M,246.33M,39.78M,525.88M,,1.40,,,1.40,1.40,,1.39,,,1.39,1.39,,168.55M,169.86M,0.19,,,
2019-09,814.15M,814.15M,15.91M,402.67M,418.58M,2.832M,,421.42M,-0.683M,694.98M,286.53M,51.69M,234.84M,,12.79M,234.84M,234.84M,36.21M,501.32M,,1.32,,,1.32,1.32,,1.31,,,1.31,1.31,,168.27M,169.35M,0.19,,,
2019-06,794.30M,794.30M,16.70M,395.78M,412.48M,3.104M,,415.59M,-1.063M,674.03M,269.32M,46.76M,222.56M,,12.79M,222.56M,222.56M,31.95M,481.03M,,1.25,,,1.25,1.25,,1.24,,,1.24,1.24,,167.68M,169.57M,0.19,,,
2019-03,783.78M,783.78M,15.73M,408.37M,424.10M,3.38M,,427.48M,-0.149M,675.04M,268.34M,41.75M,226.59M,,12.79M,226.59M,226.59M,29.70M,440.32M,,1.28,,,1.28,1.28,,1.26,,,1.26,1.26,,167.11M,169.41M,0.18,,,
2018-12,786.21M,786.21M,19.89M,375.44M,395.33M,3.651M,,398.98M,-1.313M,667.20M,287.08M,55.66M,231.42M,,16.23M,231.42M,231.42M,30.86M,448.53M,,1.31,,,1.31,1.31,,1.29,,,1.29,1.29,,164.83M,167.12M,0.18,,,
2018-09,750.41M,750.41M,13.53M,374.84M,388.37M,3.925M,,392.29M,-1.655M,634.45M,266.20M,52.65M,213.55M,,17.11M,213.55M,213.55M,29.41M,411.78M,,1.20,,,1.20,1.20,,1.19,,,1.19,1.19,,163.05M,165.50M,0.18,,,
2018-06,725.30M,725.30M,15.12M,365.22M,380.34M,4.199M,,384.54M,-1.027M,611.69M,252.19M,42.41M,209.78M,,12.16M,209.78M,209.78M,28.01M,374.93M,,1.22,,,1.22,1.22,,1.20,,,1.20,1.20,,162.15M,165.01M,0.18,,,
2018-03,705.54M,705.54M,11.93M,363.35M,375.28M,4.472M,,379.75M,9.197M,587.76M,246.28M,47.20M,199.08M,,12.22M,199.08M,199.08M,26.08M,347.00M,,1.16,,,1.16,1.16,,1.13,,,1.13,1.13,,161.75M,164.84M,0.17,,,
2017-12,683.07M,683.07M,17.17M,344.55M,361.72M,4.746M,,366.47M,0.00,568.86M,236.57M,42.30M,194.28M,,14.27M,194.28M,194.28M,27.89M,330.51M,,1.12,,,1.12,1.12,,1.10,,,1.10,1.10,,160.40M,164.18M,0.17,,,
2017-09,654.90M,654.90M,10.64M,316.96M,327.60M,5.019M,,332.61M,1.204M,550.95M,241.81M,41.80M,200.01M,,14.27M,200.01M,200.01M,23.80M,328.03M,,1.18,,,1.18,1.18,,1.14,,,1.14,1.14,,157.75M,162.38M,0.17,,,
2017-06,625.96M,625.96M,11.56M,300.29M,311.85M,5.293M,,317.14M,-0.602M,531.96M,220.30M,33.70M,186.60M,,14.34M,186.60M,186.60M,18.58M,287.49M,,1.10,,,1.10,1.10,,1.06,,,1.06,1.06,,157.30M,162.34M,0.17,,,
2017-03,589.21M,589.21M,9.026M,293.25M,302.28M,5.567M,,307.84M,-1.435M,499.68M,213.52M,36.74M,176.77M,,15.15M,176.77M,176.77M,21.68M,266.33M,,1.04,,,1.04,1.04,,1.01,,,1.01,1.01,,155.01M,160.43M,0.16,,,
2016-12,587.69M,587.69M,10.17M,268.54M,278.71M,5.839M,,284.55M,-1.363M,490.62M,228.78M,49.67M,179.12M,,17.38M,179.12M,179.12M,18.12M,275.75M,,1.07,,,1.07,1.07,,1.03,,,1.03,1.03,,152.01M,157.27M,0.16,,,
2016-09,545.46M,545.46M,7.169M,255.97M,263.14M,6.116M,,269.25M,-0.663M,460.60M,202.14M,30.32M,171.82M,,17.38M,171.82M,171.82M,11.87M,245.85M,,1.03,,,1.03,1.03,,1.00,,,1.00,1.00,,149.80M,154.82M,0.16,,,
2016-06,524.99M,524.99M,8.257M,240.38M,248.64M,6.386M,,255.02M,-0.187M,441.62M,200.79M,35.80M,165.00M,,17.38M,165.00M,165.00M,15.34M,238.59M,,1.00,,,1.00,1.00,,0.97,,,0.97,0.97,,147.21M,152.60M,0.16,,,
2016-03,510.42M,510.42M,7.19M,240.51M,247.70M,6.661M,,254.36M,3.268M,424.32M,195.88M,38.38M,157.50M,,16.46M,157.50M,157.50M,10.79M,231.12M,,0.97,,,0.97,0.97,,0.93,,,0.93,0.93,,145.96M,151.70M,0.15,,,
2015-12,486.60M,486.60M,7.617M,221.74M,229.35M,6.933M,,236.29M,-0.515M,404.70M,181.88M,41.84M,140.05M,,15.31M,140.05M,140.05M,-24.80M,218.39M,,0.87,,,0.87,0.87,,0.84,,,0.84,0.84,,144.03M,147.86M,0.15,,,
