,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,293.14M,0.405M,-13.39M,37.58M,3.322M,40.91M,40.91M,-48.53M,34.37M,,-606.19M,,,204.51M,141.02M,345.53M,74.36M,,-32.54M,-32.54M,,184.56M,59.22M,-3.902B,,-1.90B,0.00,-1.90B,0.00,0.00,491.96M,,491.96M,-35.06M,-14.82M,-49.87M,4.461M,-2.577M,4.419B,,3.099B,591.98M,3.691B,,491.96M,0.00,-1.90B,,19.33M,153.82M,,,
2020-06,256.77M,-1.529M,-0.382M,39.32M,3.809M,43.13M,43.13M,-12.35M,34.68M,,-147.60M,,,-213.44M,120.68M,-92.76M,112.59M,,-29.41M,-29.41M,,-153.44M,15.62M,-4.883B,,-845.00M,5.00M,-840.00M,0.00,0.00,,,,-35.08M,-14.82M,-49.89M,5.972M,-41.18M,3.920B,,3.949B,-850.21M,3.099B,,0.00,5.00M,-850.00M,,41.85M,153.92M,,,
2020-03,218.69M,-2.628M,-4.553M,37.15M,3.347M,40.50M,40.50M,1.864M,36.41M,,156.65M,,,13.94M,-294.32M,-280.38M,231.55M,,-38.89M,-38.89M,,-202.58M,-126.16M,-5.528B,,4.55B,-800.00M,3.75B,290.60M,290.60M,,,,-33.28M,-13.02M,-46.30M,7.058M,-9.169M,7.546B,,1.700B,2.250B,3.949B,,290.60M,6.15B,-1.60B,,43.23M,214.86M,,,
2019-12,246.33M,1.541M,1.472M,36.69M,3.084M,39.78M,39.78M,-26.24M,27.55M,,-142.60M,,,-18.79M,-1.001B,-1.020B,-863.69M,,-46.92M,-46.92M,,-959.59M,-38.81M,-5.505B,,1.30B,25.00M,1.325B,0.00,0.00,382.50M,,192.50M,-32.50M,-10.71M,-43.20M,4.902M,-3.147M,5.887B,,2.182B,-482.04M,1.700B,,382.50M,2.35B,-1.05B,,34.98M,209.52M,,,
2019-09,234.84M,0.683M,0.561M,32.67M,3.54M,36.21M,36.21M,-49.77M,25.47M,,-85.90M,,,81.48M,914.32M,995.80M,1.174B,,-50.73M,-50.73M,,-1.147B,-24.84M,-5.318B,,1.10B,775.00M,1.875B,0.00,0.00,0.00,,0.00,-32.44M,-12.79M,-45.23M,4.256M,-17.59M,4.106B,,2.220B,-38.47M,2.182B,,0.00,2.10B,-1.00B,,20.50M,243.53M,,,
2019-06,222.56M,1.063M,1.078M,28.49M,3.458M,31.95M,31.95M,-17.34M,25.04M,,-198.61M,,,-22.86M,325.01M,302.15M,388.04M,,-36.53M,-36.53M,,-5.777M,-55.89M,-4.993B,,1.40B,0.00,1.40B,0.00,0.00,,,,-32.43M,-12.79M,-45.22M,4.78M,-46.98M,3.132B,,3.693B,-1.473B,2.220B,,0.00,2.20B,-800.00M,,50.04M,191.68M,,,
2019-03,226.59M,0.149M,-0.21M,26.44M,3.27M,29.70M,29.70M,23.51M,26.31M,,-1.514M,,,0.383M,-78.73M,-78.35M,240.24M,,-33.75M,-33.75M,,177.71M,24.84M,-1.218B,,-700.00M,-100.00M,-800.00M,170.58M,170.58M,,,,-30.72M,-12.79M,-43.50M,4.24M,-21.91M,1.860B,,2.811B,882.24M,3.693B,,170.58M,400.00M,-1.10B,,49.80M,163.40M,,,
2018-12,231.42M,1.313M,0.734M,27.02M,3.846M,30.86M,30.86M,-16.55M,26.54M,,0.174M,,,-42.43M,-290.68M,-333.11M,-34.84M,,-34.63M,-34.63M,,136.43M,23.62M,-3.316B,,-900.00M,0.00,-900.00M,-8.347M,-8.347M,0.001M,-200.00M,-200.00M,-30.28M,-16.23M,-46.51M,12.93M,-6.998M,3.149B,,3.014B,-202.49M,2.811B,,-8.346M,0.00,-900.00M,-200.00M,30.62M,166.54M,,,
2018-09,213.55M,1.655M,1.352M,25.05M,4.36M,29.41M,29.41M,-31.68M,25.54M,,37.14M,,,65.14M,440.97M,506.12M,800.06M,,-36.44M,-36.44M,,224.52M,-2.328M,-3.373B,,-50.00M,-500.00M,-550.00M,203.10M,203.10M,-0.052M,0.00,-0.052M,-29.86M,-17.11M,-46.97M,0.00,-0.724M,1.594B,,3.993B,-979.58M,3.014B,,203.04M,700.00M,-750.00M,0.00,3.302M,138.35M,,,
2018-06,209.78M,1.027M,-3.018M,23.56M,4.453M,28.01M,28.01M,-6.17M,20.39M,,20.41M,,,-143.84M,-67.67M,-211.51M,77.26M,,-36.51M,-36.51M,,91.59M,-49.50M,-3.403B,,1.15B,600.00M,1.75B,2.798M,2.798M,290.21M,0.00,290.21M,-29.70M,-12.16M,-41.86M,0.00,-38.47M,3.479B,,3.840B,153.30M,3.993B,,293.01M,1.75B,-600.00M,0.00,63.58M,112.54M,,,
2018-03,199.08M,-9.197M,-9.886M,21.95M,4.126M,26.08M,26.08M,-38.20M,20.66M,,1.79M,,,41.17M,15.02M,56.19M,268.72M,,-26.29M,-26.29M,,2.073B,15.12M,-969.21M,,200.00M,-100.00M,100.00M,3.027M,3.027M,,-150.00M,-150.00M,-28.00M,-12.22M,-40.22M,0.006M,-5.407M,2.243B,,2.297B,1.543B,3.840B,,3.027M,850.00M,-650.00M,-150.00M,0.347M,99.36M,,,
2017-12,194.28M,0.00,-3.065M,24.04M,3.845M,27.89M,27.89M,22.31M,22.45M,,4.667M,,,-70.27M,4.16M,-66.11M,219.46M,,-41.48M,-41.48M,,-1.132B,0.00,-3.912B,,0.00,-350.00M,-350.00M,268.12M,268.12M,0.015M,0.00,0.015M,-27.81M,-14.27M,-42.08M,10.66M,-58.79M,3.308B,,2.682B,-384.58M,2.297B,,268.14M,400.00M,-400.00M,0.00,20.76M,88.32M,,,
2017-09,200.01M,-1.204M,-3.167M,19.90M,3.903M,23.80M,23.80M,-40.20M,21.86M,,15.96M,,,43.76M,18.02M,61.78M,290.16M,,-38.33M,-38.33M,,-694.82M,-8.775M,-3.023B,,727.48M,300.00M,1.027B,2.296M,2.296M,0.00,0.00,0.00,-27.36M,-14.27M,-41.63M,0.00,-13.15M,3.120B,,2.295B,386.47M,2.682B,,2.296M,1.00B,-272.52M,0.00,21.69M,78.02M,,,
2017-06,186.60M,0.602M,-0.239M,14.69M,3.887M,18.58M,18.58M,-25.55M,15.98M,,-4.968M,,,-27.57M,57.32M,29.75M,244.09M,,-42.09M,-42.09M,,-906.41M,-111.38M,-4.954B,,2.147B,50.00M,2.197B,2.322M,2.322M,193.66M,-150.00M,43.66M,-27.19M,-14.34M,-41.54M,0.00,-38.00M,4.249B,,2.756B,-461.26M,2.295B,,195.98M,2.450B,-302.81M,-150.00M,20.67M,58.69M,,,
2017-03,176.77M,1.435M,-1.929M,17.05M,4.634M,21.68M,21.68M,51.96M,14.95M,,4.37M,,,-59.08M,40.62M,-18.46M,258.43M,,-44.81M,-44.81M,,-701.74M,-1.35M,-2.595B,,393.10M,0.00,393.10M,236.17M,236.17M,,-199.52M,-199.52M,-25.18M,-15.15M,-40.34M,0.00,-10.42M,2.985B,,2.108B,648.66M,2.756B,,236.17M,893.75M,-500.65M,-199.52M,32.05M,57.79M,,,
2016-12,179.12M,1.363M,0.545M,13.92M,4.202M,18.12M,18.12M,-30.64M,16.23M,,74.00M,,,-2.925M,42.02M,39.09M,306.96M,,-29.91M,-29.91M,,-2.296B,-13.46M,-4.606B,,1.299B,-100.00M,1.199B,327.65M,327.65M,0.00,0.00,0.00,-24.50M,-17.38M,-41.87M,0.019M,-4.567M,5.020B,,1.387B,720.76M,2.108B,,327.65M,1.60B,-301.01M,0.00,39.68M,34.81M,,,
2016-09,171.82M,0.663M,-1.122M,8.052M,3.821M,11.87M,11.87M,-43.29M,17.48M,,-32.14M,,,127.85M,45.93M,173.78M,316.40M,,-21.11M,-21.11M,,-1.195B,55.22M,-3.528B,,-58.47M,-750.00M,-808.47M,2.006M,2.006M,0.00,0.00,0.00,-24.46M,-17.38M,-41.84M,0.00,-20.98M,3.034B,,1.564B,-177.09M,1.387B,,2.006M,391.75M,-450.22M,0.00,3.467M,40.85M,,,
2016-06,165.00M,0.187M,-0.635M,12.21M,3.132M,15.34M,15.34M,-17.75M,13.02M,,-61.49M,,,-57.75M,31.42M,-26.33M,101.36M,,-19.76M,-19.76M,,-252.69M,-83.16M,-2.947B,,1.248B,850.00M,2.098B,203.89M,203.89M,0.00,0.00,0.00,-23.81M,-17.38M,-41.18M,0.112M,-22.36M,2.463B,,1.946B,-382.09M,1.564B,,203.89M,1.25B,-1.551M,0.00,18.36M,39.98M,,,
2016-03,157.50M,-3.268M,-4.671M,7.959M,2.83M,10.79M,10.79M,48.15M,9.773M,,6.932M,,,-41.00M,-64.19M,-105.19M,127.77M,,-15.97M,-15.97M,,-880.29M,17.08M,-2.250B,,-200.89M,,-200.89M,2.234M,2.234M,145.18M,0.00,145.18M,-22.19M,-16.46M,-38.65M,0.019M,-12.70M,2.937B,,1.131B,815.04M,1.946B,,147.42M,0.00,-200.89M,0.00,27.78M,32.75M,,,
2015-12,140.05M,0.515M,-0.965M,-27.80M,3.002M,-24.80M,-24.80M,-26.16M,10.11M,-6.809M,21.95M,,,-67.87M,3.199M,-64.67M,94.22M,,-21.76M,-21.76M,,-2.452B,13.03M,-4.152B,,-351.07M,0.00,-351.07M,227.96M,227.96M,0.00,,0.00,-21.68M,-15.31M,-37.00M,0.00,-1.434M,3.393B,,1.796B,-664.67M,1.131B,,227.96M,0.00,-351.07M,,24.28M,38.55M,,,
