,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,401.74M,3.691B,1.711B,5.402B,415.37M,14.70M,430.07M,,5.866B,,,1.319B,,,1.319B,,1.319B,171.62M,85.94M,257.56M,104.80B,604.75M,,104.19B,19.76B,,126.70B,133.23B,,,,,5.00M,5.00M,5.00M,5.00M,15.28B,969.75M,16.25B,104.40B,29.01M,,120.68B,121.88B,,1.647B,5.102B,4.571B,,1.645B,24.16M,11.34B,,,
2020-06,483.16M,3.099B,1.577B,4.676B,,,,,4.676B,,,,,,,,388.26M,171.62M,59.36M,230.98M,100.33B,584.00M,,99.74B,20.21B,,123.73B,128.30B,,,,,5.00M,5.00M,5.00M,5.00M,17.18B,,17.18B,98.53B,,,115.71B,117.73B,,1.147B,4.859B,4.543B,,1.145B,27.19M,10.58B,,,
2020-03,497.13M,3.949B,1.244B,5.193B,,,,,5.193B,,,,,,,,392.95M,171.62M,61.37M,232.98M,95.64B,541.91M,,95.10B,19.90B,,118.50B,123.91B,,,,,0.00,0.00,0.00,0.00,18.02B,,18.02B,93.69B,,,111.72B,113.56B,,1.147B,4.652B,4.544B,,1.145B,17.31M,10.36B,,,
2019-12,361.93M,1.700B,1.282B,2.982B,381.56M,,381.56M,,3.363B,2.795M,526.91M,787.46M,,333.07M,1.650B,-475.93M,1.174B,171.62M,105.37M,276.99M,90.82B,496.10M,,90.32B,19.55B,391.78M,111.99B,116.26B,,,,,350.00M,350.00M,350.00M,800.00M,13.48B,,13.48B,90.13B,,,103.61B,106.41B,,1.147B,4.484B,4.215B,,1.145B,5.131M,9.851B,,,
2019-09,,2.182B,1.401B,3.583B,,,,2.424B,6.007B,,,,,,,,373.69M,198.45M,111.89M,310.34M,86.34B,485.46M,,85.85B,18.46B,,105.00B,111.03B,,,,,300.00M,300.00M,300.00M,775.00M,12.18B,,12.18B,85.72B,,,97.90B,101.60B,,941.68M,4.281B,4.198B,,940.00M,9.83M,9.431B,,,
2019-06,,2.220B,1.438B,3.658B,,,,2.391B,6.049B,,,,,,,,348.61M,198.45M,118.60M,317.04M,82.25B,473.10M,,81.78B,17.23B,,99.68B,105.70B,,,,,0.00,0.00,0.00,0.00,11.07B,,11.07B,83.43B,,,94.51B,96.48B,,941.68M,4.092B,4.186B,,940.00M,0.021M,9.220B,,,
2019-03,,3.693B,1.625B,5.318B,,,,2.137B,7.455B,,,,,,,,339.74M,198.45M,124.87M,323.32M,77.27B,453.12M,,76.82B,17.13B,,94.61B,101.85B,,,,,0.00,0.00,0.00,0.00,9.674B,,9.674B,81.61B,,,91.29B,92.80B,,941.67M,3.914B,4.203B,,940.00M,-13.46M,9.046B,,,
2018-12,342.53M,2.811B,1.779B,4.590B,333.71M,,333.71M,,4.924B,2.795M,427.94M,,,291.63M,722.36M,-389.88M,332.48M,198.45M,130.00M,328.44M,75.96B,439.05M,,75.53B,17.29B,336.55M,94.07B,99.21B,,,,,100.00M,100.00M,100.00M,100.00M,10.37B,,10.37B,79.06B,,,89.44B,90.53B,,941.65M,3.731B,4.024B,,940.00M,-19.38M,8.678B,,,
2018-09,,3.014B,2.000B,5.014B,,,,1.484B,6.498B,,,,,,,,324.05M,198.45M,136.86M,335.31M,72.60B,415.82M,,72.19B,17.39B,,90.24B,96.09B,,,,,100.00M,100.00M,100.00M,100.00M,11.27B,,11.27B,74.76B,,,86.03B,87.43B,,1.142B,3.546B,4.000B,,1.14B,-21.40M,8.667B,,,
2018-06,,3.993B,2.164B,6.157B,,,,1.534B,7.691B,,,,,,,,312.28M,198.45M,145.20M,343.65M,69.19B,397.38M,,68.80B,17.52B,,86.97B,93.85B,,,,,600.00M,600.00M,600.00M,600.00M,11.32B,,11.32B,72.77B,,,84.09B,85.58B,,1.142B,3.380B,3.772B,,1.14B,-17.70M,8.276B,,,
2018-03,,3.840B,2.256B,6.096B,,,,1.266B,7.362B,,,,,,,,299.59M,198.45M,150.40M,348.84M,65.88B,378.78M,,65.50B,17.63B,,83.78B,90.22B,,,,,0.00,0.00,0.00,0.00,10.17B,,10.17B,71.26B,,,81.43B,82.39B,,841.62M,3.212B,3.797B,,840.00M,-14.30M,7.837B,,,
2017-12,,2.297B,2.418B,4.715B,290.21M,,290.21M,444.66M,5.450B,2.795M,347.12M,,,253.45M,603.36M,-307.16M,296.20M,198.45M,157.91M,356.36M,62.93B,365.93M,,62.56B,19.68B,237.70M,82.90B,87.78B,,,,,100.00M,100.00M,100.00M,100.00M,9.972B,,9.972B,68.92B,,,78.89B,79.96B,,991.62M,3.052B,3.779B,,990.00M,-3.84M,7.818B,,,
2017-09,,2.682B,2.312B,4.994B,,,,1.183B,6.177B,,,,,,,,277.81M,198.45M,159.71M,358.16M,60.19B,347.76M,,59.84B,18.66B,,79.13B,84.32B,,,,,0.00,0.00,0.00,450.00M,9.971B,,9.971B,65.44B,,,75.41B,76.89B,,991.58M,2.899B,3.536B,,990.00M,0.55M,7.428B,,,
2017-06,,2.295B,2.236B,4.531B,,,,1.147B,5.678B,,,,,,,,260.31M,203.18M,162.92M,366.10M,57.96B,338.31M,,57.62B,17.99B,,76.24B,80.98B,,,,,150.00M,150.00M,150.00M,150.00M,9.243B,,9.243B,63.29B,,,72.54B,73.72B,,991.58M,2.741B,3.525B,,990.00M,2.182M,7.260B,,,
2017-03,,2.756B,2.038B,4.794B,,,,954.96M,5.749B,,,,,,,,236.77M,203.18M,168.82M,372.00M,54.11B,314.98M,,53.80B,17.11B,,71.51B,76.50B,,,,,0.00,0.00,0.00,100.00M,7.100B,,7.100B,61.21B,,,68.31B,69.42B,,941.57M,2.596B,3.547B,,940.00M,3.749M,7.089B,,,
2016-12,,2.108B,2.007B,4.115B,225.31M,7.086M,232.40M,296.22M,4.644B,1.32M,225.20M,,,214.89M,441.40M,-233.81M,207.59M,203.18M,174.81M,377.99M,52.42B,306.40M,,52.11B,16.28B,234.06M,68.97B,73.28B,,,,,0.00,0.00,0.00,100.00M,6.711B,,6.711B,58.60B,,,65.31B,66.37B,,1.141B,2.460B,3.302B,,1.140B,6.339M,6.909B,,,
2016-09,,1.387B,1.711B,3.098B,,,,845.23M,3.943B,,,,,,,,190.21M,171.62M,178.67M,350.29M,50.37B,296.10M,,50.08B,13.88B,,64.49B,67.99B,,,,,100.00M,100.00M,100.00M,200.00M,5.412B,,5.412B,55.06B,,,60.47B,61.55B,,1.141B,2.322B,2.962B,,1.140B,18.82M,6.444B,,,
2016-06,,1.564B,1.483B,3.047B,,,,971.14M,4.018B,,,,,,,,181.65M,171.62M,181.56M,353.17M,48.05B,278.73M,,47.77B,12.65B,,60.95B,64.73B,,,,,850.00M,850.00M,850.00M,950.00M,5.475B,,5.475B,51.16B,,,56.64B,58.42B,,1.141B,2.192B,2.959B,,1.140B,13.71M,6.306B,,,
2016-03,,1.946B,1.810B,3.756B,,,,797.12M,4.553B,,,,,,,,174.86M,171.62M,184.96M,356.58M,45.44B,265.58M,,45.17B,12.48B,,58.18B,62.10B,,,,,,,,100.00M,4.226B,,4.226B,50.94B,,,55.16B,56.12B,,1.141B,2.060B,2.773B,,1.140B,10.61M,5.985B,,,
2015-12,,1.131B,2.911B,4.042B,178.53M,,178.53M,264.71M,4.525B,1.32M,163.70M,,,191.44M,356.45M,-184.44M,172.01M,171.62M,190.94M,362.55M,44.13B,261.06M,,43.87B,11.46B,199.01M,55.86B,58.98B,,,,,0.00,0.00,0.00,100.00M,4.427B,,4.427B,47.89B,,,52.32B,53.28B,,990.99M,1.950B,2.770B,,989.52M,-5.22M,5.706B,,,
2015-09,,1.796B,1.584B,3.380B,,,,702.12M,4.082B,,,,,,,,161.63M,106.55M,148.76M,255.31M,42.60B,250.41M,,42.35B,9.047B,,51.82B,55.38B,,,,,,,,100.00M,4.778B,,4.778B,44.34B,,,49.12B,49.99B,,990.95M,1.847B,2.534B,,989.52M,12.91M,5.384B,,,
2015-06,,1.368B,1.250B,2.618B,,,,753.89M,3.375B,,,,,,,,163.76M,106.55M,152.59M,259.14M,41.13B,235.87M,,40.89B,8.647B,,49.96B,53.12B,,,,,,,,100.00M,5.153B,,5.153B,41.89B,,,47.04B,47.85B,,990.95M,1.749B,2.523B,,989.52M,2.128M,5.265B,,,
2015-03,,1.645B,1.429B,3.073B,,,,786.49M,3.860B,,,,,,,,162.05M,106.55M,155.10M,261.64M,39.07B,219.22M,,38.85B,8.338B,,47.61B,51.07B,,,,,,,,,5.354B,,5.354B,39.94B,,,45.29B,45.99B,,890.95M,1.653B,2.522B,,889.52M,8.554M,5.075B,,,
2014-12,,817.15M,1.393B,2.211B,144.22M,,144.22M,159.06M,2.543B,1.32M,125.88M,,,177.86M,305.06M,-139.35M,165.70M,106.55M,159.02M,265.57M,38.08B,207.34M,,37.87B,7.467B,167.27M,45.77B,48.35B,,,,,,,,,5.707B,,5.707B,37.13B,,,42.84B,43.57B,,890.91M,1.571B,2.314B,,889.52M,3.096M,4.778B,,,
2014-09,,1.373B,1.648B,3.021B,,,,749.55M,3.770B,,,,,,,,162.99M,106.55M,160.78M,267.33M,36.86B,195.05M,,36.67B,6.452B,,43.55B,46.68B,,,,,,,,,5.713B,,5.713B,35.61B,,,41.32B,42.00B,,890.91M,1.489B,2.306B,,889.52M,-0.237M,4.686B,,,
2014-06,,1.751B,1.992B,3.743B,,,,708.33M,4.451B,,,,,,,,162.74M,106.55M,157.03M,263.58M,36.51B,181.31M,,36.33B,6.129B,,42.89B,46.23B,,,,,,,,,5.987B,,5.987B,35.03B,,,41.02B,41.64B,,890.90M,1.386B,2.297B,,889.52M,16.27M,4.590B,,,
