,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.141B,1.141B,281.00M,859.90M,307.20M,195.50M,,0.60M,,0.80M,0.80M,,502.70M,357.20M,0.80M,,0.80M,6.30M,0.80M,364.30M,39.10M,325.20M,,325.20M,319.93M,357.20M,,2020-09,0.52,,0.52,,2020-09,0.52,,0.52,,2020-09,,2020-09,AOR,
2020-06,925.00M,925.00M,238.20M,686.80M,274.90M,182.10M,,-399.50M,,,1.80M,,457.00M,229.80M,,,1.80M,-399.20M,1.80M,-168.20M,-46.30M,-121.90M,,-121.90M,168.61M,229.80M,,2020-06,-0.20,,-0.20,,2020-06,-0.20,,-0.20,,2020-06,,2020-06,AOR,
2020-03,1.129B,1.129B,265.10M,863.60M,307.80M,187.40M,,-10.30M,,,4.50M,,495.20M,368.40M,,,4.50M,-8.40M,4.50M,364.50M,53.90M,310.60M,,310.60M,317.76M,368.40M,,2020-03,0.4967,,0.4967,,2020-03,0.49,,0.49,,2020-03,,2020-03,AOR,
2019-12,1.174B,1.174B,286.20M,887.90M,347.20M,193.90M,,-38.00M,,25.00M,4.30M,,541.10M,346.80M,25.00M,,4.30M,-35.60M,4.30M,315.50M,35.30M,280.20M,,280.20M,313.42M,295.30M,,2019-12,0.4467,,0.4467,,2019-12,0.44,,0.44,,2019-12,,2019-12,AOR,
2019-09,1.094B,1.094B,292.40M,801.60M,306.20M,195.50M,,-3.60M,,2.80M,2.80M,,501.70M,299.90M,2.80M,,2.80M,-1.00M,2.80M,301.70M,27.00M,274.70M,,274.70M,275.61M,299.90M,,2019-09,0.44,,0.44,,2019-09,0.43,,0.43,,2019-09,,2019-09,AOR,Restated
2019-06,1.087B,1.087B,304.00M,782.90M,308.50M,191.90M,,-15.00M,,,2.40M,,500.40M,282.50M,,,2.40M,-13.60M,2.40M,271.30M,29.00M,242.30M,,242.30M,254.53M,282.50M,,2019-06,0.39,,0.39,,2019-06,0.38,,0.38,,2019-06,,2019-06,AOR,Restated
2019-03,993.00M,993.00M,231.80M,761.20M,280.30M,171.40M,,-35.30M,,,2.00M,,451.70M,309.50M,,,2.00M,-33.50M,2.00M,278.00M,28.30M,249.70M,,249.70M,279.69M,309.50M,,2019-03,0.40,,0.40,,2019-03,0.3933,,0.3933,,2019-03,,2019-03,AOR,Restated
2018-12,977.70M,977.70M,234.70M,743.00M,288.10M,163.10M,,-297.10M,,,1.80M,,451.20M,291.80M,,,1.80M,-295.40M,1.80M,-1.80M,-8.80M,7.00M,,7.00M,222.28M,10.40M,,2018-12,0.01,,0.01,,2018-12,0.01,,0.01,,2018-12,,2018-12,AOR,Restated
2018-09,906.60M,906.60M,224.90M,681.70M,269.50M,161.80M,,-1.50M,,,-0.50M,,431.30M,250.40M,,,-0.50M,-1.20M,-0.50M,248.70M,22.80M,225.90M,,225.90M,226.72M,250.40M,,2018-09,0.36,,0.36,,2018-09,0.3533,,0.3533,,2018-09,,2018-09,AOR,Restated
2018-06,943.70M,943.70M,246.20M,697.50M,274.90M,154.10M,,-16.40M,,,0.00,,429.00M,268.50M,,,0.00,-17.50M,0.00,251.00M,-31.70M,282.70M,,282.70M,294.67M,268.50M,,2018-06,0.45,,0.45,,2018-06,0.44,,0.44,,2018-06,,2018-06,AOR,Restated
2018-03,894.80M,894.80M,233.60M,661.20M,256.00M,143.20M,,-2.40M,,,0.80M,,399.20M,262.00M,,,0.80M,0.70M,0.80M,263.50M,56.90M,206.60M,,206.60M,205.89M,262.00M,,2018-03,0.3267,,0.3267,,2018-03,0.32,,0.32,,2018-03,,2018-03,AOR,Restated
2017-12,888.50M,888.50M,235.30M,653.20M,272.80M,146.60M,,83.80M,,,1.00M,0.00,419.40M,233.80M,,,1.00M,89.10M,1.00M,323.90M,326.70M,-2.80M,,-2.80M,-52.18M,276.00M,,2017-12,0.0567,,0.0567,,2017-12,0.0567,,0.0567,,2017-12,,2017-12,AOR,Restated
2017-09,821.50M,821.50M,213.30M,608.20M,244.60M,142.90M,,-7.20M,,,-0.10M,,387.50M,220.70M,,,-0.10M,-8.80M,-0.10M,211.80M,41.70M,170.10M,,170.10M,177.25M,220.70M,,2017-09,0.27,,0.27,,2017-09,0.2633,,0.2633,,2017-09,,2017-09,AOR,Restated
2017-06,841.80M,841.80M,211.10M,630.70M,243.80M,134.40M,,-42.00M,,,-1.40M,0.70M,378.90M,251.80M,,,-1.40M,-44.80M,-1.40M,205.60M,19.50M,186.10M,,186.10M,226.55M,251.80M,,2017-06,0.2933,,0.2933,,2017-06,0.2867,,0.2867,,2017-06,,2017-06,AOR,Restated
2017-03,883.50M,883.50M,215.60M,667.90M,229.60M,128.70M,,-11.30M,,,-2.40M,,358.30M,309.60M,,,-2.40M,-13.60M,-2.40M,293.60M,63.40M,230.20M,,230.20M,240.78M,309.60M,,2017-03,0.3633,,0.3633,,2017-03,0.3533,,0.3533,,2017-03,,2017-03,AOR,Restated
2016-12,767.70M,767.70M,213.20M,554.50M,233.60M,114.90M,,-4.80M,,,-1.50M,,348.50M,206.00M,,,-1.50M,-4.10M,-1.50M,200.40M,41.90M,158.50M,,158.50M,162.06M,178.20M,,2016-12,0.2467,,0.2467,,2016-12,0.2433,,0.2433,,2016-12,,2016-12,AOR,Restated
2016-09,739.40M,739.40M,201.40M,538.00M,229.60M,113.00M,,-6.60M,,,-2.10M,,342.60M,195.40M,,,-2.10M,-8.10M,-2.10M,185.20M,43.80M,141.40M,,141.40M,147.66M,195.40M,,2016-09,0.22,,0.22,,2016-09,0.2167,,0.2167,,2016-09,,2016-09,AOR,Restated
2016-06,759.30M,759.30M,202.50M,556.80M,228.80M,147.00M,,-9.50M,,,-2.40M,,375.80M,181.00M,,,-2.40M,-9.60M,-2.40M,169.00M,42.40M,126.60M,,126.60M,133.79M,181.00M,,2016-06,0.20,,0.20,,2016-06,0.1933,,0.1933,,2016-06,,2016-06,AOR,Restated
2016-03,697.30M,697.30M,180.30M,517.00M,212.70M,101.80M,,-17.80M,,,-2.40M,,314.50M,202.50M,,,-2.40M,-16.80M,-2.40M,183.30M,40.30M,143.00M,,143.00M,156.03M,202.50M,,2016-03,0.2233,,0.2233,,2016-03,0.22,,0.22,,2016-03,,2016-03,AOR,Restated
2015-12,671.10M,671.10M,175.90M,495.20M,222.30M,98.00M,,-3.50M,,,-2.60M,,320.30M,174.90M,,,-2.60M,-5.30M,-2.60M,167.00M,26.30M,140.70M,,140.70M,145.25M,171.60M,,2015-12,0.2167,,0.2167,,2015-12,0.2133,,0.2133,,2015-12,,2015-12,AOR,Restated
2015-09,615.50M,615.50M,146.70M,468.80M,212.00M,101.00M,,-2.40M,,,-2.50M,,313.00M,155.80M,,,-2.50M,-2.60M,-2.50M,150.70M,32.60M,118.10M,,118.10M,120.14M,155.80M,,2015-09,0.1833,,0.1833,,2015-09,0.18,,0.18,,2015-09,,2015-09,AOR,Restated
2015-06,616.80M,616.80M,158.60M,458.20M,213.90M,97.50M,,-1.00M,,,-1.80M,,311.40M,146.80M,,,-1.80M,-2.80M,-1.80M,142.20M,29.50M,112.70M,,112.70M,115.16M,146.80M,,2015-06,0.1733,,0.1733,,2015-06,0.17,,0.17,,2015-06,,2015-06,AOR,Restated
2015-03,590.30M,590.30M,136.00M,454.30M,202.50M,86.40M,,-0.30M,,,-2.40M,,288.90M,165.40M,,,-2.40M,-0.50M,-2.40M,162.50M,39.10M,123.40M,,123.40M,124.01M,165.40M,,2015-03,0.19,,0.19,,2015-03,0.1867,,0.1867,,2015-03,,2015-03,AOR,Restated
2014-12,618.00M,618.00M,160.40M,457.60M,223.10M,94.20M,,-4.60M,,,-1.70M,,317.30M,140.30M,,,-1.70M,-5.70M,-1.70M,132.90M,23.70M,109.20M,,109.20M,114.13M,818.90M,,2014-12,0.17,,0.17,,2014-12,0.1667,,0.1667,,2014-12,,2014-12,AOR,Restated
2014-09,607.40M,607.40M,168.10M,439.30M,222.20M,87.60M,,-4.90M,,,-2.50M,,309.80M,129.50M,,,-2.50M,-6.40M,-2.50M,120.60M,26.00M,94.60M,,94.60M,99.54M,129.50M,,2014-09,0.1483,,0.1483,,2014-09,0.145,,0.145,,2014-09,,2014-09,AOR,Restated
2014-06,575.10M,575.10M,151.20M,423.90M,215.50M,89.10M,,697.40M,,,-3.10M,,304.60M,119.30M,,,-3.10M,697.00M,-3.10M,813.20M,266.20M,547.00M,,547.00M,77.92M,119.30M,,2014-06,0.8633,,0.8633,,2014-06,0.8483,,0.8483,,2014-06,,2014-06,AOR,Restated
2014-03,522.40M,522.40M,145.90M,376.50M,197.20M,85.80M,,-9.30M,,,-3.50M,,283.00M,93.50M,,,-3.50M,-12.70M,-3.50M,77.30M,17.00M,60.30M,,60.30M,70.13M,93.50M,,2014-03,0.095,,0.095,,2014-03,0.0933,,0.0933,,2014-03,,2014-03,AOR,Restated
2013-12,536.00M,536.00M,143.80M,392.20M,186.60M,78.60M,,-23.40M,,,-4.00M,,265.20M,127.00M,,,-4.00M,-22.70M,-4.00M,100.30M,25.20M,75.10M,,75.10M,92.40M,175.50M,,2013-12,0.115,,0.115,,2013-12,0.1133,,0.1133,,2013-12,,2013-12,AOR,Restated
2013-09,495.60M,495.60M,128.20M,367.40M,177.80M,84.10M,,-4.00M,,,-1.00M,,261.90M,105.50M,,,-1.00M,-4.70M,-1.00M,99.80M,23.00M,76.80M,,76.80M,80.65M,105.50M,,2013-09,0.115,,0.115,,2013-09,0.1133,,0.1133,,2013-09,,2013-09,AOR,Restated
2013-06,517.20M,517.20M,123.60M,393.60M,186.60M,80.50M,,-5.50M,,,-0.40M,,267.10M,126.50M,,,-0.40M,-5.60M,-0.40M,120.50M,27.20M,93.30M,,93.30M,97.63M,126.50M,,2013-06,0.1383,,0.1383,,2013-06,0.135,,0.135,,2013-06,,2013-06,AOR,Restated
2013-03,496.70M,496.70M,121.00M,375.70M,182.40M,79.80M,,78.10M,,,0.20M,,262.20M,113.50M,,,0.20M,76.90M,0.20M,190.60M,46.70M,143.90M,,143.90M,85.76M,113.50M,,2013-03,0.21,,0.21,,2013-03,0.2067,,0.2067,,2013-03,,2013-03,AOR,Restated
2012-12,510.50M,510.50M,122.20M,388.30M,170.00M,74.90M,,-22.80M,,,0.00,,244.90M,143.40M,,,0.00,-24.10M,0.00,119.30M,29.90M,89.40M,,89.40M,107.16M,116.10M,,2012-12,0.1317,,0.1317,,2012-12,0.1283,,0.1283,,2012-12,,2012-12,AOR,Restated
