,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,447.26M,,,,75.16M,75.16M,3.928M,10.71M,12.41M,,15.31M,-287.44M,42.48M,-8.101M,164.37M,,5.139M,-83.56M,481.22M,-106.27M,,,,-20.05M,,-5.139M,-131.45M,-1.032M,-152.62M,-153.65M,,0.00,0.00,-163.74M,-163.74M,1.567M,,-315.82M,1.165B,33.94M,6.614M,1.206B,,0.00,-1.032M,0.00,93.58M,28.06M
2020-06,268.04M,,,,71.90M,71.90M,10.31M,9.047M,12.92M,,11.91M,164.88M,-166.49M,19.64M,-26.03M,,-8.169M,-16.17M,367.95M,-86.57M,-0.021M,-0.021M,,-14.92M,,2.374M,-99.13M,638.86M,-641.27M,-2.415M,,-42.02M,-42.02M,-156.48M,-156.48M,1.144M,,-199.77M,1.095B,69.05M,1.32M,1.165B,,989.88M,-351.02M,-42.02M,57.53M,47.12M
2020-03,268.78M,,,,70.62M,70.62M,-7.003M,18.65M,12.58M,,15.40M,-153.09M,-27.91M,-3.913M,71.90M,,-19.93M,-132.94M,246.09M,-99.22M,0.021M,0.021M,,-11.47M,,,-110.67M,-1.086M,807.29M,806.20M,,-169.18M,-169.18M,-157.80M,-157.80M,16.40M,,495.62M,493.26M,631.05M,-18.67M,1.095B,,0.00,-1.086M,-169.18M,14.11M,27.82M
2019-12,204.42M,,,,72.70M,72.70M,-21.52M,139.64M,12.32M,,23.04M,280.71M,153.32M,17.14M,-116.48M,,5.207M,339.89M,770.49M,-81.59M,28.13M,28.13M,,-28.27M,,-1.106M,-82.84M,983.25M,-1.249B,-265.67M,,-81.34M,-81.34M,-157.10M,-157.10M,5.478M,,-498.63M,302.64M,189.02M,1.61M,493.26M,,984.50M,-1.256M,-81.34M,75.31M,34.34M
2019-09,325.18M,,,,74.50M,74.50M,-2.332M,8.779M,15.87M,,10.27M,-295.86M,-1.44M,-21.72M,197.34M,,3.479M,-118.20M,314.06M,-60.33M,,,,-423.85M,,-7.077M,-491.26M,-0.745M,391.89M,391.14M,,-191.44M,-191.44M,-157.73M,-157.73M,73.93M,,115.91M,365.96M,-61.29M,-2.037M,302.64M,,0.096M,-0.841M,-191.44M,25.84M,33.00M
2019-06,313.27M,,,,72.02M,72.02M,7.483M,13.37M,13.16M,,15.62M,155.39M,-166.66M,26.92M,-102.78M,,1.586M,-85.55M,349.37M,-83.46M,-0.075M,-0.075M,,-11.39M,,0.154M,-94.76M,2.731M,-282.19M,-279.46M,,-55.93M,-55.93M,-149.02M,-149.02M,126.83M,,-357.58M,465.96M,-102.98M,2.978M,365.96M,,3.65M,-0.919M,-55.93M,108.19M,36.90M
2019-03,303.88M,,,,72.33M,72.33M,1.30M,1.152M,10.56M,,8.497M,-99.99M,-6.41M,-8.74M,53.48M,,-6.098M,-67.76M,329.96M,-92.81M,0.075M,0.075M,,-18.88M,,,-111.62M,-1.765M,-28.99M,-30.76M,,-198.50M,-198.50M,-146.46M,-146.46M,34.57M,,-341.14M,588.00M,-122.81M,0.775M,465.96M,,1.37M,-3.135M,-198.50M,28.73M,35.27M
2018-12,331.60M,,,,69.34M,69.34M,34.91M,56.17M,13.62M,,14.84M,220.78M,99.16M,19.28M,-148.72M,,-3.857M,186.64M,707.13M,-87.39M,3.107M,3.107M,,-446.38M,,,-530.66M,-0.039M,-247.56M,-247.60M,,-47.84M,-47.84M,-147.34M,-147.34M,29.87M,0.00,-412.91M,823.79M,-236.43M,0.642M,588.00M,,-0.046M,0.007M,-47.84M,23.87M,32.60M
2018-09,265.41M,,,,74.81M,74.81M,0.263M,4.952M,12.12M,,8.221M,-313.06M,35.19M,-33.22M,232.01M,,3.277M,-75.80M,289.98M,-105.30M,30.53M,30.53M,,166.81M,,,92.04M,-304.34M,402.26M,97.92M,,0.00,0.00,-147.30M,-147.30M,25.23M,0.00,-24.14M,467.35M,357.88M,-1.442M,823.79M,,-0.03M,-304.31M,0.00,24.57M,38.43M
2018-06,223.32M,,,,76.58M,76.58M,-1.441M,46.50M,13.09M,,5.157M,110.75M,-135.82M,-33.28M,-43.58M,,-10.44M,-112.38M,250.82M,-75.79M,16.01M,16.01M,,-22.75M,,,-82.52M,1.201B,-1.196B,5.587M,,-21.59M,-21.59M,-133.58M,-133.58M,6.338M,-29.50M,-172.75M,476.43M,-4.442M,-4.64M,467.35M,,1.200B,1.382M,-21.59M,57.58M,23.13M
