,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.206B,,1.206B,829.51M,829.51M,326.56M,120.13M,687.00M,958.48M,56.12M,,157.10M,3.207B,0.0,116.33M,1.369B,3.156B,229.77M,196.93M,5.068B,-2.655B,2.413B,1.982B,1.479B,3.460B,,25.16M,149.21M,6.048B,9.255B,589.59M,73.65M,663.24M,695.75M,1.359B,,,45.68M,788.33M,834.01M,35.20M,869.20M,,,,2.228B,4.093B,187.71M,4.281B,211.27M,211.27M,261.29M,2.959M,,204.59M,4.958B,7.186B,221.55M,1.800B,1.170B,773.16M,,,-352.31M,2.066B
2020-06,1.165B,,1.165B,540.40M,540.40M,348.00M,132.24M,694.35M,999.38M,40.82M,,157.02M,2.903B,0.0,106.74M,1.301B,3.143B,222.85M,254.04M,5.028B,-2.639B,2.388B,1.979B,1.483B,3.462B,,24.76M,133.65M,6.008B,8.911B,530.04M,54.09M,584.13M,612.70M,1.197B,,149.88M,48.42M,788.45M,986.75M,31.23M,1.018B,,,,2.215B,4.091B,184.63M,4.276B,205.11M,205.11M,266.96M,2.484M,,192.26M,4.940B,7.155B,221.55M,1.517B,1.162B,779.18M,,,-367.19M,1.754B
2020-03,1.095B,,1.095B,705.64M,705.64M,324.67M,117.82M,564.91M,832.19M,48.72M,,173.40M,2.855B,0.0,106.33M,1.294B,3.134B,219.29M,214.00M,4.968B,-2.598B,2.370B,1.977B,1.488B,3.464B,,25.06M,141.65M,6.001B,8.855B,531.93M,61.27M,593.20M,645.48M,1.239B,,800.36M,37.26M,788.69M,1.626B,27.81M,1.654B,,,,2.893B,3.454B,183.34M,3.637B,197.04M,197.04M,265.16M,3.31M,,189.04M,4.288B,7.181B,221.55M,1.404B,1.153B,742.16M,,,-365.74M,1.671B
2019-12,493.26M,,493.26M,568.51M,568.51M,271.12M,98.84M,614.70M,815.25M,84.06M,,154.34M,2.117B,0.0,105.63M,1.299B,3.120B,220.68M,209.79M,4.955B,-2.581B,2.374B,1.986B,1.495B,3.481B,,31.03M,137.48M,6.023B,8.140B,550.83M,19.92M,570.75M,673.06M,1.244B,,,,735.67M,735.67M,29.21M,764.88M,,,0.105M,2.009B,3.531B,184.16M,3.715B,200.02M,200.02M,269.98M,5.772M,,201.64M,4.387B,6.395B,221.55M,1.290B,1.142B,591.04M,,,-323.97M,1.739B
2019-09,302.64M,,302.64M,849.22M,849.22M,280.86M,121.34M,738.80M,969.07M,62.96M,,167.83M,2.375B,0.0,104.27M,1.256B,3.094B,225.96M,197.90M,4.878B,-2.552B,2.326B,1.982B,1.597B,3.579B,,29.81M,154.47M,6.089B,8.464B,553.56M,74.08M,627.65M,697.00M,1.325B,,,,1.628B,1.628B,28.97M,1.657B,,,0.376M,2.982B,2.892B,188.96M,3.081B,200.16M,200.16M,251.41M,8.429M,,187.47M,3.720B,6.703B,359.90M,7.526B,1.130B,6.939B,,,-324.14M,1.753B
2019-06,365.96M,,365.96M,538.75M,538.75M,264.53M,155.14M,710.21M,957.95M,52.94M,,154.62M,2.094B,0.0,103.23M,1.224B,3.044B,232.03M,247.67M,4.851B,-2.512B,2.339B,1.806B,1.395B,3.201B,,29.69M,130.08M,5.700B,7.794B,479.79M,16.75M,496.54M,621.94M,1.118B,,,,1.240B,1.240B,28.60M,1.269B,,,0.376M,2.387B,2.888B,194.66M,3.083B,197.10M,197.10M,258.21M,8.961M,,184.04M,3.722B,6.109B,359.90M,7.358B,1.075B,6.782B,,,-336.74M,1.675B
2019-03,465.96M,,465.96M,694.14M,694.14M,245.85M,147.88M,569.49M,791.29M,47.74M,,194.38M,2.217B,0.0,103.12M,1.220B,2.981B,219.14M,268.20M,4.791B,-2.464B,2.327B,1.804B,1.401B,3.205B,,1.184M,107.29M,5.640B,7.857B,500.63M,74.56M,575.20M,619.88M,1.195B,,,,1.172B,1.172B,30.18M,1.203B,,,0.596M,2.398B,3.236B,179.64M,3.416B,181.38M,181.38M,259.40M,8.623M,,179.10M,4.036B,6.434B,359.90M,7.193B,996.18M,6.786B,,,-348.52M,1.415B
2018-12,588.00M,,588.00M,594.14M,594.14M,237.09M,107.14M,618.80M,784.88M,68.49M,,180.25M,2.239B,0.0,102.07M,1.211B,2.988B,,280.56M,4.582B,-2.451B,2.130B,1.801B,1.405B,3.206B,,1.166M,126.60M,5.464B,7.703B,502.31M,33.77M,536.09M,678.57M,1.215B,,,,,1.203B,,1.203B,,,0.596M,2.419B,3.254B,,3.254B,176.86M,176.86M,261.54M,8.545M,,184.50M,3.877B,6.296B,359.90M,7.032B,982.20M,6.619B,,,-356.78M,1.399B
2018-09,823.79M,,823.79M,814.92M,814.92M,241.61M,108.54M,700.31M,880.67M,45.14M,,185.69M,2.794B,0.0,103.44M,1.231B,2.989B,,260.60M,4.584B,-2.491B,2.093B,1.677B,1.129B,2.806B,,2.844M,140.00M,5.042B,7.836B,581.48M,61.03M,642.51M,663.97M,1.306B,,,,,1.452B,,1.452B,,,,2.759B,3.254B,,3.254B,144.98M,144.98M,246.30M,14.37M,,182.93M,3.828B,6.587B,359.90M,6.843B,957.76M,6.590B,,,-335.95M,1.235B
2018-06,467.35M,,467.35M,501.86M,501.86M,266.80M,137.70M,681.72M,916.44M,70.32M,,162.01M,2.365B,0.0,109.36M,1.236B,2.959B,,230.46M,4.535B,-2.451B,2.084B,1.675B,1.131B,2.806B,,2.726M,147.77M,5.041B,7.406B,496.86M,30.34M,527.20M,597.71M,1.125B,,,,,1.351B,,1.351B,,,38.02M,2.514B,3.250B,,3.250B,141.20M,141.20M,247.91M,13.87M,,188.78M,3.828B,6.342B,359.90M,6.727B,940.05M,6.609B,,,-367.82M,1.050B
