,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.220B,2.220B,1.140B,1.080B,468.61M,10.71M,-10.71M,38.06M,0.798M,-37.26M,,468.61M,611.41M,0.798M,38.06M,-37.26M,-11.64M,-37.26M,562.51M,115.25M,447.26M,,,0.025M,447.28M,455.80M,675.73M,75.16M,600.56M,2.21,,,2.251,2.21,2.14,,,2.181,2.14,208.30M,209.14M,0.804
2020-06,1.707B,1.707B,914.78M,792.55M,408.95M,7.447M,-7.677M,38.86M,0.777M,-38.08M,,408.95M,383.60M,0.777M,38.86M,-38.08M,-11.45M,-38.08M,334.08M,66.04M,268.04M,,,0.859M,268.90M,275.06M,444.83M,71.90M,372.93M,1.33,,,1.36,1.33,1.29,,,1.319,1.29,208.25M,209.07M,0.773
2020-03,2.037B,2.037B,1.171B,866.62M,475.38M,11.10M,-19.54M,37.84M,1.584M,-36.26M,,475.38M,391.24M,1.584M,37.84M,-36.26M,-19.97M,-36.26M,335.01M,66.23M,268.78M,,,2.354M,271.14M,286.81M,443.48M,70.62M,372.85M,1.33,,,1.436,1.33,1.29,,,1.365,1.29,148.30M,210.15M,0.773
2019-12,2.068B,2.068B,1.156B,911.91M,517.20M,31.89M,-140.41M,38.58M,1.145M,-37.44M,,517.20M,394.71M,1.145M,38.58M,-37.44M,-142.96M,-37.44M,214.32M,9.903M,204.42M,,,2.769M,207.19M,341.11M,325.60M,72.70M,252.90M,1.02,,,1.661,1.02,0.98,,,1.617,0.98,209.01M,210.36M,0.773
2019-09,2.134B,2.134B,1.191B,943.32M,481.36M,8.779M,-9.919M,36.34M,0.879M,-35.46M,,481.36M,461.96M,0.879M,36.34M,-35.46M,-19.14M,-35.46M,407.36M,82.18M,325.18M,,,0.125M,325.31M,333.22M,518.19M,74.50M,443.70M,1.59,,,1.6280000000000001,1.59,1.54,,,1.577,1.54,209.85M,211.31M,0.773
2019-06,1.767B,1.767B,892.47M,874.74M,453.79M,8.633M,-19.51M,37.80M,4.025M,-33.78M,,453.79M,420.95M,4.025M,37.80M,-33.78M,-24.01M,-33.78M,363.17M,49.90M,313.27M,,,-0.431M,312.84M,329.68M,472.99M,72.02M,400.97M,1.54,,,1.62,1.54,1.48,,,1.56,1.48,209.37M,210.82M,0.722
2019-03,2.016B,2.016B,1.124B,892.50M,453.57M,1.152M,-1.214M,39.41M,1.948M,-37.46M,,453.57M,438.93M,1.948M,39.41M,-37.46M,-5.539M,-37.46M,395.93M,92.05M,303.88M,,,0.477M,304.36M,305.29M,507.67M,72.33M,435.34M,1.49,,,1.496,1.49,1.45,,,1.454,1.45,148.71M,210.33M,0.722
2018-12,1.988B,1.988B,1.044B,944.35M,486.04M,27.26M,-64.41M,39.80M,2.175M,-37.63M,,486.04M,458.32M,2.175M,39.80M,-37.63M,-76.72M,-37.63M,343.97M,12.37M,331.60M,,,5.191M,336.79M,398.89M,453.12M,69.34M,383.78M,1.65,,,1.946,1.65,1.6,,,1.8940000000000001,1.6,210.00M,211.05M,0.722
2018-09,2.080B,2.080B,1.216B,863.49M,453.92M,3.303M,-6.612M,38.74M,1.819M,-36.92M,,453.92M,409.57M,1.819M,38.74M,-36.92M,-15.80M,-36.92M,356.85M,91.44M,265.41M,,,-1.70M,263.71M,268.63M,470.40M,74.81M,395.59M,1.29,,,1.3130000000000002,1.29,1.25,,,1.273,1.25,209.78M,210.68M,0.722
2018-06,1.752B,1.752B,958.20M,793.42M,449.55M,19.33M,-47.48M,36.76M,1.812M,-34.95M,,449.55M,343.87M,1.812M,36.76M,-34.95M,-48.91M,-34.95M,260.01M,36.69M,223.32M,,,3.536M,226.86M,267.64M,373.35M,76.58M,296.77M,1.11,,,1.305,1.11,1.08,,,1.274,1.08,209.57M,210.38M,0.6559999999999999
