,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-06,621.02M,0.548M,621.56M,125.14M,,125.14M,160.20M,,,466.20M,1.373B,0.0,133.75M,111.26M,532.43M,,80.40M,,857.84M,-421.87M,435.97M,617.52M,62.39M,679.91M,,,,244.96M,215.37M,1.576B,2.949B,9.308M,,,9.308M,227.69M,237.00M,,,,,581.83M,581.83M,,124.54M,943.37M,1.263B,,1.263B,,,,,58.72M,239.54M,1.503B,2.446B,0.301M,-21.12B,21.55B,,,10.78M,444.49M
2008-03,483.02M,1.485M,484.51M,174.35M,,174.35M,28.21M,,,242.35M,929.42M,0.0,222.27M,166.80M,765.39M,,69.28M,,1.224B,-617.07M,606.67M,1.021B,68.30M,1.089B,,,,226.31M,214.87M,2.137B,3.066B,12.24M,,,12.24M,324.92M,337.17M,,140.00M,,140.00M,566.56M,566.56M,,21.71M,1.065B,1.263B,,1.263B,,,,,62.22M,235.03M,1.498B,2.564B,0.299M,-21.05B,21.47B,,,18.65M,440.30M
2007-12,1.377B,,1.377B,208.80M,19.76M,228.56M,25.34M,,59.92M,72.86M,1.763B,0.0,222.75M,165.73M,771.96M,,69.30M,,1.230B,-607.82M,621.92M,1.082B,121.79M,1.204B,,,,,447.41M,2.274B,4.037B,398.12M,,,398.12M,2.878M,401.00M,,,,,581.36M,583.99M,2.632M,,984.99M,1.265B,,1.265B,41.13M,,41.13M,,54.48M,194.45M,1.501B,2.486B,0.297M,-21.06B,22.56B,2.734M,0.289M,3.023M,1.497B
2007-09,1.061B,61.10M,1.122B,220.23M,,220.23M,31.81M,,77.18M,84.38M,1.536B,,,,,,,,1.125B,-525.51M,599.20M,1.268B,213.25M,1.481B,,,,183.26M,226.78M,2.490B,4.026B,9.519M,,,9.519M,313.54M,323.06M,,,,,525.00M,526.12M,1.116M,,849.18M,1.263B,,1.263B,13.69M,,13.69M,,52.33M,228.36M,1.505B,2.354B,0.293M,-20.82B,22.44B,,,-0.27M,1.620B
2007-06,656.52M,94.31M,750.82M,206.00M,,206.00M,37.44M,,80.06M,116.95M,1.191B,,,,,,,,1.107B,-525.51M,581.14M,1.262B,242.00M,1.504B,,,,218.05M,195.46M,2.499B,3.690B,15.50M,,,15.50M,317.15M,332.65M,,,,,505.12M,506.14M,1.025M,33.80M,872.59M,,,,12.95M,,12.95M,,47.68M,235.49M,248.44M,1.121B,0.244M,-20.83B,23.36B,,,-6.987M,2.521B
2007-03,523.02M,147.93M,670.95M,219.56M,,219.56M,96.54M,,80.62M,30.76M,1.098B,,,,,,,,1.107B,-525.51M,581.35M,1.262B,276.77M,1.539B,,,,209.53M,196.99M,2.527B,3.625B,301.71M,,,301.71M,15.36M,317.07M,,,,,485.06M,486.16M,1.106M,30.68M,833.92M,,,,12.97M,,12.97M,,49.15M,230.36M,243.33M,1.077B,0.244M,-20.83B,23.33B,,,-5.134M,2.499B
2006-12,478.75M,198.66M,677.40M,241.57M,,241.57M,73.37M,,81.77M,258.24M,1.332B,0.0,222.75M,178.80M,729.26M,,,,1.131B,-525.51M,605.29M,1.442B,333.43M,1.776B,,,,179.02M,81.65M,2.642B,3.974B,682.00M,,,682.00M,3.818M,685.81M,,199.00M,,199.00M,448.41M,449.86M,1.448M,24.60M,1.359B,,,,24.85M,,24.85M,,47.72M,165.55M,190.40M,1.550B,0.279M,-20.93B,23.31B,-6.415M,-1.983M,-8.398M,2.377B
2006-09,439.25M,220.56M,659.81M,326.84M,80.00M,406.84M,87.48M,,123.95M,68.00M,1.346B,0.0,222.66M,173.55M,692.70M,,,,1.089B,-497.28M,591.63M,1.442B,325.86M,1.768B,,,,206.60M,71.10M,2.637B,3.983B,29.06M,,,29.06M,666.50M,695.56M,,199.00M,,199.00M,436.87M,438.85M,1.975M,4.997M,1.338B,,,,25.69M,,25.69M,,47.44M,161.36M,187.06M,1.525B,0.244M,-20.90B,23.32B,,,-8.379M,2.410B
2006-06,426.42M,256.54M,682.96M,297.04M,80.00M,377.04M,75.20M,,127.66M,77.31M,1.340B,0.0,222.52M,165.07M,666.98M,,,,1.055B,-471.24M,583.33M,1.344B,328.94M,1.673B,,,,,262.32M,2.518B,3.859B,43.39M,,,43.39M,630.33M,673.72M,,174.00M,,174.00M,417.58M,419.56M,1.975M,4.034M,1.271B,,,,25.69M,,25.69M,,46.85M,153.04M,178.74M,1.450B,0.243M,-20.92B,23.29B,,,-9.706M,2.362B
2006-03,431.25M,328.18M,759.43M,265.51M,,265.51M,82.83M,,16.96M,4.766M,1.129B,,,,,,,,980.55M,-423.55M,557.00M,1.188B,267.04M,1.455B,,,,,68.28M,2.080B,3.210B,541.90M,,,541.90M,7.248M,549.15M,,,,,401.34M,401.34M,,6.248M,956.74M,,,,29.01M,,29.01M,,41.63M,152.64M,181.65M,1.138B,0.245M,-21.13B,23.17B,,,-11.45M,2.030B
2005-12,476.83M,378.01M,854.83M,279.77M,,279.77M,55.84M,,15.91M,27.47M,1.234B,0.0,222.52M,158.94M,600.37M,,,,981.82M,-423.55M,558.27M,1.069B,225.30M,1.294B,,,,,94.38M,1.947B,3.181B,68.29M,,,68.29M,507.00M,575.29M,,,,,371.57M,371.57M,,6.822M,953.68M,,,,19.07M,,19.07M,,41.48M,143.05M,162.12M,1.116B,0.246M,-21.31B,23.37B,,,-36.75M,2.023B
2005-09,309.94M,438.24M,748.18M,271.21M,,271.21M,90.19M,,17.29M,,1.127B,,,,,,,,912.06M,-383.77M,528.29M,,1.231B,1.231B,,,,,92.55M,1.852B,2.979B,476.15M,,,476.15M,8.354M,484.50M,,,,,369.69M,369.69M,,,854.19M,,,,20.94M,,20.94M,,39.50M,141.03M,161.98M,1.016B,0.257M,-21.42B,23.36B,,,-20.99M,1.923B
2005-06,449.58M,431.96M,881.54M,279.98M,,279.98M,87.27M,,18.19M,21.31M,1.288B,,,,,,,,906.65M,-383.77M,522.88M,,1.217B,1.217B,,,,,90.18M,1.830B,3.119B,121.93M,,,121.93M,367.02M,488.95M,,,,,357.97M,357.97M,,,846.93M,,,,23.33M,,23.33M,,38.65M,138.54M,161.87M,1.009B,0.264M,-21.46B,23.55B,,,-14.62M,2.071B
2005-03,389.38M,431.34M,820.71M,257.74M,,257.74M,64.87M,,18.90M,,1.162B,,,,,,,,869.95M,-361.21M,508.74M,,944.46M,944.46M,,,,,90.50M,1.544B,2.706B,404.07M,,,404.07M,10.05M,414.12M,,,,,335.73M,335.73M,,,749.84M,,,,26.87M,,26.87M,,37.83M,135.91M,162.79M,912.63M,0.255M,-21.50B,23.27B,,,-10.33M,1.755B
2004-12,330.64M,406.78M,737.42M,198.32M,,198.32M,51.32M,,19.06M,,1.006B,0.0,222.52M,137.03M,486.20M,,,,845.75M,-337.38M,508.36M,,969.26M,969.26M,,,,,109.12M,1.587B,2.593B,382.02M,,,382.02M,11.70M,393.72M,,,,,305.87M,305.87M,,,699.60M,126.15M,,126.15M,31.32M,,31.32M,,36.28M,7.54M,165.00M,864.60M,0.253M,-21.55B,23.25B,,,-7.538M,1.692B
2004-09,231.45M,374.26M,605.71M,183.42M,,183.42M,57.67M,,10.97M,,857.76M,,,,,,,,784.21M,-284.98M,499.22M,,992.44M,992.44M,,,,,108.09M,1.600B,2.458B,334.92M,,,334.92M,12.54M,347.46M,,,,,299.87M,299.87M,,,647.32M,,,,23.94M,,23.94M,,33.04M,131.81M,155.75M,803.07M,0.254M,-21.67B,23.30B,,,-9.956M,1.621B
2004-06,326.27M,247.51M,573.78M,147.95M,,147.95M,63.68M,,11.48M,,796.90M,,,,,,,,789.64M,-284.98M,504.66M,,1.017B,1.017B,,,,,110.17M,1.632B,2.429B,303.79M,,,303.79M,19.23M,323.02M,,,,,290.79M,290.79M,,,613.81M,,,,26.53M,,26.53M,,31.94M,129.13M,155.67M,769.48M,0.254M,-21.71B,23.35B,,,-9.38M,1.628B
2004-03,406.68M,251.18M,657.87M,107.21M,,107.21M,51.12M,,11.20M,,827.40M,,,,,,,,790.44M,-284.98M,505.45M,,746.83M,746.83M,,,,,121.96M,1.374B,2.202B,255.09M,,,255.09M,17.58M,272.67M,,,,,268.41M,268.41M,,,541.08M,,,,,,,,27.98M,135.46M,135.46M,676.54M,0.248M,-21.73B,23.23B,,,-4.008M,1.497B
2003-12,393.79M,329.90M,723.69M,100.12M,,100.12M,45.94M,,10.67M,,880.41M,0.0,222.50M,74.52M,448.94M,59.25M,,,805.20M,-284.98M,520.22M,,618.04M,618.04M,,,,,81.56M,1.220B,2.100B,45.56M,,,45.56M,264.16M,309.72M,,,,,245.48M,245.48M,,,555.21M,,,,,,,,28.83M,132.53M,132.53M,687.74M,0.242M,-21.74B,23.13B,,,-4.63M,1.384B
2003-09,380.82M,218.01M,598.84M,99.66M,,99.66M,56.12M,,6.537M,,761.16M,,,,,,,,771.65M,-192.96M,578.69M,,820.22M,820.22M,,,,,54.86M,1.454B,2.215B,287.03M,,,287.03M,27.27M,314.30M,,,,,321.04M,321.04M,,,635.34M,,,,,,,,,,199.26M,834.61M,0.241M,-21.71B,23.10B,,,-9.15M,1.380B
2003-06,397.63M,114.58M,512.20M,101.12M,,101.12M,63.47M,,6.524M,,683.32M,,,,,,,,784.40M,-192.96M,591.45M,,897.92M,897.92M,,,,,53.72M,1.543B,2.226B,281.19M,,,281.19M,28.91M,310.10M,,,,,326.74M,326.74M,,,636.84M,,,,175.06M,,175.06M,,,16.00M,191.06M,827.90M,0.239M,-21.68B,23.08B,,,-8.331M,1.399B
2003-03,317.98M,157.16M,475.14M,119.42M,,119.42M,65.40M,,6.025M,,665.98M,,,,,,,,785.61M,-192.96M,592.65M,,1.075B,1.075B,,,,,34.14M,1.702B,2.368B,287.45M,,,287.45M,,287.45M,,,,,334.63M,334.63M,,31.07M,653.15M,,,,160.79M,,160.79M,,,19.08M,179.87M,833.02M,0.239M,-21.53B,23.08B,,,-9.792M,1.535B
2002-12,282.29M,121.62M,403.90M,134.12M,,134.12M,56.62M,,9.658M,,604.30M,0.0,222.52M,136.23M,443.56M,,,,802.31M,-192.96M,609.35M,1.130B,,1.130B,,,,,48.06M,1.787B,2.391B,278.54M,,,278.54M,28.85M,307.40M,,,,,357.95M,357.95M,,,665.34M,,,,125.89M,,125.89M,,,20.66M,146.55M,811.89M,0.238M,-21.48B,23.07B,,,-12.85M,1.579B
2002-09,212.65M,114.39M,327.04M,206.00M,,206.00M,74.72M,,,,607.76M,,,,,,,,713.66M,-93.24M,620.42M,,1.305B,1.305B,,,,,65.48M,1.991B,2.599B,297.31M,,,297.31M,14.79M,312.10M,,,,,400.19M,400.19M,,24.96M,737.25M,,,,91.88M,,91.88M,,,152.47M,244.35M,981.60M,0.237M,-21.44B,23.07B,,,-12.64M,1.617B
2002-06,177.29M,104.36M,281.65M,247.10M,,247.10M,81.96M,,,,610.71M,,,,,,,,702.03M,-93.24M,608.80M,,1.351B,1.351B,,,,,122.18M,2.082B,2.692B,290.75M,,,290.75M,,290.75M,,,,,438.33M,438.33M,,50.12M,779.20M,,,,82.72M,,82.72M,,,143.26M,225.99M,1.005B,0.237M,-21.36B,23.07B,,,-19.39M,1.687B
2002-03,186.12M,119.64M,305.76M,282.70M,,282.70M,86.09M,,,,674.55M,,,,,,,,705.98M,-93.24M,612.74M,,6.030B,6.030B,,,,,211.74M,6.854B,7.529B,302.15M,,,302.15M,46.34M,348.49M,,,,,446.90M,446.90M,,,795.39M,,,,84.99M,,84.99M,,,167.16M,252.15M,1.048B,0.236M,-16.56B,23.06B,,,-24.95M,6.481B
2001-12,306.05M,420.64M,726.70M,314.92M,,314.92M,48.94M,,,,1.091B,0.0,222.52M,101.06M,302.21M,,,,625.78M,-93.24M,532.55M,5.691B,,5.691B,,,,,223.23M,6.447B,7.538B,313.45M,,,313.45M,49.07M,362.52M,,,,,471.33M,471.33M,,,833.84M,,,,26.55M,,26.55M,,,171.04M,197.59M,1.031B,0.234M,-16.52B,23.05B,,,-26.83M,6.506B
2001-09,565.72M,149.07M,714.78M,228.38M,,228.38M,41.01M,,,,984.17M,,,,,,,,168.42M,-34.78M,133.64M,,4.701B,4.701B,,,,66.64M,509.46M,5.410B,6.395B,247.19M,,,247.19M,,247.19M,,,,,442.62M,442.62M,,,689.82M,,,,,,,,,,146.20M,836.02M,0.203M,-16.12B,21.70B,,,-28.18M,5.559B
2001-06,450.01M,348.16M,798.17M,189.62M,,189.62M,29.06M,,,,1.017B,,,,,,,,167.86M,-34.78M,133.07M,,5.067B,5.067B,,,,63.43M,488.23M,5.752B,6.769B,222.66M,,,222.66M,,222.66M,,,,,435.25M,435.25M,,,657.91M,,,,,,,,,,138.39M,796.29M,0.203M,-15.73B,21.73B,,,-31.39M,5.972B
2001-03,363.65M,546.28M,909.93M,161.15M,,161.15M,29.18M,,,,1.100B,,,,,,,,149.52M,-34.78M,114.74M,,16.29B,16.29B,,,,21.57M,362.44M,16.79B,17.89B,204.38M,,,204.38M,,204.38M,,,,,435.34M,435.34M,,12.00M,651.72M,,,,,,,,,,109.66M,761.38M,0.20M,-4.540B,21.70B,,,-35.74M,17.12B
2000-12,460.36M,565.91M,1.026B,128.01M,,128.01M,,,,32.15M,1.186B,,,,,,,,140.39M,-34.78M,105.60M,,17.66B,17.66B,,,,,246.55M,18.01B,19.20B,193.95M,,,193.95M,,193.95M,,,,,,,,471.53M,665.48M,,,,,,,,,,59.14M,724.61M,0.199M,-3.163B,21.67B,,,-37.31M,18.47B
2000-09,497.55M,593.75M,1.091B,,,83.51M,,,,88.18M,1.263B,,,,,,,,133.74M,-47.26M,86.48M,,18.93B,18.93B,,,,,245.20M,19.26B,20.53B,161.40M,,,161.40M,,161.40M,,,,,,,,502.32M,663.71M,,,,133.17M,,133.17M,,,68.69M,201.86M,865.58M,0.197M,-1.851B,21.49B,,,18.26M,19.66B
2000-06,1.014B,31.29M,1.045B,,,55.68M,,,,111.65M,1.212B,,,,,,,,102.00M,-13.78M,88.22M,,19.99B,19.99B,,,,,241.58M,20.32B,21.53B,149.60M,,,149.60M,,149.60M,,,,,,,,475.54M,625.14M,,,,174.15M,,174.15M,,,95.30M,269.45M,894.58M,0.194M,-526.54M,21.13B,,,41.15M,20.64B
2000-03,108.38M,15.26M,123.64M,,,33.87M,,,,10.09M,167.61M,,,,,,,,26.88M,-12.18M,14.70M,,1.472B,1.472B,,,,,234.42M,1.721B,1.889B,6.789M,,,6.789M,,6.789M,,,,,,,,57.32M,64.11M,,,,,,,,-0.019M,,0.00,64.11M,0.115M,-73.61M,1.819B,,,78.70M,1.824B
1999-12,70.38M,86.10M,156.48M,,,22.73M,,,,3.635M,182.84M,,,,,,,,21.66M,-11.47M,10.19M,,,,,,,,148.13M,158.32M,341.17M,10.90M,,,10.90M,,10.90M,,,,,,,,31.78M,42.68M,,,,,,,,,,0.128M,42.81M,0.103M,-47.45M,258.24M,,,87.47M,298.36M
1999-09,69.50M,90.60M,160.10M,,,20.00M,,,,4.80M,184.90M,,,,,,,,16.90M,-7.10M,9.80M,,,,,,,,48.30M,58.10M,243.00M,6.40M,,,6.40M,,6.40M,,,,,,,,29.60M,36.00M,,,,,,,,0.20M,,0.00,36.00M,0.10M,-52.00M,223.90M,,,34.80M,206.80M
1999-06,92.20M,62.50M,154.70M,,,16.50M,,,,4.70M,175.90M,,,,,,,,18.00M,-8.10M,9.90M,,,,,,,,11.00M,20.90M,196.80M,7.40M,,,7.40M,,7.40M,,,,,,,,24.70M,32.10M,,,,,,,,0.50M,,0.00,32.10M,0.10M,-53.60M,217.90M,,,-0.20M,164.20M
1999-03,108.90M,,108.90M,,,13.20M,,,,52.80M,174.90M,,,,,,,,18.60M,-8.10M,10.50M,,,,,,,,3.60M,14.10M,189.00M,6.10M,,,6.10M,,6.10M,,,,,,,,19.90M,26.00M,,,,,,,,0.70M,0.10M,0.10M,26.10M,,-53.40M,,,,,162.20M
1998-12,22.80M,,22.80M,,,9.80M,,,,21.10M,53.70M,,,,,,,,16.30M,-7.10M,9.20M,,,,,,,,1.395M,10.60M,64.30M,5.50M,,,5.50M,,5.50M,,,,,,,,17.10M,22.60M,,,,,,,,1.00M,-0.005M,-0.005M,22.60M,,-51.40M,,,,,40.70M
1998-09,18.10M,,18.10M,,,8.50M,,,,26.70M,53.30M,,,,,,,,15.40M,-6.00M,9.40M,,,,,,,,0.90M,10.30M,63.60M,5.50M,,,5.50M,,5.50M,,,,,,,,14.50M,20.00M,,,,,,,,1.30M,-0.10M,-0.10M,19.90M,,-48.30M,,,,,42.40M
1998-06,22.90M,,22.90M,,,4.30M,,,,24.10M,51.30M,,,,,,,,14.10M,-4.90M,9.20M,,,,,,,,0.90M,10.10M,61.40M,1.90M,,,1.90M,,1.90M,,,,,,,,11.40M,13.30M,,,,,,,,1.50M,0.10M,0.10M,13.40M,,-41.50M,,,,,46.50M
1998-03,12.20M,,12.20M,,,4.10M,,,,37.90M,54.20M,,,,,,,,12.80M,-4.00M,8.80M,,,,,,,,0.90M,9.70M,63.90M,1.20M,,,1.20M,,1.20M,,,,,,,,9.70M,10.90M,,,,,,,,1.90M,-0.10M,-0.10M,10.80M,,-36.70M,,,,,51.20M
