,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.704B,652.74M,2.356B,6.117M,,10.11M,37.75M,,,4.207M,2.409B,,,,,257.54M,,,257.54M,,257.54M,52.53M,,52.53M,,,5.673M,15.42M,12.90M,496.80M,2.905B,8.921M,16.12M,,25.04M,72.40M,97.44M,630.82M,630.82M,,630.82M,794.74M,794.74M,,,1.549B,1.783B,,1.783B,214.40M,289.97M,504.37M,,,,2.591B,4.140B,0.326M,-17.54B,16.31B,,,-2.698M,-1.235B
2017-12,465.85M,1.949B,2.415B,5.111M,,11.46M,15.79M,,,4.157M,2.446B,0.0,31.14M,246.65M,468.94M,,4.024M,1.403M,752.16M,-488.65M,263.51M,52.53M,,52.53M,,,5.673M,15.39M,12.93M,495.04M,2.941B,10.52M,13.48M,,24.00M,80.51M,104.50M,627.62M,627.62M,,627.62M,776.93M,776.93M,,,1.561B,1.783B,,1.783B,444.11M,286.10M,730.20M,,,,2.641B,4.201B,0.325M,-17.69B,16.44B,,,-2.941M,-1.260B
2017-09,286.82M,2.079B,2.366B,12.58M,,16.61M,20.00M,,,3.679M,2.406B,,,,,265.31M,,,265.31M,,265.31M,52.53M,,52.53M,,,,20.46M,19.05M,502.34M,2.908B,18.22M,23.02M,,41.24M,61.19M,102.43M,624.47M,624.47M,,624.47M,771.33M,771.33M,,,1.536B,1.782B,,1.782B,401.36M,289.26M,690.62M,,,,2.603B,4.138B,0.325M,-17.80B,16.57B,,,-3.154M,-1.230B
2017-06,242.43M,1.566B,1.808B,9.496M,,13.45M,20.74M,,,1.448M,1.844B,,,,,261.87M,,,261.87M,,261.87M,52.53M,,52.53M,,,,20.65M,20.12M,500.16M,2.344B,27.99M,13.78M,,41.76M,51.06M,92.82M,628.91M,628.91M,,628.91M,764.11M,764.11M,,,1.523B,1.238B,,1.238B,381.51M,292.32M,673.84M,,,,2.024B,3.547B,0.325M,-17.90B,16.70B,,,-2.89M,-1.203B
2017-03,454.59M,1.332B,1.786B,8.054M,,13.32M,16.08M,,,1.46M,1.817B,,,,,262.35M,,,262.35M,,262.35M,52.53M,,52.53M,,,,20.26M,18.15M,498.30M,2.316B,18.94M,6.037M,,24.98M,47.76M,72.73M,625.89M,625.89M,,625.89M,772.06M,772.06M,,,1.499B,1.238B,,1.238B,359.14M,293.89M,653.03M,,,,2.004B,3.503B,0.325M,-18.02B,16.84B,,,-3.107M,-1.188B
2016-12,231.94M,1.566B,1.798B,13.05M,,28.38M,14.38M,,,1.671M,1.842B,0.0,31.14M,246.24M,447.94M,,4.246M,1.35M,730.91M,-464.78M,266.12M,52.53M,,52.53M,,,5.673M,9.385M,9.636M,492.23M,2.335B,19.46M,23.14M,,42.60M,47.72M,90.32M,629.76M,629.76M,,629.76M,740.44M,740.44M,,,1.522B,1.237B,,1.237B,371.43M,287.42M,658.86M,,,,2.013B,3.535B,0.324M,-18.18B,16.99B,,,-3.453M,-1.201B
2016-09,177.78M,1.580B,1.758B,15.77M,,19.48M,16.04M,,,1.733M,1.795B,,,,,270.16M,,,270.16M,,270.16M,52.53M,,52.53M,,,,12.82M,22.50M,503.01M,2.298B,16.03M,16.55M,,32.58M,46.23M,78.81M,626.86M,626.86M,,626.86M,731.54M,731.54M,,,1.482B,1.237B,,1.237B,344.18M,287.21M,631.39M,,,,1.985B,3.467B,0.324M,-18.29B,17.12B,,,-2.685M,-1.169B
2016-06,170.97M,1.736B,1.907B,15.09M,,17.19M,18.19M,,,2.275M,1.945B,,,,,277.94M,,,277.94M,,277.94M,52.53M,,52.53M,,,,13.20M,25.84M,369.52M,2.314B,17.66M,4.485M,,22.15M,42.54M,64.68M,632.31M,632.31M,,632.31M,739.01M,739.01M,,,1.476B,1.236B,,1.236B,326.11M,288.23M,614.34M,,,,1.965B,3.442B,0.324M,-18.40B,17.28B,,,-2.189M,-1.127B
2016-03,234.02M,1.662B,1.896B,16.19M,,30.14M,15.72M,,,4.374M,1.946B,,,,,286.20M,,,286.20M,,286.20M,52.53M,,52.53M,,,,15.32M,23.56M,377.62M,2.324B,19.12M,4.137M,,23.25M,48.64M,71.89M,629.44M,629.44M,,629.44M,748.14M,748.14M,,,1.482B,1.236B,,1.236B,310.86M,288.74M,599.60M,,,,1.950B,3.432B,0.324M,-18.52B,17.41B,,,-3.124M,-1.108B
2015-12,228.66M,1.687B,1.915B,12.64M,,35.74M,14.82M,,,1.935M,1.968B,0.0,31.14M,244.76M,438.67M,,5.406M,1.35M,721.32M,-425.75M,295.57M,52.53M,,52.53M,,,5.673M,17.36M,11.97M,389.81M,2.358B,23.30M,16.94M,,40.24M,47.77M,88.01M,634.33M,634.33M,,634.33M,728.79M,728.79M,,,1.503B,1.235B,,1.235B,294.19M,280.86M,575.05M,,,,1.925B,3.428B,0.323M,-18.63B,17.56B,,,-3.993M,-1.070B
