,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,317.88M,317.88M,45.02M,272.86M,8.389M,38.11M,46.50M,19.71M,,-0.009M,22.54M,0.805M,-21.73M,,66.21M,206.65M,0.805M,22.54M,-21.73M,-0.03M,-21.73M,184.89M,13.91M,170.98M,,,170.98M,170.99M,219.05M,11.62M,207.42M,1.49,,1.49,1.49,1.49,,1.49,1.49,114.66M,114.83M
2020-06,314.36M,314.36M,43.61M,270.76M,8.89M,36.88M,45.78M,18.20M,,5.153M,22.54M,2.274M,-20.26M,,63.98M,206.78M,2.274M,22.54M,-20.26M,5.129M,-20.26M,191.65M,39.17M,152.48M,,,152.48M,148.36M,225.79M,11.61M,214.18M,1.32,,1.284,1.32,1.32,,1.284,1.32,115.35M,115.54M
2020-03,312.52M,312.52M,45.57M,266.95M,6.604M,36.72M,43.33M,17.36M,,,22.54M,4.421M,-18.11M,,60.69M,206.26M,4.421M,22.54M,-18.11M,2.663M,-18.11M,190.81M,-143.30M,334.12M,,,334.12M,334.12M,224.58M,11.23M,213.35M,2.87,,2.87,2.87,2.86,,2.86,2.86,116.38M,116.73M
2019-12,310.54M,310.54M,46.45M,264.09M,13.86M,36.56M,50.42M,15.10M,,0.00,22.71M,5.551M,-17.16M,,65.52M,198.57M,5.551M,22.71M,-17.16M,3.572M,-17.16M,184.98M,36.65M,148.32M,,,148.32M,148.32M,219.69M,12.00M,207.69M,1.27,,1.27,1.27,1.26,,1.26,1.26,117.15M,117.64M
2019-09,308.42M,308.42M,44.44M,263.98M,9.857M,33.89M,43.74M,14.62M,,0.064M,22.63M,6.457M,-16.18M,,58.36M,205.62M,6.457M,22.63M,-16.18M,4.041M,-16.18M,193.48M,39.57M,153.91M,,,153.91M,153.86M,227.56M,11.44M,216.11M,1.3,,1.3,1.3,1.3,,1.3,1.3,118.19M,118.57M
2019-06,306.29M,306.29M,44.07M,262.22M,12.40M,33.18M,45.58M,14.95M,,0.043M,22.64M,7.228M,-15.41M,,60.53M,201.69M,7.228M,22.64M,-15.41M,4.208M,-15.41M,190.49M,42.96M,147.53M,,,147.53M,147.50M,224.42M,11.29M,213.13M,1.24,,1.24,1.24,1.24,,1.24,1.24,118.96M,119.36M
2019-03,306.41M,306.41M,45.50M,260.90M,10.52M,34.00M,44.52M,16.13M,,,22.63M,7.36M,-15.27M,,60.65M,200.25M,7.36M,22.63M,-15.27M,4.843M,-15.27M,189.82M,27.30M,162.53M,,,162.53M,162.53M,224.05M,11.59M,212.46M,1.36,,1.36,1.36,1.35,,1.35,1.35,119.76M,120.32M
2018-12,307.45M,307.45M,48.37M,259.08M,17.18M,32.90M,50.08M,15.04M,,54.84M,22.63M,6.596M,-16.04M,,65.12M,193.97M,6.596M,22.63M,-16.04M,55.97M,-16.04M,233.90M,51.71M,182.20M,,,182.20M,139.48M,268.45M,11.92M,256.54M,1.51,,1.156,1.51,1.5,,1.148,1.5,120.67M,121.41M
2018-09,305.78M,305.78M,48.25M,257.53M,13.87M,34.95M,48.82M,13.71M,,0.00,22.63M,5.823M,-16.81M,,62.53M,195.00M,5.823M,22.63M,-16.81M,0.112M,-16.81M,178.30M,40.62M,137.68M,,,137.68M,137.68M,213.19M,12.26M,200.93M,1.13,,1.13,1.13,1.13,,1.13,1.13,121.68M,122.26M
2018-06,302.45M,302.45M,47.36M,255.09M,16.57M,31.75M,48.32M,13.76M,,-6.554M,28.79M,6.583M,-22.21M,,62.08M,193.01M,6.583M,28.79M,-22.21M,-5.923M,-22.21M,164.88M,36.53M,128.35M,,,128.35M,133.46M,205.75M,12.08M,193.67M,1.13,,1.175,1.13,1.04,,1.081,1.04,113.94M,123.20M
