,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,170.98M,,,,,,11.62M,,11.62M,11.62M,,-5.844M,,,12.68M,,5.463M,,,-31.71M,-0.961M,,-22.64M,-55.31M,,139.59M,-15.04M,,-15.04M,,-20.01M,-116.41M,20.01M,-131.45M,,,,,-173.88M,-173.88M,,,4.281M,,-169.60M,316.11M,-161.46M,0.459M,155.11M,,,,-173.88M,78.79M,13.15M
2020-06,152.48M,,,,,,11.61M,,11.61M,11.61M,,3.003M,,,11.99M,,-9.793M,,,53.20M,-10.17M,,2.996M,46.03M,,215.31M,-10.88M,,-10.88M,,5.153M,-247.73M,,-253.45M,,,,,-154.20M,-154.20M,,,0.00,,-154.20M,508.10M,-192.34M,0.351M,316.11M,,,,-154.20M,10.56M,30.56M
2020-03,334.12M,,,,,,11.23M,,11.23M,11.23M,,-3.003M,,,11.44M,,1.692M,,,-27.41M,0.028M,,-148.04M,-175.42M,,180.06M,-11.01M,,-11.01M,,14.86M,75.24M,,79.08M,,,,,-275.62M,-275.62M,,,8.296M,,-267.33M,517.60M,-8.183M,-1.316M,508.10M,,,,-275.62M,15.91M,13.15M
2019-12,148.32M,,,,,,12.00M,,12.00M,12.00M,,-4.506M,,,12.39M,,1.542M,,,7.086M,8.844M,,8.732M,24.66M,,193.60M,-8.818M,,-8.818M,,-9.872M,415.18M,8.53M,405.02M,,,,,-199.10M,-199.10M,,,0.00,,-199.97M,118.68M,398.65M,0.272M,517.60M,,,,-199.10M,14.78M,30.61M
2019-09,153.91M,,,,,,11.44M,,11.44M,11.44M,,-10.27M,,,12.62M,,6.911M,,,32.24M,-1.869M,,3.131M,33.50M,,208.12M,-11.31M,,-11.31M,,6.311M,-642.36M,-8.53M,-655.89M,,,,,-198.95M,-198.95M,,,4.899M,,-194.05M,760.95M,-641.82M,-0.451M,118.68M,,,,-198.95M,12.98M,13.37M
2019-06,147.53M,,,,,,11.29M,,11.29M,11.29M,,3.854M,,,13.16M,,-4.638M,,,-7.742M,-10.03M,,11.42M,-6.351M,,164.84M,-11.06M,,-11.06M,,-3.353M,1.78M,,-12.63M,,,,,-180.23M,-180.23M,,,0.00,,-180.23M,788.98M,-28.01M,-0.012M,760.95M,,,,-180.23M,48.03M,30.64M
2019-03,162.53M,,,,,,11.59M,,11.59M,11.59M,,-3.854M,,,12.46M,,-0.147M,,,-31.61M,-0.226M,,36.58M,4.749M,,187.33M,-9.133M,,-9.133M,,-2.958M,442.78M,,430.69M,,,,,-204.30M,-204.30M,,,8.253M,,-196.05M,366.75M,421.97M,0.255M,788.98M,,,,-204.30M,14.18M,13.06M
2018-12,182.20M,,,,,,11.92M,,11.92M,11.92M,,-5.513M,,,11.10M,,-0.106M,,,27.35M,7.958M,,38.44M,73.75M,,218.50M,-7.41M,,-7.41M,,,40.85M,0.00,85.68M,0.00,,0.00,,-178.35M,-178.35M,,,0.00,,-178.35M,240.89M,125.83M,0.027M,366.75M,,,0.00,-178.35M,0.473M,30.77M
2018-09,137.68M,,,,,,12.26M,,12.26M,12.26M,,-5.06M,,,15.13M,,1.30M,,,-8.586M,0.688M,,34.05M,26.16M,,187.46M,-10.93M,,-10.93M,,,-27.77M,0.00,-38.70M,0.00,,0.00,,-178.21M,-178.21M,,,5.025M,,-173.18M,265.70M,-24.42M,-0.395M,240.89M,,,0.00,-178.21M,-1.164M,13.21M
2018-06,128.35M,,,,,,12.08M,,12.08M,12.08M,,-3.558M,,,13.30M,,9.447M,,,15.38M,-6.618M,,33.44M,42.20M,,201.82M,-11.01M,,-11.01M,,,-258.50M,0.00,-269.51M,-1.250B,,-1.250B,,-128.86M,-128.86M,,,0.00,,-1.379B,1.713B,-1.447B,-0.757M,265.70M,,,-1.250B,-128.86M,12.64M,30.64M
