,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,574.43M,,574.43M,714.16M,714.16M,97.67M,,49.84M,1.843B,0.00,,500.88M,262.69M,164.81M,928.37M,-555.87M,372.50M,223.06M,5.594M,228.65M,113.53M,,714.69M,2.557B,,130.77M,71.73M,202.50M,311.17M,513.67M,0.239M,,0.239M,78.60M,78.84M,435.12M,,,1.047B,,223.87M,223.87M,,,81.64M,305.51M,1.352B,,0.113M,29.94M,1.180B,,,-4.732M,1.205B,,AOR,
2020-09,587.00M,,587.00M,690.26M,690.26M,83.73M,,46.95M,1.854B,0.00,,494.73M,259.93M,161.73M,916.39M,-538.77M,377.62M,210.20M,0.783M,210.99M,120.80M,,709.41M,2.563B,,132.65M,41.86M,174.51M,314.30M,488.81M,,0.233M,0.233M,76.57M,76.80M,,,,1.053B,0.062M,223.14M,223.20M,,,93.08M,316.28M,1.369B,,0.114M,42.80M,1.167B,,,-16.00M,1.194B,,AOR,
2020-06,501.48M,,501.48M,665.41M,665.41M,87.60M,,47.58M,1.720B,0.00,,548.36M,245.29M,154.59M,948.24M,-581.99M,366.25M,209.83M,1.08M,210.91M,105.07M,,682.23M,2.402B,,142.49M,52.26M,194.75M,257.19M,451.94M,,0.228M,0.228M,75.10M,75.32M,,,,977.17M,0.122M,205.28M,205.40M,,,63.10M,268.50M,1.246B,,0.115M,29.70M,1.154B,,,-27.15M,1.157B,,AOR,
2020-03,249.91M,,249.91M,853.53M,853.53M,92.30M,,47.19M,1.607B,0.00,,547.64M,241.88M,150.27M,939.80M,-571.32M,368.48M,209.50M,1.392M,210.90M,88.82M,,668.20M,2.275B,,137.34M,55.90M,193.25M,254.89M,448.14M,,0.223M,0.223M,71.30M,71.52M,,,,913.35M,0.181M,204.59M,204.77M,,,26.80M,231.57M,1.145B,,0.115M,22.48M,1.141B,,,-33.69M,1.130B,,AOR,
2019-12,270.48M,,270.48M,832.80M,832.80M,84.36M,,42.77M,1.629B,0.00,,544.36M,241.03M,150.64M,936.04M,-566.62M,369.41M,210.36M,1.752M,212.12M,101.03M,,682.56M,2.311B,,123.84M,23.45M,147.30M,280.92M,428.21M,,0.218M,0.218M,71.41M,71.63M,421.20M,,,940.69M,0.239M,201.96M,202.20M,,,24.83M,227.03M,1.168B,,0.115M,36.07M,1.127B,,,-19.99M,1.144B,,AOR,Restated
2019-09,312.74M,,312.74M,852.84M,852.84M,370.66M,,94.94M,1.631B,0.00,,573.29M,253.18M,171.38M,997.85M,-630.26M,367.59M,209.98M,2.058M,212.04M,100.76M,,680.39M,2.312B,,126.82M,41.92M,168.74M,331.03M,499.77M,,0.214M,0.214M,70.85M,71.07M,,,,977.44M,0.295M,200.76M,201.06M,,,21.24M,222.30M,1.200B,,0.116M,23.60M,1.114B,,,-25.87M,1.112B,,AOR,Restated
2019-06,269.44M,,269.44M,842.29M,842.29M,360.95M,,92.24M,1.565B,0.00,,674.74M,252.35M,168.88M,1.096B,-727.28M,368.69M,210.25M,2.452M,212.70M,93.10M,,674.50M,2.239B,,127.48M,29.88M,157.36M,290.16M,447.51M,,0.209M,0.209M,70.18M,70.38M,,,,909.51M,0.35M,199.84M,200.19M,,,20.50M,220.68M,1.130B,,0.118M,22.87M,1.102B,,,-15.86M,1.109B,,AOR,Restated
2019-03,269.64M,,269.64M,826.37M,826.37M,345.84M,,90.16M,1.532B,0.00,,668.93M,259.85M,161.68M,1.090B,-716.25M,374.21M,210.13M,2.773M,212.90M,85.48M,,672.59M,2.205B,,131.72M,64.80M,196.52M,261.93M,458.45M,,0.204M,0.204M,71.06M,71.27M,,,,900.73M,0.404M,205.61M,206.02M,,,20.83M,226.85M,1.128B,,0.118M,4.485M,1.090B,,,-18.01M,1.077B,,AOR,Restated
2018-12,276.58M,,276.58M,794.45M,794.45M,52.89M,,37.99M,1.474B,0.00,,673.71M,,160.52M,834.23M,-709.06M,125.18M,209.96M,3.149M,213.11M,91.20M,,429.49M,1.903B,,168.03M,36.45M,204.48M,263.07M,467.56M,,0.20M,0.20M,0.00,0.20M,,,,819.54M,0.457M,0.00,0.457M,,,19.91M,20.36M,839.90M,,0.119M,0.00,1.079B,,,-16.11M,1.063B,,AOR,Restated
2018-09,361.74M,,361.74M,834.35M,834.35M,332.92M,,83.39M,1.612B,0.00,,657.81M,10.29M,154.27M,822.37M,-697.20M,125.18M,210.48M,3.547M,214.03M,83.30M,,422.51M,2.035B,,167.20M,50.07M,217.27M,311.44M,528.71M,,,0.195M,,0.195M,,,,896.28M,0.509M,,0.509M,,,18.88M,19.38M,915.66M,,0.121M,31.31M,1.098B,,,-9.792M,1.119B,,AOR,Restated
