,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,94.42M,-34.12M,-34.12M,15.18M,0.217M,15.40M,15.40M,6.875M,12.86M,,5.768M,-10.61M,-55.81M,-12.06M,,9.549M,-68.93M,31.89M,,-4.499M,,,,,73.23M,52.89M,,-0.056M,-0.056M,,-68.16M,-68.16M,-38.63M,-38.63M,,,-106.85M,,587.00M,-22.07M,9.495M,574.43M,,,-0.056M,-68.16M,,,,AOR,
2020-09,75.75M,-32.74M,-32.74M,15.59M,0.334M,15.92M,15.92M,-15.73M,13.06M,,5.062M,-15.56M,97.04M,5.308M,,-7.275M,79.51M,138.70M,,-6.614M,,,,,6.197M,-0.417M,,-0.055M,-0.055M,,-21.04M,-21.04M,-38.38M,-38.38M,,,-59.48M,,501.48M,78.81M,6.709M,587.00M,,,-0.055M,-21.04M,,,,AOR,
2020-06,46.20M,,,15.60M,0.33M,15.93M,15.93M,-16.31M,13.04M,,4.281M,190.61M,45.36M,8.362M,,-8.467M,235.87M,301.02M,,-7.988M,,,,,-6.677M,-14.66M,,-0.054M,-0.054M,,-0.009M,-0.009M,-38.44M,-38.44M,,,-38.50M,,249.91M,247.85M,3.723M,501.48M,,,-0.054M,-0.009M,,,,AOR,
2020-03,89.92M,,,15.91M,0.338M,16.25M,16.25M,12.02M,13.52M,,3.288M,-36.70M,33.92M,-1.607M,,-10.38M,-14.76M,124.93M,,-14.28M,,,,,-14.07M,-28.35M,,-0.053M,-0.053M,,-69.97M,-69.97M,-40.48M,-40.48M,,,-110.50M,,270.48M,-13.92M,-6.643M,249.91M,,,-0.053M,-69.97M,,,,AOR,
2019-12,112.84M,-13.46M,-13.46M,15.78M,0.339M,16.12M,16.12M,0.212M,13.50M,,1.964M,23.83M,-134.23M,-14.89M,,71.37M,-53.92M,80.62M,,-14.33M,,,,,-14.28M,-28.61M,,-0.052M,-0.052M,,-63.49M,-63.49M,-35.93M,-35.93M,,,-99.47M,,312.74M,-47.46M,5.192M,270.48M,,,-0.052M,-63.49M,,,,AOR,Restated
2019-09,117.18M,-31.03M,-31.03M,16.74M,0.339M,17.08M,17.08M,-7.67M,11.89M,,1.288M,-21.34M,102.13M,7.648M,,-8.958M,79.48M,191.18M,,-16.51M,,,,,-9.287M,-25.80M,,-0.05M,-0.05M,,-80.43M,-80.43M,-35.74M,-35.74M,,,-116.22M,,269.44M,49.16M,-5.856M,312.74M,,,-0.05M,-80.43M,,,,AOR,Restated
2019-06,114.61M,,,16.09M,0.341M,16.43M,16.43M,-7.751M,11.67M,,-10.87M,-15.65M,2.931M,4.087M,,-7.163M,-15.79M,120.75M,,-15.96M,,,,,-8.694M,-24.65M,,-0.049M,-0.049M,,-61.27M,-61.27M,-36.07M,-36.07M,,,-97.40M,,269.64M,-1.297M,1.092M,269.44M,,,-0.049M,-61.27M,,,,AOR,Restated
2019-03,109.80M,,,15.65M,0.342M,15.99M,15.99M,5.736M,11.24M,,11.24M,-35.29M,18.87M,3.159M,,-4.751M,-18.02M,127.08M,,-12.67M,,,,,-10.41M,-23.08M,,-0.049M,-0.049M,,-72.34M,-72.34M,-37.89M,-37.89M,,,-110.28M,,276.58M,-6.28M,-0.654M,269.64M,,,-0.049M,-72.34M,,,,AOR,Restated
2018-12,113.56M,,,15.90M,0.371M,16.27M,16.27M,-7.458M,11.95M,,11.95M,32.88M,-75.04M,-14.98M,,,-37.33M,123.04M,,-15.30M,,,,,-18.04M,-33.34M,,-0.047M,-0.047M,,-137.11M,-137.11M,-33.73M,-33.73M,,,-170.88M,,361.74M,-81.18M,-3.985M,276.58M,,,-0.047M,-137.11M,,,,AOR,Restated
2018-09,115.24M,,,15.94M,0.429M,16.37M,16.37M,1.761M,11.06M,,11.06M,-38.52M,68.04M,7.102M,,,36.62M,185.31M,,-9.925M,,,,,-8.157M,-18.08M,,-0.046M,-0.046M,,-78.40M,-78.40M,-33.71M,-33.71M,,,-112.16M,,308.66M,55.08M,-1.991M,361.74M,,,-0.046M,-78.40M,,,,AOR,Restated
