,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.11B,2.11B,1.39B,720.00M,22.00M,96.00M,118.00M,1.00M,,-87.00M,111.00M,2.00M,-109.00M,6.00M,125.00M,595.00M,2.00M,111.00M,-109.00M,-94.00M,-109.00M,392.00M,109.00M,283.00M,,,283.00M,344.36M,618.00M,115.00M,2020-09,0.38,,,,,2020-09,0.38,,0.4620,0.38,,2020-09,747.00M,748.45M,0.00,,2020-09,AOR,
2020-06,1.631B,1.631B,1.283B,348.00M,18.00M,84.00M,102.00M,2.00M,,2.00M,103.00M,2.00M,-101.00M,6.00M,110.00M,238.00M,2.00M,103.00M,-101.00M,-5.00M,-101.00M,132.00M,60.00M,72.00M,,,72.00M,68.35M,352.00M,117.00M,2020-06,0.10,,,,,2020-06,0.10,,0.0951,0.10,,2020-06,746.90M,746.98M,0.00,,2020-06,AOR,
2020-03,1.728B,1.728B,1.382B,346.00M,22.00M,74.00M,96.00M,1.00M,,4.00M,85.00M,1.00M,-84.00M,5.00M,102.00M,244.00M,1.00M,85.00M,-84.00M,-13.00M,-84.00M,147.00M,-3.00M,150.00M,,,150.00M,152.92M,355.00M,123.00M,2020-03,0.20,,,,,2020-03,0.20,,0.2039,0.20,,2020-03,746.53M,747.16M,0.34,,2020-03,AOR,
2019-12,1.548B,1.548B,1.301B,247.00M,22.00M,94.00M,116.00M,2.00M,,36.00M,89.00M,8.00M,-81.00M,76.00M,194.00M,53.00M,8.00M,89.00M,-81.00M,15.00M,-81.00M,-13.00M,1.00M,-14.00M,,,-14.00M,-40.28M,204.00M,128.00M,2019-12,-0.02,,,,,2019-12,-0.02,,-0.0552,-0.02,,2019-12,745.88M,745.88M,0.34,,2019-12,AOR,
2019-09,1.671B,1.671B,1.399B,272.00M,20.00M,85.00M,105.00M,1.00M,,-25.00M,91.00M,6.00M,-85.00M,-62.00M,44.00M,228.00M,6.00M,91.00M,-85.00M,-41.00M,-85.00M,102.00M,3.00M,99.00M,,,99.00M,124.24M,328.00M,135.00M,2019-09,0.13,,,,,2019-09,0.13,,0.1638,0.13,,2019-09,745.63M,746.51M,0.34,,2019-09,AOR,Restated
2019-06,1.692B,1.692B,1.39B,302.00M,21.00M,80.00M,101.00M,2.00M,,-9.00M,91.00M,6.00M,-85.00M,6.00M,109.00M,193.00M,6.00M,91.00M,-85.00M,-17.00M,-85.00M,91.00M,-37.00M,128.00M,,,128.00M,133.11M,306.00M,124.00M,2019-06,0.17,,,,,2019-06,0.17,,0.1768,0.17,,2019-06,745.49M,746.23M,0.34,,2019-06,AOR,Restated
2019-03,1.643B,1.643B,1.322B,321.00M,21.00M,89.00M,110.00M,1.00M,,-25.00M,107.00M,10.00M,-97.00M,8.00M,119.00M,202.00M,10.00M,107.00M,-97.00M,-498.00M,-97.00M,-393.00M,-104.00M,-289.00M,,,-289.00M,-268.41M,-163.00M,123.00M,2019-03,-0.39,,,,,2019-03,-0.39,,-0.3624,-0.39,,2019-03,746.60M,746.60M,0.34,,2019-03,AOR,Restated
2018-12,1.636B,1.636B,1.345B,291.00M,22.00M,82.00M,104.00M,2.00M,,-4.00M,97.00M,24.00M,-73.00M,9.00M,115.00M,176.00M,24.00M,97.00M,-73.00M,-217.00M,-73.00M,-114.00M,-21.00M,-93.00M,,,-93.00M,-93.82M,108.00M,125.00M,2018-12,-0.12,,,,,2018-12,-0.12,,-0.1211,-0.12,,2018-12,748.63M,749.96M,0.34,,2018-12,AOR,Restated
2018-09,1.91B,1.91B,1.452B,458.00M,20.00M,78.00M,98.00M,2.00M,,-10.00M,93.00M,13.00M,-80.00M,9.00M,109.00M,349.00M,13.00M,93.00M,-80.00M,-29.00M,-80.00M,240.00M,-15.00M,255.00M,,,255.00M,263.76M,455.00M,122.00M,2018-09,0.34,,,,,2018-09,0.34,,0.3516,0.34,,2018-09,754.99M,757.39M,0.34,,2018-09,AOR,Restated
2018-06,2.065B,2.065B,1.447B,618.00M,23.00M,80.00M,103.00M,2.00M,,-8.00M,92.00M,11.00M,-81.00M,31.00M,136.00M,482.00M,11.00M,92.00M,-81.00M,-19.00M,-81.00M,382.00M,65.00M,317.00M,,,317.00M,321.98M,593.00M,119.00M,2018-06,0.42,,,,,2018-06,0.42,,0.4265,0.42,,2018-06,757.83M,760.53M,0.32,,2018-06,AOR,Restated
2018-03,1.865B,1.865B,1.348B,517.00M,23.00M,78.00M,101.00M,2.00M,,-5.00M,93.00M,12.00M,-81.00M,3.00M,106.00M,411.00M,12.00M,93.00M,-81.00M,-31.00M,-81.00M,299.00M,30.00M,269.00M,,,269.00M,275.30M,512.00M,120.00M,2018-03,0.35,,,,,2018-03,0.35,,0.3583,0.35,,2018-03,756.82M,759.46M,0.32,,2018-03,AOR,Restated
2017-12,1.823B,1.823B,1.316B,507.00M,21.00M,72.00M,93.00M,2.00M,,71.00M,96.00M,10.00M,-86.00M,8.00M,103.00M,404.00M,10.00M,96.00M,-86.00M,56.00M,-86.00M,374.00M,103.00M,271.00M,,,271.00M,219.55M,597.00M,127.00M,2017-12,0.36,0.00,,,,2017-12,0.36,,0.2922,0.36,,2017-12,755.44M,758.49M,0.32,,2017-12,AOR,Restated
2017-09,1.872B,1.872B,1.374B,498.00M,22.00M,75.00M,97.00M,4.00M,,-207.00M,98.00M,12.00M,-86.00M,-12.00M,89.00M,409.00M,12.00M,98.00M,-86.00M,-220.00M,-86.00M,103.00M,-27.00M,130.00M,,,130.00M,252.40M,333.00M,132.00M,2017-09,0.17,,,,,2017-09,0.17,,0.3317,0.17,,2017-09,753.54M,756.90M,0.31,,2017-09,AOR,Restated
2017-06,1.808B,1.808B,1.336B,472.00M,22.00M,76.00M,98.00M,4.00M,,-202.00M,100.00M,9.00M,-91.00M,11.00M,113.00M,359.00M,9.00M,100.00M,-91.00M,-210.00M,-91.00M,58.00M,34.00M,24.00M,,,24.00M,145.20M,287.00M,129.00M,2017-06,0.03,,,,,2017-06,0.03,,0.1902,0.03,,2017-06,752.63M,756.45M,0.31,,2017-06,AOR,Restated
2017-03,1.693B,1.693B,1.272B,421.00M,22.00M,87.00M,109.00M,4.00M,,-9.00M,99.00M,9.00M,-90.00M,3.00M,116.00M,305.00M,9.00M,99.00M,-90.00M,-34.00M,-90.00M,181.00M,24.00M,157.00M,,,157.00M,167.41M,413.00M,133.00M,2017-03,0.21,,,,,2017-03,0.21,,0.2238,0.21,,2017-03,750.66M,754.75M,0.31,,2017-03,AOR,Restated
