,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2013-09,903.00M,,903.00M,663.00M,694.00M,148.00M,385.00M,,533.00M,114.00M,0.00,113.00M,,2.357B,,,,,9.02B,101.00M,9.121B,-6.311B,2.81B,42.00M,,42.00M,821.00M,,261.00M,7.535B,,2013-09,362.00M,49.00M,,411.00M,452.00M,863.00M,2.00M,,,2.00M,,2.00M,65.00M,65.00M,,987.00M,6.084B,6.084B,44.00M,1.771B,650.00M,8.505B,9.492B,,2013-09,,,14.00M,,,-1.463B,6.078B,,2013-09,AOR,Restated
2013-06,912.00M,,912.00M,663.00M,706.00M,140.00M,421.00M,,561.00M,96.00M,,144.00M,,2.419B,,,,,8.925B,72.00M,8.997B,-6.219B,2.778B,42.00M,,42.00M,821.00M,,265.00M,5.86B,,2013-06,341.00M,50.00M,,391.00M,405.00M,796.00M,2.00M,,163.00M,165.00M,,165.00M,61.00M,61.00M,,1.079B,4.466B,4.466B,38.00M,1.823B,634.00M,6.923B,8.002B,,2013-06,,,14.00M,,,-1.508B,5.868B,,2013-06,AOR,Restated
2013-03,639.00M,,639.00M,703.00M,768.00M,142.00M,565.00M,,596.00M,89.00M,,189.00M,,2.281B,,,,,9.135B,56.00M,9.191B,-6.35B,2.841B,40.00M,,40.00M,211.00M,,274.00M,5.242B,,2013-03,357.00M,45.00M,,402.00M,375.00M,777.00M,,,184.00M,184.00M,,184.00M,54.00M,54.00M,,1.072B,4.633B,4.633B,46.00M,1.902B,627.00M,7.162B,8.234B,,2013-03,,,,,,-1.53B,4.244B,,2013-03,AOR,Restated
2012-12,898.00M,,898.00M,523.00M,618.00M,139.00M,392.00M,,531.00M,88.00M,184.00M,88.00M,,2.407B,0.00,129.00M,1.327B,6.926B,878.00M,50.00M,9.31B,-6.388B,2.922B,40.00M,,40.00M,828.00M,,368.00M,4.361B,,2012-12,373.00M,29.00M,,402.00M,504.00M,906.00M,0.00,,570.00M,570.00M,,570.00M,71.00M,71.00M,,1.605B,4.393B,4.393B,0.00,1.93B,551.00M,6.874B,8.479B,,2012-12,,,,,,-1.558B,4.07B,,2012-12,AOR,Restated
2012-09,602.00M,,602.00M,504.00M,601.00M,526.00M,91.00M,,512.00M,83.00M,,117.00M,,1.915B,0.00,982.00M,,,9.359B,822.00M,11.16B,-6.60B,4.563B,40.00M,,40.00M,208.00M,36.00M,233.00M,5.343B,,2012-09,356.00M,37.00M,46.00M,439.00M,280.00M,719.00M,,,,340.00M,,340.00M,66.00M,66.00M,,1.254B,3.951B,3.951B,68.00M,68.00M,1.334B,6.731B,7.985B,,2012-09,4.692B,,,,,-1.197B,4.34B,,2012-09,AOR,Restated
2012-06,857.00M,,857.00M,,494.00M,510.00M,81.00M,,487.00M,86.00M,,100.00M,,2.024B,0.00,959.00M,,,9.463B,789.00M,11.21B,-6.693B,4.518B,40.00M,,40.00M,207.00M,38.00M,238.00M,5.41B,,2012-06,360.00M,46.00M,,406.00M,135.00M,541.00M,,,,184.00M,,184.00M,62.00M,62.00M,113.00M,1.12B,4.288B,4.288B,92.00M,92.00M,1.349B,7.158B,8.278B,,2012-06,4.62B,,,,,-1.238B,4.186B,,2012-06,AOR,Restated
2012-03,726.00M,,726.00M,,503.00M,543.00M,77.00M,,517.00M,80.00M,,113.00M,,1.939B,0.00,943.00M,,,9.492B,798.00M,11.23B,-6.663B,4.57B,40.00M,,40.00M,208.00M,30.00M,246.00M,5.441B,,2012-03,343.00M,43.00M,49.00M,435.00M,274.00M,709.00M,,,,167.00M,,167.00M,58.00M,58.00M,,1.046B,4.309B,4.309B,108.00M,108.00M,1.336B,7.223B,8.269B,,2012-03,4.611B,,,,,-1.214B,4.197B,,2012-03,AOR,Restated
2011-12,953.00M,,953.00M,509.00M,531.00M,137.00M,459.00M,,476.00M,68.00M,,81.00M,,2.109B,0.00,142.00M,1.405B,7.036B,868.00M,145.00M,9.596B,-6.55B,3.046B,40.00M,,40.00M,213.00M,,276.00M,5.459B,,2011-12,336.00M,42.00M,,378.00M,429.00M,807.00M,,,12.00M,12.00M,,12.00M,59.00M,59.00M,,941.00M,5.25B,5.25B,129.00M,1.596B,580.00M,7.426B,8.367B,,2011-12,,,,,,-1.179B,4.263B,,2011-12,AOR,Restated
2011-09,971.00M,,971.00M,,498.00M,500.00M,80.00M,,468.00M,81.00M,,106.00M,,2.124B,0.00,989.00M,,,9.615B,671.00M,11.28B,-6.672B,4.603B,40.00M,,40.00M,209.00M,,260.00M,5.599B,,2011-09,305.00M,122.00M,46.00M,473.00M,285.00M,758.00M,,,,11.00M,,11.00M,65.00M,65.00M,,988.00M,4.499B,4.499B,440.00M,440.00M,1.312B,7.048B,8.036B,,2011-09,4.587B,,,,,-655.00M,4.795B,,2011-09,AOR,Restated
2011-06,881.00M,,881.00M,,569.00M,544.00M,91.00M,,513.00M,115.00M,,167.00M,,2.245B,0.00,988.00M,,,13.90B,672.00M,15.56B,-6.834B,8.73B,40.00M,,40.00M,206.00M,,263.00M,1.555B,,2011-06,326.00M,,,326.00M,712.00M,1.038B,,,,,,,,,,1.038B,4.51B,4.51B,533.00M,533.00M,1.387B,7.265B,8.303B,,2011-06,4.607B,,,,,-662.00M,4.734B,,2011-06,AOR,Restated
2011-03,1.463B,,1.463B,,559.00M,589.00M,77.00M,,544.00M,85.00M,,155.00M,,2.806B,0.00,978.00M,,,9.90B,664.00M,11.54B,-6.749B,4.793B,40.00M,,40.00M,207.00M,,266.00M,5.468B,,2011-03,359.00M,,,359.00M,686.00M,1.045B,,,,,,,,,,1.045B,5.058B,5.058B,485.00M,485.00M,1.38B,7.831B,8.876B,,2011-03,4.597B,,,,,-756.00M,4.702B,,2011-03,AOR,Restated
2010-12,1.467B,0.00,1.467B,483.00M,502.00M,520.00M,79.00M,,478.00M,81.00M,,113.00M,,2.641B,0.00,1.136B,1.572B,7.372B,895.00M,640.00M,11.62B,-6.784B,4.831B,40.00M,,40.00M,210.00M,,266.00M,5.078B,,2010-12,340.00M,,,340.00M,734.00M,1.074B,0.00,,,0.00,,0.00,,,,1.074B,5.06B,5.06B,366.00M,366.00M,992.00M,7.741B,8.815B,,2010-12,4.552B,,,,,-791.00M,4.612B,,2010-12,AOR,Restated
2010-09,1.368B,0.00,1.368B,511.00M,592.00M,391.00M,88.00M,,479.00M,87.00M,,122.00M,,2.648B,0.00,953.00M,,,10.10B,685.00M,11.74B,-6.748B,4.988B,40.00M,,40.00M,211.00M,,271.00M,5.065B,,2010-09,326.00M,,,326.00M,656.00M,982.00M,1.00M,,24.00M,25.00M,,25.00M,,,,1.007B,5.10B,5.10B,704.00M,704.00M,982.00M,8.43B,9.437B,,2010-09,4.547B,,,,,-643.00M,4.61B,,2010-09,AOR,Restated
2010-06,1.846B,3.00M,1.849B,523.00M,574.00M,386.00M,86.00M,,472.00M,91.00M,,136.00M,,3.122B,0.00,950.00M,,,14.23B,679.00M,15.86B,-6.782B,9.074B,40.00M,,40.00M,210.00M,,270.00M,1.044B,,2010-06,322.00M,,,322.00M,663.00M,985.00M,1.00M,,3.00M,4.00M,,4.00M,,,,989.00M,5.124B,5.124B,1.642B,1.642B,988.00M,9.608B,10.60B,,2010-06,1.796B,,,,,-592.00M,4.10B,,2010-06,AOR,Restated
2010-03,2.16B,1.00M,2.161B,592.00M,626.00M,418.00M,97.00M,,515.00M,93.00M,,136.00M,,3.531B,0.00,942.00M,,,14.30B,680.00M,15.92B,-6.743B,9.177B,40.00M,,40.00M,210.00M,,1.175B,1.042B,,2010-03,329.00M,,,329.00M,603.00M,932.00M,1.00M,,3.00M,4.00M,,4.00M,,,,936.00M,5.671B,5.671B,1.578B,3.52B,991.00M,10.18B,11.12B,,2010-03,1.789B,,,,,-635.00M,4.046B,,2010-03,AOR,Restated
2009-12,1.869B,49.00M,1.918B,548.00M,1.15B,477.00M,97.00M,,447.00M,82.00M,,109.00M,,3.706B,0.00,1.099B,1.68B,7.55B,881.00M,650.00M,11.86B,-6.682B,5.178B,40.00M,,40.00M,214.00M,,299.00M,5.057B,,2009-12,317.00M,,,317.00M,631.00M,948.00M,4.00M,,3.00M,7.00M,,7.00M,,,,955.00M,5.683B,5.683B,1.538B,1.538B,1.02B,10.24B,11.20B,,2009-12,1.786B,,,,,-664.00M,4.044B,,2009-12,AOR,Restated
2009-09,1.628B,47.00M,1.675B,719.00M,1.018B,416.00M,82.00M,,498.00M,87.00M,,150.00M,,3.428B,0.00,916.00M,,,14.29B,936.00M,16.15B,-6.594B,9.552B,40.00M,,40.00M,215.00M,,396.00M,1.076B,,2009-09,325.00M,,,325.00M,708.00M,1.033B,3.00M,,41.00M,44.00M,,44.00M,,,,1.077B,5.554B,5.554B,1.663B,1.663B,1.057B,9.923B,11.00B,,2009-09,1.781B,,,,,-540.00M,4.349B,,2009-09,AOR,Restated
2009-06,1.746B,60.00M,1.806B,733.00M,1.069B,456.00M,74.00M,,530.00M,92.00M,,151.00M,,3.648B,0.00,1.146B,,,14.38B,739.00M,16.26B,-6.46B,9.805B,40.00M,,40.00M,216.00M,,419.00M,1.114B,,2009-06,314.00M,,,314.00M,816.00M,1.13B,1.00M,,388.00M,389.00M,,389.00M,,,,1.519B,5.609B,5.609B,1.677B,1.677B,1.061B,10.05B,11.56B,,2009-06,1.776B,,,,,-646.00M,4.249B,,2009-06,AOR,Restated
2009-03,1.656B,92.00M,1.748B,720.00M,993.00M,447.00M,,261.00M,708.00M,98.00M,,,,3.697B,0.00,1.156B,,,14.30B,790.00M,16.24B,-6.313B,9.93B,40.00M,,40.00M,226.00M,,959.00M,1.129B,,2009-03,285.00M,,,285.00M,825.00M,1.11B,1.00M,,406.00M,407.00M,,407.00M,,,,1.517B,5.609B,5.609B,1.723B,3.346B,1.115B,10.07B,11.59B,,2009-03,1.771B,,,,,-667.00M,4.381B,,2009-03,AOR,Restated
2008-12,2.294B,138.00M,2.432B,703.00M,776.00M,599.00M,103.00M,,702.00M,101.00M,,159.00M,,4.17B,562.00M,1.117B,1.643B,7.358B,4.586B,1.024B,16.29B,-6.252B,10.04B,43.00M,,43.00M,232.00M,,438.00M,1.123B,,2008-12,381.00M,,,381.00M,933.00M,1.314B,1.00M,,407.00M,408.00M,,408.00M,,,,1.722B,5.609B,5.609B,1.805B,1.805B,1.094B,10.13B,11.85B,,2008-12,1.767B,,,,,-495.00M,4.814B,,2008-12,AOR,Restated
2008-09,4.099B,701.00M,4.80B,742.00M,742.00M,153.00M,,559.00M,712.00M,113.00M,,164.00M,21.00M,6.552B,,,,,14.51B,121.00M,14.63B,-6.444B,8.183B,919.00M,,919.00M,,,,6.562B,,2008-09,449.00M,,,449.00M,2.211B,2.66B,2.00M,,880.00M,882.00M,,882.00M,,,4.00M,3.546B,5.941B,5.941B,2.683B,2.683B,2.441B,11.06B,14.61B,,2008-09,1.764B,,,907.00M,,907.00M,7.605B,,2008-09,,Restated
