,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2009-12,-181.00M,,194.00M,-7.00M,,1.00M,-91.00M,-72.00M,,134.00M,86.00M,211.00M,8.00M,68.00M,-272.00M,4.00M,8.00M,-5.00M,,,125.00M,114.00M,,2009-12,-52.00M,-350.00M,-402.00M,,56.00M,409.00M,,2009-12,59.00M,16.00M,75.00M,,2.00M,2.00M,,,,,,-2.00M,64.00M,,1.628B,241.00M,1.869B,,2009-12,,491.00M,2.00M,-5.00M,51.00M,,2009-12,AOR,Restated
2009-09,-5.00M,,-171.00M,-17.00M,,12.00M,32.00M,-164.00M,,149.00M,-22.00M,82.00M,7.00M,-27.00M,54.00M,36.00M,4.00M,-90.00M,,,10.00M,34.00M,,2009-09,-69.00M,350.00M,281.00M,,11.00M,-18.00M,,2009-09,-369.00M,-46.00M,-415.00M,,0.00,0.00,,,,,0.00,-1.00M,-426.00M,,1.746B,-118.00M,1.628B,,2009-09,,34.00M,0.00,-16.00M,168.00M,,2009-09,AOR,Restated
2009-06,-116.00M,,-23.00M,-21.00M,,-11.00M,-7.00M,-62.00M,,129.00M,-9.00M,79.00M,5.00M,-19.00M,-72.00M,174.00M,10.00M,1.00M,,,6.00M,126.00M,,2009-06,-40.00M,,-40.00M,-8.00M,33.00M,43.00M,,2009-06,-52.00M,42.00M,-10.00M,,0.00,0.00,,,,,0.00,-1.00M,-64.00M,,1.656B,90.00M,1.746B,,2009-06,,-34.00M,0.00,10.00M,52.00M,,2009-06,AOR,Restated
2009-03,-266.00M,,0.00,4.00M,,-5.00M,-15.00M,4.00M,,126.00M,11.00M,86.00M,6.00M,-37.00M,-146.00M,37.00M,1.00M,-255.00M,,,-3.00M,-436.00M,,2009-03,-78.00M,,-78.00M,8.00M,46.00M,-78.00M,,2009-03,-1.00M,-42.00M,-43.00M,,-2.00M,-2.00M,,,,,0.00,-2.00M,-100.00M,,2.294B,-638.00M,1.656B,,2009-03,,,-2.00M,53.00M,161.00M,,2009-03,AOR,Restated
2008-12,-1.214B,,,27.00M,,-10.00M,-63.00M,-247.00M,,143.00M,-168.00M,1.347B,1.00M,99.00M,91.00M,80.00M,3.00M,-1.295B,,,,-1.16B,,2008-12,-130.00M,,-130.00M,,555.00M,-189.00M,,2008-12,-773.00M,28.00M,-745.00M,,0.00,0.00,,,,,0.00,-12.00M,-884.00M,,4.102B,-1.808B,2.294B,,2008-12,,0.00,0.00,1.161B,66.00M,,2008-12,AOR,Restated
2008-09,275.00M,,20.00M,13.00M,,-23.00M,-63.00M,-1.468B,,152.00M,-702.00M,306.00M,13.00M,-214.00M,197.00M,58.00M,23.00M,1.147B,,,166.00M,-47.00M,,2008-09,-129.00M,,-129.00M,,-680.00M,6.368B,,2008-09,-92.00M,-1.271B,-1.363B,,0.00,0.00,,,,,1.00M,-10.00M,-1.499B,,89.00M,4.013B,4.102B,,2008-09,,-830.00M,0.00,-15.00M,175.00M,,2008-09,,Restated
2008-06,-303.00M,,-20.00M,-3.00M,,-3.00M,-58.00M,-176.00M,,153.00M,-125.00M,418.00M,7.00M,217.00M,-133.00M,121.00M,30.00M,147.00M,,,-166.00M,190.00M,,2008-06,-180.00M,,-180.00M,-29.00M,-47.00M,76.00M,,2008-06,-103.00M,257.00M,154.00M,,0.00,0.00,,,,,2.00M,-23.00M,7.00M,,72.00M,17.00M,89.00M,,2008-06,,257.00M,0.00,2.00M,51.00M,,2008-06,,Restated
2008-03,,,,11.00M,,4.00M,-16.00M,-10.00M,,211.00M,-10.00M,93.00M,26.00M,-200.00M,-107.00M,-37.00M,9.00M,-257.00M,,,,-282.00M,,2008-03,-169.00M,,-169.00M,29.00M,-20.00M,4.00M,,2008-03,-4.00M,534.00M,530.00M,,0.00,0.00,,,,,1.00M,-8.00M,396.00M,,114.00M,-42.00M,72.00M,,2008-03,,573.00M,0.00,26.00M,165.00M,,2008-03,,Restated
2007-12,-98.00M,,,,,,,4.00M,221.00M,221.00M,-78.00M,,,159.00M,92.00M,194.00M,39.00M,-69.00M,,,83.00M,547.00M,,2007-12,-402.00M,44.00M,-358.00M,93.00M,154.00M,-1.00M,,2007-12,,,-267.00M,2.00M,-10.00M,-8.00M,,,,,,1.00M,-401.00M,,80.00M,34.00M,114.00M,,2007-12,2.00M,,-10.00M,,,,2007-12,,
2007-09,101.00M,,,,,,,58.00M,236.00M,236.00M,-53.00M,,,-50.00M,9.00M,-199.00M,-28.00M,49.00M,,,-18.00M,105.00M,,2007-09,-119.00M,21.00M,-98.00M,1.361B,1.00M,-1.347B,,2007-09,,,411.00M,3.00M,-441.00M,-438.00M,,,,,,0.00,-157.00M,,215.00M,-135.00M,80.00M,,2007-09,3.00M,,-441.00M,,,,2007-09,,
2007-06,32.00M,,,,,,,-146.00M,228.00M,228.00M,3.00M,,,254.00M,68.00M,121.00M,-18.00M,-172.00M,,,-105.00M,265.00M,,2007-06,-189.00M,39.00M,-150.00M,-39.00M,10.00M,5.00M,,2007-06,,,-921.00M,10.00M,-22.00M,-12.00M,,,,,,3.00M,-1.061B,,1.185B,-970.00M,215.00M,,2007-06,10.00M,,-22.00M,,,,2007-06,,
2007-03,755.00M,,,,,,,-716.00M,289.00M,289.00M,-109.00M,,,5.00M,-270.00M,-163.00M,17.00M,-92.00M,,,,-284.00M,,2007-03,-170.00M,10.00M,-160.00M,,10.00M,1.345B,,2007-03,,,-175.00M,306.00M,,306.00M,,,,,,43.00M,31.00M,,243.00M,942.00M,1.185B,,2007-03,306.00M,,,,,,2007-03,,
2006-12,507.00M,,,,,,,-66.00M,341.00M,341.00M,-32.00M,,,34.00M,241.00M,212.00M,35.00M,76.00M,,,-40.00M,1.308B,,2006-12,-286.00M,12.00M,-274.00M,33.00M,-3.00M,4.00M,,2006-12,,,-496.00M,31.00M,-340.00M,-309.00M,,,,,,-5.00M,-952.00M,,127.00M,116.00M,243.00M,,2006-12,31.00M,,-340.00M,,,,2006-12,,
2006-09,224.00M,,,,,,,-55.00M,314.00M,314.00M,-43.00M,,,60.00M,98.00M,-193.00M,-12.00M,-213.00M,,,-43.00M,137.00M,,2006-09,-155.00M,7.00M,-148.00M,135.00M,-12.00M,-17.00M,,2006-09,,,361.00M,0.00,-332.00M,-332.00M,,,,,,4.00M,-117.00M,,149.00M,-22.00M,127.00M,,2006-09,0.00,,-332.00M,,,,2006-09,,
2006-06,298.00M,,,,,,,-838.00M,313.00M,313.00M,-83.00M,,,831.00M,-109.00M,-60.00M,7.00M,156.00M,,,-48.00M,467.00M,,2006-06,-219.00M,10.00M,-209.00M,0.00,13.00M,-21.00M,,2006-06,,,-166.00M,40.00M,,40.00M,,,,,,4.00M,-245.00M,,144.00M,5.00M,149.00M,,2006-06,40.00M,,,,,,2006-06,,
2006-03,-576.00M,,,,,,,798.00M,315.00M,315.00M,-16.00M,,,-2.00M,-201.00M,-274.00M,-31.00M,-259.00M,,,-57.00M,-303.00M,,2006-03,-214.00M,2.00M,-212.00M,-213.00M,,25.00M,,2006-03,,,-283.00M,131.00M,,131.00M,,,,,,18.00M,-257.00M,,1.104B,-960.00M,144.00M,,2006-03,131.00M,,,,,,2006-03,,
2005-12,-211.00M,,,,,,,-67.00M,338.00M,338.00M,-239.00M,,,691.00M,221.00M,146.00M,51.00M,22.00M,,,-64.00M,888.00M,,2005-12,-320.00M,19.00M,-301.00M,1.175B,14.00M,,,2005-12,,,-328.00M,10.00M,,-1.00M,,,,,,-1.00M,-454.00M,,889.00M,215.00M,1.104B,,2005-12,10.00M,,,,,,2005-12,,
2005-09,285.00M,,,,,,,-264.00M,333.00M,333.00M,24.00M,,,175.00M,59.00M,-67.00M,39.00M,-99.00M,,,-60.00M,425.00M,,2005-09,-253.00M,4.00M,-249.00M,-8.00M,144.00M,8.00M,,2005-09,,,-1.035B,14.00M,,14.00M,,,,,,-3.00M,-1.146B,,1.715B,-826.00M,889.00M,,2005-09,14.00M,,,,,,2005-09,,
2005-06,420.00M,,,,,,,-67.00M,332.00M,332.00M,-195.00M,,,43.00M,-171.00M,18.00M,5.00M,332.00M,,,-51.00M,666.00M,,2005-06,-185.00M,12.00M,-173.00M,-22.00M,,-15.00M,,2005-06,,,-193.00M,65.00M,,65.00M,,,,,,-4.00M,-255.00M,,407.00M,1.308B,1.715B,,2005-06,65.00M,,,,,,2005-06,,
2005-03,239.00M,,,,,,,38.00M,334.00M,334.00M,-14.00M,,,-43.00M,-290.00M,-290.00M,-41.00M,-160.00M,,,,-227.00M,,2005-03,-135.00M,6.00M,-129.00M,,,7.00M,,2005-03,,,-412.00M,71.00M,,71.00M,,,,,,-3.00M,-441.00M,,1.197B,-790.00M,407.00M,,2005-03,71.00M,,,,,,2005-03,,
2004-12,199.00M,,,,,,,84.00M,334.00M,334.00M,1.00M,,,-137.00M,156.00M,112.00M,7.00M,44.00M,,,137.00M,937.00M,,2004-12,-305.00M,46.00M,-259.00M,40.00M,-399.00M,407.00M,,2004-12,,,-728.00M,39.00M,,39.00M,,,,,,21.00M,-764.00M,,1.235B,-38.00M,1.197B,,2004-12,39.00M,,,,,,2004-12,,
2004-09,594.00M,,,,,,,-250.00M,329.00M,329.00M,50.00M,,,,55.00M,-113.00M,-39.00M,54.00M,,150.00M,-137.00M,693.00M,,2004-09,-120.00M,405.00M,285.00M,-24.00M,37.00M,-394.00M,,2004-09,,,-298.00M,10.00M,,10.00M,,,,,,286.00M,-99.00M,,737.00M,498.00M,1.235B,,2004-09,10.00M,,,,,,2004-09,,
2004-06,369.00M,,,,,,,55.00M,332.00M,332.00M,77.00M,,,96.00M,-152.00M,-37.00M,-14.00M,201.00M,,-150.00M,,777.00M,,2004-06,-84.00M,29.00M,-55.00M,-12.00M,-3.00M,21.00M,,2004-06,,,-961.00M,982.00M,,982.00M,,,,,,-1.00M,-70.00M,,79.00M,658.00M,737.00M,,2004-06,982.00M,,,,,,2004-06,,
2004-03,121.00M,,,,,,,46.00M,327.00M,327.00M,8.00M,,,-96.00M,-209.00M,-189.00M,-16.00M,-131.00M,,,,-139.00M,,2004-03,-83.00M,63.00M,-20.00M,-21.00M,3.00M,-7.00M,,2004-03,,,52.00M,103.00M,,103.00M,,,,,,-5.00M,61.00M,,202.00M,-123.00M,79.00M,,2004-03,103.00M,,,,,,2004-03,,
2003-12,92.00M,,,,,,,-246.00M,356.00M,356.00M,-39.00M,,,,184.00M,159.00M,27.00M,231.00M,,132.00M,131.00M,890.00M,,2003-12,-279.00M,469.00M,190.00M,101.00M,,-185.00M,,2003-12,,,-728.00M,21.00M,,21.00M,,,,,,356.00M,-440.00M,,82.00M,120.00M,202.00M,,2003-12,21.00M,,,,,,2003-12,,
2003-09,82.00M,,,,,,,84.00M,323.00M,323.00M,50.00M,,,,7.00M,151.00M,-24.00M,-98.00M,,158.00M,-131.00M,602.00M,,2003-09,-149.00M,-141.00M,-290.00M,-19.00M,,148.00M,,2003-09,,,-362.00M,35.00M,,35.00M,,,,,,-1.00M,-417.00M,,58.00M,24.00M,82.00M,,2003-09,35.00M,,,,,,2003-09,,
2003-06,157.00M,,,,,,,25.00M,315.00M,315.00M,12.00M,,,,-53.00M,94.00M,35.00M,88.00M,,-250.00M,,423.00M,,2003-06,-177.00M,185.00M,8.00M,-27.00M,,2.00M,,2003-06,,,-335.00M,2.00M,,2.00M,,,,,,6.00M,-415.00M,,67.00M,-9.00M,58.00M,,2003-06,2.00M,,,,,,2003-06,,
2003-03,-54.00M,,,,,,,149.00M,324.00M,324.00M,-5.00M,,,,-147.00M,-205.00M,-31.00M,-100.00M,,-40.00M,,-109.00M,,2003-03,-132.00M,43.00M,-89.00M,-63.00M,,-51.00M,,2003-03,,,349.00M,2.00M,,2.00M,,,,,,-5.00M,257.00M,,122.00M,-55.00M,67.00M,,2003-03,2.00M,,,,,,2003-03,,
2002-12,126.00M,,,,,,,-148.00M,342.00M,342.00M,24.00M,,,117.00M,189.00M,88.00M,75.00M,-23.00M,22.00M,,12.00M,824.00M,,2002-12,-288.00M,206.00M,-82.00M,0.00,-75.00M,-53.00M,,2002-12,,,-624.00M,0.00,,0.00,,,,,,90.00M,-622.00M,,130.00M,-8.00M,122.00M,,2002-12,0.00,,,,,,2002-12,,
2002-09,13.00M,,,,,,,-11.00M,305.00M,305.00M,0.00,,,84.00M,49.00M,106.00M,59.00M,-265.00M,0.00,2.00M,-12.00M,330.00M,,2002-09,-265.00M,5.00M,-260.00M,33.00M,-47.00M,62.00M,,2002-09,,,-9.00M,1.00M,,1.00M,,,,,,-41.00M,-137.00M,,149.00M,-19.00M,130.00M,,2002-09,1.00M,,,,,,2002-09,,
2002-06,72.00M,,,,,,,0.00,312.00M,312.00M,25.00M,,,-77.00M,-54.00M,20.00M,-49.00M,163.00M,4.00M,-2.00M,-10.00M,404.00M,,2002-06,-308.00M,20.00M,-288.00M,-27.00M,47.00M,-21.00M,,2002-06,,,-71.00M,20.00M,,20.00M,,,,,,36.00M,-104.00M,,138.00M,11.00M,149.00M,,2002-06,20.00M,,,,,,2002-06,,
2002-03,30.00M,,,,,,,22.00M,266.00M,266.00M,8.00M,,,-7.00M,-153.00M,-197.00M,-67.00M,10.00M,3.00M,,10.00M,-75.00M,,2002-03,-158.00M,18.00M,-140.00M,-6.125B,,1.00M,,2002-03,,,6.318B,46.00M,,46.00M,,,,,,-3.00M,6.273B,,204.00M,-66.00M,138.00M,,2002-03,46.00M,,,,,,2002-03,,
2001-12,-15.00M,,,,,,,80.00M,224.00M,224.00M,-4.00M,,,,172.00M,130.00M,-8.00M,-216.00M,-1.00M,-78.00M,95.00M,379.00M,,2001-12,-83.00M,33.00M,-50.00M,-131.00M,,0.00,,2001-12,,,38.00M,1.00M,,1.00M,,,,,,-58.00M,-107.00M,,113.00M,91.00M,204.00M,,2001-12,1.00M,,,,,,2001-12,,
2001-09,91.00M,,,,,,,-12.00M,227.00M,227.00M,-10.00M,,,92.00M,40.00M,33.00M,45.00M,60.00M,-5.00M,-1.00M,-95.00M,465.00M,,2001-09,-171.00M,20.00M,-151.00M,-261.00M,-140.00M,111.00M,,2001-09,,,-11.00M,5.00M,,5.00M,,,,,,-26.00M,18.00M,,71.00M,42.00M,113.00M,,2001-09,5.00M,,,,,,2001-09,,
2001-06,171.00M,,,,,,,-62.00M,217.00M,217.00M,44.00M,,,-73.00M,19.00M,80.00M,-25.00M,54.00M,7.00M,1.00M,,433.00M,,2001-06,-217.00M,9.00M,-208.00M,33.00M,138.00M,-208.00M,,2001-06,,,6.00M,15.00M,,15.00M,,,,,,23.00M,-182.00M,,65.00M,6.00M,71.00M,,2001-06,15.00M,,,,,,2001-06,,
2001-03,107.00M,,,,,,,-64.00M,208.00M,208.00M,28.00M,,,-19.00M,3.00M,-211.00M,-7.00M,-205.00M,1.00M,,,-159.00M,,2001-03,-189.00M,12.00M,-177.00M,-33.00M,2.00M,193.00M,,2001-03,,,204.00M,9.00M,,9.00M,,,,,,-10.00M,116.00M,,123.00M,-58.00M,65.00M,,2001-03,9.00M,,,,,,2001-03,,
2000-12,194.00M,,,,,,,-43.00M,262.00M,262.00M,82.00M,,,-88.00M,182.00M,8.00M,,231.00M,43.00M,1.00M,,872.00M,,2000-12,-272.00M,61.00M,-211.00M,-132.00M,,-9.00M,,2000-12,,,-238.00M,4.00M,0.00,4.00M,,,,,,-161.00M,-484.00M,,87.00M,36.00M,123.00M,,2000-12,4.00M,,0.00,,,,2000-12,,
2000-09,199.00M,,,,,,,-56.00M,195.00M,195.00M,46.00M,,,6.00M,36.00M,46.00M,,-266.00M,5.00M,17.00M,,228.00M,,2000-09,-245.00M,19.00M,-226.00M,1.00M,,37.00M,,2000-09,,,141.00M,0.00,-178.00M,-178.00M,,,,,,57.00M,-68.00M,,115.00M,-28.00M,87.00M,,2000-09,0.00,,-178.00M,,,,2000-09,,
2000-06,203.00M,,,,,,,44.00M,195.00M,195.00M,30.00M,,,29.00M,37.00M,-8.00M,-26.00M,-53.00M,-104.00M,-23.00M,,324.00M,,2000-06,-187.00M,4.00M,-183.00M,-41.00M,-1.00M,11.00M,,2000-06,,,283.00M,1.00M,-419.00M,-418.00M,,,,,,139.00M,-91.00M,,96.00M,19.00M,115.00M,,2000-06,1.00M,,-419.00M,,,,2000-06,,
2000-03,244.00M,,,,,,,-47.00M,207.00M,207.00M,35.00M,,,-29.00M,-66.00M,-191.00M,26.00M,-176.00M,2.00M,,,5.00M,,2000-03,-144.00M,,-144.00M,-602.00M,1.00M,39.00M,,2000-03,,,-494.00M,8.00M,-211.00M,-203.00M,,,,,,-58.00M,-846.00M,,1.643B,-1.547B,96.00M,,2000-03,8.00M,,-211.00M,,,,2000-03,,
1999-12,173.00M,,,,,,,-30.00M,176.00M,176.00M,44.00M,,,10.00M,88.00M,14.00M,,69.00M,38.00M,3.00M,,585.00M,,1999-12,-230.00M,26.00M,-204.00M,,247.00M,-6.00M,,1999-12,,,966.00M,6.00M,,6.00M,,,,,,2.00M,893.00M,,128.00M,1.515B,1.643B,,1999-12,6.00M,,,,,,1999-12,,
1999-09,238.00M,,,,,,,-54.00M,154.00M,154.00M,65.00M,,,-8.00M,-10.00M,19.00M,,32.00M,15.00M,9.00M,,460.00M,,1999-09,-109.00M,-10.00M,-119.00M,,,18.00M,,1999-09,,,-210.00M,1.00M,,1.00M,,,,,,4.00M,-285.00M,,54.00M,74.00M,128.00M,,1999-09,1.00M,,,,,,1999-09,,
1999-06,163.00M,,,,,,,-34.00M,154.00M,154.00M,60.00M,,,17.00M,-87.00M,42.00M,,120.00M,6.00M,9.00M,,450.00M,,1999-06,-121.00M,95.00M,-26.00M,,-6.00M,-19.00M,,1999-06,,,-357.00M,67.00M,,67.00M,,,,,,-11.00M,-382.00M,,0.00,17.00M,54.00M,,1999-06,67.00M,,,,,,1999-06,,
1999-03,42.00M,,,,,,,70.00M,156.00M,156.00M,16.00M,,,-16.00M,-104.00M,-143.00M,,-21.00M,6.00M,,,6.00M,,1999-03,-106.00M,4.00M,-102.00M,,6.00M,5.00M,,1999-03,,,151.00M,23.00M,,23.00M,,,,,,-8.00M,87.00M,,35.00M,2.00M,0.00,,1999-03,23.00M,,,,,,1999-03,,
1998-12,30.00M,,,,,,,33.00M,177.00M,177.00M,40.00M,,,-42.00M,59.00M,68.00M,,74.00M,2.00M,72.00M,,513.00M,,1998-12,-713.00M,33.00M,-680.00M,,46.00M,-100.00M,,1998-12,,,15.00M,1.00M,0.00,1.00M,,,,,,-12.00M,-76.00M,,0.00,-297.00M,35.00M,,1998-12,1.00M,,0.00,,,,1998-12,,
1998-09,110.00M,,,,,,,-23.00M,146.00M,146.00M,57.00M,,,49.00M,14.00M,-3.00M,,-25.00M,77.00M,-72.00M,,330.00M,,1998-09,-141.00M,5.00M,-136.00M,,-14.00M,29.00M,,1998-09,,,156.00M,0.00,0.00,0.00,,,,,,5.00M,82.00M,,0.00,291.00M,0.00,,1998-09,0.00,,0.00,,,,1998-09,,
1998-06,69.00M,,,,,,,-10.00M,144.00M,144.00M,35.00M,,,-37.00M,-24.00M,75.00M,,7.00M,20.00M,,,279.00M,,1998-06,-165.00M,9.00M,-156.00M,,16.00M,-6.00M,,1998-06,,,-61.00M,13.00M,0.00,13.00M,,,,,,4.00M,-124.00M,,0.00,9.00M,0.00,,1998-06,13.00M,,0.00,,,,1998-06,,
