,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2017-12,271.00M,,,,33.00M,,25.00M,-57.00M,,127.00M,35.00M,1.00M,11.00M,-54.00M,78.00M,-43.00M,-3.00M,-78.00M,,,66.00M,354.00M,,2017-12,-160.00M,,,88.00M,,247.00M,,2017-12,0.00,0.00,0.00,,0.00,0.00,,,-242.00M,,39.00M,1.00M,-202.00M,,497.00M,327.00M,824.00M,,2017-12,,0.00,0.00,40.00M,66.00M,,2017-12,AOR,Restated
2017-09,130.00M,,,,24.00M,,25.00M,49.00M,,132.00M,3.00M,6.00M,10.00M,-53.00M,-35.00M,11.00M,4.00M,129.00M,,,-63.00M,323.00M,,2017-09,-97.00M,,,423.00M,,-28.00M,,2017-09,-606.00M,0.00,-606.00M,,0.00,0.00,,,-233.00M,,8.00M,6.00M,-825.00M,,701.00M,-204.00M,497.00M,,2017-09,,325.00M,0.00,23.00M,123.00M,,2017-09,AOR,Restated
2017-06,24.00M,,,-3.00M,10.00M,,15.00M,22.00M,,129.00M,3.00M,147.00M,9.00M,-29.00M,-8.00M,21.00M,-4.00M,192.00M,,,-17.00M,489.00M,,2017-06,-87.00M,,,,,49.00M,,2017-06,,,,,,,,,-233.00M,,26.00M,2.00M,-205.00M,,455.00M,246.00M,701.00M,,2017-06,,,,47.00M,72.00M,,2017-06,AOR,Restated
2017-03,157.00M,,,3.00M,14.00M,,32.00M,49.00M,,133.00M,3.00M,,10.00M,-37.00M,-70.00M,-28.00M,-9.00M,-137.00M,,,-36.00M,35.00M,,2017-03,-75.00M,,,,,7.00M,,2017-03,0.00,,0.00,,,,,,-233.00M,,55.00M,-10.00M,-188.00M,,676.00M,-221.00M,455.00M,,2017-03,,,,59.00M,120.00M,,2017-03,AOR,Restated
2016-12,-238.00M,121.00M,,11.00M,60.00M,18.00M,0.00,137.00M,,137.00M,-255.00M,14.00M,7.00M,-29.00M,42.00M,12.00M,8.00M,-50.00M,,,69.00M,-151.00M,,2016-12,-207.00M,,,2.117B,,92.00M,,2016-12,-1.70B,0.00,-1.70B,,0.00,0.00,,,-232.00M,0.00,13.00M,-1.00M,-1.92B,,779.00M,-103.00M,676.00M,,2016-12,,0.00,0.00,485.00M,79.00M,,2016-12,AOR,Restated
2016-09,227.00M,-121.00M,,1.00M,19.00M,-9.00M,0.00,-59.00M,,139.00M,40.00M,8.00M,13.00M,-72.00M,-6.00M,32.00M,-2.00M,25.00M,,,2.00M,347.00M,,2016-09,-129.00M,,,377.00M,,-38.00M,,2016-09,300.00M,0.00,300.00M,,-374.00M,-374.00M,,,-231.00M,-11.00M,36.00M,3.00M,-277.00M,,492.00M,287.00M,779.00M,,2016-09,,300.00M,-374.00M,0.00,142.00M,,2016-09,AOR,Restated
2016-06,168.00M,,,1.00M,13.00M,-6.00M,1.00M,-1.00M,,147.00M,38.00M,15.00M,16.00M,-39.00M,-43.00M,60.00M,0.00,106.00M,,,25.00M,492.00M,,2016-06,-101.00M,,,438.00M,,10.00M,,2016-06,297.00M,,297.00M,,-831.00M,-831.00M,,,-228.00M,-11.00M,8.00M,0.00,-765.00M,,415.00M,77.00M,492.00M,,2016-06,,300.00M,-831.00M,0.00,100.00M,,2016-06,AOR,Restated
2016-03,81.00M,,,-13.00M,17.00M,-3.00M,4.00M,-36.00M,,142.00M,18.00M,,24.00M,-36.00M,-47.00M,-43.00M,-1.00M,-70.00M,,,10.00M,47.00M,,2016-03,-73.00M,,,-6.00M,,79.00M,,2016-03,378.00M,,378.00M,,-798.00M,-798.00M,,,-241.00M,,4.00M,-11.00M,-668.00M,,1.012B,-597.00M,415.00M,,2016-03,,1.098B,-798.00M,0.00,125.00M,,2016-03,AOR,Restated
2015-12,70.00M,30.00M,,6.00M,5.00M,87.00M,10.00M,100.00M,,120.00M,-10.00M,1.00M,9.00M,-44.00M,47.00M,19.00M,5.00M,12.00M,,,,339.00M,,2015-12,-174.00M,,,-9.00M,,20.00M,,2015-12,0.00,,0.00,,-34.00M,-34.00M,,,-159.00M,-22.00M,,-31.00M,-212.00M,,1.048B,-36.00M,1.012B,,2015-12,,0.00,-34.00M,10.00M,57.00M,,2015-12,AOR,Restated
2015-09,191.00M,-9.00M,,20.00M,2.00M,5.00M,11.00M,29.00M,,118.00M,-6.00M,1.00M,6.00M,-23.00M,-18.00M,6.00M,0.00,-22.00M,,,,282.00M,,2015-09,-112.00M,,,-1.00M,,0.00,,2015-09,0.00,,0.00,,-77.00M,-77.00M,,,-159.00M,-11.00M,,5.00M,-242.00M,,1.121B,-73.00M,1.048B,,2015-09,,0.00,-77.00M,-1.00M,118.00M,,2015-09,AOR,Restated
