,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,3.191B,286.61B,289.80B,11.83B,1.957B,,11.83B,,301.63B,,,,,45.59B,292.90B,12.96B,351.76B,577.23B,,,,42.54B,42.54B,42.54B,,,,,,,42.54B,38.24B,38.24B,,,,,78.58B,20.09B,,499.00M,,136.91B,512.62B,,5.251B,15.84B,81.37B,49.33B,485.00M,,,10.98B,64.11B,,AOR,
2020-06,3.408B,279.82B,283.23B,12.83B,1.85B,,12.83B,,296.06B,,,,,46.52B,285.94B,13.29B,345.67B,569.39B,,,,42.03B,42.03B,42.03B,,,,,,,42.03B,39.28B,39.28B,,,,,77.85B,20.10B,,584.00M,,137.24B,506.57B,,5.251B,15.85B,81.29B,49.33B,485.00M,,,9.169B,62.23B,,AOR,
2020-03,2.738B,261.55B,264.29B,12.07B,1.774B,,12.07B,,276.36B,,,,,46.84B,267.53B,13.98B,330.50B,510.48B,,,,,,,,,,,,,,35.41B,35.41B,,,,,77.75B,20.13B,,1.67B,,133.28B,448.63B,,5.251B,24.06B,81.19B,49.33B,485.00M,,,-994.00M,60.17B,,AOR,
2019-12,2.856B,264.32B,267.17B,10.27B,2.066B,,10.27B,,277.45B,,4.038B,,4.038B,46.98B,271.84B,13.15B,334.96B,525.06B,,,,,,,,,,,,,,35.35B,35.35B,,,,,78.33B,18.27B,,1.752B,,131.95B,457.64B,,5.251B,23.08B,81.34B,48.99B,485.00M,,,4.982B,65.68B,,AOR,
2019-09,3.361B,267.33B,270.70B,11.79B,1.50B,,11.79B,,282.48B,,,,,45.08B,276.43B,13.05B,335.09B,525.12B,,,,,,,,,,,,,,35.26B,35.26B,,,,,79.88B,19.96B,,1.842B,,135.10B,457.68B,,5.251B,22.44B,81.29B,48.99B,485.00M,,,5.615B,65.60B,,AOR,Restated
2019-06,2.935B,260.58B,263.51B,12.61B,1.687B,,12.61B,,276.13B,,,,,43.56B,271.92B,13.34B,329.12B,522.27B,,,,,,,,,,,,,,36.29B,36.29B,,,,,81.06B,20.62B,,1.566B,,137.97B,456.16B,,5.251B,22.08B,81.21B,48.99B,485.00M,,,4.991B,64.54B,,AOR,Restated
2019-03,2.565B,249.33B,251.90B,12.66B,1.545B,,12.66B,,264.55B,,,,,43.83B,261.69B,14.54B,319.46B,512.92B,,,,,,,,,,,,,,35.78B,35.78B,,,,,82.50B,20.81B,,1.306B,,139.08B,450.83B,,5.251B,21.26B,81.15B,49.00B,485.00M,,,2.128B,60.79B,,AOR,Restated
2018-12,2.873B,239.06B,241.94B,11.01B,1.574B,,11.01B,,252.95B,,4.082B,,4.082B,43.14B,251.73B,15.22B,308.09B,491.98B,,,,,,,,,,,,,,34.54B,34.54B,,,,,83.64B,19.25B,,948.00M,,137.43B,434.68B,,4.766B,20.88B,81.27B,49.14B,,,,-1.413B,56.36B,,AOR,Restated
2018-09,2.741B,241.58B,244.32B,12.24B,1.088B,,12.24B,,256.56B,,,,,41.88B,254.45B,15.09B,309.62B,504.86B,,,,,,,,,,,,,,34.59B,34.59B,,,,,81.96B,20.83B,,591.00M,,137.38B,445.68B,,4.766B,21.75B,81.01B,48.40B,,,,-536.00M,58.59B,,AOR,Restated
2018-06,2.135B,245.68B,247.82B,10.86B,698.00M,,10.86B,,258.68B,,,,,39.98B,259.13B,14.75B,308.74B,496.83B,,,,,,,,,,,,,,33.78B,33.78B,,,,,76.71B,19.68B,,611.00M,,130.17B,435.03B,,4.766B,23.32B,80.92B,48.05B,,,,230.00M,61.19B,,AOR,Restated
