,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,10.31B,10.31B,1.991B,1.991B,,-22.00M,379.00M,-379.00M,92.00M,2.061B,379.00M,-379.00M,218.00M,-379.00M,368.00M,74.00M,294.00M,5.00M,,-11.00M,7.00M,288.00M,300.58M,663.00M,747.00M,,0.31,0.01,,0.3303,0.32,,0.31,0.01,,0.3301,0.32,,867.71M,873.13M,0.32,,AOR,
2020-06,9.442B,9.442B,2.087B,2.087B,,-8.412B,365.00M,-365.00M,46.00M,-6.279B,365.00M,-365.00M,206.00M,-365.00M,-9.661B,-1.896B,-7.765B,-1.00M,,-162.00M,8.00M,-7.928B,-1.164B,682.00M,-9.296B,,-9.15,0.00,,-1.349,-9.15,,-9.15,0.00,,-1.349,-9.15,,866.97M,866.97M,0.32,,AOR,
2020-03,14.68B,14.68B,2.153B,2.153B,,-233.00M,355.00M,-355.00M,236.00M,2.156B,355.00M,-355.00M,218.00M,-355.00M,2.558B,904.00M,1.654B,0.00,,95.00M,7.00M,1.749B,1.900B,1.878B,2.913B,,1.99,0.00,,2.162,1.99,,1.98,0.00,,2.152,1.98,,874.21M,878.87M,0.32,,AOR,
2019-12,11.83B,11.83B,2.157B,2.157B,,-90.00M,360.00M,-360.00M,11.00M,2.078B,360.00M,-360.00M,261.00M,-360.00M,1.036B,216.00M,820.00M,49.00M,,60.00M,7.00M,929.00M,951.24M,1.173B,1.396B,,1.00,0.05,,1.081,1.05,,0.98,0.05,,1.059,1.03,,878.21M,896.38M,0.32,,AOR,
2019-09,12.94B,12.94B,2.187B,2.187B,,-9.00M,348.00M,-348.00M,25.00M,2.203B,348.00M,-348.00M,227.00M,-348.00M,1.26B,287.00M,973.00M,0.00,,-317.00M,8.00M,656.00M,662.95M,1.176B,1.608B,,0.74,0.00,,0.7479,0.74,,0.72,0.00,,0.7278,0.72,,877.01M,895.81M,0.32,,AOR,Restated
2019-06,12.55B,12.55B,2.14B,2.14B,,-16.00M,360.00M,-360.00M,-14.00M,2.11B,360.00M,-360.00M,213.00M,-360.00M,1.837B,446.00M,1.391B,-1.00M,,-281.00M,7.00M,1.109B,1.122B,1.358B,2.197B,,1.26,0.00,,1.274,1.26,,1.24,0.00,,1.254,1.24,,876.38M,888.33M,0.32,,AOR,Restated
2019-03,12.48B,12.48B,2.053B,2.053B,,8.00M,349.00M,-349.00M,24.00M,2.085B,349.00M,-349.00M,218.00M,-349.00M,1.154B,217.00M,937.00M,0.00,,-283.00M,,654.00M,647.50M,1.299B,1.503B,,0.75,0.00,,0.7426,0.75,,0.75,0.00,,0.7426,0.75,,875.38M,877.51M,0.32,,AOR,Restated
2018-12,12.58B,12.58B,2.383B,2.383B,,6.00M,407.00M,-407.00M,19.00M,2.408B,407.00M,-407.00M,373.00M,-407.00M,-695.00M,-137.00M,-558.00M,-2.00M,,-62.00M,,-622.00M,-624.82M,1.549B,-288.00M,,-0.68,-0.01,,-0.6854,-0.69,,-0.68,-0.01,,-0.6854,-0.69,,887.38M,890.11M,0.32,,AOR,Restated
2018-09,11.51B,11.51B,2.325B,2.325B,,1.00M,326.00M,-326.00M,23.00M,2.349B,326.00M,-326.00M,403.00M,-326.00M,-1.527B,-307.00M,-1.22B,-39.00M,,0.00,,-1.259B,-1.221B,1.029B,-1.201B,,-1.37,-0.04,,-1.371,-1.41,,-1.37,-0.04,,-1.371,-1.41,,895.24M,895.24M,0.32,,AOR,Restated
2018-06,11.66B,11.66B,2.323B,2.323B,,20.00M,299.00M,-299.00M,26.00M,2.369B,299.00M,-299.00M,431.00M,-299.00M,1.252B,321.00M,931.00M,0.00,,6.00M,,937.00M,922.12M,1.402B,1.551B,,1.04,0.00,,1.024,1.04,,1.02,0.00,,1.004,1.02,,903.22M,916.57M,0.32,,AOR,Restated
2018-03,11.74B,11.74B,2.271B,2.271B,,4.00M,277.00M,-277.00M,24.00M,2.299B,277.00M,-277.00M,431.00M,-277.00M,1.227B,277.00M,950.00M,-1.00M,,-11.00M,,938.00M,935.90M,1.382B,1.504B,,1.03,0.00,,1.027,1.03,,1.01,0.00,,1.007,1.01,,907.95M,925.27M,0.32,,AOR,Restated
2017-12,12.63B,12.63B,2.333B,2.333B,0.00,242.00M,288.00M,-288.00M,-6.00M,2.569B,288.00M,-288.00M,772.00M,-288.00M,875.00M,7.544B,-6.669B,-3.00M,,12.00M,,-6.66B,-6.802B,1.068B,1.163B,,-7.14,-0.01,,-7.300,-7.15,,-7.14,-0.01,,-7.300,-7.15,,907.85M,907.85M,0.32,,AOR,Restated
2017-09,12.06B,12.06B,2.149B,2.149B,273.00M,-287.00M,290.00M,-290.00M,38.00M,1.90B,290.00M,-290.00M,466.00M,-290.00M,-2.803B,-1.091B,-1.712B,-1.00M,,-26.00M,,-1.739B,-1.563B,804.00M,-2.513B,,-1.91,0.00,,-1.717,-1.91,,-1.91,0.00,,-1.717,-1.91,,908.67M,908.67M,0.32,,AOR,Restated
2017-06,12.57B,12.57B,2.182B,2.182B,46.00M,-102.00M,292.00M,-292.00M,24.00M,2.104B,292.00M,-292.00M,619.00M,-292.00M,1.667B,557.00M,1.11B,8.00M,,12.00M,,1.13B,1.190B,990.00M,1.959B,,1.21,0.01,,1.283,1.22,,1.18,0.01,,1.252,1.19,,925.75M,948.25M,0.32,,AOR,Restated
2017-03,12.67B,12.67B,2.443B,2.443B,41.00M,-140.00M,298.00M,-298.00M,-6.00M,2.297B,298.00M,-298.00M,555.00M,-298.00M,1.727B,516.00M,1.211B,0.00,,-26.00M,,1.185B,1.283B,1.012B,2.025B,,1.21,0.00,,1.310,1.21,,1.18,0.00,,1.278,1.18,,980.78M,1.005B,0.32,,AOR,Restated
2016-12,13.08B,13.08B,2.864B,2.864B,68.00M,128.00M,305.00M,-305.00M,-2.00M,2.99B,305.00M,-305.00M,1.581B,-305.00M,-3.455B,-985.00M,-2.47B,-36.00M,,-535.00M,,-3.041B,-3.097B,1.276B,-3.15B,,-2.72,-0.03,,-2.809,-2.75,,-2.72,-0.03,,-2.809,-2.75,,1.023B,1.023B,0.32,,AOR,Restated
2016-09,12.93B,12.93B,2.536B,2.536B,80.00M,62.00M,329.00M,-329.00M,-8.00M,2.59B,329.00M,-329.00M,609.00M,-329.00M,737.00M,304.00M,433.00M,3.00M,,26.00M,,462.00M,421.80M,544.00M,1.066B,,0.43,0.00,,0.3953,0.43,,0.42,0.00,,0.3863,0.42,,1.071B,1.102B,0.32,,AOR,Restated
