,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2016-05,26.77B,26.77B,23.16B,3.607B,2.731B,,30.00M,10.00M,-20.00M,18.00M,2.749B,858.00M,10.00M,30.00M,-20.00M,-3.00M,-20.00M,835.00M,286.00M,549.00M,,-4.00M,545.00M,549.61M,1.156B,,2016-05,1.24,,,1.24,,2016-05,1.24,,1.250,1.24,,441.07M,0.45,,2016-05,AOR,Restated
2016-02,28.17B,28.17B,24.47B,3.701B,2.835B,,31.00M,7.00M,-24.00M,10.00M,2.845B,856.00M,7.00M,31.00M,-24.00M,9.00M,-24.00M,841.00M,286.00M,555.00M,,-9.00M,546.00M,542.04M,1.157B,,2016-02,1.24,,,1.24,,2016-02,1.24,,1.231,1.24,,441.56M,0.40,,2016-02,AOR,Restated
2015-11,27.22B,27.22B,23.62B,3.599B,2.806B,,33.00M,9.00M,-24.00M,26.00M,2.832B,767.00M,9.00M,33.00M,-24.00M,19.00M,-24.00M,762.00M,275.00M,487.00M,,-7.00M,480.00M,468.50M,1.066B,,2015-11,1.10,,,1.10,,2015-11,1.09,,1.064,1.09,,441.39M,0.40,,2015-11,AOR,Restated
2015-08,35.78B,35.78B,31.10B,4.682B,3.499B,,40.00M,12.00M,-28.00M,27.00M,3.526B,1.156B,12.00M,40.00M,-28.00M,28.00M,-28.00M,1.156B,378.00M,778.00M,,-11.00M,767.00M,748.83M,1.547B,,2015-08,1.75,,,1.75,,2015-08,1.73,,1.689,1.73,,442.70M,0.40,,2015-08,AOR,Restated
2015-05,26.10B,26.10B,22.69B,3.414B,2.579B,,31.00M,10.00M,-21.00M,14.00M,2.593B,821.00M,10.00M,31.00M,-21.00M,-1.00M,-21.00M,799.00M,280.00M,519.00M,,-3.00M,516.00M,517.95M,1.606B,,2015-05,1.17,,,1.17,,2015-05,1.17,,1.174,1.17,,443.13M,0.40,,2015-05,AOR,Restated
2015-02,27.45B,27.45B,23.90B,3.557B,2.671B,,27.00M,15.00M,-12.00M,9.00M,2.68B,877.00M,15.00M,27.00M,-12.00M,5.00M,-12.00M,870.00M,263.00M,607.00M,,-9.00M,598.00M,596.60M,1.157B,,2015-02,1.36,,,1.36,,2015-02,1.35,,1.347,1.35,,442.90M,0.355,,2015-02,AOR,Restated
2014-11,26.87B,26.87B,23.38B,3.481B,2.696B,,26.00M,13.00M,-13.00M,15.00M,2.711B,770.00M,13.00M,26.00M,-13.00M,22.00M,-13.00M,779.00M,274.00M,505.00M,,-9.00M,496.00M,482.39M,1.059B,,2014-11,1.13,,,1.13,,2014-11,1.12,,1.089,1.12,,442.21M,0.355,,2014-11,AOR,Restated
2014-08,35.52B,35.52B,31.04B,4.486B,3.38B,,35.00M,17.00M,-18.00M,15.00M,3.395B,1.091B,17.00M,35.00M,-18.00M,13.00M,-18.00M,1.086B,381.00M,705.00M,,-8.00M,697.00M,689.21M,1.121B,,2014-08,1.59,,,1.59,,2014-08,1.58,,1.562,1.58,,441.99M,0.355,,2014-08,AOR,Restated
2014-05,25.79B,25.79B,22.55B,3.24B,2.487B,,25.00M,11.00M,-14.00M,16.00M,2.503B,737.00M,11.00M,25.00M,-14.00M,1.00M,-14.00M,724.00M,245.00M,479.00M,,-6.00M,473.00M,474.32M,1.457B,,2014-05,1.08,,,1.08,,2014-05,1.07,,1.073,1.07,,442.72M,0.355,,2014-05,AOR,Restated
2014-02,26.31B,26.31B,23.04B,3.263B,2.531B,,26.00M,12.00M,-14.00M,8.00M,2.539B,724.00M,12.00M,26.00M,-14.00M,18.00M,-14.00M,728.00M,255.00M,473.00M,,-10.00M,463.00M,454.55M,994.00M,,2014-02,1.05,,,1.05,,2014-02,1.05,,1.031,1.05,,442.83M,0.31,,2014-02,AOR,Restated
2013-11,25.02B,25.02B,21.82B,3.193B,2.501B,,27.00M,12.00M,-15.00M,24.00M,2.525B,668.00M,12.00M,27.00M,-15.00M,6.00M,-15.00M,659.00M,228.00M,431.00M,,-6.00M,425.00M,423.04M,917.00M,,2013-11,0.97,,,0.97,,2013-11,0.96,,0.9556,0.96,,442.42M,0.31,,2013-11,AOR,Restated
2013-08,32.49B,32.49B,28.42B,4.069B,3.098B,,36.00M,15.00M,-21.00M,17.00M,3.115B,954.00M,15.00M,36.00M,-21.00M,21.00M,-21.00M,954.00M,332.00M,622.00M,,-5.00M,617.00M,605.26M,1.285B,,2013-08,1.41,,,1.41,,2013-08,1.40,,1.373,1.40,,442.83M,0.31,,2013-08,AOR,Restated
2013-05,24.08B,24.08B,21.04B,3.045B,2.313B,,25.00M,9.00M,-16.00M,10.00M,2.323B,722.00M,9.00M,25.00M,-16.00M,6.00M,-16.00M,712.00M,248.00M,464.00M,,-5.00M,459.00M,459.00M,1.388B,,2013-05,1.05,,,1.05,,2013-05,1.04,,1.04,1.04,,440.78M,0.31,,2013-05,AOR,Restated
2013-02,24.87B,24.87B,21.77B,3.105B,2.361B,,25.00M,10.00M,-15.00M,6.00M,2.367B,738.00M,10.00M,25.00M,-15.00M,16.00M,-15.00M,739.00M,185.00M,554.00M,,-7.00M,547.00M,537.26M,981.00M,,2013-02,1.26,,,1.26,,2013-02,1.24,,1.218,1.24,,439.81M,0.275,,2013-02,AOR,Restated
2012-11,23.72B,23.72B,20.73B,2.989B,2.332B,,13.00M,10.00M,-3.00M,18.00M,2.35B,639.00M,10.00M,13.00M,-3.00M,10.00M,-3.00M,646.00M,225.00M,421.00M,,-5.00M,416.00M,410.79M,872.00M,,2012-11,0.96,,,0.96,,2012-11,0.95,,0.9381,0.95,,438.64M,0.275,,2012-11,AOR,Restated
2012-08,32.22B,32.22B,28.21B,4.008B,3.044B,,22.00M,16.00M,-6.00M,15.00M,3.059B,949.00M,16.00M,22.00M,-6.00M,22.00M,-6.00M,965.00M,343.00M,622.00M,,-13.00M,609.00M,598.04M,1.279B,,2012-08,1.41,,,1.41,,2012-08,1.39,,1.365,1.39,,438.25M,0.275,,2012-08,AOR,Restated
2012-05,22.32B,22.32B,19.54B,2.781B,2.152B,,19.00M,11.00M,-8.00M,6.00M,2.158B,623.00M,11.00M,19.00M,-8.00M,7.00M,-8.00M,622.00M,217.00M,405.00M,,-19.00M,386.00M,384.04M,843.00M,,2012-05,0.89,,,0.89,,2012-05,0.88,,0.8755,0.88,,439.17M,0.275,,2012-05,AOR,Restated
2012-02,22.97B,22.97B,20.14B,2.828B,2.178B,,27.00M,11.00M,-16.00M,6.00M,2.184B,644.00M,11.00M,27.00M,-16.00M,-1.00M,-16.00M,627.00M,215.00M,412.00M,,-18.00M,394.00M,395.97M,863.00M,,2012-02,0.91,,,0.91,,2012-02,0.90,,0.9045,0.90,,439.47M,0.24,,2012-02,AOR,Restated
2011-11,21.63B,21.63B,18.93B,2.697B,2.144B,,27.00M,11.00M,-16.00M,10.00M,2.154B,543.00M,11.00M,27.00M,-16.00M,26.00M,-16.00M,553.00M,225.00M,328.00M,,-8.00M,320.00M,305.05M,785.00M,,2011-11,0.74,,,0.74,,2011-11,0.73,,0.6961,0.73,,440.62M,0.24,,2011-11,AOR,Restated
2011-08,28.18B,28.18B,24.68B,3.498B,2.721B,,36.00M,15.00M,-21.00M,15.00M,2.736B,762.00M,15.00M,36.00M,-21.00M,31.00M,-21.00M,772.00M,272.00M,500.00M,,-22.00M,478.00M,459.22M,1.081B,,2011-08,1.09,,,1.09,,2011-08,1.08,,1.038,1.08,,444.20M,0.24,,2011-08,AOR,Restated
2011-05,20.62B,20.62B,18.07B,2.556B,1.991B,,27.00M,10.00M,-17.00M,9.00M,2.00B,556.00M,10.00M,27.00M,-17.00M,-5.00M,-17.00M,534.00M,193.00M,341.00M,,-17.00M,324.00M,329.11M,757.00M,,2011-05,0.74,,,0.74,,2011-05,0.73,,0.7415,0.73,,443.57M,0.24,,2011-05,AOR,Restated
2011-02,20.88B,20.88B,18.24B,2.64B,2.038B,,27.00M,9.00M,-18.00M,6.00M,2.044B,596.00M,9.00M,27.00M,-18.00M,-5.00M,-18.00M,573.00M,204.00M,369.00M,,-21.00M,348.00M,353.15M,795.00M,,2011-02,0.80,,,0.80,,2011-02,0.79,,0.8016,0.79,,443.19M,0.205,,2011-02,AOR,Restated
2010-11,19.24B,19.24B,16.76B,2.482B,1.941B,,26.00M,7.00M,-19.00M,16.00M,1.957B,525.00M,7.00M,26.00M,-19.00M,-2.00M,-19.00M,504.00M,172.00M,332.00M,,-20.00M,312.00M,313.32M,721.00M,,2010-11,0.72,,,0.72,,2010-11,0.71,,0.7130,0.71,,441.36M,0.205,,2010-11,AOR,Restated
2010-08,24.12B,24.12B,21.02B,3.101B,2.409B,,34.00M,8.00M,-26.00M,4.00M,2.413B,688.00M,8.00M,34.00M,-26.00M,22.00M,-26.00M,684.00M,247.00M,437.00M,,-5.00M,432.00M,432.00M,964.00M,,2010-08,0.99,,,0.99,,2010-08,0.97,,0.97,0.97,,443.75M,0.205,,2010-08,AOR,Restated
2010-05,17.78B,17.78B,15.49B,2.286B,1.789B,,27.00M,4.00M,-23.00M,6.00M,1.795B,491.00M,4.00M,27.00M,-23.00M,6.00M,-23.00M,474.00M,163.00M,311.00M,,-5.00M,306.00M,306.00M,681.00M,,2010-05,0.69,,,0.69,,2010-05,0.68,,0.68,0.68,,448.39M,0.205,,2010-05,AOR,Restated
2010-02,18.74B,18.74B,16.40B,2.346B,1.873B,,26.00M,4.00M,-22.00M,3.00M,1.876B,470.00M,4.00M,26.00M,-22.00M,26.00M,-22.00M,474.00M,169.00M,305.00M,,-6.00M,299.00M,299.00M,685.00M,,2010-02,0.68,,,0.68,,2010-02,0.67,,0.67,0.67,,446.92M,0.18,,2010-02,AOR,Restated
2009-11,17.30B,17.30B,15.08B,2.218B,1.777B,,24.00M,7.00M,-17.00M,13.00M,1.79B,428.00M,7.00M,24.00M,-17.00M,11.00M,-17.00M,422.00M,152.00M,270.00M,,-4.00M,266.00M,266.00M,630.00M,,2009-11,0.61,,,0.61,,2009-11,0.60,,0.60,0.60,,444.85M,0.18,,2009-11,AOR,Restated
2009-08,22.38B,22.38B,19.51B,2.866B,2.254B,,33.00M,10.00M,-23.00M,14.00M,2.268B,598.00M,10.00M,33.00M,-23.00M,9.00M,-23.00M,584.00M,206.00M,378.00M,,-4.00M,374.00M,374.00M,858.00M,,2009-08,0.86,,,0.86,,2009-08,0.85,,0.85,0.85,,441.83M,0.18,,2009-08,AOR,Restated
2009-05,15.81B,15.81B,13.78B,2.03B,1.655B,,25.00M,3.00M,-22.00M,16.00M,1.671B,359.00M,3.00M,25.00M,-22.00M,3.00M,-22.00M,340.00M,128.00M,212.00M,,-2.00M,210.00M,210.00M,536.00M,,2009-05,0.48,,,0.48,,2009-05,0.48,,0.48,0.48,,440.00M,0.18,,2009-05,AOR,Restated
2009-02,16.84B,16.84B,14.77B,2.072B,1.666B,,25.00M,8.00M,-17.00M,8.00M,1.674B,398.00M,8.00M,25.00M,-17.00M,4.00M,-17.00M,385.00M,142.00M,243.00M,,-4.00M,239.00M,239.00M,571.00M,,2009-02,0.55,,,0.55,,2009-02,0.55,,0.55,0.55,,439.69M,0.16,,2009-02,,Restated
2008-11,16.40B,16.40B,14.28B,2.119B,1.677B,,25.00M,6.00M,-19.00M,20.00M,1.697B,422.00M,6.00M,25.00M,-19.00M,15.00M,-19.00M,418.00M,152.00M,266.00M,,-3.00M,263.00M,263.00M,598.00M,,2008-11,0.61,,,0.61,,2008-11,0.60,,0.60,0.60,,440.53M,0.16,,2008-11,,Restated
2008-08,23.10B,23.10B,20.30B,2.802B,2.147B,,32.00M,25.00M,-7.00M,,2.204B,598.00M,25.00M,32.00M,-7.00M,28.00M,-7.00M,619.00M,209.00M,410.00M,,,398.00M,398.00M,868.00M,,2008-08,0.91,,,0.91,,2008-08,0.90,,0.90,0.90,,443.82M,0.16,,2008-08,,Restated
2008-05,16.61B,16.61B,14.55B,2.066B,1.591B,-4.00M,25.00M,19.00M,-6.00M,,1.591B,475.00M,19.00M,25.00M,-6.00M,-4.00M,-6.00M,465.00M,170.00M,295.00M,,,295.00M,297.54M,639.46M,,2008-05,0.68,0.00,,0.68,,2008-05,0.67,0.00,0.6757,0.67,,443.28M,0.16,,2008-05,,Restated
2008-02,16.96B,16.96B,14.83B,2.127B,1.625B,2.865M,,,,-2.865M,1.622B,504.33M,,,,16.41M,,521.46M,193.62M,327.85M,,0.712M,327.85M,326.05M,649.87M,,2008-02,0.75,0.00,,0.75,,2008-02,0.74,0.00,0.7360,0.74,,444.92M,0.145,,2008-02,,
2007-11,15.81B,15.81B,13.82B,1.986B,1.591B,,,,,,1.591B,395.00M,,,,7.00M,,405.00M,143.00M,262.00M,,,262.00M,262.00M,536.00M,,2007-11,0.60,0.00,,0.60,,2007-11,0.59,0.00,0.59,0.59,,445.72M,0.145,,2007-11,,
2007-08,20.48B,20.48B,17.93B,2.546B,1.986B,-4.886M,,,,,2.000B,546.33M,,,,5.033M,,581.76M,209.34M,372.42M,,,372.42M,375.55M,724.29M,,2007-08,0.85,0.00,,0.85,,2007-08,0.83,0.00,0.8370,0.83,,445.46M,0.145,,2007-08,,
2007-05,14.66B,14.66B,12.88B,1.782B,1.442B,-0.931M,,,,,1.442B,340.00M,,,,5.002M,,355.89M,131.90M,223.99M,,,223.99M,224.57M,469.83M,,2007-05,0.50,0.00,,0.50,,2007-05,0.49,0.00,0.4913,0.49,,455.89M,0.145,,2007-05,,
2007-02,15.11B,15.11B,13.25B,1.860B,1.495B,-3.459M,,,,,1.495B,364.79M,,,,8.718M,,394.23M,144.76M,249.48M,,,249.48M,251.67M,496.41M,,2007-02,0.55,0.00,,0.55,,2007-02,0.54,0.00,0.5447,0.54,,461.58M,0.13,,2007-02,,
2006-11,14.15B,14.15B,12.39B,1.763B,1.405B,-4.332M,,,,,1.405B,357.47M,,,,2.171M,,378.11M,141.22M,236.89M,,,236.89M,239.60M,484.45M,,2006-11,0.52,0.00,,0.52,,2006-11,0.51,0.00,0.5158,0.51,,467.84M,0.13,,2006-11,,
2006-08,19.88B,19.88B,17.48B,2.399B,1.883B,-1.632M,,,,,1.883B,515.75M,,,,23.01M,,554.71M,199.11M,355.60M,,,355.60M,356.65M,678.61M,,2006-08,0.77,0.00,,0.77,,2006-08,0.74,0.00,0.7422,0.74,,472.56M,0.13,,2006-08,,
2006-05,13.28B,13.28B,11.64B,1.649B,1.293B,-1.182M,,,,,1.293B,355.89M,,,,-1.182M,,385.78M,150.18M,235.60M,,,235.60M,236.32M,483.92M,,2006-05,0.50,0.00,,0.50,,2006-05,0.49,0.00,0.4915,0.49,,480.53M,0.13,,2006-05,,
2006-02,14.06B,14.06B,12.30B,1.755B,1.322B,-1.428M,,,,,1.322B,432.74M,,,,6.61M,,463.62M,167.42M,296.20M,,,296.20M,297.12M,543.00M,,2006-02,0.63,0.00,,0.63,,2006-02,0.62,0.00,0.6219,0.62,,482.13M,0.115,,2006-02,,
2005-11,12.93B,12.93B,11.33B,1.603B,1.276B,-1.211M,,,,1.211M,1.278B,325.50M,,,,2.353M,,347.31M,131.49M,215.82M,,,215.82M,216.57M,439.63M,,2005-11,0.46,0.00,,0.46,,2005-11,0.45,0.00,0.4515,0.45,,486.37M,0.115,,2005-11,,
2005-08,16.72B,16.72B,14.65B,2.064B,1.590B,-6.593M,,,,,1.580B,484.02M,,,,20.59M,,498.85M,144.15M,354.70M,,,354.70M,359.39M,636.27M,,2005-08,0.74,0.00,,0.74,,2005-08,0.73,0.00,0.7395,0.73,,491.40M,0.115,,2005-08,,
2005-05,12.00B,12.00B,10.50B,1.493B,1.174B,-3.00M,,,,3.00M,1.177B,316.14M,,,,-3.00M,,337.82M,128.03M,209.79M,,,209.79M,211.65M,427.55M,,2005-05,0.44,0.00,,0.44,,2005-05,0.43,0.00,0.4338,0.43,,493.28M,0.115,,2005-05,,
2005-02,12.66B,12.66B,11.06B,1.602B,1.208B,-4.00M,,,,4.00M,1.212B,389.90M,,,,-4.00M,,405.69M,100.24M,305.45M,,,305.45M,308.46M,500.01M,,2005-02,0.64,0.00,,0.64,,2005-02,0.62,0.00,0.6261,0.62,,493.70M,0.10,,2005-02,,
2004-11,11.58B,11.58B,10.13B,1.446B,1.145B,,,,,,1.145B,300.64M,,,,,,306.59M,113.44M,193.15M,,,193.15M,193.15M,408.70M,,2004-11,0.41,0.00,,0.41,,2004-11,0.40,0.00,0.40,0.40,,489.28M,0.10,,2004-11,,
2004-08,15.14B,15.14B,13.23B,1.913B,1.445B,-2.50M,,,,2.50M,1.447B,465.51M,,,,17.59M,,471.06M,174.29M,296.77M,,,296.77M,298.34M,602.65M,,2004-08,0.64,0.00,,0.64,,2004-08,0.62,0.00,0.6232,0.62,,485.65M,0.10,,2004-08,,
2004-05,10.90B,10.90B,9.540B,1.357B,1.055B,8.50M,,,,-8.50M,1.047B,310.15M,,,,8.50M,,315.33M,116.67M,198.66M,,,198.66M,193.30M,413.91M,,2004-05,0.43,0.00,,0.43,,2004-05,0.42,0.00,0.4089,0.42,,482.48M,0.10,,2004-05,,
2004-02,11.55B,11.55B,10.10B,1.447B,1.089B,-3.00M,,,,3.00M,1.092B,355.18M,,,,-3.00M,,359.99M,133.20M,226.79M,,,226.79M,228.68M,457.65M,,2004-02,0.49,0.00,,0.49,,2004-02,0.48,0.00,0.4839,0.48,,481.54M,,,2004-02,,
2003-11,10.52B,10.52B,9.220B,1.301B,1.047B,,,,,,1.047B,254.82M,,,,,,254.25M,94.07M,160.18M,,,160.18M,160.18M,352.16M,,2003-11,0.35,0.00,,0.35,,2003-11,0.34,0.00,0.34,0.34,,480.35M,,,2003-11,,
2003-08,13.69B,13.69B,11.99B,1.702B,1.343B,32.82M,,,,,1.328B,374.19M,,,,32.82M,,375.18M,135.76M,239.43M,,,239.43M,218.48M,498.58M,,2003-08,0.5174,,,0.5174,,2003-08,0.51,0.00,0.4641,0.51,,455.96M,,,2003-08,,
2003-05,9.543B,9.543B,8.358B,1.185B,929.16M,-6.00M,,,,6.00M,935.16M,249.59M,,,,-6.00M,,250.05M,96.27M,153.78M,,,153.78M,157.47M,341.48M,,2003-05,0.34,0.00,,0.34,,2003-05,0.33,0.00,0.3377,0.33,,479.18M,,,2003-05,,
2003-02,10.11B,10.11B,8.840B,1.274B,974.20M,-4.50M,,,,4.50M,978.70M,295.06M,,,,-4.50M,,296.04M,113.98M,182.06M,,,182.06M,184.83M,384.45M,,2003-02,0.40,0.00,,0.40,,2003-02,0.39,0.00,0.3958,0.39,,478.56M,,,2003-02,,
2002-11,9.199B,9.199B,8.049B,1.150B,911.90M,,,,,,911.90M,237.79M,,,,,,236.96M,91.23M,145.73M,,,145.73M,145.73M,323.41M,,2002-11,0.32,0.00,,0.32,,2002-11,0.31,0.00,0.31,0.31,,478.86M,,,2002-11,,
2002-08,12.30B,12.30B,10.75B,1.543B,1.178B,,,,,,1.162B,380.68M,,,,,,383.88M,136.48M,247.40M,,,247.40M,247.40M,492.92M,,2002-08,0.54,0.00,,0.54,,2002-08,0.52,0.00,0.52,0.52,,479.30M,,,2002-08,,
2002-05,8.617B,8.617B,7.583B,1.033B,812.69M,-4.50M,,,,4.50M,817.19M,216.30M,,,,-4.50M,,217.28M,86.91M,130.37M,,,130.37M,133.07M,286.58M,,2002-05,0.29,0.00,,0.29,,2002-05,0.28,0.00,0.2856,0.28,,480.26M,,,2002-05,,
