,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2020-11,13.59B,833.00M,14.42B,1.646B,,1.646B,14.90B,14.90B,,1.126B,32.10B,,,,,25.07B,,25.07B,,25.07B,,,,,,,3.048B,28.12B,60.22B,,,17.01B,5.037B,22.05B,,96.00M,96.00M,,1.985B,8.535B,32.67B,7.529B,2.574B,10.10B,,,449.00M,2.138B,12.24B,44.91B,,2020-11,6.725B,,,-1.101B,14.86B,AOR,
2020-08,12.28B,1.028B,13.30B,1.55B,,1.55B,12.24B,12.24B,,1.023B,28.12B,0.00,6.696B,17.98B,8.749B,2.788B,1.276B,37.49B,-12.90B,24.60B,,,,,,,2.841B,27.44B,55.56B,,,14.17B,4.998B,19.17B,,95.00M,95.00M,,1.851B,3.728B,24.84B,7.514B,2.558B,10.07B,,,421.00M,1.935B,12.01B,36.85B,,2020-08,6.698B,,,-1.297B,18.28B,AOR,
2020-05,10.83B,948.00M,11.77B,1.507B,,1.507B,11.01B,11.01B,,963.00M,25.25B,0.00,6.684B,17.80B,8.549B,2.749B,1.073B,36.86B,-12.58B,24.28B,,,,,,,2.202B,26.48B,51.73B,,,10.81B,4.577B,15.39B,,1.497B,1.497B,,1.832B,4.06B,22.78B,7.598B,2.535B,10.13B,,,401.00M,1.617B,11.75B,34.53B,,2020-05,6.593B,,,-1.678B,16.80B,AOR,
2020-02,7.786B,929.00M,8.715B,1.988B,,1.988B,11.85B,11.85B,,1.15B,23.70B,0.00,6.696B,17.85B,8.406B,2.596B,906.00M,36.46B,-12.38B,24.08B,,,,,,,1.002B,25.08B,48.78B,,,11.07B,4.658B,15.73B,,500.00M,500.00M,,1.865B,4.60B,22.70B,5.099B,2.446B,7.545B,,,385.00M,1.543B,9.088B,31.78B,,2020-02,6.506B,,,-1.28B,16.61B,AOR,
2019-11,9.027B,993.00M,10.02B,1.711B,,1.711B,13.82B,13.82B,,1.094B,26.64B,0.00,6.533B,17.73B,8.243B,2.597B,803.00M,35.91B,-12.07B,23.83B,,,,,,,954.00M,24.79B,51.43B,,,14.44B,4.352B,18.79B,,1.70B,1.70B,,1.817B,3.956B,26.26B,5.107B,2.442B,7.549B,,,363.00M,1.393B,8.942B,35.21B,,2019-11,6.391B,,,-1.321B,15.86B,AOR,Restated
2019-08,8.384B,1.06B,9.444B,1.535B,,1.535B,11.40B,11.40B,,1.111B,23.48B,0.00,6.417B,17.14B,7.801B,,1.272B,32.63B,-11.74B,20.89B,,,,,,,1.025B,21.92B,45.40B,,,11.68B,4.356B,16.04B,,1.699B,1.699B,,1.711B,3.792B,23.24B,5.124B,0.00,5.124B,,,341.00M,1.455B,6.579B,29.82B,,2019-08,6.417B,,,-1.436B,15.24B,AOR,Restated
2019-05,7.013B,1.154B,8.167B,1.704B,,1.704B,11.30B,11.30B,,1.11B,22.28B,0.00,6.31B,16.64B,7.858B,,1.412B,32.22B,-11.75B,20.48B,,,,,,,992.00M,21.47B,43.75B,,,11.33B,4.048B,15.38B,,1.699B,1.699B,,1.761B,3.993B,22.83B,4.799B,,4.799B,,,334.00M,1.301B,6.10B,28.93B,,2019-05,6.307B,,,-1.321B,14.49B,AOR,Restated
2019-02,6.08B,1.042B,7.122B,1.995B,,1.995B,11.36B,11.36B,,1.175B,21.65B,0.00,6.30B,16.53B,7.704B,,1.165B,31.70B,-11.56B,20.14B,,,,,,,1.006B,21.15B,42.80B,,,10.71B,4.303B,15.01B,,1.698B,1.698B,,1.735B,4.003B,22.45B,4.794B,,4.794B,,,325.00M,1.372B,6.166B,28.62B,,2019-02,6.218B,,,-1.28B,13.86B,AOR,Restated
2018-11,6.778B,1.175B,7.953B,1.795B,,1.795B,12.20B,12.20B,,1.001B,22.95B,0.00,6.211B,16.36B,7.448B,,1.13B,31.14B,-11.26B,19.88B,,,,,,,981.00M,20.86B,43.81B,,,13.13B,4.059B,17.19B,,,,,1.695B,3.586B,22.47B,6.48B,,6.48B,,,312.00M,1.382B,7.862B,30.34B,,2018-11,6.107B,,,-1.331B,13.17B,AOR,Restated
2018-08,6.055B,1.204B,7.259B,1.669B,,1.669B,11.04B,11.04B,,321.00M,20.29B,0.00,6.193B,16.11B,7.274B,,1.14B,30.71B,-11.03B,19.68B,,,,,,,860.00M,20.54B,40.83B,,,11.24B,4.051B,15.29B,,90.00M,90.00M,,1.624B,2.924B,19.93B,6.487B,,6.487B,,,304.00M,1.314B,7.801B,27.73B,,2018-08,6.107B,,,-1.199B,12.80B,AOR,Restated
