,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2020-11,1.181B,,,,,,404.00M,404.00M,-9.00M,,341.00M,,61.00M,,-2.58B,2.785B,,,464.00M,669.00M,2.647B,2020-11,-893.00M,,-893.00M,,211.00M,,-682.00M,,,40.00M,40.00M,,-80.00M,-80.00M,-310.00M,-310.00M,,-350.00M,-700.00M,,12.28B,1.265B,48.00M,13.59B,2020-11,,,,-80.00M,123.00M,64.00M,2020-11,AOR,
2020-08,1.404B,,,,,,505.00M,505.00M,109.00M,,111.00M,,143.00M,,-1.056B,2.832B,,,194.00M,1.97B,4.242B,2020-08,-852.00M,,-852.00M,-30.00M,-63.00M,4.00M,-941.00M,,-1.50B,282.00M,-1.218B,,-85.00M,-85.00M,-619.00M,-619.00M,,4.00M,-1.918B,,10.83B,1.383B,68.00M,12.28B,2020-08,,0.00,-1.50B,-85.00M,594.00M,53.00M,2020-08,AOR,
2020-05,852.00M,,,,,,382.00M,382.00M,-6.00M,,89.00M,,2.00M,,659.00M,-34.00M,,,-46.00M,579.00M,1.898B,2020-05,-698.00M,,-698.00M,-1.133B,-26.00M,7.00M,-1.85B,,3.492B,-128.00M,3.364B,,-34.00M,-34.00M,-287.00M,-287.00M,,-44.00M,2.999B,,7.786B,3.047B,-7.00M,10.83B,2020-05,,3.992B,-500.00M,-34.00M,78.00M,11.00M,2020-05,AOR,
2020-02,947.00M,,,,,,389.00M,389.00M,-4.00M,,118.00M,,36.00M,,1.99B,-3.201B,,,344.00M,-867.00M,619.00M,2020-02,-545.00M,,-545.00M,,65.00M,10.00M,-470.00M,,-1.20B,-139.00M,-1.339B,,-47.00M,-47.00M,0.00,0.00,,-6.00M,-1.392B,,9.027B,-1.243B,2.00M,7.786B,2020-02,,,-1.20B,-47.00M,283.00M,10.00M,2020-02,AOR,
2019-11,856.00M,,,,,,369.00M,369.00M,5.00M,,301.00M,,55.00M,,-2.384B,2.664B,,,236.00M,516.00M,2.102B,2019-11,-715.00M,,-715.00M,,76.00M,9.00M,-630.00M,,,122.00M,122.00M,,-30.00M,-30.00M,-573.00M,-573.00M,,-355.00M,-836.00M,,8.384B,636.00M,7.00M,9.027B,2019-11,,,,-30.00M,97.00M,50.00M,2019-11,AOR,Restated
2019-08,1.11B,,,,,,473.00M,473.00M,180.00M,,113.00M,,-1.00M,,-127.00M,322.00M,,,223.00M,418.00M,2.293B,2019-08,-1.009B,,-1.009B,0.00,90.00M,-1.00M,-920.00M,,298.00M,44.00M,342.00M,,-52.00M,-52.00M,-286.00M,-286.00M,,-5.00M,-1.00M,,7.013B,1.372B,-1.00M,8.384B,2019-08,,298.00M,0.00,-52.00M,407.00M,69.00M,2019-08,AOR,Restated
2019-05,916.00M,,,,,,336.00M,336.00M,-6.00M,,93.00M,,4.00M,,40.00M,684.00M,,,38.00M,762.00M,2.105B,2019-05,-672.00M,,-672.00M,0.00,-117.00M,15.00M,-774.00M,,0.00,-96.00M,-96.00M,,-46.00M,-46.00M,-251.00M,-251.00M,,-4.00M,-397.00M,,6.08B,934.00M,-1.00M,7.013B,2019-05,,0.00,0.00,-46.00M,103.00M,4.00M,2019-05,AOR,Restated
2019-02,901.00M,,,,,,352.00M,352.00M,4.00M,,119.00M,,10.00M,,875.00M,-2.506B,,,26.00M,-1.605B,-219.00M,2019-02,-587.00M,,-587.00M,,140.00M,13.00M,-434.00M,,0.00,69.00M,69.00M,,-117.00M,-117.00M,0.00,0.00,,-1.00M,-49.00M,,6.778B,-702.00M,4.00M,6.08B,2019-02,,,0.00,-117.00M,544.00M,19.00M,2019-02,AOR,Restated
2018-11,777.00M,,,,,,331.00M,331.00M,-31.00M,,270.00M,,-4.00M,,-1.324B,1.822B,,,336.00M,834.00M,2.177B,2018-11,-730.00M,,-730.00M,,24.00M,-31.00M,-737.00M,,-89.00M,193.00M,104.00M,,-32.00M,-32.00M,-501.00M,-501.00M,,-271.00M,-700.00M,,6.055B,740.00M,-17.00M,6.778B,2018-11,,,-89.00M,-32.00M,133.00M,49.00M,2018-11,AOR,Restated
2018-08,1.053B,,,,,,431.00M,431.00M,-28.00M,,113.00M,,-3.00M,,-485.00M,401.00M,,,72.00M,-12.00M,1.554B,2018-08,-1.056B,,-1.056B,,-46.00M,7.00M,-1.095B,,-28.00M,103.00M,75.00M,,-90.00M,-90.00M,-250.00M,-250.00M,,-2.00M,-267.00M,,5.877B,192.00M,-14.00M,6.055B,2018-08,,0.00,-5.00M,-90.00M,425.00M,62.00M,2018-08,AOR,Restated
