,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-09,276.96M,,,29.07M,,,292.88M,292.88M,131.11M,,,86.79M,-8.09M,,5.037M,-10.35M,51.52M,,124.92M,,854.94M,-344.30M,16.20M,-328.10M,-221.64M,,-11.96M,-561.70M,,,164.62M,4.862M,-443.00M,-438.14M,,,,-17.60M,-0.481M,-291.60M,41.00M,1.638M,42.64M,4.862M,,,-443.00M,,
2003-06,244.38M,,,3.82M,,,272.36M,272.36M,117.94M,,,66.93M,3.401M,,-41.98M,-10.74M,30.01M,,47.62M,,686.12M,-412.16M,,-412.16M,-644.22M,,-20.12M,-1.077B,,,405.66M,6.844M,,6.844M,,,,-17.58M,-3.505M,391.42M,39.96M,1.041M,41.00M,6.844M,,,,,
2003-03,338.93M,,,-12.74M,,,214.35M,214.35M,103.43M,,,-229.09M,1.009M,,98.55M,-1.90M,25.50M,,-105.92M,,538.04M,-358.88M,,-358.88M,-512.91M,,-12.23M,-884.02M,,,-215.55M,566.92M,,566.92M,,,,-16.79M,-0.534M,334.05M,51.89M,-11.93M,39.96M,566.92M,,,,,
2002-12,180.82M,,,24.53M,213.26M,-9.898M,203.36M,203.36M,54.40M,,,-49.89M,1.243M,,-29.24M,-8.198M,-5.58M,,-91.67M,,371.45M,-290.15M,7.043M,-283.11M,-258.88M,84.72M,-13.01M,-470.29M,,,-4.367M,3.431M,,3.431M,,,,-15.82M,0.013M,-16.74M,167.47M,-115.58M,51.89M,3.431M,,,,,
2002-09,146.53M,,,0.00,208.79M,2.21M,211.00M,211.00M,45.12M,,,-50.93M,0.601M,,21.56M,-1.995M,13.30M,,-17.46M,,385.18M,-281.31M,,-281.31M,-11.00M,0.00,-11.28M,-303.58M,,,-42.06M,12.01M,,12.01M,,,,-15.80M,-0.254M,-46.11M,131.98M,35.49M,167.47M,12.01M,,,,,
2002-06,146.31M,,,-0.334M,210.79M,-7.057M,203.73M,203.73M,38.50M,,,6.96M,-1.155M,,27.12M,3.688M,-6.007M,,30.61M,,418.82M,-220.83M,-0.796M,-221.62M,,0.00,-9.275M,-230.90M,,,-72.72M,7.867M,0.856M,8.723M,,,,-19.00M,-6.469M,-89.47M,33.52M,98.46M,131.98M,7.867M,,,0.856M,,
2002-03,80.67M,,,4.934M,211.04M,-7.089M,203.95M,203.95M,-0.348M,,,-28.97M,0.028M,,12.77M,-19.12M,-48.66M,,-83.94M,,205.26M,-245.08M,0.796M,-244.29M,,17.01M,-3.954M,-231.24M,,,33.61M,9.39M,-0.856M,8.534M,,,,-18.26M,-0.018M,23.87M,35.62M,-2.103M,33.52M,9.39M,,,-0.856M,,
2001-12,78.62M,,,10.47M,,,155.06M,155.06M,27.98M,,45.34M,21.98M,-4.066M,,-86.38M,45.43M,90.82M,,67.78M,,385.25M,-348.88M,147.13M,-201.75M,-66.06M,12.87M,-58.36M,-313.29M,,,-68.87M,2.801M,0.044M,2.845M,,,,-39.81M,1.648M,-104.19M,67.85M,-32.23M,35.62M,2.801M,,,0.044M,,
2001-09,156.83M,,,20.74M,,,217.02M,217.02M,85.08M,,-48.65M,132.17M,0.192M,,-31.93M,-29.32M,-42.74M,,28.38M,,459.40M,-399.44M,-103.82M,-503.26M,-11.00M,-116.74M,27.98M,-603.02M,,,-326.41M,0.279M,-27.00M,-26.72M,,,,-4.908M,440.19M,82.15M,129.32M,-61.47M,67.85M,0.279M,,,-27.00M,,
2001-06,205.74M,,,40.88M,,,208.65M,208.65M,93.24M,,0.948M,-13.95M,0.976M,,-84.02M,3.636M,-8.571M,,-101.93M,,447.53M,-431.47M,208.43M,-223.04M,0.00,,-72.39M,-295.43M,,,-110.69M,2.874M,-16.01M,-13.13M,,,,-4.908M,-0.887M,-129.62M,106.84M,22.49M,129.32M,2.874M,,,-16.01M,,
2001-03,282.20M,,,3.376M,,,172.53M,172.53M,98.92M,,2.367M,44.48M,-0.107M,,58.36M,-20.67M,1.089M,,83.15M,,642.54M,-344.98M,128.66M,-216.32M,-911.95M,,25.94M,-1.102B,,,530.36M,4.251M,,4.251M,,,,-4.87M,-0.294M,529.45M,37.17M,69.66M,106.84M,4.251M,,,,,
2000-12,245.24M,,,29.64M,,,158.94M,158.94M,143.77M,,,-78.92M,,,118.40M,-25.99M,-22.82M,,-9.323M,,568.26M,-331.19M,6.147M,-325.04M,-479.47M,,6.307M,-798.20M,,,254.31M,7.831M,-0.003M,7.828M,,,,-22.20M,-0.099M,239.83M,27.28M,9.892M,37.17M,7.831M,,,-0.003M,,
2000-09,214.13M,,,-12.79M,,,156.12M,156.12M,93.96M,,1.378M,-76.39M,13.83M,,-49.22M,26.20M,46.64M,,-38.93M,,413.87M,-253.60M,-1.10M,-254.70M,-337.12M,,12.84M,-578.98M,,,-260.71M,439.78M,0.00,439.78M,,,,-4.946M,-0.736M,173.39M,19.00M,8.284M,27.28M,439.78M,,,0.00,,
2000-06,137.38M,,,12.13M,,,135.06M,135.06M,61.25M,,-1.378M,-67.93M,-11.95M,,47.93M,5.587M,-13.08M,,-39.44M,,305.00M,-252.43M,4.472M,-247.96M,-314.70M,-0.347M,-14.99M,-578.00M,,,268.73M,11.62M,0.00,11.62M,,,,-12.87M,0.00,267.48M,24.51M,-5.514M,19.00M,11.62M,,,0.00,,
2000-03,116.30M,,,-0.748M,,,133.43M,133.43M,51.72M,,,-30.49M,-1.883M,,-5.269M,-13.53M,-7.291M,,-58.46M,,242.24M,-173.30M,16.75M,-156.55M,-119.52M,0.347M,1.897M,-273.83M,,,70.13M,6.072M,-20.34M,-14.27M,,,,-12.93M,-0.003M,42.93M,13.17M,11.34M,24.51M,6.072M,,,-20.34M,,
1999-12,97.46M,,,,,,126.54M,126.54M,35.60M,,0.701M,13.00M,,,-26.20M,37.70M,-42.00M,,-17.50M,,248.80M,605.58M,5.526M,611.11M,-1.295B,,13.18M,-670.55M,,,439.20M,-1.00M,-3.50M,-4.50M,,,,-13.00M,-3.40M,418.30M,16.70M,-3.451M,13.20M,-1.00M,,,-3.50M,,
1999-09,72.80M,,,,,,120.26M,120.26M,31.47M,,-0.601M,-51.70M,0.356M,,56.70M,-0.332M,-3.49M,,1.539M,,225.47M,-918.35M,46.53M,-871.82M,770.20M,,-3.012M,-104.64M,,,-110.98M,9.565M,-12.10M,-2.535M,,,,-12.77M,-0.339M,-126.63M,22.43M,-5.79M,16.70M,9.565M,,,-12.10M,,
1999-06,32.80M,,,,,,106.54M,106.54M,13.33M,,0.101M,-67.70M,-0.056M,,15.20M,-1.068M,19.19M,,-34.44M,,118.33M,-51.85M,98.87M,47.02M,-770.20M,,-49.59M,-772.76M,,,10.48M,656.74M,,656.74M,,,,-8.232M,-1.161M,657.83M,19.10M,3.39M,22.43M,656.74M,,,,,
1999-03,-2.20M,,,,,,89.50M,89.50M,-2.90M,,-0.10M,3.20M,-0.30M,,-20.80M,-10.10M,-10.70M,,-38.70M,,45.60M,-226.70M,4.30M,-222.40M,,,0.60M,-221.80M,,,188.40M,0.60M,,0.60M,,,,-8.30M,,180.70M,14.50M,4.50M,19.10M,0.60M,,,,,
1998-12,-159.19M,,,4.883M,,,331.98M,331.98M,-84.70M,,-0.281M,11.20M,,,-3.30M,4.30M,-14.80M,,-2.60M,,90.10M,-187.00M,0.447M,-186.55M,,-26.10M,86.23M,-174.92M,,,48.00M,0.20M,0.00,0.20M,,,,-7.90M,-0.20M,40.10M,59.30M,-44.72M,14.50M,0.20M,,,0.00,,
1998-09,3.20M,,,0.00,,,95.90M,95.90M,-2.20M,,0.40M,10.70M,,,-23.20M,-6.10M,71.70M,,53.10M,,150.40M,-132.30M,88.50M,-43.80M,,26.10M,-97.60M,-115.30M,,,-134.80M,98.70M,-21.40M,77.30M,,,,-6.90M,-0.30M,-64.70M,0.00,-29.60M,59.30M,98.70M,,,-21.40M,,
1998-06,9.20M,,,0.60M,,,98.40M,98.40M,-0.30M,,0.10M,0.20M,,,2.30M,21.90M,-7.30M,,17.10M,,125.10M,-187.60M,-2.30M,-189.90M,,,-0.10M,-190.00M,,,40.40M,0.20M,0.30M,0.50M,,,,-6.90M,-0.10M,33.90M,0.00,-31.00M,0.00,0.20M,,,0.30M,,
