,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-03,-4.504B,,,,,,,8.302B,-2.935B,,33.00M,247.00M,22.00M,-169.00M,-394.00M,,,-25.00M,-319.00M,73.00M,650.00M,-1.781B,,-1.781B,,,-72.00M,-2.118B,1.028B,,1.028B,,,,,,-94.00M,-94.00M,-6.00M,928.00M,769.00M,-540.00M,229.00M,,1.028B,,,142.00M,89.00M
2014-12,-6.534B,,,,,,,-667.00M,-2.483B,7.102B,2.373B,166.00M,-105.00M,214.00M,-261.00M,,,-156.00M,-142.00M,172.00M,1.429B,-3.238B,-25.00M,-3.263B,0.00,,1.702B,-1.449B,322.00M,,322.00M,,-34.00M,-34.00M,,,-94.00M,-94.00M,-5.00M,189.00M,510.00M,169.00M,679.00M,,322.00M,0.00,-34.00M,223.00M,117.00M
2014-09,-1.085B,,,,,,,2.735B,540.00M,0.00,-244.00M,200.00M,87.00M,-174.00M,-144.00M,,,-108.00M,-139.00M,89.00M,1.896B,-2.90B,1.376B,-1.524B,0.00,,-608.00M,-2.45B,1.247B,,1.247B,,-567.00M,-567.00M,,,-95.00M,-95.00M,-45.00M,540.00M,524.00M,-14.00M,510.00M,,1.246B,1.00M,-567.00M,353.00M,81.00M
2014-06,456.00M,,,,,,,1.252B,-18.00M,,85.00M,2.00M,-98.00M,30.00M,73.00M,,,-44.00M,-37.00M,601.00M,2.339B,-2.12B,381.00M,-1.739B,0.00,,-42.00M,-2.542B,1.00M,,1.00M,,-779.00M,-779.00M,,,-97.00M,-97.00M,-41.00M,-916.00M,1.643B,-1.119B,524.00M,,,1.00M,-779.00M,290.00M,-8.00M
2014-03,851.00M,,,,,,,1.206B,162.00M,,3.00M,389.00M,85.00M,37.00M,-456.00M,,,-66.00M,-11.00M,82.00M,2.293B,-2.706B,,-2.706B,,,9.00M,-1.949B,-2.00M,,-2.00M,,-484.00M,-484.00M,,,-79.00M,-79.00M,,-607.00M,1.906B,-263.00M,1.643B,,,-2.00M,-484.00M,491.00M,70.00M
2013-12,-270.00M,,,,,,,1.209B,80.00M,,129.00M,154.00M,-24.00M,146.00M,5.00M,,,56.00M,337.00M,992.00M,2.477B,-1.518B,216.00M,-1.302B,313.00M,,-93.00M,-2.782B,-1.142B,,-1.142B,,-748.00M,-748.00M,,,-80.00M,-80.00M,2.931B,960.00M,1.251B,655.00M,1.906B,,,-1.142B,-748.00M,422.00M,7.00M
2013-09,435.00M,,,,,,,1.995B,-203.00M,,441.00M,-171.00M,-8.00M,-166.00M,-387.00M,,,-12.00M,-744.00M,54.00M,1.978B,-2.497B,3.793B,1.296B,-174.00M,,-26.00M,1.03B,-1.884B,,-1.884B,,0.00,0.00,,,-97.00M,-97.00M,35.00M,-1.941B,184.00M,1.067B,1.251B,,-945.00M,-939.00M,0.00,542.00M,106.00M
2013-06,1.037B,,,,,,,1.35B,327.00M,,-159.00M,141.00M,-83.00M,70.00M,165.00M,,,-129.00M,164.00M,40.00M,2.759B,-2.776B,0.00,-2.776B,0.00,,55.00M,-2.772B,290.00M,,290.00M,,-249.00M,-249.00M,,,-97.00M,-97.00M,-9.00M,-51.00M,248.00M,-64.00M,184.00M,,790.00M,-500.00M,-249.00M,315.00M,17.00M
2013-03,778.00M,,,,,,,1.312B,105.00M,,100.00M,-19.00M,50.00M,219.00M,36.00M,,,-24.00M,262.00M,64.00M,2.621B,-2.765B,,-2.765B,257.00M,,-41.00M,-2.592B,155.00M,,155.00M,,0.00,0.00,,,-86.00M,-86.00M,12.00M,59.00M,160.00M,88.00M,248.00M,,155.00M,,0.00,487.00M,62.00M
2012-12,654.00M,,,,,,,1.18B,480.00M,,217.00M,-100.00M,-89.00M,-9.00M,-571.00M,,,97.00M,-672.00M,,2.082B,-2.491B,1.00M,-2.49B,122.00M,,-169.00M,-2.864B,671.00M,,671.00M,-2.00M,0.00,-2.00M,,,-86.00M,-86.00M,3.00M,624.00M,318.00M,-158.00M,160.00M,-2.00M,671.00M,0.00,0.00,714.00M,16.00M
2012-09,180.00M,,,,,,,2.029B,141.00M,,66.00M,-362.00M,5.00M,-209.00M,-61.00M,,,-166.00M,-793.00M,,1.623B,-2.775B,26.00M,-2.749B,-116.00M,,-109.00M,-2.974B,1.396B,,1.396B,0.00,0.00,0.00,,,-85.00M,-85.00M,-3.00M,1.308B,361.00M,-43.00M,318.00M,0.00,1.396B,0.00,0.00,599.00M,66.00M
2012-06,356.00M,,,,,,,1.932B,-5.00M,,95.00M,572.00M,-43.00M,11.00M,-92.00M,,,-34.00M,414.00M,,2.792B,-2.231B,,-2.231B,-2.472B,,-241.00M,-4.944B,2.365B,,2.365B,2.00M,0.00,2.00M,,,-84.00M,-84.00M,-15.00M,2.268B,245.00M,116.00M,361.00M,2.00M,2.765B,-400.00M,0.00,468.00M,-24.00M
2012-03,797.00M,,,,,,,1.74B,38.00M,,73.00M,-82.00M,67.00M,-136.00M,-493.00M,,,3.00M,-641.00M,,2.007B,-1.967B,,-1.967B,-639.00M,,-36.00M,-2.642B,657.00M,,657.00M,,,,,,-77.00M,-77.00M,5.00M,585.00M,295.00M,-50.00M,245.00M,,657.00M,,,809.00M,88.00M
2011-12,1.189B,,,,,,,1.174B,181.00M,,120.00M,-342.00M,-2.00M,49.00M,250.00M,,,163.00M,118.00M,,2.782B,-1.848B,220.00M,-1.628B,-1.304B,,-87.00M,-3.019B,15.00M,,15.00M,,,0.00,,,-76.00M,-76.00M,7.00M,-54.00M,586.00M,-291.00M,295.00M,,0.00,15.00M,,351.00M,-9.00M
2011-09,1.002B,,,,,,,1.065B,1.065B,,2.00M,-62.00M,62.00M,-27.00M,-203.00M,,,-11.00M,-241.00M,,2.447B,-1.791B,10.00M,-1.781B,-431.00M,,-37.00M,-2.249B,-940.00M,289.00M,-651.00M,-42.00M,,-42.00M,,,-230.00M,-77.00M,51.00M,-719.00M,1.107B,-521.00M,586.00M,-42.00M,0.00,-940.00M,,441.00M,93.00M
2011-06,1.259B,,,,,,,1.029B,,,55.00M,2.00M,-71.00M,22.00M,254.00M,,,-101.00M,106.00M,,2.745B,-1.743B,192.00M,-1.551B,-78.00M,0.00,1.00M,-1.628B,0.00,-308.00M,-308.00M,16.00M,,16.00M,,,,-77.00M,3.00M,-366.00M,356.00M,751.00M,1.107B,16.00M,0.00,0.00,,446.00M,-1.00M
2011-03,1.134B,,,,,,,936.00M,,,23.00M,-357.00M,-26.00M,-18.00M,30.00M,,,107.00M,-264.00M,,1.979B,-1.696B,,-1.696B,0.00,,-53.00M,-1.749B,,19.00M,19.00M,26.00M,,26.00M,,,,-76.00M,23.00M,-8.00M,134.00M,222.00M,356.00M,26.00M,,,,448.00M,73.00M
2010-12,689.00M,,,,,,,928.00M,952.00M,,118.00M,-289.00M,56.00M,-42.00M,118.00M,,,102.00M,-55.00M,,1.926B,-9.00B,0.00,-9.00B,2.637B,,3.416B,-2.947B,-69.00M,37.00M,-32.00M,-33.00M,,-33.00M,0.00,0.00,,-74.00M,83.00M,-56.00M,1.211B,-1.077B,134.00M,-33.00M,986.00M,,,201.00M,11.00M
2010-09,778.00M,,,,,,,787.00M,,,67.00M,-103.00M,-14.00M,-8.00M,30.00M,,,-174.00M,-269.00M,,1.715B,-1.191B,0.00,-1.191B,-2.517B,,-3.53B,-7.238B,1.484B,18.00M,1.502B,2.267B,,2.267B,1.227B,1.227B,,-51.00M,-16.00M,4.929B,1.805B,-594.00M,1.211B,3.494B,1.484B,,,374.00M,63.00M
2010-06,860.00M,,,,,,-639.00M,729.00M,-159.00M,,50.00M,165.00M,1.00M,18.00M,-85.00M,-4.00M,,2.00M,97.00M,,1.931B,-1.104B,0.00,-1.104B,-1.033B,,-33.00M,-2.17B,,-55.00M,-52.00M,12.00M,,12.00M,,,,-51.00M,9.00M,-82.00M,2.126B,-321.00M,1.805B,12.00M,,,,302.00M,39.00M
2010-03,705.00M,,,,,,639.00M,639.00M,159.00M,,66.00M,-269.00M,-8.00M,4.00M,-158.00M,4.00M,,12.00M,-415.00M,,1.154B,-1.074B,,-1.074B,,,26.00M,-1.048B,,,-3.00M,12.00M,,12.00M,,,,-50.00M,13.00M,-28.00M,2.048B,78.00M,2.126B,12.00M,,,,293.00M,74.00M
2009-12,585.20M,,,,,,,614.96M,,,68.20M,41.10M,-16.90M,-93.43M,25.04M,,,142.29M,98.09M,,1.545B,-770.68M,,-767.68M,52.13M,0.001M,-15.78M,-731.33M,0.00,17.82M,17.82M,3.628M,,3.628M,,-98.00M,,-53.88M,8.31M,-122.11M,1.357B,691.09M,2.048B,3.628M,0.00,0.00,,224.98M,43.43M
2009-09,442.02M,,,,,,,625.90M,575.23M,,61.85M,-54.59M,15.95M,40.18M,18.52M,,,-3.229M,16.82M,,1.313B,-579.05M,,-579.05M,-181.13M,0.00,-12.70M,-772.88M,0.00,230.18M,82.51M,11.73M,,11.73M,,0.00,,-51.79M,3.496M,45.94M,771.56M,585.81M,1.357B,11.73M,,0.00,,272.77M,77.45M
2009-06,444.72M,,,-40.27M,,,,573.36M,123.82M,,157.96M,-242.64M,-10.57M,-73.66M,-50.64M,,,-58.57M,-436.07M,,823.51M,-1.404B,,-1.404B,0.00,792.00M,-48.92M,-661.00M,0.072M,-92.56M,55.18M,10.64M,,10.64M,,,,-51.70M,5.234M,19.35M,589.69M,181.86M,771.56M,10.64M,-92.56M,0.072M,,168.64M,44.65M
2009-03,-1.757B,,,40.27M,,,,3.399B,-699.04M,,,69.14M,6.522M,-16.10M,-502.92M,,,3.509M,-439.84M,,543.22M,-1.059B,,-1.059B,,,-22.60M,-1.082B,-100.07M,92.56M,-7.509M,2.00M,,2.00M,,,,-51.63M,3.96M,-53.18M,1.181B,-591.76M,589.69M,2.00M,92.56M,-100.07M,,19.62M,77.47M
2008-12,-3.658B,,,-101.50M,,,,6.001B,-1.916B,,762.71M,318.67M,-14.57M,0.955M,-231.25M,,,-126.04M,-52.23M,,1.037B,-1.339B,1.273M,-1.338B,-149.84M,-792.00M,-21.75M,-2.302B,797.54M,169.04M,866.78M,0.633M,,0.633M,,,,-51.62M,-14.22M,801.57M,1.645B,-463.15M,1.181B,0.633M,,170.27M,,181.69M,34.38M
2008-09,1.191B,,,15.08M,,,,600.89M,316.79M,,,584.76M,-6.009M,27.89M,-458.58M,,,19.01M,167.07M,,2.291B,-1.695B,6.764M,-1.688B,,0.00,63.44M,-1.625B,-0.26M,13.31M,13.05M,3.436M,,3.436M,,,,-51.59M,5.527M,-29.58M,1.008B,636.16M,1.645B,3.436M,,13.05M,,419.11M,46.79M
2008-06,1.445B,,,86.43M,,,,627.67M,363.11M,,-36.11M,-294.48M,-78.03M,,217.85M,0.911M,,-236.49M,-390.24M,,1.930B,-1.542B,107.00M,-1.435B,0.00,0.00,231.60M,-1.204B,-1.317M,-95.31M,-96.62M,23.90M,,23.90M,,,,-51.47M,23.75M,-100.44M,383.04M,625.40M,1.008B,23.90M,,-183.67M,,725.14M,38.08M
2008-03,1.022B,,,,,,,620.49M,,,36.11M,-38.36M,76.31M,,-55.64M,-0.911M,,-17.68M,-36.28M,,1.808B,-1.246B,192.93M,-1.054B,,,-351.40M,-1.405B,,-87.04M,-87.04M,8.037M,,8.037M,,,,-84.67M,17.39M,-146.29M,125.82M,257.22M,383.04M,8.037M,,,,368.61M,52.24M
2007-12,1.073B,,,9.464M,,,624.98M,624.98M,186.86M,,23.80M,-231.37M,9.166M,,-26.12M,5.793M,62.24M,62.63M,-117.66M,,1.800B,-1.095B,67.48M,-1.028B,-0.012M,,-85.77M,-1.114B,,,-634.00M,8.78M,,8.78M,,,,-51.33M,4.724M,-671.83M,111.42M,14.40M,125.82M,8.78M,,,,,
2007-09,613.35M,,,19.55M,,,600.80M,600.80M,359.85M,,24.44M,-11.82M,8.721M,,32.89M,-31.51M,-142.76M,-46.02M,-190.51M,,1.427B,-1.298B,-11.15M,-1.310B,-4.581M,,-24.31M,-1.338B,,,-125.19M,5.786M,,5.786M,,,,-51.27M,4.439M,-166.23M,188.64M,-77.22M,111.42M,5.786M,,,,,
2007-06,633.54M,,,10.58M,,,591.11M,591.11M,207.66M,,24.13M,-64.14M,30.15M,,-42.39M,-0.31M,67.65M,-71.54M,-80.58M,,1.386B,-1.203B,11.15M,-1.192B,0.00,,-72.72M,-1.265B,,,-26.69M,21.62M,,21.62M,,,,-51.12M,6.46M,-49.73M,116.47M,72.17M,188.64M,21.62M,,,,,
