,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,16.50B,16.50B,14.36B,2.136B,,145.00M,-145.00M,,,2.136B,145.00M,-145.00M,65.00M,-145.00M,2.056B,303.00M,1.753B,-55.00M,,,1.698B,1.753B,2.52B,319.00M,2.201B,6.28,-0.2,,6.28,6.08,6.25,-0.2,,6.25,6.05,279.30M,280.60M,2.4
2020-06,16.22B,16.22B,14.01B,2.213B,,149.00M,-149.00M,127.00M,127.00M,2.086B,149.00M,-149.00M,25.00M,-149.00M,1.962B,336.00M,1.626B,,,,1.626B,1.626B,2.418B,307.00M,2.111B,5.81,,,5.81,5.81,5.79,,,5.79,5.79,279.80M,280.80M,2.4
2020-03,15.65B,15.65B,13.56B,2.091B,,148.00M,-148.00M,,,2.091B,148.00M,-148.00M,87.00M,-148.00M,2.03B,313.00M,1.717B,,,,1.717B,1.717B,2.479B,301.00M,2.178B,6.1,,,6.1,6.1,6.08,,,6.08,6.08,281.30M,282.60M,2.4
2019-12,15.88B,15.88B,13.76B,2.123B,,157.00M,-157.00M,,,2.123B,157.00M,-157.00M,-134.00M,-157.00M,1.832B,334.00M,1.498B,0.00,,,1.498B,1.498B,2.311B,322.00M,1.989B,5.32,0.0,,5.32,5.32,5.29,0.0,,5.29,5.29,281.40M,283.20M,2.4
2019-09,15.17B,15.17B,13.11B,2.063B,,162.00M,-162.00M,,,2.063B,162.00M,-162.00M,-120.00M,-162.00M,1.781B,173.00M,1.608B,0.00,,,1.608B,1.608B,2.245B,302.00M,1.943B,5.7,0.0,,5.7,5.7,5.66,0.0,,5.66,5.66,282.00M,283.90M,2.2
2019-06,14.43B,14.43B,12.43B,1.993B,,163.00M,-163.00M,-15.00M,-15.00M,2.008B,163.00M,-163.00M,-162.00M,-163.00M,1.683B,263.00M,1.42B,,,,1.42B,1.42B,2.134B,288.00M,1.846B,5.03,,,5.03,5.03,5.0,,,5.0,5.0,282.20M,283.90M,2.2
2019-03,14.34B,14.34B,12.15B,2.188B,,171.00M,-171.00M,,,2.188B,171.00M,-171.00M,-72.00M,-171.00M,1.945B,241.00M,1.704B,,,,1.704B,1.704B,2.393B,277.00M,2.116B,6.03,,,6.03,6.03,5.99,,,5.99,5.99,282.50M,284.30M,2.2
2018-12,14.41B,14.41B,12.47B,1.942B,0.00,171.00M,-171.00M,,0.00,1.942B,171.00M,-171.00M,-288.00M,-171.00M,1.483B,230.00M,1.253B,,,,1.253B,1.253B,1.958B,304.00M,1.654B,4.43,0.0,,4.43,4.43,4.39,0.0,,4.39,4.39,283.30M,285.60M,2.2
2018-09,14.32B,14.32B,12.40B,1.921B,0.00,177.00M,-177.00M,,0.00,1.921B,177.00M,-177.00M,-169.00M,-177.00M,1.575B,102.00M,1.473B,,,,1.473B,1.473B,2.043B,291.00M,1.752B,5.18,,,5.18,5.18,5.14,,,5.14,5.14,284.30M,286.70M,2.0
2018-06,13.40B,13.40B,11.55B,1.849B,-96.00M,165.00M,-165.00M,,-96.00M,1.849B,165.00M,-165.00M,-264.00M,-165.00M,1.42B,257.00M,1.163B,,,,1.163B,1.242B,1.872B,287.00M,1.585B,4.08,,,4.356,4.08,4.05,,,4.324,4.05,285.00M,287.10M,2.0
