,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.585B,,3.585B,2.48B,10.39B,12.87B,567.00M,2.462B,264.00M,,3.293B,,544.00M,20.29B,,,,,,,,6.803B,10.59B,3.013B,13.60B,,3.198B,6.88B,30.48B,50.77B,1.491B,2.818B,4.309B,,4.309B,,1.00B,1.00B,7.354B,7.354B,,2.538B,15.20B,11.68B,11.68B,,,,12.76B,33.00M,6.146B,30.59B,45.79B,278.00M,19.84B,90.00M,,-15.26B,4.953B
2020-06,2.855B,,2.855B,2.835B,9.821B,12.66B,564.00M,2.644B,313.00M,,3.521B,,538.00M,19.57B,,,,,,,,6.663B,10.58B,3.077B,13.66B,,3.127B,6.587B,30.03B,49.60B,1.453B,2.488B,3.941B,,3.941B,,500.00M,500.00M,7.481B,7.481B,,2.966B,14.89B,12.17B,12.17B,,,,12.92B,35.00M,5.834B,30.93B,45.82B,278.00M,18.88B,0.00,,-15.40B,3.751B
2020-03,1.988B,,1.988B,2.892B,10.19B,13.08B,521.00M,2.717B,301.00M,,3.539B,,614.00M,19.22B,,,,,,,,6.605B,10.56B,3.142B,13.71B,,3.164B,6.55B,30.03B,49.25B,3.166B,2.022B,5.188B,,5.188B,,1.25B,1.25B,7.205B,7.205B,,2.009B,15.65B,11.44B,11.44B,,,,13.08B,41.00M,5.592B,30.11B,45.76B,279.00M,18.71B,0.00,,-15.54B,3.446B
2019-12,1.514B,,1.514B,2.337B,9.094B,11.43B,532.00M,2.783B,304.00M,,3.619B,,531.00M,17.10B,0.0,136.00M,7.013B,8.128B,1.701B,16.98B,-10.39B,6.591B,10.60B,3.213B,13.82B,,3.319B,6.706B,30.43B,47.53B,1.281B,2.466B,3.747B,,3.747B,,1.25B,1.25B,7.054B,7.054B,,1.921B,13.97B,11.40B,11.40B,,,,13.57B,44.00M,5.41B,30.38B,44.36B,280.00M,18.40B,0.00,,-15.55B,3.127B
2019-09,2.539B,,2.539B,2.384B,11.00B,13.39B,460.00M,2.696B,318.00M,,3.474B,,402.00M,19.80B,,,,,,,,6.24B,10.76B,3.278B,14.04B,,2.912B,6.28B,29.47B,49.28B,2.904B,2.308B,5.212B,,5.212B,,900.00M,900.00M,6.777B,6.777B,,2.626B,15.52B,12.65B,12.65B,,,,12.11B,44.00M,5.058B,29.82B,45.34B,281.00M,17.26B,0.00,,-13.65B,3.893B
2019-06,1.167B,,1.167B,2.546B,10.39B,12.93B,452.00M,2.81B,337.00M,,3.599B,,400.00M,18.10B,,,,,,,,6.17B,10.78B,3.351B,14.13B,,3.163B,6.281B,29.74B,47.84B,2.611B,2.077B,4.688B,,4.688B,,900.00M,900.00M,6.766B,6.766B,,2.778B,15.13B,12.64B,12.64B,,,,12.11B,46.00M,5.061B,29.81B,44.94B,281.00M,16.41B,0.00,,-13.84B,2.85B
2019-03,991.00M,,991.00M,2.833B,10.50B,13.33B,438.00M,2.495B,352.00M,,3.285B,,425.00M,18.03B,,,,,,,,6.14B,10.77B,3.425B,14.19B,,3.169B,6.15B,29.65B,47.68B,3.097B,1.861B,4.958B,,4.958B,,1.30B,1.30B,6.796B,6.796B,,2.349B,15.40B,12.62B,12.62B,,,,12.12B,57.00M,5.022B,29.76B,45.16B,281.00M,16.28B,0.00,,-14.09B,2.465B
2018-12,772.00M,,772.00M,2.444B,9.472B,11.92B,446.00M,2.161B,390.00M,,2.997B,,418.00M,16.10B,0.0,135.00M,6.553B,7.871B,1.53B,16.09B,-9.965B,6.124B,10.77B,3.494B,14.26B,,3.208B,5.178B,28.77B,44.88B,2.402B,2.122B,4.524B,,4.524B,,1.50B,1.50B,6.491B,6.491B,,1.883B,14.40B,12.60B,12.60B,,,,12.11B,55.00M,4.311B,29.03B,43.43B,281.00M,15.43B,0.00,,-14.32B,1.394B
2018-09,897.00M,,897.00M,2.416B,9.769B,12.18B,470.00M,2.089B,491.00M,,3.05B,,727.00M,16.86B,,,,,,,,5.902B,10.79B,3.57B,14.36B,,3.036B,5.34B,28.64B,45.50B,2.691B,2.165B,4.856B,,4.856B,,1.24B,1.24B,6.489B,6.489B,,2.619B,15.20B,13.49B,13.49B,,,,11.39B,59.00M,4.411B,29.29B,44.49B,283.00M,14.74B,0.00,,-14.08B,943.00M
2018-06,1.181B,,1.181B,2.482B,9.281B,11.76B,446.00M,2.074B,518.00M,,3.038B,,522.00M,16.50B,,,,,,,,5.786B,10.78B,3.646B,14.43B,,3.051B,5.357B,28.62B,45.12B,2.675B,2.051B,4.726B,,4.726B,,750.00M,750.00M,6.413B,6.413B,,1.992B,13.88B,13.48B,13.48B,,,,12.90B,63.00M,4.384B,30.76B,44.65B,283.00M,14.53B,,,-14.40B,416.00M
2018-03,2.393B,,2.393B,2.373B,9.405B,11.78B,418.00M,2.298B,480.00M,,3.196B,,449.00M,17.82B,,,,,,,,5.749B,10.81B,3.73B,14.54B,,3.084B,5.449B,28.82B,46.63B,2.715B,1.771B,4.486B,,4.486B,,750.00M,750.00M,6.55B,6.55B,,2.188B,13.97B,13.47B,13.47B,,,,14.91B,71.00M,4.386B,32.77B,46.74B,284.00M,14.12B,,,-14.59B,-182.00M
2017-12,2.861B,,2.861B,2.265B,7.992B,10.26B,563.00M,1.823B,492.00M,,2.878B,,1.509B,17.50B,0.0,131.00M,6.401B,7.624B,1.205B,15.36B,-9.586B,5.775B,10.81B,3.797B,14.60B,,3.156B,5.58B,29.12B,46.62B,1.467B,1.785B,3.252B,,3.252B,,750.00M,750.00M,7.028B,7.028B,,1.883B,12.91B,13.51B,13.51B,,,,16.42B,74.00M,4.548B,34.48B,47.40B,284.00M,11.40B,0.00,,-12.54B,-850.00M
2017-09,2.941B,,2.941B,9.021B,,9.021B,798.00M,7.72B,,767.00M,4.803B,,443.00M,17.21B,,,,,,,,5.511B,10.81B,3.877B,14.69B,,5.97B,5.568B,31.74B,48.95B,2.848B,1.895B,4.743B,,4.743B,,,,6.195B,6.195B,,2.146B,13.08B,14.27B,14.27B,,,,14.86B,77.00M,4.563B,33.69B,46.77B,285.00M,13.17B,0.00,,-11.36B,2.098B
2017-06,2.452B,,2.452B,8.762B,,8.762B,790.00M,7.844B,,695.00M,4.941B,,411.00M,16.57B,,,,,,,,5.532B,10.78B,3.944B,14.72B,,6.332B,5.557B,32.14B,48.71B,2.554B,1.796B,4.35B,,4.35B,,,,6.46B,6.46B,,2.831B,13.64B,14.28B,14.28B,,,,14.82B,84.00M,4.619B,33.72B,47.36B,286.00M,12.62B,0.00,,-11.64B,1.265B
2017-03,2.216B,,2.216B,8.869B,,8.869B,785.00M,8.09B,,819.00M,5.074B,,427.00M,16.59B,,,,,,,,5.481B,10.77B,4.019B,14.79B,,6.489B,5.488B,32.25B,48.84B,2.718B,1.647B,4.365B,,4.365B,,,,6.572B,6.572B,,2.66B,13.60B,14.28B,14.28B,,,,14.77B,102.00M,4.609B,33.65B,47.25B,288.00M,13.09B,0.00,,-11.89B,1.483B
2016-12,1.837B,,1.837B,8.202B,,8.202B,833.00M,7.864B,,719.00M,4.67B,,399.00M,15.11B,0.0,127.00M,6.385B,7.389B,976.00M,14.88B,-9.328B,5.549B,10.76B,4.093B,14.86B,,6.625B,5.667B,32.70B,47.81B,1.653B,1.764B,3.417B,,3.417B,,,,6.776B,6.776B,,2.349B,12.54B,14.28B,14.28B,,,,14.72B,95.00M,4.659B,33.66B,46.20B,289.00M,13.32B,,,-12.10B,1.511B
2016-09,2.895B,,2.895B,8.955B,,8.955B,,8.668B,,1.468B,4.852B,,408.00M,17.11B,,,,,,,,5.369B,10.79B,4.205B,15.00B,,5.85B,5.414B,31.63B,48.74B,2.84B,1.856B,4.696B,,4.696B,,,,6.83B,6.83B,,2.899B,14.42B,14.30B,14.30B,,,,12.94B,107.00M,4.638B,31.88B,46.31B,291.00M,13.02B,,,-10.99B,2.323B
2016-06,1.269B,,1.269B,9.275B,,9.275B,,8.996B,,1.485B,5.136B,,393.00M,16.07B,,,,,,,,5.438B,13.62B,4.051B,17.67B,,5.83B,5.395B,34.34B,50.41B,2.778B,2.012B,4.79B,,4.79B,,502.00M,502.00M,7.236B,7.236B,,3.067B,15.60B,14.31B,14.31B,,,,12.89B,,4.62B,31.82B,47.41B,301.00M,13.80B,0.00,,-11.10B,2.997B
