,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.698B,,0.00,0.00,,,319.00M,319.00M,55.00M,0.00,67.00M,,264.00M,-212.00M,228.00M,56.00M,,-595.00M,-523.00M,1.88B,-408.00M,,,,,23.00M,-385.00M,0.00,,0.00,,-85.00M,-85.00M,,,-672.00M,,-672.00M,,-8.00M,-765.00M,2.855B,730.00M,,3.585B,,0.00,0.00,-85.00M
2020-06,1.626B,,0.00,0.00,,,307.00M,307.00M,,128.00M,73.00M,,764.00M,425.00M,18.00M,-1.703B,,544.00M,-716.00M,2.182B,-343.00M,,,,,6.00M,-337.00M,-19.00M,,-19.00M,,-259.00M,-259.00M,,,-671.00M,,-671.00M,,-29.00M,-978.00M,1.988B,867.00M,,2.855B,,1.131B,-1.15B,-259.00M
2020-03,1.717B,,0.00,0.00,,,301.00M,301.00M,,,42.00M,,-349.00M,-1.65B,80.00M,1.894B,,279.00M,603.00M,2.314B,-293.00M,,,,,-2.00M,-295.00M,0.00,,0.00,,-756.00M,-756.00M,,,-693.00M,,-693.00M,,-96.00M,-1.545B,1.514B,474.00M,,1.988B,,,0.00,-756.00M
2019-12,1.498B,,0.00,0.00,,,322.00M,322.00M,222.00M,,31.00M,,-269.00M,1.957B,-145.00M,-1.622B,,-504.00M,-314.00M,1.49B,-643.00M,,,,,205.00M,-438.00M,-900.00M,,-900.00M,,-490.00M,-490.00M,,,-675.00M,,-675.00M,,-12.00M,-2.077B,2.539B,-1.025B,,1.514B,,,-900.00M,-490.00M
2019-09,1.608B,,0.00,0.00,,,302.00M,302.00M,0.00,0.00,54.00M,,510.00M,-454.00M,125.00M,287.00M,,58.00M,16.00M,2.49B,-308.00M,,,,,13.00M,-295.00M,0.00,,0.00,,-210.00M,-210.00M,,,-621.00M,,-621.00M,,8.00M,-823.00M,1.167B,1.372B,,2.539B,,0.00,0.00,-210.00M
2019-06,1.42B,,0.00,0.00,,,288.00M,288.00M,,0.00,67.00M,,205.00M,396.00M,-314.00M,-507.00M,,113.00M,-312.00M,1.668B,-249.00M,,,,,-2.00M,-251.00M,-400.00M,,-400.00M,,-219.00M,-219.00M,,,-622.00M,,-622.00M,,0.00,-1.241B,991.00M,176.00M,,1.167B,,0.00,-400.00M,-219.00M
2019-03,1.704B,,-51.00M,-51.00M,,,277.00M,277.00M,,,37.00M,,-172.00M,-1.414B,-288.00M,744.00M,,826.00M,-132.00M,1.663B,-284.00M,,,,,27.00M,-257.00M,-200.00M,,-200.00M,,-281.00M,-281.00M,,,-638.00M,,-638.00M,,-68.00M,-1.187B,772.00M,219.00M,,991.00M,,,-200.00M,-281.00M
2018-12,1.253B,,0.00,0.00,,,304.00M,304.00M,,,25.00M,,169.00M,269.00M,53.00M,-323.00M,,711.00M,710.00M,2.217B,-459.00M,,,,,57.00M,-402.00M,-750.00M,110.00M,-640.00M,,-666.00M,-666.00M,,,-622.00M,,-622.00M,,-12.00M,-1.94B,897.00M,-125.00M,,772.00M,,,-750.00M,-666.00M
2018-09,1.473B,,0.00,0.00,,,291.00M,291.00M,,,50.00M,,236.00M,-422.00M,-12.00M,13.00M,,-1.268B,-1.689B,361.00M,-339.00M,,,,,-5.00M,-344.00M,,490.00M,490.00M,,-216.00M,-216.00M,,,-569.00M,,-569.00M,,-6.00M,-301.00M,1.181B,-284.00M,,897.00M,,,,-216.00M
2018-06,1.163B,,0.00,0.00,,,287.00M,287.00M,,,60.00M,,229.00M,15.00M,158.00M,-66.00M,,-1.918B,-1.811B,-72.00M,-264.00M,,,,,21.00M,-243.00M,0.00,,0.00,,-310.00M,-310.00M,,,-570.00M,,-570.00M,,-17.00M,-897.00M,2.393B,-1.212B,,1.181B,,,0.00,-310.00M
2018-03,1.157B,,0.00,0.00,,,279.00M,279.00M,,,38.00M,,266.00M,-1.521B,-318.00M,1.29B,,-559.00M,-1.108B,632.00M,-216.00M,,,,,130.00M,-86.00M,0.00,,0.00,,-300.00M,-300.00M,,,-586.00M,,-586.00M,,-128.00M,-1.014B,2.861B,-468.00M,,2.393B,,,0.00,-300.00M
2017-12,-744.00M,,,,,,315.00M,315.00M,,,25.00M,,-521.00M,550.00M,-13.00M,-1.418B,,141.00M,-740.00M,1.512B,-507.00M,,,,,15.00M,-492.00M,,0.00,0.00,,-501.00M,-501.00M,,,-572.00M,,-572.00M,,-27.00M,-1.10B,2.941B,-80.00M,,2.861B,,0.00,,-501.00M
2017-09,963.00M,,,,,,299.00M,299.00M,,,32.00M,,454.00M,-273.00M,-28.00M,289.00M,,18.00M,6.00M,1.754B,-222.00M,,,,,6.00M,-216.00M,,0.00,0.00,,-500.00M,-500.00M,,,-522.00M,,-522.00M,,-27.00M,-1.049B,2.452B,489.00M,,2.941B,,0.00,,-500.00M
2017-06,955.00M,,,,,,296.00M,296.00M,,,57.00M,,183.00M,72.00M,187.00M,-171.00M,,-35.00M,53.00M,1.544B,-278.00M,,,,,5.00M,-273.00M,,,,,-500.00M,-500.00M,,,-525.00M,,-525.00M,-31.00M,21.00M,-1.035B,2.216B,236.00M,,2.452B,,,,-500.00M
2017-03,789.00M,,,,,,285.00M,285.00M,,,44.00M,,188.00M,-861.00M,-225.00M,1.111B,,335.00M,360.00M,1.666B,-170.00M,,,,,4.00M,-166.00M,,,,,-500.00M,-500.00M,,,-544.00M,,-544.00M,31.00M,-108.00M,-1.121B,1.837B,379.00M,,2.216B,,,,-500.00M
2016-12,859.00M,33.00M,,33.00M,,,327.00M,327.00M,,,25.00M,,-528.00M,889.00M,408.00M,-1.221B,,130.00M,206.00M,729.00M,-436.00M,,,,,2.00M,-434.00M,0.00,,0.00,,-816.00M,-816.00M,,,-530.00M,,-530.00M,-75.00M,68.00M,-1.353B,2.895B,-1.058B,,1.837B,,,0.00,-816.00M
2016-09,2.395B,-1.234B,,-1.234B,,,295.00M,295.00M,,,27.00M,,45.00M,-323.00M,-2.00M,227.00M,,-110.00M,-208.00M,1.32B,-241.00M,,,,,17.00M,-224.00M,-500.00M,,-500.00M,,-278.00M,-278.00M,,,-484.00M,,-484.00M,22.00M,1.77B,530.00M,1.269B,1.626B,,2.895B,,,-500.00M,-278.00M
2016-06,1.021B,,,,,,297.00M,297.00M,,,53.00M,,-40.00M,-656.00M,77.00M,55.00M,,666.00M,142.00M,1.473B,-235.00M,,,,,55.00M,-180.00M,-452.00M,,-452.00M,,-501.00M,-501.00M,,,-501.00M,,-501.00M,25.00M,-47.00M,-1.476B,1.452B,-183.00M,,1.269B,,,-452.00M,-501.00M
2016-03,898.00M,,,,,,296.00M,296.00M,,,44.00M,,221.00M,-558.00M,-310.00M,751.00M,,325.00M,208.00M,1.667B,-151.00M,,,,,4.00M,-147.00M,,,,,-501.00M,-501.00M,,,-533.00M,,-533.00M,28.00M,-152.00M,-1.158B,1.09B,362.00M,,1.452B,,,,-501.00M
2015-12,933.00M,0.00,,0.00,,,300.00M,300.00M,,,20.00M,,372.00M,605.00M,-39.00M,-797.00M,,415.00M,184.00M,1.364B,-439.00M,,,,,119.00M,-9.323B,6.888B,,6.888B,,-707.00M,-707.00M,,,-505.00M,,-505.00M,48.00M,25.00M,5.749B,3.30B,-2.21B,,1.09B,,12.89B,-6.00B,-707.00M
2015-09,865.00M,0.00,,0.00,,,236.00M,236.00M,,,29.00M,,353.00M,322.00M,-205.00M,184.00M,,-267.00M,34.00M,1.517B,-191.00M,,,,,-2.00M,-193.00M,0.00,,0.00,,-823.00M,-823.00M,,,-462.00M,,-462.00M,42.00M,17.00M,-1.226B,3.202B,98.00M,,3.30B,,0.00,0.00,-823.00M
2015-06,929.00M,,,,,,246.00M,246.00M,,,49.00M,,37.00M,-522.00M,51.00M,78.00M,,395.00M,2.00M,1.263B,-191.00M,,,,,65.00M,-126.00M,0.00,,0.00,,-937.00M,-937.00M,,,-467.00M,,-467.00M,19.00M,-36.00M,-1.421B,3.486B,-284.00M,,3.202B,,0.00,0.00,-937.00M
2015-03,878.00M,,,,,,244.00M,244.00M,,,40.00M,,-159.00M,-661.00M,-205.00M,375.00M,,445.00M,-46.00M,957.00M,-118.00M,,,,,26.00M,-92.00M,2.213B,,2.213B,,-604.00M,-604.00M,,,-498.00M,,-498.00M,65.00M,-1.00M,1.175B,1.446B,2.04B,,3.486B,,2.213B,,-604.00M
2014-12,904.00M,,,,,,268.00M,268.00M,,,36.00M,,-79.00M,259.00M,11.00M,-501.00M,,-817.00M,-1.048B,-201.00M,-389.00M,,,-276.00M,,6.00M,-659.00M,0.00,,0.00,,-224.00M,-224.00M,,,-474.00M,,-474.00M,30.00M,11.00M,-657.00M,2.963B,-1.517B,,1.446B,,0.00,,-224.00M
2014-09,888.00M,,,,,,247.00M,247.00M,,,31.00M,,219.00M,367.00M,-241.00M,39.00M,,-560.00M,-395.00M,990.00M,-203.00M,,,-450.00M,,15.00M,-638.00M,0.00,,0.00,,-446.00M,-446.00M,,,-421.00M,,-421.00M,55.00M,-13.00M,-825.00M,3.436B,-473.00M,,2.963B,,0.00,,-446.00M
2014-06,889.00M,,,,,,242.00M,242.00M,,,49.00M,,158.00M,-175.00M,278.00M,12.00M,,-476.00M,-361.00M,977.00M,-150.00M,,,-172.00M,,22.00M,-300.00M,0.00,,0.00,,-124.00M,-124.00M,,,-421.00M,,-421.00M,26.00M,14.00M,-505.00M,3.264B,172.00M,,3.436B,,0.00,,-124.00M
2014-03,933.00M,,,,,,237.00M,237.00M,,,48.00M,,-21.00M,-423.00M,29.00M,545.00M,,752.00M,903.00M,2.10B,-103.00M,,,,,-23.00M,-126.00M,0.00,,0.00,,-1.106B,-1.106B,,,-444.00M,,-444.00M,197.00M,26.00M,-1.327B,2.617B,647.00M,,3.264B,,0.00,,-1.106B
2013-12,488.00M,,,,,,286.00M,286.00M,,,39.00M,,146.00M,1.077B,-78.00M,-528.00M,,-682.00M,-211.00M,938.00M,-345.00M,,,-3.00M,,11.00M,-337.00M,0.00,,0.00,,-229.00M,-229.00M,,,-428.00M,,-428.00M,78.00M,-66.00M,-645.00M,2.661B,-44.00M,,2.617B,,,0.00,-229.00M
2013-09,873.00M,,,,,,232.00M,232.00M,,,38.00M,,144.00M,-66.00M,-25.00M,-124.00M,,-172.00M,-387.00M,900.00M,-209.00M,,,-203.00M,,-33.00M,-445.00M,0.00,,0.00,,-607.00M,-607.00M,,,-370.00M,,-370.00M,360.00M,-22.00M,-639.00M,2.845B,-184.00M,,2.661B,,,0.00,-607.00M
2013-06,859.00M,,,,,,240.00M,240.00M,,,59.00M,,-25.00M,140.00M,0.00,-78.00M,,-572.00M,-510.00M,623.00M,-176.00M,,,-63.00M,,48.00M,-191.00M,-150.00M,,-150.00M,,-465.00M,-465.00M,,,-371.00M,,-371.00M,334.00M,0.00,-652.00M,3.065B,-220.00M,,2.845B,,,-150.00M,-465.00M
2013-03,761.00M,,,,,,232.00M,232.00M,,,53.00M,,40.00M,-384.00M,43.00M,83.00M,,1.257B,999.00M,2.085B,-106.00M,,,,,-42.00M,-148.00M,,,,,-461.00M,-461.00M,,,-371.00M,,-371.00M,55.00M,7.00M,-770.00M,1.898B,1.167B,,3.065B,,,,-461.00M
2012-12,569.00M,,,,,,277.00M,277.00M,,,38.00M,,-114.00M,-95.00M,-35.00M,-150.00M,,-2.735B,-3.015B,-1.315B,-428.00M,,,-230.00M,,8.00M,-650.00M,0.00,,0.00,,-282.00M,-282.00M,,,-373.00M,,-373.00M,103.00M,-237.00M,-789.00M,4.652B,-2.754B,,1.898B,,,0.00,-282.00M
2012-09,727.00M,,,,,,247.00M,247.00M,,,42.00M,,215.00M,140.00M,-349.00M,-177.00M,,728.00M,342.00M,1.573B,-208.00M,,,-29.00M,,8.00M,-229.00M,0.00,,0.00,,-285.00M,-285.00M,,,-326.00M,,-326.00M,102.00M,15.00M,-494.00M,3.802B,850.00M,,4.652B,,,0.00,-285.00M
2012-06,781.00M,,,,,,233.00M,233.00M,,,46.00M,,9.00M,149.00M,-142.00M,-25.00M,,-206.00M,-224.00M,845.00M,-175.00M,,,,,26.00M,-149.00M,0.00,,0.00,,-181.00M,-181.00M,,,-326.00M,,-326.00M,76.00M,19.00M,-412.00M,3.518B,284.00M,,3.802B,,,0.00,-181.00M
2012-03,668.00M,,,,,,231.00M,231.00M,,,41.00M,,100.00M,-654.00M,104.00M,116.00M,,-148.00M,-582.00M,458.00M,-131.00M,,,,,-18.00M,-149.00M,,,,,-242.00M,-242.00M,,,-327.00M,,-327.00M,159.00M,37.00M,-373.00M,3.582B,-64.00M,,3.518B,,,,-242.00M
