,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,405.60M,,405.60M,577.00M,577.00M,354.10M,639.70M,993.80M,,90.70M,2.067B,0.0,131.70M,992.60M,2.492B,129.80M,205.70M,3.952B,-1.866B,2.086B,6.312B,6.313B,12.62B,,151.90M,14.86B,16.93B,857.20M,,,857.20M,258.60M,1.116B,,280.00M,,957.30M,1.237B,35.50M,1.273B,304.20M,2.693B,3.914B,105.70M,4.020B,1.357B,1.357B,,,344.60M,5.722B,8.415B,28.50M,3.011B,5.803B,,,,,-327.50M,8.515B
2020-07,396.60M,,396.60M,497.60M,497.60M,379.20M,615.80M,995.00M,,95.60M,1.985B,0.0,130.90M,986.40M,2.435B,138.30M,217.50M,3.908B,-1.821B,2.087B,6.311B,6.372B,12.68B,,148.30M,14.92B,16.90B,780.60M,,,780.60M,188.30M,968.90M,,296.00M,,399.80M,695.80M,35.90M,731.70M,372.50M,2.073B,4.673B,112.50M,4.785B,1.354B,1.354B,,,344.80M,6.484B,8.557B,28.50M,2.882B,5.795B,,,,,-360.90M,8.345B
2020-04,391.10M,,391.10M,551.40M,551.40M,331.80M,563.50M,895.30M,,134.90M,1.973B,0.0,129.50M,977.90M,2.398B,148.40M,232.60M,3.887B,-1.769B,2.118B,6.304B,6.429B,12.73B,38.60M,107.80M,15.00B,16.97B,782.00M,100.30M,,882.30M,167.50M,1.050B,,248.00M,,,248.00M,38.70M,286.70M,150.80M,1.587B,5.373B,123.50M,5.497B,1.352B,1.352B,,249.30M,94.70M,7.192B,8.780B,29.00M,2.747B,5.794B,3.80M,-146.70M,-50.50M,-185.60M,-379.00M,8.191B
2020-01,74.40M,,74.40M,477.30M,477.30M,343.70M,615.10M,958.80M,,92.20M,1.603B,0.0,123.70M,958.20M,2.369B,168.00M,194.90M,3.814B,-1.734B,2.080B,6.313B,6.491B,12.80B,,149.60M,15.03B,16.64B,575.00M,,,575.00M,198.70M,773.70M,,310.00M,,499.80M,809.80M,41.70M,851.50M,452.20M,2.077B,4.583B,133.50M,4.717B,1.364B,1.364B,,,307.40M,6.388B,8.466B,29.00M,2.620B,5.787B,,,,,-266.30M,8.170B
2019-10,48.80M,,48.80M,522.40M,522.40M,346.00M,667.30M,1.013B,,74.70M,1.659B,0.0,123.40M,953.20M,2.354B,153.20M,171.60M,3.756B,-1.687B,2.069B,6.314B,6.603B,12.92B,,146.80M,15.13B,16.79B,521.80M,,,521.80M,214.20M,736.00M,,327.90M,,799.50M,1.127B,44.40M,1.172B,402.30M,2.310B,4.584B,116.20M,4.701B,1.378B,1.378B,,,307.30M,6.386B,8.696B,29.00M,2.533B,5.782B,,,,,-248.40M,8.095B
2019-07,48.80M,,48.80M,473.70M,473.70M,354.30M,659.00M,1.013B,,77.70M,1.614B,0.0,122.20M,902.90M,2.355B,149.20M,178.00M,3.707B,-1.649B,2.058B,6.313B,6.661B,12.97B,,145.30M,15.18B,16.79B,503.10M,,,503.10M,205.30M,708.40M,,295.90M,,799.00M,1.095B,43.20M,1.138B,444.30M,2.291B,4.685B,112.90M,4.798B,1.387B,1.387B,,,307.70M,6.493B,8.784B,29.00M,2.422B,5.774B,,,,,-216.70M,8.008B
2019-04,101.30M,,101.30M,503.80M,503.80M,319.50M,590.80M,910.30M,,109.80M,1.625B,0.0,122.10M,903.20M,2.185B,,321.80M,3.532B,-1.620B,1.912B,6.311B,6.719B,13.03B,40.90M,103.10M,15.09B,16.71B,591.00M,96.70M,,687.70M,142.70M,830.40M,,426.00M,,798.50M,1.224B,0.00,1.224B,201.60M,2.342B,4.686B,0.00,4.686B,1.399B,1.399B,,204.10M,110.30M,6.399B,8.741B,28.90M,2.368B,5.756B,4.10M,-110.00M,-35.50M,-40.40M,-181.80M,7.970B
2019-01,206.50M,,206.50M,502.60M,502.60M,342.30M,582.40M,924.70M,,92.40M,1.726B,0.0,117.60M,825.00M,2.155B,,325.50M,3.423B,-1.575B,1.848B,6.439B,6.759B,13.20B,,155.60M,15.20B,16.93B,519.60M,,,519.60M,117.10M,636.70M,,504.00M,,299.30M,803.30M,,803.30M,376.40M,1.816B,5.286B,,5.286B,1.450B,1.450B,,,354.20M,7.090B,8.906B,28.90M,2.393B,5.753B,,,,,-153.30M,8.022B
2018-10,171.20M,,171.20M,561.90M,561.90M,330.80M,635.40M,966.20M,,87.90M,1.787B,0.0,117.20M,818.90M,2.122B,,284.90M,3.343B,-1.524B,1.819B,6.475B,6.926B,13.40B,,168.10M,15.39B,17.17B,552.40M,,,552.40M,119.20M,671.60M,,390.00M,,,390.00M,,390.00M,372.90M,1.434B,5.885B,,5.885B,1.525B,1.525B,,,299.30M,7.710B,9.144B,28.90M,2.368B,5.750B,,,,,-116.40M,8.03B
2018-07,192.00M,,192.00M,504.20M,504.20M,357.00M,660.40M,1.017B,,92.20M,1.806B,0.0,121.20M,831.80M,2.189B,,253.90M,3.396B,-1.568B,1.828B,6.622B,7.095B,13.72B,,162.30M,15.71B,17.51B,532.10M,,,532.10M,141.60M,673.70M,,530.00M,,,530.00M,,530.00M,340.30M,1.544B,6.185B,,6.185B,1.550B,1.550B,,,303.10M,8.038B,9.582B,28.90M,2.276B,5.745B,,,,,-118.80M,7.931B
