,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,230.80M,,,30.60M,30.60M,54.10M,59.50M,113.60M,113.60M,,,7.50M,8.70M,-79.30M,1.00M,125.10M,8.20M,-67.50M,-12.50M,,378.70M,-52.40M,,-52.40M,,,0.70M,-51.70M,-200.00M,-16.10M,-216.10M,,-1.60M,-1.60M,-102.30M,-102.30M,0.70M,0.80M,-318.50M,396.60M,8.50M,0.50M,405.60M,,,-200.00M,-1.60M
2020-07,237.00M,,,,,54.10M,59.60M,113.70M,113.70M,,,5.90M,3.90M,55.10M,-98.50M,48.20M,0.30M,43.40M,48.50M,,409.00M,-76.60M,,-76.60M,,,27.40M,-49.20M,-300.00M,47.80M,-252.20M,,-4.60M,-4.60M,-100.10M,-100.10M,0.00,-0.40M,-357.30M,391.10M,2.50M,3.00M,396.60M,,,-300.00M,-4.60M
2020-04,226.30M,0.00,,-4.00M,9.00M,53.50M,59.90M,113.40M,113.40M,,0.00,7.00M,-257.80M,-75.80M,60.60M,172.70M,-22.70M,47.40M,182.20M,,287.70M,-76.40M,,-74.00M,0.00,,-19.90M,-93.90M,298.20M,-63.20M,235.00M,,0.10M,0.10M,-100.10M,-100.10M,0.10M,-7.70M,127.40M,74.40M,321.20M,-4.50M,391.10M,,798.20M,-500.00M,0.10M
2020-01,187.40M,0.00,,-1.10M,-1.10M,53.30M,58.80M,112.10M,112.10M,,52.40M,6.10M,7.90M,44.90M,54.00M,72.50M,-6.30M,-8.30M,156.80M,,521.60M,-56.50M,,-56.50M,0.00,,-16.90M,-73.40M,-300.00M,-19.70M,-319.70M,,-0.80M,-0.80M,-100.10M,-100.10M,0.00,-0.30M,-420.90M,48.80M,27.30M,-1.70M,74.40M,,0.00,-300.00M,-0.80M
2019-10,211.20M,,,0.00,0.00,52.60M,58.80M,111.40M,111.40M,,,7.50M,8.10M,-48.60M,0.10M,-18.20M,6.90M,-54.40M,-114.20M,,224.00M,-63.40M,,-63.40M,,,11.30M,-52.10M,-100.00M,27.10M,-72.90M,,-0.60M,-0.60M,-100.10M,-100.10M,0.00,1.00M,-172.60M,48.80M,-0.70M,0.70M,48.80M,,,-100.00M,-0.60M
2019-07,154.60M,,,,,50.80M,58.80M,109.60M,109.60M,,,6.20M,-8.00M,30.40M,-102.10M,2.60M,6.40M,21.80M,-40.90M,,221.50M,-73.00M,,-73.00M,,,20.90M,-52.10M,0.00,-130.00M,-130.00M,,-2.90M,-2.90M,-96.50M,-96.50M,7.00M,-0.20M,-222.60M,101.30M,-53.20M,0.70M,48.80M,,,0.00,-2.90M
2019-04,71.50M,-0.10M,,-9.20M,-4.80M,51.90M,60.40M,112.30M,112.30M,,97.90M,4.20M,-9.30M,-1.60M,13.50M,48.50M,-6.20M,41.70M,95.90M,,274.20M,-92.60M,,-91.50M,-1.90M,,-8.00M,-101.40M,-100.00M,-78.00M,-178.00M,,-0.20M,-0.20M,-96.50M,-96.50M,0.00,0.10M,-274.60M,206.50M,-101.80M,-3.40M,101.30M,,0.00,-100.00M,-0.20M
2019-01,121.40M,-1.00M,,-20.10M,-21.10M,51.20M,59.70M,110.90M,110.90M,,107.20M,6.00M,15.50M,59.80M,41.60M,-13.70M,1.90M,-8.40M,81.20M,,421.10M,-88.10M,,-88.10M,-0.70M,,-15.10M,-103.90M,-300.00M,114.00M,-186.00M,,-0.20M,-0.20M,-96.50M,-96.50M,0.00,0.10M,-282.60M,171.20M,34.60M,0.70M,206.50M,,0.00,-300.00M,-0.20M
2018-10,188.50M,-26.60M,,,-26.60M,51.50M,59.70M,111.20M,111.20M,,,5.90M,-0.50M,-58.50M,5.30M,22.20M,-4.20M,-40.40M,-75.60M,,202.90M,-77.80M,,-77.80M,374.10M,,16.30M,312.60M,-300.00M,-140.00M,-440.00M,,-0.30M,-0.30M,-96.50M,-96.50M,0.00,2.50M,-534.30M,192.00M,-18.80M,-2.00M,171.20M,,0.00,-300.00M,-0.30M
2018-07,133.00M,,,,,51.40M,60.50M,111.90M,111.90M,,,4.60M,-22.20M,-52.70M,-65.70M,53.40M,21.80M,58.90M,15.70M,,243.00M,-101.30M,,-101.30M,-1.905B,,-25.20M,-2.032B,1.50B,386.00M,1.886B,,-4.70M,-4.70M,-88.40M,-88.40M,0.00,-2.40M,1.790B,192.60M,2.00M,-2.60M,192.00M,,1.50B,,-4.70M
