,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,2.034B,2.034B,1.216B,818.20M,382.80M,59.50M,0.00,45.10M,,-45.10M,-4.90M,437.40M,380.80M,,45.10M,-45.10M,-32.20M,-45.10M,303.50M,72.70M,230.80M,,,230.80M,230.80M,462.20M,113.60M,348.60M,2.02,,,2.02,2.02,2.02,,,2.02,2.02,113.70M,113.70M,0.9
2020-07,1.972B,1.972B,1.196B,775.40M,357.50M,59.60M,0.00,46.10M,,-46.10M,-2.80M,414.30M,361.10M,,46.10M,-46.10M,-1.40M,-46.10M,313.60M,76.60M,237.00M,,,237.00M,237.00M,473.40M,113.70M,359.70M,2.08,,,2.08,2.08,2.08,,,2.08,2.08,113.50M,113.50M,0.88
2020-04,2.092B,2.092B,1.304B,788.40M,373.40M,59.90M,-6.60M,45.60M,,-45.60M,1.80M,435.10M,353.30M,,45.60M,-45.60M,-9.30M,-45.60M,298.40M,72.10M,226.30M,,,226.30M,231.31M,457.40M,113.40M,344.00M,1.98,,,2.024,1.98,1.98,,,2.024,1.98,113.70M,113.70M,0.88
2020-01,1.972B,1.972B,1.212B,760.00M,358.90M,58.80M,-55.70M,45.10M,,-45.10M,-2.40M,415.30M,344.70M,,45.10M,-45.10M,-57.10M,-45.10M,242.50M,55.10M,187.40M,,,187.40M,230.46M,399.70M,112.10M,287.60M,1.64,,,2.02,1.64,1.64,,,2.02,1.64,113.40M,113.40M,0.88
2019-10,1.958B,1.958B,1.204B,754.00M,361.50M,58.80M,-3.30M,49.10M,,-49.10M,0.60M,420.90M,333.10M,,49.10M,-49.10M,-4.90M,-49.10M,279.10M,67.90M,211.20M,,,211.20M,213.70M,439.60M,111.40M,328.20M,1.85,,,1.8719999999999999,1.85,1.85,,,1.8719999999999999,1.85,113.40M,113.40M,0.88
2019-07,1.779B,1.779B,1.079B,699.60M,380.50M,58.80M,-3.30M,49.40M,,-49.40M,-0.60M,438.70M,260.90M,,49.40M,-49.40M,-4.80M,-49.40M,206.70M,52.10M,154.60M,,,154.60M,157.07M,365.70M,109.60M,256.10M,1.36,,,1.382,1.36,1.36,,,1.382,1.36,113.20M,113.30M,0.85
2019-04,1.902B,1.902B,1.210B,692.40M,369.80M,60.40M,-110.10M,49.10M,,-49.10M,-1.50M,428.70M,263.70M,,49.10M,-49.10M,-112.70M,-49.10M,101.90M,30.40M,71.50M,,,71.50M,148.75M,263.30M,112.30M,151.00M,0.63,,,1.3130000000000002,0.63,0.63,,,1.3130000000000002,0.63,113.10M,113.10M,0.85
2019-01,2.012B,2.012B,1.238B,773.80M,373.10M,59.70M,-126.00M,51.60M,,-51.60M,-2.60M,430.20M,343.60M,,51.60M,-51.60M,-134.80M,-51.60M,157.20M,35.80M,121.40M,,,121.40M,218.67M,319.70M,110.90M,208.80M,1.07,,,1.929,1.07,1.07,,,1.929,1.07,113.20M,113.20M,0.85
2018-10,2.022B,2.022B,1.250B,771.30M,382.40M,59.70M,-25.40M,53.60M,,-53.60M,-26.70M,415.40M,355.90M,,53.60M,-53.60M,-32.90M,-53.60M,269.40M,80.90M,188.50M,,,188.50M,206.28M,434.20M,111.20M,323.00M,1.66,,,1.817,1.66,1.66,,,1.817,1.66,113.20M,113.20M,0.85
2018-07,1.902B,1.902B,1.224B,678.20M,383.30M,60.50M,-7.70M,53.60M,,-53.60M,-0.20M,443.60M,234.60M,,53.60M,-53.60M,-7.90M,-53.60M,173.10M,40.10M,133.00M,,,133.00M,138.91M,338.60M,111.90M,226.70M,1.17,,,1.222,1.17,1.17,,,1.222,1.17,113.10M,113.10M,0.78
2018-04,1.781B,1.781B,1.091B,690.50M,324.00M,52.10M,-3.00M,47.40M,,-47.40M,-1.30M,374.80M,315.70M,,47.40M,-47.40M,-4.10M,-47.40M,264.20M,78.30M,185.90M,,,185.90M,188.01M,412.80M,101.20M,311.60M,1.64,,,1.659,1.64,1.64,,,1.659,1.64,113.00M,113.00M,0.78
2018-01,1.903B,1.903B,1.175B,728.50M,330.60M,51.60M,-182.50M,43.10M,,-43.10M,-0.20M,382.00M,346.50M,,43.10M,-43.10M,-187.40M,-43.10M,116.00M,-715.30M,831.30M,,,831.30M,964.52M,262.80M,103.70M,159.10M,7.32,,,8.499,7.32,7.32,,,8.499,7.32,113.00M,113.00M,0.78
