,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-02,33.00B,33.00B,28.73B,4.262B,3.234B,,37.00M,16.00M,-21.00M,12.00M,3.246B,1.016B,16.00M,37.00M,-21.00M,-9.00M,-21.00M,986.00M,273.00M,713.00M,,-12.00M,701.00M,711.12M,1.367B,344.00M,1.023B,1.6,,,,1.6230000000000002,1.6,1.59,,,,1.6130000000000002,1.59,439.02M,441.57M,0.5
2017-11,31.81B,31.81B,27.62B,4.192B,3.224B,,37.00M,13.00M,-24.00M,17.00M,3.241B,951.00M,13.00M,37.00M,-24.00M,9.00M,-24.00M,936.00M,285.00M,651.00M,,-11.00M,640.00M,637.22M,1.308B,335.00M,973.00M,1.46,,,,1.454,1.46,1.45,,,,1.444,1.45,437.96M,440.85M,0.5
2017-08,42.30B,42.30B,36.70B,5.603B,4.123B,,53.00M,19.00M,-34.00M,30.00M,4.153B,1.45B,19.00M,53.00M,-34.00M,3.00M,-34.00M,1.419B,487.00M,932.00M,,-13.00M,919.00M,919.66M,1.913B,441.00M,1.472B,2.1,,,,2.102,2.1,2.08,,,,2.081,2.08,437.80M,441.51M,0.5
2017-05,28.86B,28.86B,24.97B,3.89B,2.907B,,21.00M,12.00M,-9.00M,15.00M,2.922B,968.00M,12.00M,21.00M,-9.00M,6.00M,-9.00M,965.00M,259.00M,706.00M,,-6.00M,700.00M,697.80M,1.306B,320.00M,986.00M,1.59,,,,1.585,1.59,1.59,,,,1.585,1.59,438.82M,441.06M,0.5
2017-02,29.77B,29.77B,25.93B,3.839B,2.98B,,31.00M,11.00M,-20.00M,15.00M,2.995B,844.00M,11.00M,31.00M,-20.00M,-15.00M,-20.00M,809.00M,288.00M,521.00M,,-6.00M,515.00M,527.88M,1.152B,312.00M,840.00M,1.17,,,,1.199,1.17,1.17,,,,1.199,1.17,439.13M,440.66M,0.45
2016-11,28.10B,28.10B,24.29B,3.811B,2.94B,,29.00M,8.00M,-21.00M,22.00M,2.962B,849.00M,8.00M,29.00M,-21.00M,18.00M,-21.00M,846.00M,291.00M,555.00M,,-10.00M,545.00M,536.47M,1.172B,297.00M,875.00M,1.24,,,,1.2209999999999999,1.24,1.24,,,,1.2209999999999999,1.24,438.01M,440.52M,0.45
2016-08,36.56B,36.56B,31.65B,4.911B,3.696B,,39.00M,15.00M,-24.00M,24.00M,3.72B,1.191B,15.00M,39.00M,-24.00M,14.00M,-24.00M,1.181B,396.00M,785.00M,,-6.00M,779.00M,771.69M,1.628B,408.00M,1.22B,1.78,,,,1.7630000000000001,1.78,1.77,,,,1.7530000000000001,1.77,437.55M,441.09M,0.45
2016-05,26.77B,26.77B,23.16B,3.607B,2.731B,,30.00M,10.00M,-20.00M,18.00M,2.749B,858.00M,10.00M,30.00M,-20.00M,-3.00M,-20.00M,835.00M,286.00M,549.00M,,-4.00M,545.00M,549.61M,1.156B,291.00M,865.00M,1.24,,,,1.25,1.24,1.24,,,,1.25,1.24,438.82M,441.07M,0.45
2016-02,28.17B,28.17B,24.47B,3.701B,2.835B,,31.00M,7.00M,-24.00M,10.00M,2.845B,856.00M,7.00M,31.00M,-24.00M,9.00M,-24.00M,841.00M,286.00M,555.00M,,-9.00M,546.00M,542.04M,1.157B,285.00M,872.00M,1.24,,,,1.2309999999999999,1.24,1.24,,,,1.2309999999999999,1.24,439.65M,441.56M,0.4
2015-11,27.22B,27.22B,23.62B,3.599B,2.806B,,33.00M,9.00M,-24.00M,26.00M,2.832B,767.00M,9.00M,33.00M,-24.00M,19.00M,-24.00M,762.00M,275.00M,487.00M,,-7.00M,480.00M,468.50M,1.066B,271.00M,795.00M,1.1,,,,1.074,1.1,1.09,,,,1.064,1.09,438.34M,441.39M,0.4
2015-08,35.78B,35.78B,31.10B,4.682B,3.499B,,40.00M,12.00M,-28.00M,27.00M,3.526B,1.156B,12.00M,40.00M,-28.00M,28.00M,-28.00M,1.156B,378.00M,778.00M,,-11.00M,767.00M,748.83M,1.547B,351.00M,1.196B,1.75,,,,1.709,1.75,1.73,,,,1.689,1.73,438.62M,442.70M,0.4
2015-05,26.10B,26.10B,22.69B,3.414B,2.579B,,31.00M,10.00M,-21.00M,14.00M,2.593B,821.00M,10.00M,31.00M,-21.00M,-1.00M,-21.00M,799.00M,280.00M,519.00M,,-3.00M,516.00M,517.95M,1.606B,776.00M,830.00M,1.17,,,,1.1740000000000002,1.17,1.17,,,,1.1740000000000002,1.17,440.07M,443.13M,0.4
2015-02,27.45B,27.45B,23.90B,3.557B,2.671B,,27.00M,15.00M,-12.00M,9.00M,2.68B,877.00M,15.00M,27.00M,-12.00M,5.00M,-12.00M,870.00M,263.00M,607.00M,,-9.00M,598.00M,596.60M,1.157B,260.00M,897.00M,1.36,,,,1.357,1.36,1.35,,,,1.347,1.35,440.38M,442.90M,0.355
2014-11,26.87B,26.87B,23.38B,3.481B,2.696B,,26.00M,13.00M,-13.00M,15.00M,2.711B,770.00M,13.00M,26.00M,-13.00M,22.00M,-13.00M,779.00M,274.00M,505.00M,,-9.00M,496.00M,482.39M,1.059B,254.00M,805.00M,1.13,,,,1.099,1.13,1.12,,,,1.089,1.12,438.76M,442.21M,0.355
2014-08,35.52B,35.52B,31.04B,4.486B,3.38B,,35.00M,17.00M,-18.00M,15.00M,3.395B,1.091B,17.00M,35.00M,-18.00M,13.00M,-18.00M,1.086B,381.00M,705.00M,,-8.00M,697.00M,689.21M,1.121B,-150.00M,1.121B,1.59,,,,1.5719999999999998,1.59,1.58,,,,1.5619999999999998,1.58,437.60M,441.99M,0.355
2014-05,25.79B,25.79B,22.55B,3.24B,2.487B,,25.00M,11.00M,-14.00M,16.00M,2.503B,737.00M,11.00M,25.00M,-14.00M,1.00M,-14.00M,724.00M,245.00M,479.00M,,-6.00M,473.00M,474.32M,1.457B,708.00M,749.00M,1.08,,,,1.083,1.08,1.07,,,,1.073,1.07,439.45M,442.72M,0.355
2014-02,26.31B,26.31B,23.04B,3.263B,2.531B,,26.00M,12.00M,-14.00M,8.00M,2.539B,724.00M,12.00M,26.00M,-14.00M,18.00M,-14.00M,728.00M,255.00M,473.00M,,-10.00M,463.00M,454.55M,994.00M,240.00M,754.00M,1.05,,,,1.031,1.05,1.05,,,,1.031,1.05,439.78M,442.83M,0.31
2013-11,25.02B,25.02B,21.82B,3.193B,2.501B,,27.00M,12.00M,-15.00M,24.00M,2.525B,668.00M,12.00M,27.00M,-15.00M,6.00M,-15.00M,659.00M,228.00M,431.00M,,-6.00M,425.00M,423.04M,917.00M,231.00M,686.00M,0.97,,,,0.9655,0.97,0.96,,,,0.9556,0.96,437.97M,442.42M,0.31
2013-08,32.49B,32.49B,28.42B,4.069B,3.098B,,36.00M,15.00M,-21.00M,17.00M,3.115B,954.00M,15.00M,36.00M,-21.00M,21.00M,-21.00M,954.00M,332.00M,622.00M,,-5.00M,617.00M,605.26M,1.285B,295.00M,990.00M,1.41,,,,1.383,1.41,1.4,,,,1.3730000000000002,1.4,437.08M,442.83M,0.31
2013-05,24.08B,24.08B,21.04B,3.045B,2.313B,,25.00M,9.00M,-16.00M,10.00M,2.323B,722.00M,9.00M,25.00M,-16.00M,6.00M,-16.00M,712.00M,248.00M,464.00M,,-5.00M,459.00M,459.00M,1.388B,651.00M,737.00M,1.05,,,,1.05,1.05,1.04,,,,1.04,1.04,436.49M,440.78M,0.31
2013-02,24.87B,24.87B,21.77B,3.105B,2.361B,,25.00M,10.00M,-15.00M,6.00M,2.367B,738.00M,10.00M,25.00M,-15.00M,16.00M,-15.00M,739.00M,185.00M,554.00M,,-7.00M,547.00M,537.26M,981.00M,217.00M,764.00M,1.26,,,,1.238,1.26,1.24,,,,1.218,1.24,435.98M,439.81M,0.275
2012-11,23.72B,23.72B,20.73B,2.989B,2.332B,,13.00M,10.00M,-3.00M,18.00M,2.35B,639.00M,10.00M,13.00M,-3.00M,10.00M,-3.00M,646.00M,225.00M,421.00M,,-5.00M,416.00M,410.79M,872.00M,213.00M,659.00M,0.96,,,,0.948,0.96,0.95,,,,0.9381,0.95,433.42M,438.64M,0.275
2012-08,32.22B,32.22B,28.21B,4.008B,3.044B,,22.00M,16.00M,-6.00M,15.00M,3.059B,949.00M,16.00M,22.00M,-6.00M,22.00M,-6.00M,965.00M,343.00M,622.00M,,-13.00M,609.00M,598.04M,1.279B,292.00M,987.00M,1.41,,,,1.385,1.41,1.39,,,,1.365,1.39,431.94M,438.25M,0.275
2012-05,22.32B,22.32B,19.54B,2.781B,2.152B,,19.00M,11.00M,-8.00M,6.00M,2.158B,623.00M,11.00M,19.00M,-8.00M,7.00M,-8.00M,622.00M,217.00M,405.00M,,-19.00M,386.00M,384.04M,843.00M,202.00M,641.00M,0.89,,,,0.8855,0.89,0.88,,,,0.8755,0.88,433.79M,439.17M,0.275
2012-02,22.97B,22.97B,20.14B,2.828B,2.178B,,27.00M,11.00M,-16.00M,6.00M,2.184B,644.00M,11.00M,27.00M,-16.00M,-1.00M,-16.00M,627.00M,215.00M,412.00M,,-18.00M,394.00M,395.97M,863.00M,209.00M,654.00M,0.91,,,,0.9145,0.91,0.9,,,,0.9045,0.9,434.54M,439.47M,0.24
2011-11,21.63B,21.63B,18.93B,2.697B,2.144B,,27.00M,11.00M,-16.00M,10.00M,2.154B,543.00M,11.00M,27.00M,-16.00M,26.00M,-16.00M,553.00M,225.00M,328.00M,,-8.00M,320.00M,305.05M,785.00M,205.00M,580.00M,0.74,,,,0.7056,0.74,0.73,,,,0.6961,0.73,434.22M,440.62M,0.24
2011-08,28.18B,28.18B,24.68B,3.498B,2.721B,,36.00M,15.00M,-21.00M,15.00M,2.736B,762.00M,15.00M,36.00M,-21.00M,31.00M,-21.00M,772.00M,272.00M,500.00M,,-22.00M,478.00M,459.22M,1.081B,273.00M,808.00M,1.09,,,,1.047,1.09,1.08,,,,1.038,1.08,436.74M,444.20M,0.24
2011-05,20.62B,20.62B,18.07B,2.556B,1.991B,,27.00M,10.00M,-17.00M,9.00M,2.00B,556.00M,10.00M,27.00M,-17.00M,-5.00M,-17.00M,534.00M,193.00M,341.00M,,-17.00M,324.00M,329.11M,757.00M,196.00M,561.00M,0.74,,,,0.7517,0.74,0.73,,,,0.7415,0.73,436.98M,443.57M,0.24
2011-02,20.88B,20.88B,18.24B,2.64B,2.038B,,27.00M,9.00M,-18.00M,6.00M,2.044B,596.00M,9.00M,27.00M,-18.00M,-5.00M,-18.00M,573.00M,204.00M,369.00M,,-21.00M,348.00M,353.15M,795.00M,195.00M,600.00M,0.8,,,,0.8118,0.8,0.79,,,,0.8016,0.79,436.68M,443.19M,0.205
2010-11,19.24B,19.24B,16.76B,2.482B,1.941B,,26.00M,7.00M,-19.00M,16.00M,1.957B,525.00M,7.00M,26.00M,-19.00M,-2.00M,-19.00M,504.00M,172.00M,332.00M,,-20.00M,312.00M,313.32M,721.00M,191.00M,530.00M,0.72,,,,0.723,0.72,0.71,,,,0.713,0.71,434.10M,441.36M,0.205
2010-08,24.12B,24.12B,21.02B,3.101B,2.409B,,34.00M,8.00M,-26.00M,4.00M,2.413B,688.00M,8.00M,34.00M,-26.00M,22.00M,-26.00M,684.00M,247.00M,437.00M,,-5.00M,432.00M,432.00M,964.00M,246.00M,718.00M,0.99,,,,0.99,0.99,0.97,,,,0.97,0.97,436.53M,443.75M,0.205
2010-05,17.78B,17.78B,15.49B,2.286B,1.789B,,27.00M,4.00M,-23.00M,6.00M,1.795B,491.00M,4.00M,27.00M,-23.00M,6.00M,-23.00M,474.00M,163.00M,311.00M,,-5.00M,306.00M,306.00M,681.00M,180.00M,501.00M,0.69,,,,0.69,0.69,0.68,,,,0.68,0.68,440.97M,448.39M,0.205
2010-02,18.74B,18.74B,16.40B,2.346B,1.873B,,26.00M,4.00M,-22.00M,3.00M,1.876B,470.00M,4.00M,26.00M,-22.00M,26.00M,-22.00M,474.00M,169.00M,305.00M,,-6.00M,299.00M,299.00M,685.00M,185.00M,500.00M,0.68,,,,0.68,0.68,0.67,,,,0.67,0.67,439.79M,446.92M,0.18
2009-11,17.30B,17.30B,15.08B,2.218B,1.777B,,24.00M,7.00M,-17.00M,13.00M,1.79B,428.00M,7.00M,24.00M,-17.00M,11.00M,-17.00M,422.00M,152.00M,270.00M,,-4.00M,266.00M,266.00M,630.00M,184.00M,446.00M,0.61,,,,0.61,0.61,0.6,,,,0.6,0.6,437.17M,444.85M,0.18
2009-08,22.38B,22.38B,19.51B,2.866B,2.254B,,33.00M,10.00M,-23.00M,14.00M,2.268B,598.00M,10.00M,33.00M,-23.00M,9.00M,-23.00M,584.00M,206.00M,378.00M,,-4.00M,374.00M,374.00M,858.00M,241.00M,617.00M,0.86,,,,0.86,0.86,0.85,,,,0.85,0.85,435.67M,441.83M,0.18
2009-05,15.81B,15.81B,13.78B,2.03B,1.655B,,25.00M,3.00M,-22.00M,16.00M,1.671B,359.00M,3.00M,25.00M,-22.00M,3.00M,-22.00M,340.00M,128.00M,212.00M,,-2.00M,210.00M,210.00M,536.00M,171.00M,365.00M,0.48,,,,0.48,0.48,0.48,,,,0.48,0.48,434.35M,440.00M,0.18
2009-02,16.84B,16.84B,14.77B,2.072B,1.666B,,25.00M,8.00M,-17.00M,8.00M,1.674B,398.00M,8.00M,25.00M,-17.00M,4.00M,-17.00M,385.00M,142.00M,243.00M,,-4.00M,239.00M,239.00M,571.00M,161.00M,410.00M,0.55,,,,0.55,0.55,0.55,,,,0.55,0.55,433.48M,439.69M,0.16
2008-11,16.40B,16.40B,14.28B,2.119B,1.677B,,25.00M,6.00M,-19.00M,20.00M,1.697B,422.00M,6.00M,25.00M,-19.00M,15.00M,-19.00M,418.00M,152.00M,266.00M,,-3.00M,263.00M,263.00M,598.00M,155.00M,443.00M,0.61,,,,0.61,0.61,0.6,,,,0.6,0.6,432.45M,440.53M,0.16
2008-08,23.10B,23.10B,20.30B,2.802B,2.147B,,32.00M,25.00M,-7.00M,,2.204B,598.00M,25.00M,32.00M,-7.00M,28.00M,-7.00M,619.00M,209.00M,410.00M,,,398.00M,398.00M,868.00M,217.00M,651.00M,0.91,,,,0.91,0.91,0.9,,,,0.9,0.9,434.22M,443.82M,0.16
2008-05,16.61B,16.61B,14.55B,2.066B,1.591B,-4.00M,25.00M,19.00M,-6.00M,,1.591B,475.00M,19.00M,25.00M,-6.00M,-4.00M,-6.00M,465.00M,170.00M,295.00M,,,295.00M,297.54M,639.46M,149.46M,490.00M,0.68,0.0,,,0.6859,0.68,0.67,0.0,,,0.6757,0.67,433.68M,443.28M,0.16
2008-02,16.96B,16.96B,14.83B,2.127B,1.625B,2.865M,,,,-2.865M,1.622B,504.33M,,,,16.41M,,521.46M,193.62M,327.85M,,0.712M,327.85M,326.05M,649.87M,145.54M,504.33M,0.75,0.0,,,0.7459,0.75,0.74,0.0,,,0.736,0.74,434.78M,444.92M,0.145
2007-11,15.81B,15.81B,13.82B,1.986B,1.591B,,,,,,1.591B,395.00M,,,,7.00M,,405.00M,143.00M,262.00M,,,262.00M,262.00M,536.00M,141.00M,395.00M,0.6,0.0,,,0.6,0.6,0.59,0.0,,,0.59,0.59,435.09M,445.72M,0.145
2007-08,20.48B,20.48B,17.93B,2.546B,1.986B,-4.886M,,,,,2.000B,546.33M,,,,5.033M,,581.76M,209.34M,372.42M,,,372.42M,375.55M,724.29M,177.96M,546.33M,0.85,0.0,,,0.8572,0.85,0.83,0.0,,,0.837,0.83,435.40M,445.46M,0.145
2007-05,14.66B,14.66B,12.88B,1.782B,1.442B,-0.931M,,,,,1.442B,340.00M,,,,5.002M,,355.89M,131.90M,223.99M,,,223.99M,224.57M,469.83M,129.83M,340.00M,0.5,0.0,,,0.5013,0.5,0.49,0.0,,,0.4913,0.49,445.47M,455.89M,0.145
2007-02,15.11B,15.11B,13.25B,1.860B,1.495B,-3.459M,,,,,1.495B,364.79M,,,,8.718M,,394.23M,144.76M,249.48M,,,249.48M,251.67M,496.41M,131.62M,364.79M,0.55,0.0,,,0.5549,0.55,0.54,0.0,,,0.5447,0.54,450.90M,461.58M,0.13
2006-11,14.15B,14.15B,12.39B,1.763B,1.405B,-4.332M,,,,,1.405B,357.47M,,,,2.171M,,378.11M,141.22M,236.89M,,,236.89M,239.60M,484.45M,126.98M,357.47M,0.52,0.0,,,0.5259,0.52,0.51,0.0,,,0.5158,0.51,458.87M,467.84M,0.13
2006-08,19.88B,19.88B,17.48B,2.399B,1.883B,-1.632M,,,,,1.883B,515.75M,,,,23.01M,,554.71M,199.11M,355.60M,,,355.60M,356.65M,678.61M,162.86M,515.75M,0.77,0.0,,,0.7723,0.77,0.74,0.0,,,0.7422,0.74,463.78M,472.56M,0.13
2006-05,13.28B,13.28B,11.64B,1.649B,1.293B,-1.182M,,,,,1.293B,355.89M,,,,-1.182M,,385.78M,150.18M,235.60M,,,235.60M,236.32M,483.92M,128.03M,355.89M,0.5,0.0,,,0.5015,0.5,0.49,0.0,,,0.4915,0.49,470.52M,480.53M,0.13
2006-02,14.06B,14.06B,12.30B,1.755B,1.322B,-1.428M,,,,,1.322B,432.74M,,,,6.61M,,463.62M,167.42M,296.20M,,,296.20M,297.12M,543.00M,110.26M,432.74M,0.63,0.0,,,0.6319,0.63,0.62,0.0,,,0.6219,0.62,471.89M,482.13M,0.115
2005-11,12.93B,12.93B,11.33B,1.603B,1.276B,-1.211M,,,,1.211M,1.278B,325.50M,,,,2.353M,,347.31M,131.49M,215.82M,,,215.82M,216.57M,439.63M,114.14M,325.50M,0.46,0.0,,,0.4616,0.46,0.45,0.0,,,0.4515,0.45,472.72M,486.37M,0.115
2005-08,16.72B,16.72B,14.65B,2.064B,1.590B,-6.593M,,,,,1.580B,484.02M,,,,20.59M,,498.85M,144.15M,354.70M,,,354.70M,359.39M,636.27M,152.25M,484.02M,0.74,0.0,,,0.7498,0.74,0.73,0.0,,,0.7395,0.73,477.48M,491.40M,0.115
2005-05,12.00B,12.00B,10.50B,1.493B,1.174B,-3.00M,,,,3.00M,1.177B,316.14M,,,,-3.00M,,337.82M,128.03M,209.79M,,,209.79M,211.65M,427.55M,111.41M,316.14M,0.44,0.0,,,0.4439,0.44,0.43,0.0,,,0.4338,0.43,478.25M,493.28M,0.115
2005-02,12.66B,12.66B,11.06B,1.602B,1.208B,-4.00M,,,,4.00M,1.212B,389.90M,,,,-4.00M,,405.69M,100.24M,305.45M,,,305.45M,308.46M,500.01M,110.11M,389.90M,0.64,0.0,,,0.6464,0.64,0.62,0.0,,,0.6261,0.62,474.22M,493.70M,0.1
2004-11,11.58B,11.58B,10.13B,1.446B,1.145B,,,,,,1.145B,300.64M,,,,,,306.59M,113.44M,193.15M,,,193.15M,193.15M,408.70M,108.06M,300.64M,0.41,0.0,,,0.41,0.41,0.4,0.0,,,0.4,0.4,465.87M,489.28M,0.1
2004-08,15.14B,15.14B,13.23B,1.913B,1.445B,-2.50M,,,,2.50M,1.447B,465.51M,,,,17.59M,,471.06M,174.29M,296.77M,,,296.77M,298.34M,602.65M,137.15M,465.51M,0.64,0.0,,,0.6434,0.64,0.62,0.0,,,0.6232,0.62,461.96M,485.65M,0.1
2004-05,10.90B,10.90B,9.540B,1.357B,1.055B,8.50M,,,,-8.50M,1.047B,310.15M,,,,8.50M,,315.33M,116.67M,198.66M,,,198.66M,193.30M,413.91M,103.76M,310.15M,0.43,0.0,,,0.4183,0.43,0.42,0.0,,,0.4089,0.42,459.07M,482.48M,0.1
2004-02,11.55B,11.55B,10.10B,1.447B,1.089B,-3.00M,,,,3.00M,1.092B,355.18M,,,,-3.00M,,359.99M,133.20M,226.79M,,,226.79M,228.68M,457.65M,102.47M,355.18M,0.49,0.0,,,0.4941,0.49,0.48,0.0,,,0.4839,0.48,458.23M,481.54M,
2003-11,10.52B,10.52B,9.220B,1.301B,1.047B,,,,,,1.047B,254.82M,,,,,,254.25M,94.07M,160.18M,,,160.18M,160.18M,352.16M,97.34M,254.82M,0.35,0.0,,,0.35,0.35,0.34,0.0,,,0.34,0.34,457.63M,480.35M,
2003-08,13.69B,13.69B,11.99B,1.702B,1.343B,32.82M,,,,,1.328B,374.19M,,,,32.82M,,375.18M,135.76M,239.43M,,,239.43M,218.48M,498.58M,124.39M,374.19M,0.5174,,,,0.4714,0.5174,0.51,0.0,,,0.4641,0.51,455.96M,455.96M,
2003-05,9.543B,9.543B,8.358B,1.185B,929.16M,-6.00M,,,,6.00M,935.16M,249.59M,,,,-6.00M,,250.05M,96.27M,153.78M,,,153.78M,157.47M,341.48M,91.90M,249.59M,0.34,0.0,,,0.3481,0.34,0.33,0.0,,,0.3377,0.33,456.37M,479.18M,
2003-02,10.11B,10.11B,8.840B,1.274B,974.20M,-4.50M,,,,4.50M,978.70M,295.06M,,,,-4.50M,,296.04M,113.98M,182.06M,,,182.06M,184.83M,384.45M,89.39M,295.06M,0.4,0.0,,,0.4061,0.4,0.39,0.0,,,0.3958,0.39,455.93M,478.56M,
2002-11,9.199B,9.199B,8.049B,1.150B,911.90M,,,,,,911.90M,237.79M,,,,,,236.96M,91.23M,145.73M,,,145.73M,145.73M,323.41M,85.62M,237.79M,0.32,0.0,,,0.32,0.32,0.31,0.0,,,0.31,0.31,455.57M,478.86M,
2002-08,12.30B,12.30B,10.75B,1.543B,1.178B,,,,,,1.162B,380.68M,,,,,,383.88M,136.48M,247.40M,,,247.40M,247.40M,492.92M,112.25M,380.68M,0.54,0.0,,,0.54,0.54,0.52,0.0,,,0.52,0.52,455.46M,479.30M,
