,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,,729.99M,,729.99M,1.113B,1.269B,,214.30M,243.78M,762.88M,3.220B,1.193B,2.091B,37.28B,-8.186B,29.09B,4.404B,4.404B,1.342B,,,565.10M,40.29B,43.51B,,1.222B,,,,1.222B,,1.222B,60.50M,1.121B,1.182B,1.182B,,,1.230B,3.634B,499.86M,15.23B,,15.23B,3.961B,3.961B,1.163B,312.93M,,155.57M,856.28M,25.89B,29.53B,,1.789B,4.536B,7.997B,281.51M,,,,-60.40M,13.98B,,AOR,
2020-06,64.89M,64.89M,,64.89M,996.29M,1.168B,,176.14M,191.57M,805.05M,2.405B,1.136B,1.988B,36.73B,-8.121B,28.61B,4.427B,4.427B,1.311B,,,554.46M,39.63B,42.04B,,952.13M,,,,952.13M,,952.13M,493.50M,744.17M,1.238B,1.238B,,,1.136B,3.326B,497.26M,14.22B,,14.22B,3.882B,3.882B,1.308B,328.31M,,155.57M,839.79M,24.91B,28.23B,,1.789B,4.384B,7.979B,284.52M,,,,-62.56M,13.81B,,AOR,
2020-03,47.42M,47.42M,,47.42M,1.019B,1.174B,,286.50M,269.46M,785.12M,2.563B,1.073B,1.857B,36.02B,-7.980B,28.04B,4.427B,4.427B,1.295B,,,544.33M,39.09B,41.65B,,914.33M,,,,914.33M,,914.33M,661.42M,575.65M,1.237B,1.237B,,,1.244B,3.396B,489.52M,14.42B,,14.42B,3.817B,3.817B,1.332B,342.99M,,155.57M,821.20M,25.04B,28.44B,,1.759B,4.323B,7.480B,288.54M,,,,-63.11M,13.21B,,AOR,
2019-12,15.43M,15.43M,,15.43M,989.38M,1.170B,75.90M,235.50M,342.14M,651.08M,2.415B,1.026B,1.735B,35.46B,-7.871B,27.59B,4.427B,4.427B,1.321B,,,512.24M,38.71B,41.12B,,1.148B,,,,1.148B,,1.148B,889.08M,370.62M,1.260B,1.260B,,,1.198B,3.606B,488.51M,14.31B,,14.31B,3.756B,3.756B,1.370B,338.71M,,155.57M,810.55M,24.89B,28.49B,,1.729B,4.177B,7.088B,299.06M,,,,-65.06M,12.63B,,AOR,
2019-09,22.69M,22.69M,,22.69M,993.40M,1.144B,,204.01M,312.25M,538.16M,2.221B,935.20M,1.852B,34.70B,-7.793B,26.91B,4.427B,4.427B,1.266B,,,606.30M,37.50B,39.73B,,892.11M,,,,892.11M,,892.11M,712.50M,896.28M,1.609B,1.609B,,,1.248B,3.749B,,13.98B,,13.98B,3.605B,3.605B,821.17M,357.87M,,155.57M,1.291B,23.85B,27.60B,,1.699B,4.100B,6.676B,301.77M,,,,-52.02M,12.12B,,AOR,Restated
2019-06,20.58M,20.58M,,20.58M,964.31M,1.119B,,174.12M,302.50M,515.26M,2.132B,882.40M,1.728B,34.03B,-7.721B,26.30B,4.427B,4.427B,1.150B,,,578.38M,36.86B,39.00B,,903.43M,,,,903.43M,,903.43M,729.00M,822.50M,1.551B,1.551B,,,1.057B,3.512B,,13.60B,,13.60B,3.550B,3.550B,955.09M,363.85M,,155.57M,1.264B,23.53B,27.04B,,1.699B,3.954B,6.659B,304.56M,,,,-53.64M,11.95B,,AOR,Restated
2019-03,35.14M,35.14M,,35.14M,1.140B,1.300B,,277.10M,181.72M,507.26M,2.301B,798.30M,1.861B,33.61B,-7.578B,26.03B,4.427B,4.427B,1.127B,,,463.79M,36.64B,38.94B,,1.007B,,,,1.007B,,1.007B,1.478B,848.73M,2.327B,2.327B,,,1.226B,4.559B,,12.85B,,12.85B,3.543B,3.543B,939.79M,372.96M,,155.57M,1.259B,22.74B,27.30B,,1.669B,4.093B,6.242B,309.14M,,,,-57.80M,11.64B,,AOR,Restated
2018-12,108.07M,108.07M,,108.07M,994.06M,1.170B,78.80M,238.00M,261.00M,514.82M,2.292B,778.60M,1.720B,33.07B,-7.463B,25.61B,4.427B,4.427B,881.79M,,,398.41M,35.95B,38.24B,,1.120B,,,,1.120B,,1.120B,910.00M,889.65M,1.800B,1.800B,,,1.193B,4.113B,466.24M,12.83B,,12.83B,3.506B,3.506B,962.51M,379.56M,,155.57M,730.10M,22.64B,26.75B,,1.669B,3.954B,6.241B,317.77M,,,,-60.00M,11.49B,,AOR,Restated
2018-09,,59.09M,,59.09M,1.092B,1.262B,,192.51M,203.43M,436.70M,2.153B,759.00M,1.996B,32.36B,-7.391B,24.97B,4.427B,4.427B,585.96M,,,664.74M,35.36B,37.52B,,962.30M,,,199.76M,1.162B,,1.162B,1.067B,439.64M,1.507B,1.507B,,,961.37M,3.630B,,12.73B,,12.73B,3.386B,3.386B,1.013B,385.86M,,155.57M,1.094B,22.48B,26.11B,,1.669B,3.883B,6.234B,317.77M,,,,-59.58M,11.41B,,AOR,Restated
2018-06,,64.15M,,64.15M,967.59M,1.284B,,171.60M,107.38M,590.90M,2.278B,706.40M,1.841B,31.84B,-7.363B,24.48B,4.427B,4.427B,576.44M,,,680.72M,34.97B,37.24B,,1.010B,,,,1.010B,,1.010B,1.191B,418.02M,1.609B,1.609B,,,910.33M,3.530B,,12.61B,,12.61B,3.474B,3.474B,1.044B,394.46M,,155.57M,1.069B,22.44B,25.97B,,1.669B,3.753B,6.229B,317.77M,,,,-60.99M,11.27B,,AOR,Restated
