,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-10,932.00M,4.864B,274.00M,5.138B,5.381B,,2.092B,8.443B,2.301B,3.662B,5.963B,1.104B,,,20.65B,2.066B,,,5.275B,1.107B,8.448B,-4.714B,3.734B,6.38B,540.00M,6.92B,58.00M,,,2.515B,806.00M,14.03B,34.68B,,14.70B,1.274B,15.98B,,15.98B,41.00M,,633.00M,674.00M,275.00M,949.00M,1.208B,1.208B,6.891B,26.22B,5.543B,904.00M,6.447B,25.00M,1.072B,1.097B,1.576B,,823.00M,10.69B,36.91B,,13.00M,-1.961B,963.00M,,,-1.243B,-2.228B,,AOR,
2020-07,901.00M,4.679B,,4.679B,5.269B,,2.028B,8.222B,1.959B,3.937B,5.896B,1.472B,,,20.27B,2.069B,,,5.234B,1.099B,8.402B,-4.645B,3.757B,6.386B,572.00M,6.958B,57.00M,,,2.506B,697.00M,13.98B,34.24B,,14.28B,1.113B,15.39B,,15.39B,44.00M,,232.00M,276.00M,257.00M,533.00M,1.19B,1.19B,6.953B,25.03B,5.981B,904.00M,6.885B,21.00M,1.067B,1.088B,1.55B,,907.00M,11.20B,36.23B,,14.00M,-1.353B,958.00M,,,-1.605B,-1.986B,,AOR,
2020-04,,4.054B,,4.054B,5.146B,,2.094B,8.079B,2.48B,3.874B,6.354B,1.173B,,,19.66B,2.046B,,,5.201B,1.111B,8.358B,-4.533B,3.825B,6.37B,592.00M,6.962B,52.00M,,35.00M,2.452B,787.00M,14.11B,33.77B,,14.20B,1.099B,15.29B,,15.29B,57.00M,613.00M,881.00M,1.551B,242.00M,1.793B,1.208B,1.208B,6.186B,25.28B,3.941B,899.00M,4.84B,62.00M,1.042B,1.104B,1.599B,,854.00M,9.24B,34.52B,,14.00M,-633.00M,926.00M,,,-1.05B,-743.00M,,AOR,
2020-01,,4.205B,288.00M,4.493B,4.857B,,1.272B,7.016B,1.885B,3.061B,4.946B,1.022B,,,17.48B,1.988B,,,5.161B,1.112B,8.261B,-4.393B,3.868B,6.387B,632.00M,7.019B,,,40.00M,2.477B,775.00M,14.18B,31.66B,,12.81B,980.00M,13.79B,,13.79B,45.00M,,878.00M,923.00M,255.00M,1.178B,1.148B,1.148B,6.924B,23.87B,3.932B,920.00M,4.852B,59.00M,1.058B,1.117B,1.682B,,919.00M,9.423B,33.29B,,14.00M,-1.306B,866.00M,,,-1.208B,-1.634B,,AOR,
2019-10,832.00M,4.537B,0.00,4.537B,6.031B,,1.951B,8.939B,1.879B,3.855B,5.734B,967.00M,,,20.18B,1.977B,,,5.06B,,7.037B,-4.243B,2.794B,6.372B,661.00M,7.033B,56.00M,,,2.62B,787.00M,13.29B,33.47B,,14.79B,1.297B,16.09B,,16.09B,50.00M,,307.00M,357.00M,0.00,357.00M,1.178B,1.178B,6.565B,25.29B,4.78B,0.00,4.78B,60.00M,1.069B,1.129B,1.762B,,848.00M,9.367B,34.66B,,15.00M,-818.00M,835.00M,,,-1.225B,-1.193B,,AOR,Restated
2019-07,802.00M,4.919B,0.00,4.919B,5.295B,,1.776B,7.903B,1.814B,3.902B,5.716B,1.145B,,,19.68B,1.944B,,,4.671B,,6.615B,-4.153B,2.462B,6.33B,663.00M,6.993B,,,152.00M,2.105B,1.01B,12.72B,32.40B,,14.65B,1.006B,15.65B,6.502B,22.16B,33.00M,0.00,295.00M,328.00M,,328.00M,1.139B,1.139B,,24.58B,4.73B,,4.73B,73.00M,1.034B,1.107B,1.522B,,823.00M,8.957B,33.54B,,15.00M,-1.068B,785.00M,,,-863.00M,-1.131B,,AOR,Restated
2019-04,1.044B,3.556B,17.00M,3.573B,5.414B,,1.822B,8.102B,1.85B,3.544B,5.394B,1.216B,,,18.28B,1.965B,,,4.54B,,6.505B,-4.093B,2.412B,6.349B,701.00M,7.05B,,,868.00M,2.288B,1.043B,13.66B,31.95B,,13.84B,1.122B,14.96B,5.988B,20.95B,38.00M,,252.00M,290.00M,,290.00M,1.138B,1.138B,,23.20B,4.749B,,4.749B,52.00M,1.026B,1.078B,1.586B,,839.00M,10.23B,33.43B,,15.00M,-1.325B,723.00M,,,-900.00M,-1.487B,,AOR,Restated
2019-01,970.00M,3.367B,425.00M,3.792B,5.113B,,2.217B,8.211B,1.852B,3.797B,5.649B,1.284B,,,18.94B,1.888B,,,4.402B,,6.29B,-3.978B,2.312B,6.343B,724.00M,7.067B,54.00M,,866.00M,2.329B,926.00M,13.55B,32.49B,,14.57B,1.187B,15.76B,6.298B,22.06B,38.00M,,259.00M,297.00M,,297.00M,1.18B,1.18B,,24.20B,4.706B,,4.706B,64.00M,986.00M,1.05B,1.619B,,776.00M,10.13B,34.33B,,15.00M,-1.431B,666.00M,,,-1.087B,-1.837B,,AOR,Restated
2018-10,1.17B,5.166B,711.00M,5.877B,5.113B,,2.025B,8.003B,2.043B,4.019B,6.062B,1.445B,,,21.39B,1.893B,,,4.216B,,6.109B,-3.911B,2.198B,5.968B,453.00M,6.421B,53.00M,,953.00M,2.431B,1.179B,13.24B,34.62B,,14.82B,1.322B,16.14B,,16.14B,44.00M,854.00M,565.00M,1.463B,,1.463B,1.095B,1.095B,5.299B,25.13B,4.524B,,4.524B,100.00M,1.005B,1.105B,1.645B,,793.00M,10.13B,35.26B,,16.00M,-473.00M,663.00M,,,-845.00M,-639.00M,,AOR,Restated
2018-07,1.16B,6.195B,886.00M,7.081B,4.615B,,1.91B,7.346B,2.082B,4.009B,6.091B,1.258B,,,21.78B,1.888B,,,4.197B,,6.085B,-3.973B,2.112B,5.93B,473.00M,6.403B,57.00M,,908.00M,1.992B,1.006B,12.48B,34.25B,,14.24B,1.163B,15.41B,5.31B,20.72B,42.00M,2.092B,547.00M,2.681B,,2.681B,1.099B,1.099B,,25.51B,4.503B,,4.503B,92.00M,981.00M,1.073B,1.755B,,813.00M,10.52B,36.02B,,16.00M,-1.039B,586.00M,,,-1.33B,-1.767B,,AOR,Restated
