,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2020-09,724.75M,,724.75M,167.47M,,,193.18M,361.11M,14.23M,9.832M,1.151B,,,,230.03M,230.03M,,230.03M,14.28M,1.610B,1.625B,,14.64M,8.562M,14.71M,18.63B,19.79B,,2020-09,,122.94M,99.68M,222.61M,,,,,222.61M,8.436B,123.33M,8.559B,112.00M,112.00M,66.99M,29.26M,,324.79M,9.063B,9.286B,,2020-09,14.05B,,-52.45M,10.47B,,2020-09
2020-06,35.34M,300.00M,335.34M,161.03M,,,175.96M,337.00M,12.57M,82.68M,808.15M,,,,217.74M,217.74M,,217.74M,14.38M,1.508B,1.523B,,19.01M,9.418M,23.36M,18.29B,19.10B,,2020-06,,112.75M,95.83M,208.58M,,,,,208.58M,7.875B,125.82M,8.001B,116.52M,116.52M,73.98M,29.47M,,328.96M,8.520B,8.729B,,2020-06,13.70B,,-53.08M,10.34B,,2020-06
2020-03,41.80M,,41.80M,185.63M,,,81.44M,267.07M,16.11M,83.67M,430.01M,,,,208.45M,208.45M,,208.45M,14.40M,1.517B,1.531B,,25.17M,10.27M,20.73M,18.37B,18.80B,,2020-03,,106.12M,89.02M,195.14M,,,,,195.14M,7.536B,127.81M,7.663B,117.29M,117.29M,67.94M,29.62M,,335.00M,8.184B,8.379B,,2020-03,13.60B,,-42.57M,10.39B,,2020-03
2019-12,54.01M,,54.01M,181.97M,,,81.89M,273.54M,11.84M,19.33M,455.50M,,,,157.43M,157.43M,,157.43M,14.43M,1.493B,1.508B,,0.012M,11.45M,22.59M,18.10B,18.55B,,2019-12,,108.79M,118.62M,227.41M,,,,,227.41M,7.902B,128.23M,8.030B,127.69M,127.69M,26.36M,29.70M,,339.41M,8.523B,8.751B,,2019-12,12.87B,,-17.10M,9.774B,,2019-12
2019-09,236.06M,,236.06M,163.44M,,,54.02M,227.77M,14.13M,18.65M,512.38M,,,,159.66M,159.66M,,159.66M,14.50M,1.314B,1.328B,,13.62M,12.34M,22.66M,16.67B,17.18B,,2019-09,,112.24M,107.98M,220.22M,,,,,220.22M,7.037B,130.22M,7.168B,123.85M,123.85M,17.67M,24.68M,,332.46M,7.642B,7.862B,,2019-09,12.29B,,-13.60M,9.293B,,2019-09
2019-06,27.14M,,27.14M,165.47M,,,59.94M,236.05M,11.44M,10.94M,304.08M,,,,162.25M,162.25M,,162.25M,14.54M,1.309B,1.323B,,5.433M,12.56M,19.45M,16.44B,16.75B,,2019-06,,102.47M,111.35M,213.82M,,,,,213.82M,7.074B,132.57M,7.207B,112.30M,112.30M,15.79M,25.09M,,337.27M,7.672B,7.886B,,2019-06,11.72B,,-14.60M,8.838B,,2019-06
2019-03,2.997M,,2.997M,151.34M,,,22.59M,173.93M,16.90M,9.081M,224.98M,,,,164.97M,164.97M,,164.97M,14.60M,1.205B,1.220B,,,13.41M,19.97M,15.54B,15.76B,,2019-03,,84.39M,99.09M,183.48M,,,,,183.48M,7.015B,134.86M,7.150B,102.64M,102.64M,,25.18M,,317.42M,7.570B,7.754B,,2019-03,10.75B,,-11.80M,7.984B,,2019-03
2018-12,10.39M,,10.39M,144.99M,,,,144.99M,11.60M,1.329M,184.89M,,,,,0.00,,0.00,14.63M,1.200B,1.214B,,3.10M,14.25M,17.09M,15.08B,15.26B,,2018-12,,82.30M,112.25M,194.55M,,,,,194.55M,6.500B,5.636M,6.506B,115.38M,115.38M,7.001M,32.24M,,316.96M,6.945B,7.140B,,2018-12,10.75B,,-8.098M,8.089B,,2018-12
2018-09,6.666M,,6.666M,135.87M,,0.00,,135.87M,16.25M,4.808M,228.97M,,,,,,,,14.86M,1.213B,1.228B,,,2.206M,15.02M,14.87B,15.10B,,2018-09,,89.38M,95.51M,184.89M,,,,,184.89M,6.780B,5.558M,6.785B,98.08M,98.08M,,35.01M,,315.88M,7.199B,7.384B,,2018-09,10.22B,,,7.676B,,2018-09
2018-06,30.72M,,30.72M,126.13M,,,3.244M,129.37M,15.82M,7.054M,252.99M,,,,,,,,14.90M,1.229B,1.243B,,,2.911M,14.68M,14.42B,14.67B,,2018-06,,82.60M,104.18M,186.78M,,,,,186.78M,6.540B,5.481M,6.546B,111.81M,111.81M,,36.72M,,317.33M,6.975B,7.162B,,2018-06,9.926B,,,7.476B,,2018-06
