,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2006-06,24.49M,,,,,,,14.78M,14.78M,1.005M,,,1.954M,1.423M,2.577M,1.423M,2.576M,-3.999M,4.00M,,46.23M,2006-06,-58.17M,,-58.17M,0.00,,-2.068M,5.423M,-54.81M,2006-06,48.70M,103.10M,151.80M,0.267M,,0.267M,,,,-31.24M,-2.351M,-103.25M,15.23M,,2006-06,6.639M,,10.75M,,2006-06,0.267M,87.00M,,,2006-06,AOR,Restated
2006-03,23.08M,,,,,,,13.50M,13.50M,0.638M,,,0.559M,3.105M,-2.355M,3.105M,-2.355M,-0.75M,0.75M,,38.53M,2006-03,-88.22M,,-88.22M,0.00,,2.068M,,-86.16M,2006-03,-103.10M,-103.10M,-206.20M,120.58M,,120.58M,,,,-29.26M,-2.351M,103.25M,-13.97M,,2006-03,-61.60M,,4.107M,,2006-03,120.58M,79.00M,,,2006-03,AOR,Restated
2005-12,24.24M,,,,,,,13.35M,13.35M,-0.011M,,,4.087M,-3.909M,1.538M,-3.292M,8.29M,-4.998M,-2.371M,,39.30M,2005-12,-70.28M,,-70.28M,0.00,,-395.05M,399.76M,-65.57M,2005-12,121.20M,270.27M,391.47M,0.039M,,0.039M,,,,-29.03M,-2.351M,-270.40M,89.73M,,2005-12,63.46M,,65.70M,,2005-12,0.039M,165.70M,,,2005-12,AOR,Restated
2005-09,22.11M,,,,,,,11.21M,11.21M,0.004M,,,-26.20M,1.005M,4.797M,0.388M,-1.955M,1.567M,5.802M,,12.92M,2005-09,-213.53M,,-212.09M,-1.442M,8.052M,-14.58M,9.536M,-210.52M,2005-09,-39.30M,,-39.30M,93.04M,,93.04M,,,,-26.87M,-2.35M,173.37M,197.90M,,2005-09,0.296M,,2.244M,,2005-09,93.04M,59.20M,,,2005-09,AOR,Restated
2005-06,19.36M,,,,,,,11.14M,11.14M,0.003M,,,-6.218M,-2.029M,-0.39M,-2.03M,-0.39M,2.42M,-2.419M,,21.87M,2005-06,-61.96M,,-60.19M,-1.768M,-8.052M,7.996M,8.052M,-53.96M,2005-06,51.70M,20.50M,72.20M,0.031M,,0.031M,,,,-26.41M,-2.351M,-20.50M,22.97M,,2005-06,-9.128M,,1.948M,,2005-06,0.031M,74.70M,,,2005-06,AOR,Restated
2005-03,23.50M,,,,,,,10.75M,10.75M,0.004M,,,-2.773M,1.641M,2.345M,1.642M,2.345M,-3.987M,3.986M,,35.47M,2005-03,-81.07M,,-74.79M,-6.284M,,6.58M,,-74.49M,2005-03,-20.50M,-20.50M,-41.00M,0.049M,,0.049M,,,,-26.26M,-2.351M,117.52M,47.96M,,2005-03,8.935M,,11.08M,,2005-03,0.049M,100.70M,,,2005-03,AOR,Restated
2004-12,22.91M,-66.67M,,,-66.67M,-29.66M,-1.075M,9.608M,9.608M,,,,74.51M,-2.504M,-1.337M,1.094M,-1.05M,-0.044M,-3.841M,,36.51M,2004-12,-195.47M,,-195.47M,,,173.40M,,-22.07M,2004-12,-19.83M,0.028M,-19.80M,102.98M,-103.14M,-0.16M,27.36M,0.001M,27.36M,-26.02M,-2.159M,,-20.78M,,2004-12,-6.342M,,2.141M,,2004-12,130.34M,51.10M,-103.14M,,2004-12,AOR,Restated
2004-09,20.70M,66.67M,,,66.67M,29.66M,1.075M,11.17M,11.17M,-0.007M,,,-65.75M,1.061M,4.022M,-2.537M,3.736M,-1.199M,5.083M,,37.87M,2004-09,123.12M,,123.12M,0.00,,-149.69M,,-26.57M,2004-09,17.03M,-0.028M,17.00M,-68.32M,68.64M,0.32M,0.079M,-34.50M,-34.42M,-24.67M,-2.477M,26.40M,-17.85M,,2004-09,-6.557M,,8.483M,,2004-09,-68.24M,57.73M,34.14M,,2004-09,AOR,Restated
2004-06,21.10M,,,,,,,9.996M,9.996M,0.007M,,,23.92M,1.14M,-4.503M,2.537M,-3.736M,1.199M,-3.363M,,51.65M,2004-06,-15.90M,,-15.90M,0.00,,4.926M,,-10.98M,2004-06,-6.80M,,-6.80M,136.75M,-68.64M,68.11M,96.35M,-68.64M,27.71M,-23.92M,-1.999M,-94.28M,-31.18M,,2004-06,9.49M,,15.04M,,2004-06,233.10M,50.07M,-137.29M,,2004-06,AOR,Restated
2004-03,19.40M,,,,,,,9.562M,9.562M,,,,21.18M,1.397M,0.768M,,,,2.165M,,52.31M,2004-03,-107.21M,,-107.21M,0.00,,5.965M,,-101.25M,2004-03,6.773M,,6.773M,0.234M,,0.234M,,,,-22.80M,-2.428M,67.88M,49.65M,,2004-03,0.713M,,5.55M,,2004-03,0.234M,121.50M,,,2004-03,AOR,Restated
2003-12,33.72M,,,,,,,10.56M,10.56M,,,,-40.12M,1.751M,2.985M,1.751M,5.194M,-2.73M,8.951M,,13.12M,2003-12,-188.33M,,-188.33M,,,-11.96M,20.77M,-179.51M,2003-12,177.47M,,177.47M,111.02M,,111.02M,,,,,7.285M,-36.69M,165.52M,,2003-12,-0.872M,,4.837M,,2003-12,111.02M,428.57M,,,2003-12,AOR,Restated
2003-09,17.82M,,,,,,,7.934M,7.934M,-0.006M,,,-23.03M,-2.446M,1.02M,-2.447M,-1.189M,6.366M,1.304M,,4.022M,2003-09,-27.16M,,-27.16M,,65.10M,3.975M,-65.10M,-23.18M,2003-09,-112.91M,,-112.91M,-4.725M,4.856M,0.131M,0.00,0.00,0.00,41.06M,-2.429M,94.29M,20.15M,,2003-09,0.99M,,5.709M,,2003-09,-4.725M,-85.41M,4.856M,,2003-09,AOR,Restated
2003-06,17.28M,,,,,,,8.043M,8.043M,0.006M,,,-0.07M,0.76M,-0.189M,0.761M,-0.189M,-0.572M,0.571M,,25.83M,2003-06,-34.54M,,-34.54M,,-34.54M,5.539M,34.54M,-29.00M,2003-06,84.71M,,84.71M,5.033M,-4.815M,0.218M,,0.00,0.00,-20.61M,-2.428M,-57.60M,4.285M,,2003-06,1.113M,,4.719M,,2003-06,5.033M,116.01M,-4.815M,,2003-06,AOR,Restated
2003-03,17.62M,,,,,,,7.875M,7.875M,,,,2.432M,1.686M,1.378M,1.686M,1.378M,-3.064M,3.064M,,30.99M,2003-03,-30.57M,,-30.57M,,-30.57M,2.441M,30.57M,-28.12M,2003-03,13.80M,,13.80M,0.937M,-0.041M,0.896M,,,,-20.45M,-2.428M,,-8.181M,,2003-03,-5.315M,,3.606M,,2003-03,0.937M,147.80M,-0.041M,,2003-03,AOR,Restated
2002-12,25.06M,-17.70M,,,-17.70M,-22.81M,-0.439M,8.181M,8.181M,,,,15.34M,-3.13M,-0.452M,0.202M,2.025M,,-1.355M,,29.53M,2002-12,-134.43M,,-134.43M,,,102.08M,18.53M,-13.82M,2002-12,7.50M,,7.50M,0.024M,,0.024M,,,,57.77M,7.284M,,-15.17M,,2002-12,0.53M,,8.921M,,2002-12,0.024M,135.90M,,,2002-12,AOR,Restated
2002-09,19.49M,17.70M,,,17.70M,22.81M,0.439M,8.564M,8.564M,,,,-12.63M,0.836M,2.464M,-2.496M,-0.013M,2.509M,3.30M,,36.42M,2002-09,87.57M,,87.57M,,87.57M,-100.88M,-94.78M,-20.52M,2002-09,-53.60M,,-53.60M,49.00M,0.00,49.00M,,,,-19.84M,-4.31M,,-28.74M,,2002-09,-12.85M,,8.391M,,2002-09,49.00M,30.90M,0.00,,2002-09,AOR,
2002-06,16.54M,,,,,,,7.209M,7.209M,,,,8.633M,0.549M,-1.135M,0.549M,-1.135M,0.586M,-0.586M,,31.79M,2002-06,-79.14M,,-79.14M,,-79.14M,,82.99M,-75.30M,2002-06,82.20M,,82.20M,0.088M,0.00,0.088M,,,,-19.11M,-2.155M,,61.02M,,2002-06,17.51M,,21.24M,,2002-06,0.088M,131.20M,0.00,,2002-06,AOR,
2002-03,17.58M,,,,,,,7.474M,7.474M,,,,-1.08M,1.947M,1.148M,1.947M,1.148M,-3.095M,3.095M,,27.07M,2002-03,-8.424M,,-8.424M,,-8.424M,,11.80M,-5.052M,2002-03,-11.70M,,-11.70M,10.58M,0.00,10.58M,,,,-18.82M,-0.819M,,-20.75M,,2002-03,1.263M,,3.73M,,2002-03,10.58M,34.70M,0.00,,2002-03,AOR,
2001-12,19.60M,-16.42M,,,-16.42M,-21.16M,-0.228M,7.449M,7.449M,,,,16.85M,-1.278M,-0.872M,1.125M,-0.049M,,-1.074M,,26.41M,2001-12,-132.29M,,-132.29M,,,51.57M,,-80.72M,2001-12,-12.20M,,-12.20M,79.63M,0.00,79.63M,,,,46.90M,5.402M,,45.15M,,2001-12,-9.157M,,2.467M,,2001-12,79.63M,97.40M,0.00,,2001-12,AOR,Restated
2001-09,16.00M,16.42M,,,16.42M,21.16M,0.228M,7.019M,7.019M,,,,-28.72M,0.109M,2.09M,-2.294M,1.267M,1.027M,2.199M,,12.92M,2001-09,14.44M,,14.44M,,14.44M,-31.70M,-14.44M,-17.27M,2001-09,27.30M,,27.30M,6.633M,0.00,6.633M,,,,-16.72M,-2.428M,,14.79M,,2001-09,10.44M,,11.62M,,2001-09,6.633M,54.10M,0.00,,2001-09,AOR,Restated
2001-06,13.48M,,,,,,,7.158M,7.158M,,,,0.678M,0.358M,-2.782M,0.358M,-2.782M,2.424M,-2.424M,,18.89M,2001-06,-6.896M,,-6.896M,,-6.896M,2.62M,6.896M,-4.276M,2001-06,-76.10M,,-76.10M,78.52M,0.00,78.52M,,,,-15.42M,-2.428M,,-15.42M,,2001-06,-0.812M,,1.18M,,2001-06,78.52M,16.20M,0.00,,2001-06,AOR,
2001-03,18.47M,,,,,,,7.21M,7.21M,,,,2.682M,1.936M,1.515M,1.936M,1.515M,-3.451M,3.451M,,31.82M,2001-03,-7.542M,,-7.542M,,-7.542M,17.05M,7.542M,9.512M,2001-03,-27.70M,,-27.70M,0.034M,-0.169M,-0.135M,,,,-14.77M,-0.546M,,-43.15M,,2001-03,-1.823M,,1.992M,,2001-03,0.034M,28.60M,-0.169M,,2001-03,AOR,
2000-12,16.66M,,,,,,,7.908M,7.908M,,,,-6.659M,-1.247M,-2.856M,-1.247M,-2.856M,6.742M,-1.464M,,16.45M,2000-12,-2.116M,,-2.116M,,,16.77M,-0.45M,14.20M,2000-12,-12.30M,-67.10M,-79.40M,0.035M,-1.147M,-1.112M,,0.276M,0.241M,43.61M,5.402M,67.10M,-32.13M,,2000-12,-1.482M,,3.815M,,2000-12,0.00,27.30M,-0.871M,,2000-12,AOR,Restated
2000-09,12.35M,,,,,,,6.913M,6.913M,,,,-23.63M,0.618M,4.706M,0.618M,4.706M,-5.324M,5.324M,,0.958M,2000-09,-8.064M,-3.54M,-11.60M,,,5.768M,0.15M,-5.686M,2000-09,24.00M,24.00M,48.00M,0.181M,-1.465M,-1.284M,,0.00,0.00,-14.59M,-0.546M,-24.00M,7.576M,,2000-09,2.848M,,5.297M,,2000-09,0.181M,46.70M,-1.465M,,2000-09,AOR,
2000-06,12.86M,,,,,,,13.59M,13.59M,,,,-7.686M,1.114M,0.304M,0.598M,-1.45M,-1.418M,-0.852M,,17.92M,2000-06,-28.01M,3.54M,-24.47M,,,,1.676M,-22.80M,2000-06,25.40M,43.10M,68.50M,,-2.936M,-2.936M,,-0.276M,-0.276M,-29.02M,-4.856M,-43.10M,5.226M,,2000-06,0.346M,,2.449M,,2000-06,,51.90M,-3.212M,,2000-06,AOR,
2000-03,12.91M,,,,,,,,,,,,6.086M,,,0.516M,1.754M,,2.27M,,21.27M,2000-03,-17.95M,,-17.95M,,,,-1.826M,-19.78M,2000-03,17.70M,,17.70M,,-0.951M,-0.951M,,,,,,,-0.163M,,2000-03,1.33M,,2.103M,,2000-03,,31.80M,-0.951M,,2000-03,AOR,
1999-12,-33.50M,,,,,,,-19.00M,-19.00M,,,,5.80M,-2.10M,-2.50M,-2.10M,-2.50M,,-9.20M,,16.25M,1999-12,154.20M,,154.20M,,,,-6.20M,148.00M,1999-12,-17.70M,,-17.70M,-99.70M,,-99.70M,2.80M,,2.80M,,,-19.40M,-92.40M,,1999-12,-0.30M,,,,1999-12,-96.90M,-184.50M,,,1999-12,AOR,Restated
1999-09,13.10M,,,,,,,6.70M,6.70M,,,,-3.90M,0.60M,2.10M,0.60M,2.10M,,5.40M,,21.30M,1999-09,-69.30M,,-69.30M,,,,7.90M,-61.40M,1999-09,-10.30M,,-10.30M,33.10M,,33.10M,-2.80M,,-2.80M,,,19.40M,26.00M,,1999-09,-14.10M,,2.90M,,1999-09,30.30M,50.70M,,,1999-09,,
1999-06,10.47M,,,,,,,6.21M,6.21M,,,,1.719M,0.158M,-1.877M,0.158M,-1.877M,,-3.438M,,14.96M,1999-06,-45.22M,,-45.22M,,,,0.013M,-45.20M,1999-06,-10.60M,,-10.60M,66.60M,,66.60M,,,,,,,41.48M,,1999-06,11.24M,,16.80M,,1999-06,66.60M,67.30M,,,1999-06,,
1999-03,9.929M,,,,,,,6.09M,6.09M,,,,-3.619M,1.342M,2.277M,1.342M,2.277M,,7.238M,,19.64M,1999-03,-39.68M,,-39.68M,,,,-1.713M,-41.40M,1999-03,38.60M,,38.60M,,,,,,,,,,24.92M,,1999-03,3.161M,,5.694M,,1999-03,,66.50M,,,1999-03,,
1998-12,-30.70M,,,,,,,-16.10M,-16.10M,,,,4.80M,-1.90M,-2.40M,-1.90M,-2.40M,,-8.60M,,14.04M,1998-12,136.80M,,136.80M,,,,-2.80M,134.00M,1998-12,-94.40M,,-94.40M,-28.50M,,-28.50M,,,,,,0.10M,-84.00M,,1998-12,,,,,1998-12,-28.50M,-145.10M,,,1998-12,AOR,Restated
1998-09,10.50M,,,,,,,5.60M,5.60M,,,,-2.30M,0.20M,2.20M,0.20M,2.20M,,4.80M,,18.60M,1998-09,-34.80M,,-34.80M,,,,0.00,-34.80M,1998-09,29.10M,,29.10M,0.00,,0.00,,,,,,0.00,15.80M,,1998-09,,,,,1998-09,0.00,33.80M,,,1998-09,,
1998-06,10.30M,,,,,,,5.40M,5.40M,,,,1.20M,0.40M,-2.00M,0.40M,-2.00M,,-3.20M,,13.70M,1998-06,-49.90M,,-49.90M,,,,0.80M,-49.10M,1998-06,49.90M,,49.90M,0.00,,0.00,,,,,,-0.10M,36.80M,,1998-06,,,,,1998-06,0.00,56.60M,,,1998-06,,
