,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,83.32M,,,-5.225M,-5.225M,,,131.10M,131.10M,,14.22M,3.662M,-0.351M,-2.473M,-10.72M,,,,-13.20M,,213.53M,2018-03,,,,,-0.442M,,1.216M,-492.84M,2018-03,483.81M,,483.81M,,0.00,0.00,,,,-185.56M,,-4.509M,293.75M,,2018-03,14.44M,,26.58M,,2018-03,,1.058B,0.00,,2018-03,AOR,Restated
2017-12,60.95M,,,-25.23M,17.20M,,,127.03M,127.03M,,6.679M,3.305M,2.309M,0.80M,16.03M,,,,16.83M,,234.30M,2017-12,,,,,,,-5.804M,-360.28M,2017-12,165.38M,,165.38M,133.70M,,133.70M,,0.00,0.00,-179.31M,0.00,-12.02M,107.76M,,2017-12,-18.22M,,12.14M,,2017-12,133.70M,1.597B,0.00,,2017-12,AOR,Restated
2017-09,88.07M,,,-4.687M,-4.687M,,,127.57M,127.57M,,0.366M,3.426M,0.576M,-4.06M,-31.55M,,,,-35.61M,,179.71M,2017-09,,,,,0.00,,12.78M,-232.95M,2017-09,-202.01M,,-202.01M,435.56M,,435.56M,,0.00,0.00,-174.61M,0.00,2.249M,61.19M,,2017-09,7.951M,,30.36M,,2017-09,435.56M,417.00M,0.00,,2017-09,AOR,Restated
2017-06,81.26M,,,-2.368M,-2.368M,,,123.09M,123.09M,,2.273M,4.462M,1.463M,0.141M,35.50M,,,,35.64M,,245.82M,2017-06,,,,,,,0.031M,-314.22M,2017-06,563.60M,,563.60M,52.37M,,52.37M,,-408.75M,-408.75M,-172.87M,0.00,1.465M,35.81M,,2017-06,-32.59M,,22.41M,,2017-06,52.37M,693.00M,-408.75M,,2017-06,AOR,Restated
2017-03,89.04M,,,-11.86M,-11.86M,,,121.10M,121.10M,,5.433M,2.753M,0.417M,3.027M,6.119M,,,,9.146M,,216.02M,2017-03,,,,,0.00,,0.03M,-347.06M,2017-03,-410.31M,,-410.31M,705.01M,,705.01M,,,,-162.51M,-6.168M,44.33M,170.36M,,2017-03,39.32M,,55.00M,,2017-03,705.01M,790.81M,,,2017-03,AOR,Restated
2016-12,92.72M,,,-14.17M,-14.17M,,,117.75M,117.75M,,3.709M,2.803M,-0.922M,-8.378M,27.14M,,,,18.76M,,220.65M,2016-12,,,,,,,7.786M,-727.34M,2016-12,581.98M,,581.98M,81.00M,0.00,81.00M,,0.00,0.00,-156.74M,-6.77M,-16.94M,482.53M,,2016-12,-24.16M,,15.68M,,2016-12,81.00M,1.351B,0.00,,2016-12,AOR,Restated
2016-09,77.20M,,,-6.386M,-6.386M,,,113.92M,113.92M,,8.763M,2.652M,-0.992M,-3.982M,26.61M,,,,22.63M,,217.78M,2016-09,,,,,,,9.563M,-382.28M,2016-09,302.60M,,302.60M,41.26M,-9.026M,32.24M,,0.00,0.00,-155.19M,-6.77M,0.984M,173.86M,,2016-09,9.358M,,29.80M,,2016-09,41.26M,885.96M,-9.026M,,2016-09,AOR,Restated
2016-06,76.07M,,,-6.551M,-6.551M,,,110.34M,110.34M,,6.269M,3.947M,-0.75M,1.865M,33.95M,,,,35.81M,,225.14M,2016-06,,,,,,,-13.17M,-296.40M,2016-06,-157.99M,,-157.99M,397.54M,,397.54M,,0.00,0.00,-151.24M,-6.77M,1.463M,83.01M,,2016-06,11.75M,,20.44M,,2016-06,397.54M,1.035B,0.00,,2016-06,AOR,Restated
2016-03,70.48M,,,3.489M,3.489M,,,107.93M,107.93M,,1.923M,2.605M,-2.00M,5.081M,-53.22M,,,,-48.14M,,136.29M,2016-03,,,,,,,8.34M,-294.69M,2016-03,250.66M,,250.66M,30.55M,,30.55M,,,,-147.34M,-6.77M,-0.289M,126.80M,,2016-03,-31.60M,,8.695M,,2016-03,30.55M,1.209B,,,2016-03,AOR,Restated
2015-12,83.11M,,,-9.221M,-9.221M,,,105.74M,105.74M,,1.378M,2.793M,-1.781M,-3.728M,42.33M,,,,38.60M,,220.62M,2015-12,,,,,,,-20.52M,-217.35M,2015-12,-408.53M,,-408.53M,553.48M,,553.48M,,0.00,0.00,-140.47M,-6.77M,-0.045M,-2.337M,,2015-12,0.93M,,50.33M,,2015-12,553.48M,389.00M,0.00,,2015-12,AOR,Restated
2015-09,67.81M,,,-1.044M,-1.044M,,,104.34M,104.34M,,3.865M,2.236M,-3.01M,0.573M,-23.53M,,,,-22.96M,,151.24M,2015-09,,,,,,,-0.796M,-120.01M,2015-09,-52.53M,,-52.53M,0.00,,0.00,,0.00,0.00,-134.49M,-6.77M,150.90M,-42.89M,,2015-09,-11.67M,,7.074M,,2015-09,0.00,102.00M,0.00,,2015-09,AOR,Restated
2015-06,66.35M,,,-2.775M,-2.775M,,,101.10M,101.10M,,3.23M,2.81M,-0.071M,0.886M,32.33M,,,,33.21M,,203.86M,2015-06,,,,,,,3.23M,-711.47M,2015-06,282.00M,,282.00M,276.43M,,276.43M,,0.00,0.00,-131.60M,-6.77M,94.10M,514.17M,,2015-06,6.551M,,18.74M,,2015-06,276.43M,925.00M,0.00,,2015-06,AOR,Restated
2015-03,67.58M,,,-6.16M,-6.16M,,,98.04M,98.04M,,2.087M,2.552M,-2.183M,0.892M,-44.95M,,,,-44.06M,,117.85M,2015-03,,,,,,,18.08M,-163.77M,2015-03,95.70M,,95.70M,,,,,-6.75M,-6.75M,-126.68M,-6.77M,98.75M,54.26M,,2015-03,8.338M,,12.19M,,2015-03,,282.00M,-6.75M,,2015-03,AOR,Restated
2014-12,78.37M,,,-24.05M,-24.05M,,,96.54M,96.54M,,1.45M,4.306M,-3.198M,-15.04M,50.55M,,,,35.51M,-1.31M,187.61M,2014-12,,,,,,,-9.20M,-120.50M,2014-12,170.41M,,170.41M,0.00,,0.00,,-220.00M,-220.00M,-122.52M,-6.853M,98.77M,-80.19M,,2014-12,-13.08M,,3.852M,,2014-12,0.00,313.20M,-220.00M,,2014-12,AOR,Restated
2014-09,73.63M,,,-10.57M,-10.57M,,,95.26M,95.26M,,0.494M,2.204M,-4.373M,-0.769M,-14.57M,,,,-15.34M,0.00,141.30M,2014-09,,,,,,,-22.06M,-167.01M,2014-09,167.23M,,167.23M,-0.012M,,-0.012M,,0.00,0.00,-122.09M,-10.48M,-0.91M,33.73M,,2014-09,8.028M,,16.94M,,2014-09,-0.012M,553.75M,0.00,,2014-09,AOR,Restated
2014-06,62.22M,,,-1.965M,-1.965M,,,92.89M,92.89M,,0.499M,2.752M,-2.091M,3.145M,27.10M,,,,30.25M,0.02M,184.58M,2014-06,,,,,,,-4.47M,-294.23M,2014-06,-339.56M,,-339.56M,528.63M,,528.63M,,0.00,0.00,-121.23M,-10.48M,47.06M,104.41M,,2014-06,-5.234M,,8.908M,,2014-06,528.63M,671.17M,0.00,,2014-06,AOR,Restated
2014-03,54.92M,,,-1.271M,-1.271M,,,89.97M,89.97M,,1.683M,2.697M,-1.742M,9.60M,-42.95M,,,,-33.35M,1.29M,114.20M,2014-03,,,,,,,-0.46M,-593.12M,2014-03,610.30M,,610.30M,,,,,0.00,0.00,-113.41M,-10.48M,-3.599M,482.81M,,2014-03,3.885M,,14.14M,,2014-03,,732.80M,0.00,,2014-03,AOR,Restated
2013-12,49.79M,,,,,,,85.29M,85.29M,,0.00,6.55M,-1.532M,-3.597M,42.42M,,,,38.82M,-4.809M,173.24M,2013-12,,,,,,,-2.919M,-120.61M,2013-12,-356.80M,,-356.80M,378.49M,,378.49M,,,,-110.68M,-10.48M,47.13M,-52.34M,,2013-12,0.297M,,10.26M,,2013-12,378.49M,528.40M,,,2013-12,AOR,Restated
2013-09,45.51M,,,,,,,80.82M,80.82M,,0.00,6.737M,-1.506M,7.784M,-15.98M,,,,-8.199M,0.873M,124.23M,2013-09,,,,,,,6.137M,-512.05M,2013-09,503.87M,,503.87M,-0.051M,,-0.051M,,,,-106.88M,-10.48M,-11.26M,375.20M,,2013-09,-12.62M,,9.96M,,2013-09,-0.051M,1.313B,,,2013-09,AOR,Restated
2013-06,51.94M,,,,,,,73.91M,73.91M,,0.29M,3.653M,-1.415M,-3.36M,38.50M,,,,35.14M,1.644M,165.16M,2013-06,,,,,,,22.91M,-610.15M,2013-06,582.84M,,582.84M,-0.359M,,-0.359M,,,,-106.69M,-10.48M,-1.898M,463.41M,,2013-06,18.42M,,22.58M,,2013-06,-0.359M,750.60M,,,2013-06,AOR,Restated
2013-03,33.37M,,,,,,,66.75M,66.75M,,0.00,3.845M,-1.218M,-2.943M,-45.82M,,,,-48.76M,2.292M,56.27M,2013-03,,,,,,,-46.94M,-89.21M,2013-03,-624.72M,,-624.72M,755.50M,,755.50M,,,,-84.98M,-10.48M,-3.47M,31.85M,,2013-03,-1.089M,,4.159M,,2013-03,755.50M,852.60M,,,2013-03,AOR,Restated
2012-12,34.03M,,,,,,,41.69M,41.69M,,,2.221M,-0.099M,-3.021M,36.79M,,,,33.77M,2.693M,117.94M,2012-12,,,,,,,-31.93M,-382.80M,2012-12,348.44M,,348.44M,0.00,,0.00,0.00,0.00,0.00,-60.63M,-10.48M,-10.02M,267.31M,,2012-12,2.454M,,5.248M,,2012-12,0.00,966.00M,0.00,,2012-12,AOR,Restated
2012-09,32.75M,,,,,,,36.74M,36.74M,,,2.23M,2.553M,1.774M,-27.95M,,,,-26.17M,4.495M,52.60M,2012-09,,,,,,,5.491M,-411.92M,2012-09,425.18M,,425.18M,0.00,,0.00,0.00,0.00,0.00,-59.17M,-10.48M,0.524M,356.06M,,2012-09,-3.27M,,2.794M,,2012-09,0.00,530.60M,0.00,,2012-09,AOR,Restated
2012-06,38.06M,,,,,,,34.52M,34.52M,,,2.594M,-0.372M,1.986M,25.68M,,,,27.67M,3.138M,105.61M,2012-06,,,,,,,-6.31M,-204.37M,2012-06,140.45M,,140.45M,0.00,,0.00,34.44M,0.00,34.44M,-58.36M,-10.26M,-6.637M,99.63M,,2012-06,0.87M,,6.064M,,2012-06,34.44M,255.40M,0.00,,2012-06,AOR,Restated
2012-03,37.05M,,,,,,,34.58M,34.58M,,,2.956M,-0.097M,-0.166M,-26.34M,,,,-26.51M,2.351M,50.33M,2012-03,,,,,,,-3.934M,-9.288M,2012-03,-205.21M,,-205.21M,0.00,,0.00,360.94M,-127.50M,233.44M,-58.19M,-8.216M,-1.836M,-40.01M,,2012-03,1.029M,,5.194M,,2012-03,360.94M,122.00M,-127.50M,,2012-03,AOR,Restated
2011-12,31.10M,0.21M,,,-0.33M,,,29.94M,29.94M,-6.00M,0.00,,-1.394M,-6.161M,23.40M,,,,17.24M,,99.70M,2011-12,,-12.48M,-12.48M,,,766.15M,1.187M,-178.36M,2011-12,140.66M,,140.66M,0.00,,0.00,0.00,0.00,0.00,-58.02M,-6.063M,0.702M,77.28M,,2011-12,-1.378M,,4.165M,,2011-12,0.00,234.70M,0.00,,2011-12,AOR,Restated
2011-09,35.93M,-0.055M,,,-0.055M,,,31.50M,31.50M,1.653M,0.01M,,2.342M,0.846M,-9.951M,,,,-9.105M,,62.28M,2011-09,,7.428M,7.428M,,,-766.15M,3.169M,-451.79M,2011-09,96.46M,,96.46M,203.63M,,203.63M,0.00,0.00,0.00,-55.14M,-6.063M,0.495M,239.38M,,2011-09,-150.13M,,5.543M,,2011-09,203.63M,339.50M,0.00,,2011-09,AOR,Restated
2011-06,36.98M,-0.155M,,,-0.155M,,,28.50M,28.50M,2.167M,,,1.786M,0.317M,25.86M,,,,26.17M,,95.44M,2011-06,,3.948M,3.948M,,,,0.149M,-149.02M,2011-06,150.00M,,150.00M,0.072M,,0.072M,0.00,0.00,0.00,-55.01M,-6.064M,-9.454M,79.55M,,2011-06,25.96M,,155.67M,,2011-06,0.072M,150.00M,0.00,,2011-06,AOR,Restated
2011-03,35.61M,,,,,,,26.61M,26.61M,2.18M,,,0.74M,7.509M,-31.12M,,,,-23.61M,,41.53M,2011-03,,1.099M,1.099M,,,,-6.148M,-155.69M,2011-03,0.00,,0.00,285.53M,,285.53M,0.00,0.00,0.00,-51.12M,-6.063M,-2.081M,226.27M,,2011-03,112.10M,,129.71M,,2011-03,285.53M,38.60M,0.00,,2011-03,AOR,Restated
2010-12,27.57M,,,,,,,21.50M,21.50M,-4.824M,0.849M,,4.857M,-1.753M,27.54M,,,,25.78M,,86.61M,2010-12,,-15.29M,-15.29M,,,,-0.674M,-402.35M,2010-12,408.70M,-408.70M,0.00,235.69M,,235.69M,,,,-47.80M,-6.063M,-4.061M,177.77M,,2010-12,-137.98M,,17.61M,,2010-12,235.69M,203.50M,,,2010-12,AOR,Restated
2010-09,29.50M,0.00,,,0.00,,,23.86M,23.86M,1.348M,,,0.685M,0.948M,-10.11M,,,,-9.158M,,46.24M,2010-09,,8.942M,8.942M,,,,-5.288M,-10.32M,2010-09,-435.73M,408.70M,-27.03M,196.90M,,196.90M,,,,-45.03M,-6.063M,0.002M,118.78M,,2010-09,154.71M,,155.58M,,2010-09,196.90M,70.97M,,,2010-09,AOR,Restated
2010-06,28.90M,0.00,,,0.00,,,23.24M,23.24M,1.715M,,,0.876M,0.414M,18.84M,,,,19.26M,,73.99M,2010-06,,6.352M,6.352M,,,,0.21M,-256.16M,2010-06,233.26M,,233.26M,0.00,,0.00,,,,-44.91M,-6.064M,-0.087M,182.20M,,2010-06,0.023M,,0.872M,,2010-06,0.00,525.46M,,,2010-06,AOR,Restated
2010-03,29.22M,,,,,,,23.04M,23.04M,1.761M,0.00,,0.597M,5.661M,-23.76M,,,,-18.10M,,36.53M,2010-03,,,,0.00,,,-0.609M,-28.52M,2010-03,35.30M,,35.30M,0.00,,0.00,,,,-44.76M,-6.063M,-1.652M,-17.18M,,2010-03,-9.177M,,0.849M,,2010-03,0.00,58.40M,,,2010-03,AOR,Restated
2009-12,28.27M,2.002M,,,2.002M,,,21.93M,21.93M,0.993M,,,2.842M,-1.399M,21.70M,,,,20.31M,-2.389M,77.88M,2009-12,0.86M,20.07M,20.07M,0.86M,,3.065M,,-41.80M,2009-12,4.60M,,4.60M,0.00,,0.00,,,,-44.64M,-6.063M,0.004M,-46.10M,,2009-12,-10.02M,,10.03M,,2009-12,0.00,4.60M,,,2009-12,AOR,Restated
