,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,669.00M,76.00M,745.00M,1.107B,,1.107B,217.00M,203.00M,119.00M,2.391B,19.46B,1.907B,443.00M,8.14B,261.00M,30.21B,-7.52B,22.69B,64.00M,64.00M,1.015B,130.00M,23.90B,26.29B,,973.00M,125.00M,465.00M,1.563B,,1.563B,,,319.00M,,319.00M,522.00M,2.404B,,7.512B,,7.512B,6.235B,6.235B,,20.00M,2.069B,15.82B,18.22B,,391.00M,8.398B,0.00,-741.00M,8.048B,,AOR,Restated
2008-09,895.00M,76.00M,971.00M,1.249B,,1.249B,251.00M,205.00M,75.00M,2.751B,,,,,,30.16B,-7.576B,22.59B,,,1.048B,251.00M,23.89B,26.64B,,1.087B,133.00M,495.00M,1.715B,,1.715B,,,543.00M,,543.00M,571.00M,2.829B,,7.367B,,7.367B,6.383B,6.383B,,,1.485B,15.24B,18.06B,,394.00M,8.499B,0.00,-320.00M,8.573B,,AOR,Restated
2008-06,1.398B,79.00M,1.477B,1.218B,,1.218B,247.00M,234.00M,113.00M,3.289B,,,,,,29.65B,-7.454B,22.20B,,,1.043B,258.00M,23.50B,26.79B,,1.008B,111.00M,466.00M,1.585B,,1.585B,,,584.00M,,584.00M,321.00M,2.49B,,7.396B,,7.396B,6.263B,6.263B,,,1.566B,15.22B,17.72B,,408.00M,8.973B,13.00M,-321.00M,9.073B,,AOR,Restated
2008-03,1.57B,69.00M,1.639B,1.17B,,1.17B,247.00M,249.00M,109.00M,3.414B,29.30B,,,,,29.30B,-7.335B,21.97B,,,1.031B,246.00M,23.25B,26.66B,,979.00M,156.00M,,1.135B,245.00M,1.38B,,,770.00M,,770.00M,99.00M,2.704B,,7.44B,,7.44B,,,,,1.596B,15.22B,17.92B,,405.00M,8.66B,0.00,-323.00M,8.742B,,AOR,Restated
2007-12,368.00M,346.00M,714.00M,1.174B,,1.174B,240.00M,254.00M,109.00M,2.491B,29.00B,,,,,29.00B,-7.219B,21.78B,64.00M,64.00M,1.004B,195.00M,23.04B,25.53B,,976.00M,113.00M,461.00M,1.55B,,1.55B,,,787.00M,,787.00M,334.00M,2.671B,,6.47B,,6.47B,6.096B,6.096B,,,1.612B,14.18B,16.85B,,408.00M,8.565B,37.00M,-325.00M,8.685B,,AOR,Restated
2007-09,660.00M,576.00M,1.236B,1.173B,,1.173B,244.00M,229.00M,98.00M,2.98B,,,,,,28.57B,-7.141B,21.43B,,,624.00M,573.00M,22.62B,25.60B,,1.002B,109.00M,480.00M,1.591B,,1.591B,,,235.00M,,235.00M,342.00M,2.168B,,6.678B,,6.678B,5.931B,5.931B,,,2.051B,14.66B,16.83B,,420.00M,8.262B,471.00M,-376.00M,8.777B,,AOR,Restated
2007-06,428.00M,402.00M,830.00M,1.171B,,1.171B,238.00M,233.00M,99.00M,2.571B,,,,,,28.33B,-7.069B,21.26B,,,617.00M,621.00M,22.50B,25.07B,,958.00M,240.00M,419.00M,1.617B,,1.617B,,,238.00M,,238.00M,335.00M,2.19B,,5.751B,,5.751B,5.832B,5.832B,,,2.058B,13.64B,15.83B,,439.00M,7.919B,1.266B,-384.00M,9.24B,,AOR,Restated
2007-03,512.00M,425.00M,937.00M,1.112B,,1.112B,217.00M,239.00M,103.00M,2.608B,,,,,,28.05B,-6.958B,21.09B,,,613.00M,611.00M,22.32B,24.92B,,977.00M,128.00M,434.00M,1.539B,,1.539B,,,751.00M,,751.00M,365.00M,2.655B,,5.182B,,5.182B,5.828B,5.828B,,,2.142B,13.15B,15.81B,,437.00M,7.648B,1.423B,-390.00M,9.118B,,AOR,Restated
2006-12,461.00M,439.00M,900.00M,1.174B,,1.174B,204.00M,251.00M,143.00M,2.672B,,,,,,27.72B,-6.792B,20.92B,,,943.00M,591.00M,22.46B,25.13B,,974.00M,114.00M,495.00M,1.583B,,1.583B,,,600.00M,,600.00M,339.00M,2.522B,,5.362B,,5.362B,6.11B,6.11B,,,2.193B,13.66B,16.19B,,438.00M,7.427B,1.469B,-392.00M,8.942B,,AOR,Restated
2006-09,388.00M,272.00M,660.00M,1.275B,,1.275B,197.00M,253.00M,153.00M,2.538B,,,,,,27.31B,-6.66B,20.65B,,,612.00M,1.076B,22.33B,24.87B,,971.00M,119.00M,490.00M,1.58B,,1.58B,,,1.07B,,1.07B,363.00M,3.013B,,4.937B,,4.937B,6.139B,6.139B,,,2.14B,13.22B,16.23B,,435.00M,7.125B,1.391B,-308.00M,8.643B,,AOR,Restated
2006-06,320.00M,362.00M,682.00M,1.204B,,1.204B,202.00M,241.00M,66.00M,2.395B,,,,,,27.23B,-6.672B,20.56B,,,609.00M,1.037B,22.20B,24.60B,,917.00M,113.00M,457.00M,1.487B,,1.487B,,,1.378B,,1.378B,395.00M,3.26B,,4.567B,,4.567B,6.079B,6.079B,,,2.089B,12.74B,16.00B,,222.00M,6.841B,1.848B,-308.00M,8.603B,,AOR,Restated
2006-03,376.00M,337.00M,713.00M,1.202B,,1.202B,208.00M,217.00M,107.00M,2.447B,,,,,,26.85B,-6.565B,20.28B,,,607.00M,1.08B,21.97B,24.42B,,965.00M,237.00M,433.00M,1.635B,,1.635B,,,916.00M,,916.00M,403.00M,2.954B,,5.045B,,5.045B,6.081B,6.081B,,,2.064B,13.19B,16.14B,,222.00M,6.479B,1.871B,-297.00M,8.275B,,AOR,Restated
2005-12,309.00M,293.00M,602.00M,1.202B,,1.202B,199.00M,225.00M,144.00M,2.372B,,,,,,26.54B,-6.375B,20.16B,,,603.00M,1.094B,21.86B,24.23B,,954.00M,102.00M,565.00M,1.621B,,1.621B,,,937.00M,,937.00M,421.00M,2.979B,,5.093B,,5.093B,6.082B,6.082B,,,2.124B,13.30B,16.28B,,436.00M,6.262B,1.533B,-277.00M,7.954B,,AOR,Restated
2005-09,590.00M,590.00M,1.18B,1.274B,,1.274B,203.00M,141.00M,-351.00M,2.447B,,,,,,26.28B,-6.30B,19.98B,,,603.00M,996.00M,21.57B,24.02B,,930.00M,341.00M,513.00M,1.784B,,1.784B,,,950.00M,,950.00M,406.00M,3.14B,,5.058B,,5.058B,6.011B,6.011B,,,2.05B,13.12B,16.26B,,217.00M,6.053B,1.698B,-206.00M,7.762B,,AOR,Restated
2005-06,513.00M,,513.00M,1.123B,,1.123B,196.00M,120.00M,252.00M,2.204B,,,,,,26.12B,-6.24B,19.88B,,,583.00M,1.082B,21.55B,23.75B,,885.00M,206.00M,429.00M,1.52B,,1.52B,,,621.00M,,621.00M,368.00M,2.509B,,5.399B,,5.399B,6.006B,6.006B,,,2.219B,13.62B,16.13B,,217.00M,5.912B,1.678B,-190.00M,7.617B,,AOR,Restated
2005-03,1.823B,,1.823B,1.163B,,1.163B,190.00M,115.00M,288.00M,3.579B,,,,,,25.96B,-6.082B,19.88B,,,577.00M,1.054B,21.51B,25.09B,,939.00M,463.00M,352.00M,1.754B,,1.754B,,,915.00M,,915.00M,393.00M,3.062B,,6.208B,,6.208B,6.08B,6.08B,,,2.254B,14.54B,17.60B,,217.00M,5.768B,1.657B,-154.00M,7.488B,,,Restated
2004-12,522.00M,337.00M,859.00M,1.159B,,1.159B,165.00M,20.00M,800.00M,3.003B,,,,,,25.85B,-5.907B,19.94B,,,574.00M,1.083B,21.60B,24.60B,,870.00M,170.00M,380.00M,1.42B,,1.42B,,,1.084B,,1.084B,813.00M,3.317B,,6.248B,,6.248B,5.979B,5.979B,,,2.25B,14.48B,17.79B,,216.00M,5.21B,1.605B,-220.00M,6.811B,,,Restated
2004-09,629.00M,,629.00M,1.171B,,1.171B,167.00M,126.00M,222.00M,2.315B,,,,,,25.86B,-5.882B,19.98B,,,567.00M,1.504B,22.05B,24.36B,,862.00M,101.00M,435.00M,1.398B,,1.398B,,,284.00M,,284.00M,335.00M,2.017B,,7.096B,,7.096B,6.051B,6.051B,,,2.365B,15.51B,17.53B,,215.00M,5.167B,1.597B,-143.00M,6.836B,,AOR,Restated
2004-06,728.00M,,728.00M,1.215B,,1.215B,174.00M,128.00M,129.00M,2.374B,,,,,,19.72B,-5.825B,13.89B,,,4.691B,1.493B,20.08B,22.45B,,863.00M,126.00M,395.00M,1.384B,,1.384B,,,814.00M,,814.00M,395.00M,2.593B,,6.901B,,6.901B,3.881B,3.881B,,,2.408B,13.19B,15.78B,,216.00M,5.065B,1.591B,-203.00M,6.669B,,AOR,Restated
2004-03,447.00M,,447.00M,1.17B,,1.17B,179.00M,128.00M,108.00M,2.032B,,,,,,19.55B,-5.70B,13.85B,,,4.683B,1.512B,20.04B,22.07B,,864.00M,109.00M,377.00M,1.35B,,1.35B,,,579.00M,,579.00M,437.00M,2.366B,,6.97B,,6.97B,3.78B,3.78B,,,2.473B,13.22B,15.59B,,215.00M,4.966B,1.587B,-284.00M,6.484B,,AOR,
2003-12,368.00M,,368.00M,1.163B,,1.163B,170.00M,136.00M,66.00M,1.903B,,,,,,19.27B,-5.537B,13.73B,,,4.678B,1.449B,19.86B,21.76B,,827.00M,123.00M,397.00M,1.347B,,1.347B,,,428.00M,,428.00M,435.00M,2.21B,,6.886B,,6.886B,3.752B,3.752B,,,2.459B,13.10B,15.31B,,215.00M,4.957B,1.579B,-298.00M,6.453B,,AOR,
2003-09,385.00M,351.00M,736.00M,1.25B,,1.25B,168.00M,134.00M,92.00M,2.38B,,,,,,19.05B,-5.436B,13.61B,,,4.661B,1.272B,19.55B,21.93B,,800.00M,101.00M,418.00M,1.319B,,1.319B,,,1.304B,,1.304B,401.00M,3.024B,,6.48B,,6.48B,3.63B,3.63B,,,2.481B,12.59B,15.62B,,214.00M,4.858B,1.556B,-316.00M,6.312B,,AOR,Restated
2003-06,311.00M,,311.00M,1.219B,,1.219B,178.00M,139.00M,185.00M,2.032B,,,,,,18.89B,-5.388B,13.50B,,,4.658B,1.345B,19.51B,21.54B,,768.00M,102.00M,402.00M,1.272B,,1.272B,,,1.29B,,1.29B,358.00M,2.92B,,6.204B,,6.204B,3.715B,3.715B,,,2.264B,12.18B,15.10B,,215.00M,4.981B,1.554B,-314.00M,6.436B,,AOR,Restated
2003-03,294.00M,,294.00M,847.00M,,847.00M,187.00M,130.00M,164.00M,1.622B,,,,,,18.64B,-5.285B,13.35B,,,4.655B,1.331B,19.34B,20.96B,,839.00M,99.00M,392.00M,1.33B,,1.33B,,,517.00M,,517.00M,395.00M,2.242B,,6.527B,,6.527B,3.63B,3.63B,,,2.237B,12.39B,14.64B,,216.00M,4.875B,1.549B,-317.00M,6.323B,,AOR,Restated
2002-12,264.00M,,264.00M,,,799.00M,180.00M,128.00M,418.00M,1.789B,,,,,,18.56B,-5.274B,13.29B,,,,5.876B,19.16B,20.95B,,802.00M,,,802.00M,,802.00M,,,534.00M,,534.00M,1.118B,2.454B,,6.519B,,6.519B,3.567B,3.567B,,,2.17B,12.26B,14.71B,,215.00M,4.797B,1.547B,,6.241B,,AOR,
2002-09,422.00M,,422.00M,955.00M,,955.00M,212.00M,122.00M,199.00M,1.91B,,,,,,18.53B,-5.322B,13.21B,,,4.667B,1.239B,19.12B,21.02B,,893.00M,192.00M,437.00M,1.522B,,1.522B,,,804.00M,,804.00M,422.00M,2.748B,,6.434B,,6.434B,3.65B,3.65B,,,1.817B,11.90B,14.65B,,215.00M,4.682B,1.525B,-46.00M,6.376B,,AOR,
2002-06,731.00M,,731.00M,828.00M,,828.00M,220.00M,122.00M,190.00M,2.091B,,,,,,18.42B,-5.348B,13.07B,,,4.663B,1.098B,18.83B,20.92B,,918.00M,171.00M,413.00M,1.502B,,1.502B,,,904.00M,,904.00M,488.00M,2.894B,,6.338B,,6.338B,3.598B,3.598B,,,1.822B,11.76B,14.65B,,215.00M,4.576B,1.521B,-44.00M,6.268B,,AOR,Restated
2002-03,781.00M,,781.00M,809.00M,,809.00M,223.00M,131.00M,232.00M,2.176B,,,,,,18.26B,-5.282B,12.98B,,,4.656B,1.031B,18.67B,20.84B,,912.00M,116.00M,396.00M,1.424B,,1.424B,,,952.00M,,952.00M,485.00M,2.861B,,6.361B,,6.361B,3.575B,3.575B,,,1.901B,11.84B,14.70B,,214.00M,4.463B,1.511B,-44.00M,6.144B,,AOR,
2001-12,137.00M,481.00M,618.00M,,,878.00M,206.00M,162.00M,210.00M,2.074B,,,,,,18.15B,-5.179B,12.97B,,,,5.755B,18.73B,20.80B,,966.00M,,,966.00M,,966.00M,,,1.269B,,1.269B,1.068B,3.303B,,5.839B,,5.839B,3.621B,3.621B,,,1.918B,11.38B,14.68B,,214.00M,4.459B,1.492B,,6.12B,,AOR,Restated
2001-09,133.00M,459.00M,592.00M,876.00M,,876.00M,266.00M,141.00M,144.00M,2.019B,,,,,,18.28B,-5.40B,12.88B,,,4.677B,1.031B,18.59B,20.61B,,1.097B,190.00M,218.00M,1.505B,,1.505B,,,1.248B,,1.248B,694.00M,3.447B,,5.659B,,5.659B,3.482B,3.482B,,,1.905B,11.05B,14.49B,,213.00M,4.415B,1.485B,,6.113B,,AOR,
2001-06,143.00M,413.00M,556.00M,890.00M,,890.00M,268.00M,114.00M,149.00M,1.977B,,,,,,18.12B,-5.375B,12.74B,,,4.677B,1.114B,18.53B,20.51B,,1.015B,289.00M,418.00M,1.722B,,1.722B,,,1.108B,,1.108B,511.00M,3.341B,,5.77B,,5.77B,3.411B,3.411B,,,1.955B,11.14B,14.48B,,213.00M,4.337B,1.482B,,6.032B,,AOR,
2001-03,121.00M,500.00M,621.00M,840.00M,,840.00M,269.00M,122.00M,148.00M,2.00B,,,,,,17.98B,-5.297B,12.68B,,,4.673B,1.081B,18.44B,20.44B,,1.057B,250.00M,410.00M,1.717B,,1.717B,,,666.00M,,666.00M,507.00M,2.89B,,6.212B,,6.212B,3.391B,3.391B,,,1.969B,11.57B,14.46B,,213.00M,4.293B,1.47B,,5.976B,,AOR,
2000-12,261.00M,425.00M,686.00M,,,850.00M,194.00M,121.00M,169.00M,2.02B,,,,,,17.86B,-5.202B,12.66B,,,,5.867B,18.53B,20.55B,,1.03B,,,1.03B,,1.03B,,,941.00M,,941.00M,1.28B,3.251B,,5.896B,,5.896B,3.384B,3.384B,,,2.00B,11.28B,14.53B,,213.00M,4.337B,1.467B,,6.017B,,AOR,
2000-09,492.00M,377.00M,869.00M,833.00M,,833.00M,276.00M,128.00M,146.00M,2.252B,,,,,,17.97B,-5.426B,12.54B,,,4.667B,1.246B,18.46B,20.71B,,1.141B,,414.00M,1.555B,,1.555B,,,600.00M,,600.00M,916.00M,3.071B,,6.122B,,6.122B,3.311B,3.311B,,,2.158B,11.59B,14.66B,,217.00M,4.348B,1.501B,-21.00M,6.045B,,AOR,
2000-06,128.00M,267.00M,395.00M,1.135B,,1.135B,278.00M,127.00M,144.00M,2.079B,,,,,,17.75B,-5.36B,12.39B,,,4.667B,1.238B,18.30B,20.37B,,1.051B,,425.00M,1.476B,,1.476B,,,833.00M,,833.00M,714.00M,3.023B,,6.296B,,6.296B,3.251B,3.251B,,,2.11B,11.66B,14.68B,,218.00M,3.987B,1.51B,-21.00M,5.694B,,AOR,
2000-03,293.00M,373.00M,666.00M,1.129B,,1.129B,263.00M,133.00M,159.00M,2.35B,,,,,,17.51B,-5.301B,12.21B,,,4.668B,1.294B,18.18B,20.52B,,1.176B,,441.00M,1.617B,,1.617B,,,844.00M,,844.00M,824.00M,3.285B,,6.16B,,6.16B,3.228B,3.228B,,,2.145B,11.53B,14.82B,,218.00M,3.997B,1.514B,-22.00M,5.707B,,AOR,
1999-12,626.00M,348.00M,974.00M,,,1.135B,220.00M,135.00M,99.00M,2.563B,,,,,,17.53B,-5.269B,12.26B,,,,6.008B,18.26B,20.83B,,1.197B,,,1.197B,,1.197B,,,923.00M,,923.00M,1.353B,3.473B,,6.196B,,6.196B,3.227B,3.227B,,,2.176B,11.60B,15.07B,,218.00M,4.034B,1.525B,,5.756B,,AOR,Restated
1999-09,299.00M,320.00M,619.00M,,,1.387B,250.00M,142.00M,129.00M,2.527B,,,,,,19.15B,-6.457B,12.70B,,,,5.813B,18.51B,21.04B,,1.293B,,,1.293B,,1.293B,,,1.116B,,1.116B,1.362B,3.771B,,6.096B,,6.096B,3.186B,3.186B,,,2.242B,11.52B,15.30B,,218.00M,4.125B,1.519B,,5.741B,,,
1999-06,192.00M,357.00M,549.00M,,,1.172B,245.00M,125.00M,197.00M,2.288B,,,,,,19.14B,-6.317B,12.82B,,,,5.814B,18.64B,20.93B,,1.116B,,,1.116B,,1.116B,,,682.00M,,682.00M,1.236B,3.034B,,6.555B,,6.555B,3.18B,3.18B,,,2.246B,11.98B,15.02B,,218.00M,4.303B,1.512B,,5.912B,,,
1999-03,154.00M,396.00M,550.00M,,,986.00M,234.00M,138.00M,190.00M,2.098B,,,,,,18.83B,-6.176B,12.65B,,,,5.797B,18.45B,20.55B,,1.103B,,,1.103B,,1.103B,,,541.00M,,541.00M,1.13B,2.774B,,6.476B,,6.476B,3.193B,3.193B,,,2.264B,11.93B,14.71B,,217.00M,4.255B,1.491B,,5.842B,,,
1998-12,105.00M,428.00M,533.00M,,,898.00M,225.00M,128.00M,200.00M,1.984B,,,,,,18.68B,-6.033B,12.64B,,,,5.906B,18.55B,20.54B,,1.216B,,,1.216B,,1.216B,,,287.00M,,287.00M,1.097B,2.60B,,6.432B,,6.432B,3.173B,3.173B,,,2.45B,12.06B,14.66B,,217.00M,4.294B,1.489B,,5.88B,,AOR,Restated
1998-09,132.00M,340.00M,472.00M,,,899.00M,212.00M,149.00M,172.00M,1.904B,,,,,,18.19B,-5.864B,12.33B,,,,5.881B,18.21B,20.11B,,1.098B,,,1.098B,,1.098B,,,289.00M,,289.00M,1.006B,2.393B,,6.20B,,6.20B,3.137B,3.137B,,,2.407B,11.74B,14.14B,,218.00M,4.251B,1.53B,,5.976B,,,
1998-06,94.00M,293.00M,387.00M,,,1.002B,279.00M,132.00M,193.00M,1.993B,,,,,,18.66B,-6.042B,12.62B,,,,5.515B,18.14B,20.13B,,1.069B,,,1.069B,,1.069B,,,848.00M,,848.00M,1.115B,3.032B,,6.138B,,6.138B,3.00B,3.00B,,,2.091B,11.23B,14.26B,,219.00M,4.129B,1.544B,,5.869B,,,
1998-03,79.00M,380.00M,459.00M,,,1.01B,268.00M,137.00M,168.00M,2.042B,,,,,,18.42B,-5.988B,12.43B,,,,5.407B,17.84B,19.88B,,1.115B,,,1.115B,,1.115B,,,373.00M,,373.00M,1.149B,2.637B,,6.389B,,6.389B,2.954B,2.954B,,,2.059B,11.40B,14.04B,,219.00M,4.044B,1.60B,,5.84B,,,
1997-12,251.00M,439.00M,690.00M,,,987.00M,227.00M,134.00M,137.00M,2.175B,,,,,,18.27B,-5.864B,12.41B,,,,5.376B,17.78B,19.96B,,1.179B,,,1.179B,,1.179B,,,355.00M,,355.00M,1.173B,2.707B,,6.416B,,6.416B,2.939B,2.939B,,,2.129B,11.48B,14.19B,,218.00M,4.019B,1.552B,,5.766B,,AOR,
1997-09,174.00M,385.00M,559.00M,,,963.00M,242.00M,144.00M,163.00M,2.071B,,,,,,17.83B,-5.73B,12.10B,,,,5.359B,17.46B,19.53B,,1.107B,,,1.107B,,1.107B,,,288.00M,,288.00M,1.174B,2.569B,,6.443B,,6.443B,2.846B,2.846B,,,2.19B,11.48B,14.05B,,218.00M,3.866B,1.503B,,5.48B,,,
1997-06,182.00M,524.00M,706.00M,,,917.00M,237.00M,145.00M,148.00M,2.153B,,,,,,17.70B,-5.699B,12.00B,,,,5.318B,17.32B,19.47B,,1.093B,,,1.093B,,1.093B,,,156.00M,,156.00M,1.181B,2.43B,,6.753B,,6.753B,2.779B,2.779B,,,2.197B,11.73B,14.16B,,218.00M,3.717B,1.482B,,5.31B,,,
1997-03,237.00M,273.00M,510.00M,,,924.00M,243.00M,145.00M,119.00M,1.941B,,,,,,17.53B,-5.606B,11.92B,,,,3.023B,14.95B,16.89B,,1.053B,,,1.053B,,1.053B,,,430.00M,,430.00M,1.088B,2.571B,,4.243B,,4.243B,2.743B,2.743B,,,2.204B,9.19B,11.76B,,218.00M,3.546B,1.47B,,5.127B,,,
1996-12,368.00M,314.00M,682.00M,,,894.00M,229.00M,139.00M,128.00M,2.072B,,,,,,17.42B,-5.514B,11.91B,,,,2.987B,14.89B,16.96B,,1.189B,,,1.189B,,1.189B,,,436.00M,,436.00M,1.132B,2.757B,,4.331B,,4.331B,2.72B,2.72B,,,2.162B,9.213B,11.97B,,217.00M,3.452B,1.433B,,4.995B,,AOR,
1996-09,170.00M,345.00M,515.00M,,,928.00M,217.00M,151.00M,108.00M,1.919B,,,,,,17.18B,-5.462B,11.72B,,,,1.002B,12.72B,14.64B,,1.073B,,,1.073B,,1.073B,,,477.00M,,477.00M,1.149B,2.699B,,2.288B,,2.288B,2.657B,2.657B,,,2.182B,7.127B,9.826B,,217.00M,3.255B,1.452B,,4.815B,,,
1996-06,170.00M,380.00M,550.00M,,,922.00M,241.00M,168.00M,98.00M,1.979B,,,,,,16.94B,-5.376B,11.57B,,,,984.00M,12.55B,14.53B,,1.097B,,,1.097B,,1.097B,,,577.00M,,577.00M,1.16B,2.834B,,2.271B,,2.271B,2.615B,2.615B,,,2.244B,7.13B,9.964B,,212.00M,3.089B,1.375B,,4.567B,,,
1996-03,201.00M,380.00M,581.00M,,,851.00M,242.00M,155.00M,91.00M,1.92B,,,,,,16.81B,-5.323B,11.48B,,,,963.00M,12.45B,14.37B,,1.048B,,,1.048B,,1.048B,,,830.00M,,830.00M,1.05B,2.928B,,2.247B,,2.247B,2.58B,2.58B,,,2.237B,7.064B,9.992B,,212.00M,2.91B,1.361B,,4.374B,,,
1995-12,320.00M,340.00M,660.00M,,,832.00M,220.00M,148.00M,75.00M,1.935B,,,,,,16.67B,-5.376B,11.30B,,,,1.05B,12.35B,14.28B,,1.121B,,,1.121B,,1.121B,,,634.00M,,634.00M,1.236B,2.991B,,2.222B,,2.222B,2.56B,2.56B,,,2.267B,7.049B,10.04B,,210.00M,2.822B,1.319B,,4.242B,,AOR,
1995-09,289.00M,274.00M,563.00M,,,811.00M,225.00M,139.00M,72.00M,1.81B,,,,,,16.65B,-5.466B,11.19B,,,,1.03B,12.22B,14.03B,,2.122B,,,2.122B,,2.122B,,,542.00M,,542.00M,,2.664B,,2.564B,,2.564B,2.505B,2.505B,,,2.306B,7.375B,10.04B,,105.00M,2.599B,1.418B,,3.989B,,,
1995-06,329.00M,233.00M,562.00M,,,724.00M,247.00M,136.00M,83.00M,1.752B,,,,,,16.52B,-5.398B,11.12B,,,,1.023B,12.14B,13.89B,,2.062B,,,2.062B,,2.062B,,,637.00M,,637.00M,,2.699B,,2.577B,,2.577B,2.501B,2.501B,,,2.296B,7.374B,10.07B,,105.00M,2.443B,1.406B,,3.821B,,,
1995-03,300.00M,260.00M,560.00M,,,777.00M,234.00M,130.00M,74.00M,1.775B,,,,,,16.42B,-5.325B,11.10B,,,,997.00M,12.10B,13.87B,,1.99B,,,1.99B,,1.99B,,,651.00M,,651.00M,,2.641B,,2.546B,,2.546B,2.567B,2.567B,,,2.28B,7.393B,10.03B,,105.00M,2.468B,1.397B,,3.837B,,,
1994-12,265.00M,270.00M,535.00M,,,706.00M,211.00M,151.00M,62.00M,1.665B,,,,,,16.32B,-5.271B,11.04B,,,,1.015B,12.06B,13.72B,,926.00M,,,926.00M,,926.00M,,,513.00M,,513.00M,1.066B,2.505B,,2.618B,,2.618B,2.57B,2.57B,,,2.30B,7.488B,9.993B,,105.00M,2.391B,1.368B,,3.731B,,AOR,
1994-09,494.00M,156.00M,650.00M,,,812.00M,190.00M,122.00M,82.00M,1.856B,,,,,,16.12B,-5.258B,10.86B,,,,985.00M,11.84B,13.70B,,1.99B,,,1.99B,,1.99B,,,439.00M,,439.00M,,2.429B,,2.953B,,2.953B,2.47B,2.47B,,,2.336B,7.759B,10.19B,,105.00M,2.201B,1.363B,,3.511B,,,
1994-06,319.00M,159.00M,478.00M,,,680.00M,216.00M,87.00M,123.00M,1.584B,,,,,,11.34B,-520.00M,10.82B,,,,1.044B,11.86B,13.44B,,1.79B,,,1.79B,,1.79B,,,448.00M,,448.00M,,2.238B,,2.978B,,2.978B,2.389B,2.389B,,,2.464B,7.831B,10.07B,,105.00M,2.07B,1.359B,,3.376B,,,
1994-03,366.00M,130.00M,496.00M,,,709.00M,213.00M,109.00M,100.00M,1.627B,,,,,,15.93B,-5.151B,10.78B,,,,1.054B,11.84B,13.46B,,1.76B,,,1.76B,,1.76B,,,547.00M,,547.00M,,2.307B,,3.107B,,3.107B,2.364B,2.364B,,,2.434B,7.905B,10.21B,,105.00M,1.953B,1.351B,,3.251B,,,
1993-12,298.00M,,298.00M,,,668.00M,199.00M,,406.00M,1.571B,,,,,,15.85B,-5.066B,10.79B,,,,1.061B,11.85B,13.42B,,1.965B,,,1.965B,,1.965B,,,310.00M,,310.00M,,2.275B,,3.133B,,3.133B,2.341B,2.341B,,,2.491B,7.965B,10.24B,,,1.927B,,,3.18B,,,
1993-09,424.00M,,424.00M,,,695.00M,207.00M,,275.00M,1.601B,,,,,,15.67B,-5.007B,10.67B,,,,1.06B,11.73B,13.33B,,1.887B,,,1.887B,,1.887B,,,458.00M,,458.00M,,2.345B,,3.158B,,3.158B,2.302B,2.302B,,,2.429B,7.889B,10.23B,,,1.71B,,,3.093B,,,
1993-06,398.00M,,398.00M,,,652.00M,210.00M,,480.00M,1.74B,,,,,,15.79B,-5.134B,10.66B,,,,1.037B,11.70B,13.44B,,2.063B,,,2.063B,,2.063B,,,422.00M,,422.00M,,2.485B,,3.181B,,3.181B,2.299B,2.299B,,,2.405B,7.885B,10.37B,,,1.688B,,,3.067B,,,
1993-03,379.00M,,379.00M,,,597.00M,211.00M,,280.00M,1.467B,,,,,,15.75B,-5.131B,10.62B,,,,1.068B,11.69B,13.16B,,1.994B,,,1.994B,,1.994B,,,268.00M,,268.00M,,2.262B,,3.242B,,3.242B,2.262B,2.262B,,,2.442B,7.946B,10.21B,,,1.573B,,,2.948B,,,
1992-12,530.00M,,530.00M,,,605.00M,189.00M,,97.00M,1.421B,,,,,,15.70B,-5.066B,10.64B,,,,992.00M,11.63B,13.05B,,2.066B,,,2.066B,,2.066B,,,214.00M,,214.00M,,2.28B,,3.245B,,3.245B,2.082B,2.082B,,,2.467B,7.794B,10.07B,,,1.622B,,,2.975B,,,
