,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.32B,83.00M,1.403B,1.036B,,1.036B,326.00M,,116.00M,2.881B,44.31B,,,,,44.31B,-12.46B,31.85B,,,1.741B,455.00M,34.04B,36.92B,,852.00M,123.00M,486.00M,1.461B,,1.461B,114.00M,,19.00M,,19.00M,138.00M,1.732B,232.00M,13.77B,,13.77B,6.532B,6.532B,,14.00M,636.00M,21.17B,22.90B,,859.00M,13.60B,127.00M,-581.00M,14.01B,,AOR,Restated
2018-03,1.98B,10.00M,1.99B,1.045B,,1.045B,369.00M,,138.00M,3.542B,44.10B,,,,,44.10B,-12.36B,31.75B,,,1.714B,435.00M,33.90B,37.44B,,905.00M,274.00M,443.00M,1.622B,,1.622B,106.00M,,19.00M,,19.00M,144.00M,1.891B,258.00M,13.77B,,13.77B,6.485B,6.485B,,13.00M,646.00M,21.16B,23.05B,,875.00M,13.87B,215.00M,-585.00M,14.38B,,AOR,Restated
2017-12,401.00M,18.00M,419.00M,793.00M,186.00M,970.00M,372.00M,,154.00M,1.915B,,1.849B,11.61B,30.09B,778.00M,44.32B,-12.56B,31.76B,,,1.686B,374.00M,33.82B,35.74B,,847.00M,157.00M,602.00M,1.606B,,1.606B,108.00M,,19.00M,,19.00M,161.00M,1.894B,266.00M,11.79B,,11.79B,6.418B,6.418B,,16.00M,650.00M,19.12B,21.02B,,890.00M,14.08B,217.00M,-486.00M,14.70B,,AOR,Restated
2017-09,591.00M,113.00M,704.00M,981.00M,,981.00M,392.00M,,95.00M,2.172B,44.10B,,,,,44.10B,-12.53B,31.58B,,,1.506B,316.00M,33.40B,35.57B,,905.00M,322.00M,601.00M,1.828B,,1.828B,122.00M,,19.00M,,19.00M,106.00M,2.075B,253.00M,11.79B,,11.79B,9.789B,9.789B,,15.00M,766.00M,22.60B,24.67B,,894.00M,10.33B,227.00M,-561.00M,10.89B,,AOR,Restated
2017-06,620.00M,477.00M,1.097B,1.015B,,1.015B,428.00M,,90.00M,2.63B,43.75B,,,,,43.75B,-12.32B,31.43B,,,1.487B,317.00M,33.23B,35.86B,,810.00M,95.00M,506.00M,1.411B,,1.411B,115.00M,,19.00M,,19.00M,127.00M,1.672B,248.00M,11.81B,,11.81B,9.737B,9.737B,,14.00M,797.00M,22.59B,24.26B,,913.00M,11.03B,210.00M,-569.00M,11.59B,,AOR,Restated
2017-03,930.00M,287.00M,1.217B,943.00M,,943.00M,415.00M,,85.00M,2.66B,43.40B,,,,,43.40B,-12.14B,31.26B,,,1.469B,324.00M,33.05B,35.71B,,898.00M,302.00M,445.00M,1.645B,,1.645B,114.00M,,331.00M,,331.00M,187.00M,2.277B,252.00M,10.96B,,10.96B,9.648B,9.648B,,13.00M,903.00M,21.77B,24.04B,,923.00M,11.20B,170.00M,-634.00M,11.66B,,AOR,Restated
2016-12,603.00M,417.00M,1.02B,938.00M,,938.00M,407.00M,,122.00M,2.487B,,1.833B,11.60B,28.88B,913.00M,43.23B,-12.08B,31.15B,63.00M,63.00M,1.459B,255.00M,32.93B,35.41B,,806.00M,129.00M,545.00M,1.48B,,1.48B,115.00M,,331.00M,,331.00M,114.00M,2.04B,259.00M,10.96B,,10.96B,9.596B,9.596B,,15.00M,863.00M,21.68B,23.72B,,928.00M,11.25B,138.00M,-640.00M,11.68B,,AOR,Restated
2016-09,603.00M,152.00M,755.00M,925.00M,,925.00M,397.00M,,86.00M,2.163B,42.72B,,,,,42.72B,-11.94B,30.78B,,,1.433B,303.00M,32.52B,34.68B,,859.00M,90.00M,450.00M,1.399B,,1.399B,124.00M,,631.00M,,631.00M,109.00M,2.263B,250.00M,9.888B,,9.888B,9.505B,9.505B,,14.00M,1.105B,20.75B,23.01B,,937.00M,11.23B,125.00M,-639.00M,11.66B,,AOR,Restated
2016-06,566.00M,262.00M,828.00M,912.00M,,912.00M,399.00M,,89.00M,2.228B,42.34B,,,,,42.34B,-11.74B,30.61B,,,1.413B,302.00M,32.32B,34.55B,,766.00M,137.00M,464.00M,1.367B,,1.367B,133.00M,,632.00M,,632.00M,150.00M,2.282B,246.00M,9.905B,,9.905B,9.355B,9.355B,,13.00M,1.137B,20.64B,22.92B,,946.00M,11.20B,116.00M,-649.00M,11.61B,,AOR,Restated
2016-03,731.00M,375.00M,1.106B,917.00M,,917.00M,370.00M,132.00M,83.00M,2.608B,41.86B,,,,,41.86B,-11.57B,30.29B,,,1.402B,307.00M,32.00B,34.61B,,815.00M,170.00M,398.00M,1.383B,,1.383B,130.00M,,20.00M,,20.00M,159.00M,1.692B,255.00M,10.52B,,10.52B,9.396B,9.396B,,13.00M,1.145B,21.31B,23.00B,,956.00M,11.18B,112.00M,-658.00M,11.59B,,AOR,Restated
2015-12,628.00M,810.00M,1.438B,982.00M,,982.00M,350.00M,,70.00M,2.84B,,1.858B,11.11B,27.60B,1.003B,41.57B,-11.40B,30.17B,63.00M,63.00M,1.394B,274.00M,31.90B,34.74B,,764.00M,108.00M,490.00M,1.362B,,1.362B,131.00M,,20.00M,,20.00M,439.00M,1.952B,269.00M,10.52B,,10.52B,9.179B,9.179B,,16.00M,1.162B,21.12B,23.08B,,966.00M,11.24B,113.00M,-665.00M,11.65B,,AOR,Restated
2015-09,541.00M,425.00M,966.00M,1.003B,,1.003B,309.00M,137.00M,87.00M,2.502B,40.84B,,,,,40.84B,-11.21B,29.64B,,,1.376B,500.00M,31.51B,34.02B,,842.00M,282.00M,447.00M,1.571B,,1.571B,146.00M,,18.00M,,18.00M,187.00M,1.922B,270.00M,10.09B,,10.09B,8.957B,8.957B,,15.00M,1.118B,20.43B,22.36B,,975.00M,11.20B,120.00M,-645.00M,11.64B,,AOR,Restated
2015-06,438.00M,680.00M,1.118B,1.022B,,1.022B,295.00M,132.00M,102.00M,2.669B,40.31B,,,,,40.31B,-11.06B,29.25B,,,1.366B,492.00M,31.11B,33.78B,,772.00M,243.00M,480.00M,1.495B,,1.495B,146.00M,,18.00M,,18.00M,119.00M,1.778B,280.00M,10.11B,,10.11B,8.897B,8.897B,,14.00M,1.138B,20.42B,22.20B,,984.00M,11.12B,118.00M,-656.00M,11.56B,,AOR,Restated
2015-03,561.00M,257.00M,818.00M,1.103B,,1.103B,291.00M,146.00M,99.00M,2.457B,39.82B,,,,,39.82B,-10.95B,28.87B,,,1.353B,479.00M,30.70B,33.16B,,858.00M,288.00M,410.00M,1.556B,,1.556B,141.00M,,228.00M,,228.00M,113.00M,2.038B,286.00M,9.513B,,9.513B,8.886B,8.886B,,23.00M,1.10B,19.78B,21.82B,,988.00M,10.90B,100.00M,-668.00M,11.32B,,AOR,Restated
2014-12,669.00M,292.00M,961.00M,1.129B,,1.129B,273.00M,141.00M,68.00M,2.572B,,1.875B,10.11B,26.16B,1.196B,39.34B,-10.76B,28.58B,63.00M,63.00M,1.356B,478.00M,30.48B,33.05B,,845.00M,163.00M,613.00M,1.621B,,1.621B,142.00M,,228.00M,,228.00M,116.00M,2.107B,276.00M,9.514B,,9.514B,8.858B,8.858B,,24.00M,1.122B,19.77B,21.88B,,992.00M,10.73B,92.00M,-666.00M,11.15B,,AOR,Restated
