,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,760.00M,-2.00M,,,-2.00M,347.00M,347.00M,347.00M,63.00M,-2.00M,71.00M,,-73.00M,-38.00M,9.00M,,-31.00M,,1.135B,,-417.00M,5.00M,-412.00M,,1.00M,-45.00M,-456.00M,,0.00,,0.00,,-203.00M,-203.00M,-198.00M,-198.00M,,-47.00M,-448.00M,,2.898B,231.00M,3.129B,,,500.00M,-500.00M,-203.00M,,AOR,
2020-09,736.00M,-4.00M,,,-4.00M,348.00M,348.00M,348.00M,56.00M,-5.00M,-108.00M,,-161.00M,-13.00M,95.00M,,-187.00M,,944.00M,,-408.00M,6.00M,-402.00M,,202.00M,10.00M,-190.00M,,-18.00M,,-18.00M,,-48.00M,-48.00M,-199.00M,-199.00M,,18.00M,-247.00M,,2.391B,507.00M,2.898B,,,0.00,-18.00M,-48.00M,,AOR,
2020-06,499.00M,-11.00M,,,-11.00M,344.00M,344.00M,344.00M,33.00M,-25.00M,147.00M,,12.00M,-4.00M,11.00M,,166.00M,,1.006B,,-420.00M,10.00M,-410.00M,,285.00M,-22.00M,-147.00M,,-227.00M,,-227.00M,,-39.00M,-39.00M,-199.00M,-199.00M,,2.00M,-463.00M,,1.995B,396.00M,2.391B,,,0.00,-227.00M,-39.00M,,AOR,
2020-03,770.00M,-18.00M,,,-18.00M,344.00M,344.00M,344.00M,28.00M,,-27.00M,,241.00M,-20.00M,-140.00M,,54.00M,,1.178B,,-381.00M,35.00M,-346.00M,,510.00M,-20.00M,144.00M,,500.00M,,500.00M,,-577.00M,-577.00M,-201.00M,-201.00M,,-7.00M,-285.00M,,958.00M,1.037B,1.995B,,,500.00M,,-577.00M,,AOR,
2019-12,771.00M,-22.00M,,,-22.00M,344.00M,344.00M,344.00M,87.00M,12.00M,84.00M,,-166.00M,-16.00M,19.00M,,-79.00M,,1.113B,,-466.00M,36.00M,-430.00M,,45.00M,12.00M,-373.00M,,-500.00M,,-500.00M,,-606.00M,-606.00M,-186.00M,-186.00M,,-11.00M,-1.303B,,1.521B,-563.00M,958.00M,,,0.00,-500.00M,-606.00M,,AOR,Restated
2019-09,856.00M,-65.00M,,,-65.00M,338.00M,338.00M,338.00M,89.00M,-20.00M,22.00M,,138.00M,43.00M,69.00M,,272.00M,,1.47B,,-422.00M,72.00M,-350.00M,,-158.00M,35.00M,-473.00M,,982.00M,,982.00M,,-1.111B,-1.111B,-189.00M,-189.00M,,-11.00M,-329.00M,,853.00M,668.00M,1.521B,,,1.00B,-18.00M,-1.111B,,AOR,Restated
2019-06,870.00M,-37.00M,,,-37.00M,337.00M,337.00M,337.00M,46.00M,-28.00M,-5.00M,,-96.00M,19.00M,-12.00M,,-94.00M,,1.094B,,-416.00M,98.00M,-318.00M,,-54.00M,-14.00M,-386.00M,,0.00,,0.00,,-860.00M,-860.00M,-193.00M,-193.00M,,10.00M,-1.043B,,1.188B,-335.00M,853.00M,,,0.00,0.00,-860.00M,,AOR,Restated
2019-03,834.00M,-27.00M,,,-27.00M,330.00M,330.00M,330.00M,51.00M,-33.00M,-56.00M,,224.00M,22.00M,-172.00M,,18.00M,,1.173B,,-353.00M,48.00M,-305.00M,,-563.00M,-2.00M,-870.00M,,1.00B,,1.00B,,-796.00M,-796.00M,-195.00M,-195.00M,,18.00M,27.00M,,858.00M,330.00M,1.188B,,,1.00B,,-796.00M,,AOR,Restated
2018-12,843.00M,-32.00M,79.00M,,47.00M,345.00M,345.00M,345.00M,131.00M,-105.00M,51.00M,,-159.00M,31.00M,51.00M,,-26.00M,,1.235B,,-505.00M,62.00M,-443.00M,,365.00M,-19.00M,-97.00M,,1.00B,,1.00B,,-1.755B,-1.755B,-181.00M,-181.00M,,-7.00M,-943.00M,,663.00M,195.00M,858.00M,,,1.00B,0.00,-1.755B,,AOR,Restated
2018-09,894.00M,-53.00M,-24.00M,,-77.00M,334.00M,334.00M,334.00M,50.00M,1.00M,-50.00M,,172.00M,56.00M,17.00M,,195.00M,,1.397B,,-417.00M,116.00M,-301.00M,,-531.00M,0.00,-832.00M,,-19.00M,,-19.00M,,-1.016B,-1.016B,-186.00M,-186.00M,,-1.00M,-1.222B,,1.32B,-657.00M,663.00M,,,0.00,-19.00M,-1.016B,,AOR,Restated
