,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2006-09,2.418B,2.418B,,,,,214.00M,,25.00M,,,,1.715B,1.929B,489.00M,,,,25.00M,,417.00M,89.00M,328.00M,0.00,,,,328.00M,308.34M,707.00M,218.00M,489.00M,,0.25,0.00,,,0.2351,0.25,,0.2367,0.00,,,0.2226,0.2367,,1.320B,1.397B,0.0333,,AOR,Restated
2006-06,2.421B,2.421B,486.00M,1.935B,,,216.00M,,11.00M,98.00M,,-98.00M,1.073B,1.289B,646.00M,,98.00M,-98.00M,11.00M,-98.00M,559.00M,169.00M,390.00M,,,,,390.00M,382.33M,875.00M,218.00M,657.00M,,0.2933,0.00,,,0.2876,0.2933,,0.2767,0.00,,,0.2712,0.2767,,1.331B,1.411B,0.0217,,AOR,Restated
2006-03,2.331B,2.331B,,,,,211.00M,,-3.00M,,,,1.624B,1.835B,496.00M,,,,-3.00M,,395.00M,150.00M,245.00M,,,,,245.00M,246.86M,708.00M,212.00M,496.00M,,0.1867,0.00,,,0.1881,0.1867,,0.1767,0.00,,,0.1780,0.1767,,1.318B,1.393B,0.0217,,AOR,Restated
2005-12,2.219B,2.219B,1.477B,742.00M,,1.309B,209.00M,,-92.00M,,,,902.00M,2.42B,-1.678B,,,,-92.00M,,375.00M,138.00M,237.00M,0.00,,5.00M,,237.00M,295.14M,-1.465B,213.00M,-1.678B,,0.1833,0.00,,,0.2279,0.1833,,0.1767,-0.0033,,,0.2188,0.1733,,1.303B,1.380B,0.0217,,AOR,Restated
2005-09,2.125B,2.125B,838.00M,1.287B,,727.00M,207.00M,,11.00M,,,,838.00M,1.772B,-485.00M,,,,11.00M,,264.00M,100.00M,164.00M,0.00,,4.00M,,164.00M,157.17M,-278.00M,202.00M,-485.00M,,0.1267,0.00,,,0.1214,0.1267,,0.12,0.00,,,0.1150,0.12,,1.300B,1.371B,0.0167,,AOR,Restated
2005-06,2.166B,2.166B,,,,,205.00M,,30.00M,,,,1.53B,1.735B,431.00M,,,,30.00M,,159.00M,-6.00M,165.00M,0.00,,,,165.00M,147.00M,640.00M,209.00M,431.00M,,0.1267,0.00,,,0.1128,0.1267,,0.1217,0.00,,,0.1085,0.1217,,1.299B,1.365B,0.0167,,AOR,Restated
2005-03,2.108B,2.108B,1.059B,1.049B,902.00M,902.00M,205.00M,-206.00M,-2.00M,,,,853.00M,1.96B,-911.00M,,,,-2.00M,,238.00M,84.00M,154.00M,425.00M,,,,579.00M,155.29M,-702.00M,209.00M,-911.00M,,0.12,0.3283,,,0.1210,0.4483,,0.1133,0.3133,,,0.1143,0.4267,,1.292B,1.357B,0.0167,,,Restated
2004-12,2.18B,2.18B,1.092B,1.088B,906.00M,906.00M,218.00M,-176.00M,39.00M,,,,916.00M,2.04B,-952.00M,,,,39.00M,,243.00M,84.00M,159.00M,-92.00M,,4.00M,,67.00M,133.48M,-733.00M,219.00M,-952.00M,,0.1233,-0.0717,,,0.1035,0.0517,,0.1183,-0.0717,,,0.0995,0.05,,1.290B,1.352B,0.0167,,,Restated
2004-09,1.943B,1.943B,1.05B,893.00M,874.00M,874.00M,172.00M,-203.00M,45.00M,,,,863.00M,1.909B,-1.016B,,,,45.00M,,176.00M,62.00M,114.00M,9.00M,,5.00M,,123.00M,84.85M,-837.00M,179.00M,-1.016B,,0.0883,0.0067,,,0.0657,0.095,,0.085,0.0067,,,0.0634,0.0917,,1.289B,1.350B,0.0167,,AOR,Restated
2004-06,1.997B,1.997B,,,,,159.00M,,-10.00M,,,,1.541B,1.70B,297.00M,,,,-10.00M,,178.00M,60.00M,118.00M,1.00M,,,,119.00M,124.63M,462.00M,165.00M,297.00M,,0.0917,0.00,,,0.0968,0.0917,,0.0883,0.00,,,0.0932,0.0883,,1.288B,1.349B,0.0167,,AOR,Restated
2004-03,1.92B,1.92B,1.091B,829.00M,910.00M,910.00M,162.00M,-224.00M,167.00M,,,,867.00M,1.939B,-1.11B,,,,167.00M,,40.00M,13.00M,27.00M,3.00M,,3.00M,,30.00M,-85.72M,-943.00M,167.00M,-1.11B,,0.0217,0.0017,,,-0.0659,0.0233,,0.0217,0.0017,,,-0.0619,0.0233,,1.288B,1.349B,0.0167,,AOR,
2003-12,1.953B,1.953B,,,,,,,5.00M,,,,,2.011B,-3.525B,,,,5.00M,,182.00M,59.00M,123.00M,,0.00,,,123.00M,119.62M,-3.364B,161.00M,-3.525B,,0.095,0.00,0.00,,0.0924,0.095,,0.095,0.00,-0.0000,,0.0924,0.095,,1.285B,1.288B,0.0167,,AOR,
2003-09,1.882B,1.882B,,,,,,,21.00M,,,,,1.98B,-98.00M,,,,21.00M,,-180.00M,-77.00M,-103.00M,,0.00,,,-103.00M,-115.60M,62.00M,160.00M,-98.00M,,-0.08,0.00,0.00,,-0.0898,-0.08,,-0.08,0.00,0.00,,-0.0898,-0.08,,1.284B,1.284B,0.0167,,AOR,Restated
2003-06,1.942B,1.942B,,,,,,,19.00M,,,,,1.657B,285.00M,,,,19.00M,,199.00M,72.00M,127.00M,,0.00,,,127.00M,114.87M,447.00M,162.00M,285.00M,,0.0983,0.00,0.00,,0.0889,0.0983,,0.0983,0.00,0.00,,0.0889,0.0983,,1.283B,1.286B,0.0167,,AOR,Restated
2003-03,2.016B,2.016B,,,,,,,-10.00M,,,,,1.839B,177.00M,,,,-10.00M,,64.00M,22.00M,42.00M,,57.00M,,,99.00M,48.56M,337.00M,160.00M,177.00M,,0.0333,0.0433,0.00,,0.0384,0.0767,,0.0333,0.0433,0.0444,,0.0384,0.0767,,1.283B,1.285B,0.0167,,AOR,Restated
2002-12,1.824B,1.824B,1.242B,582.00M,1.115B,1.115B,159.00M,-451.00M,918.00M,,,,1.626B,2.90B,-2.318B,,,,918.00M,,140.00M,60.00M,80.00M,,0.00,-28.00M,,137.00M,-470.80M,-1.199B,1.119B,-2.318B,,0.0633,0.0783,0.00,,-0.3671,0.1083,,0.05,0.075,0.0000,,-0.3119,0.0933,,1.280B,1.522B,0.0167,,AOR,
2002-09,2.055B,2.055B,1.057B,998.00M,881.00M,881.00M,163.00M,-161.00M,34.00M,,,,607.00M,1.651B,-653.00M,,,,34.00M,,196.00M,69.00M,127.00M,,,13.00M,,127.00M,104.97M,-490.00M,-782.00M,-653.00M,,0.10,0.00,,,0.0828,0.10,,0.10,0.00,,,0.0828,0.10,,1.278B,1.282B,0.0167,,AOR,
2002-06,2.073B,2.073B,1.033B,1.04B,872.00M,872.00M,155.00M,-154.00M,4.00M,,,,879.00M,1.906B,-866.00M,,,,4.00M,,209.00M,74.00M,135.00M,,0.00,10.00M,,135.00M,132.42M,-402.00M,464.00M,-866.00M,,0.105,0.00,0.00,,0.1030,0.105,,0.105,0.00,0.00,,0.1030,0.105,,1.275B,1.281B,0.0167,,AOR,Restated
2002-03,1.964B,1.964B,1.019B,945.00M,885.00M,885.00M,152.00M,-152.00M,9.00M,,,,599.00M,1.636B,-691.00M,,,,9.00M,,107.00M,39.00M,68.00M,,-43.00M,7.00M,,25.00M,62.28M,-539.00M,-152.00M,-691.00M,,0.0533,-0.0333,0.00,,0.0488,0.02,,0.0533,-0.0333,-0.0338,,0.0489,0.02,,1.272B,1.279B,0.0167,,AOR,
2001-12,2.009B,1.752B,994.00M,758.00M,881.00M,881.00M,144.00M,-149.00M,-63.00M,,,,702.00M,1.727B,-969.00M,,,,-63.00M,,47.00M,32.00M,15.00M,,,12.00M,,65.00M,102.80M,-825.00M,-1.082B,-969.00M,,0.0506,,,,0.0801,0.0506,,0.0506,,,,0.0801,0.0506,,1.283B,1.283B,0.0167,,AOR,Restated
2001-09,2.019B,2.019B,1.027B,992.00M,866.00M,866.00M,154.00M,-155.00M,1.00M,,,,872.00M,1.892B,-900.00M,,,,1.00M,,157.00M,57.00M,100.00M,0.00,,9.00M,,100.00M,99.36M,-743.00M,157.00M,-900.00M,,7.833,0.00,,,7.833,0.0783,,0.0783,0.00,,,0.0778,0.0783,,1.271B,1.275B,0.0167,,AOR,
2001-06,2.057B,2.057B,1.055B,1.002B,902.00M,902.00M,153.00M,-159.00M,34.00M,,,,896.00M,1.951B,-949.00M,,,,34.00M,,167.00M,59.00M,108.00M,0.00,,10.00M,,108.00M,86.01M,-794.00M,155.00M,-949.00M,,0.085,0.00,,,0.0677,0.085,,0.085,0.00,,,0.0678,0.085,,1.270B,1.275B,0.05,,AOR,
2001-03,2.025B,2.025B,1.107B,918.00M,891.00M,891.00M,157.00M,-155.00M,31.00M,,,,943.00M,1.991B,-1.073B,,,,31.00M,,27.00M,7.00M,20.00M,0.00,,8.00M,,20.00M,-2.963M,-916.00M,157.00M,-1.073B,,0.0167,0.00,,,-0.0014,0.0167,,0.0167,0.00,,,-0.0014,0.0167,,1.268B,1.271B,0.05,,AOR,
2000-12,2.047B,1.743B,3.854B,-2.111B,,,,,-7.00M,,,,4.239B,1.098B,-3.209B,,,,-7.00M,,24.00M,27.00M,-3.00M,-365.00M,,,,54.00M,423.20M,-3.209B,-1.045B,-3.209B,,-0.0017,-0.2890,,-0.0023,0.0016,-0.3017,,-0.0017,-0.2890,,-0.0023,0.0016,-0.3017,,1.266B,1.269B,0.05,,AOR,
2000-09,2.039B,2.039B,1.138B,901.00M,878.00M,878.00M,137.00M,-169.00M,3.00M,,,,969.00M,1.984B,-1.083B,,,,3.00M,,87.00M,28.00M,59.00M,368.00M,0.00,11.00M,,427.00M,-308.03M,-356.00M,727.00M,-1.083B,,0.0467,0.29,0.00,0.2884,0.0451,0.3367,,0.0467,0.29,0.00,0.2880,0.0451,0.3367,,1.266B,1.268B,0.05,,AOR,
2000-06,2.071B,2.071B,1.01B,1.061B,732.00M,732.00M,140.00M,,24.00M,,,,859.00M,1.731B,-670.00M,,,,24.00M,,74.00M,26.00M,48.00M,7.00M,,12.00M,,55.00M,32.43M,-530.00M,-144.00M,-670.00M,,0.0383,0.005,,,0.0260,0.0433,,0.0383,0.005,,,0.0260,0.0433,,1.266B,1.267B,0.05,,AOR,
2000-03,2.034B,2.034B,995.00M,1.039B,727.00M,727.00M,138.00M,,-13.00M,,,,839.00M,1.704B,-665.00M,,,,-13.00M,,35.00M,10.00M,25.00M,4.00M,,8.00M,,29.00M,34.29M,-527.00M,-138.00M,-665.00M,,0.02,0.0033,,,0.0273,0.0233,,0.02,0.0033,,,0.0273,0.0233,,1.267B,1.272B,0.05,,AOR,
1999-12,2.626B,2.626B,5.82B,-3.194B,,,,,368.00M,,,,6.128B,3.217B,-6.411B,,,,368.00M,,-49.00M,-22.00M,-27.00M,2.00M,0.00,,,-25.00M,-247.80M,-6.411B,-163.00M,-6.411B,,-0.0223,0.0012,0.00,,-0.1967,-0.0318,,-0.0223,0.0012,0.0000,,-0.1942,-0.0318,,1.266B,1.284B,0.05,,AOR,Restated
1999-09,2.807B,2.807B,1.478B,1.329B,866.00M,866.00M,138.00M,,-298.00M,,,,1.351B,2.355B,-1.026B,,,,-298.00M,,-106.00M,12.00M,-118.00M,5.00M,,10.00M,,-113.00M,60.80M,-888.00M,-132.00M,-1.026B,,-0.0933,0.0033,,,0.0491,-0.09,,-0.0933,0.0033,,,0.0491,-0.09,,1.256B,1.256B,0.05,,,
1999-06,2.616B,2.616B,1.563B,1.053B,1.132B,1.132B,159.00M,-279.00M,-23.00M,,,,904.00M,2.195B,-1.142B,,,,-23.00M,,170.00M,56.00M,114.00M,,,10.00M,,114.00M,129.42M,-983.00M,-159.00M,-1.142B,,0.09,0.00,,,0.1022,0.09,,0.0883,0.00,,,0.1004,0.0883,,1.263B,1.279B,0.05,,,
1999-03,2.541B,2.541B,1.578B,963.00M,1.134B,1.134B,167.00M,-307.00M,-40.00M,,,,878.00M,2.179B,-1.216B,,,,-40.00M,,108.00M,33.00M,75.00M,,-49.00M,9.00M,,26.00M,102.78M,-1.049B,-167.00M,-1.216B,,0.06,-0.04,0.00,,0.0820,0.02,,0.06,-0.04,-0.0389,,0.0819,0.02,,1.261B,1.270B,0.05,,,
1998-12,2.109B,2.109B,2.30B,-191.00M,,,,,-23.00M,,,,,7.891B,-8.082B,,,,-23.00M,,115.00M,24.00M,91.00M,,,,,108.00M,109.20M,-8.082B,-162.00M,-8.082B,,0.0608,0.0130,,,0.0753,0.0739,,0.0608,0.0130,,,0.0749,0.0739,,1.262B,1.292B,0.05,,AOR,Restated
1998-09,2.429B,2.429B,2.052B,377.00M,,,137.00M,,168.00M,,,,,137.00M,240.00M,,,,168.00M,,288.00M,101.00M,187.00M,,,,,187.00M,77.92M,377.00M,-156.00M,240.00M,,0.1483,0.00,,,0.0618,0.1483,,0.1467,0.00,,,0.0611,0.1467,,1.261B,1.275B,0.05,,,
1998-06,2.49B,2.49B,2.001B,489.00M,,,153.00M,,3.00M,,,,2.001B,2.154B,-1.665B,,,,3.00M,,215.00M,64.00M,151.00M,,,,,151.00M,148.89M,-1.512B,-156.00M,-1.665B,,0.115,0.00,,,0.1134,0.115,,0.1133,0.00,,,0.1118,0.1133,,1.313B,1.332B,0.05,,,
1998-03,2.462B,2.462B,2.028B,434.00M,,,156.00M,,-29.00M,,,,2.028B,2.184B,-1.75B,,,,-29.00M,,126.00M,35.00M,91.00M,,,,,91.00M,111.94M,-1.594B,-156.00M,-1.75B,,0.07,0.00,,,0.0861,0.07,,0.0683,0.00,,,0.0841,0.0683,,1.30B,1.332B,0.05,,,
1997-12,2.727B,2.727B,2.119B,608.00M,,,166.00M,,-1.00M,,,,2.119B,2.285B,-1.677B,,,,-1.00M,,310.00M,95.00M,215.00M,,,,,215.00M,215.69M,-1.511B,-166.00M,-1.677B,,0.185,0.00,,,0.1856,0.185,,0.1783,0.00,,,0.1789,0.1783,,1.139B,1.188B,0.05,,AOR,
1997-09,2.649B,2.649B,2.093B,556.00M,,,172.00M,,41.00M,,,,2.093B,2.265B,-1.709B,,,,41.00M,,300.00M,94.00M,206.00M,,,,,206.00M,177.85M,-1.537B,-160.00M,-1.709B,,0.1583,0.00,,,0.1367,0.1583,,0.155,0.00,,,0.1338,0.155,,1.301B,1.329B,0.0433,,,
1997-06,2.678B,2.678B,2.067B,611.00M,,,178.00M,,18.00M,,,,2.067B,2.245B,-1.634B,,,,18.00M,,340.00M,113.00M,227.00M,,,,,227.00M,214.98M,-1.456B,-161.00M,-1.634B,,0.1733,0.00,,,0.1642,0.1733,,0.1717,0.00,,,0.1626,0.1717,,1.310B,1.322B,0.0433,,,
1997-03,2.567B,2.567B,2.084B,483.00M,,,159.00M,,-7.00M,,,,2.084B,2.243B,-1.76B,,,,-7.00M,,233.00M,82.00M,151.00M,,,,,151.00M,155.54M,-1.601B,-159.00M,-1.76B,,0.1167,0.00,,,0.1202,0.1167,,0.115,0.00,,,0.1185,0.115,,1.294B,1.313B,0.0433,,,
1996-12,2.703B,2.703B,2.118B,585.00M,,,159.00M,,24.00M,,,,2.118B,2.277B,-1.692B,,,,24.00M,,389.00M,136.00M,253.00M,,,,,253.00M,237.39M,-1.533B,-159.00M,-1.692B,,0.1933,0.00,,,0.1815,0.1933,,0.1933,0.00,,,0.1815,0.1933,,1.315B,1.315B,0.0433,,AOR,
1996-09,2.647B,2.647B,2.106B,541.00M,,,149.00M,,8.00M,,,,2.106B,2.255B,-1.714B,,,,8.00M,,343.00M,121.00M,222.00M,,,,,222.00M,216.82M,-1.565B,-149.00M,-1.714B,,0.1733,0.00,,,0.1693,0.1733,,0.17,0.00,,,0.1660,0.17,,1.281B,1.306B,0.0433,,,
1996-06,2.672B,2.672B,2.108B,564.00M,,,156.00M,,23.00M,,,,2.108B,2.264B,-1.70B,,,,23.00M,,360.00M,126.00M,234.00M,,,,,234.00M,219.05M,-1.544B,-156.00M,-1.70B,,0.185,0.00,,,0.1732,0.185,,0.1817,0.00,,,0.1701,0.1817,,1.265B,1.288B,0.0433,,,
1996-03,2.514B,2.514B,2.062B,452.00M,,,156.00M,,-12.00M,,,,2.062B,2.218B,-1.766B,,,,-12.00M,,224.00M,78.00M,146.00M,,,,,146.00M,153.82M,-1.61B,-156.00M,-1.766B,,0.115,0.00,,,0.1212,0.115,,0.1133,0.00,,,0.1194,0.1133,,1.270B,1.288B,0.0433,,,
1995-12,2.71B,2.71B,2.159B,551.00M,,,154.00M,,101.00M,,,,2.159B,2.313B,-1.762B,,,,101.00M,,431.00M,155.00M,276.00M,,,,,276.00M,211.32M,-1.608B,-154.00M,-1.762B,,0.2183,0.00,,,0.1673,0.2183,,0.2133,0.00,,,0.1643,0.2133,,1.268B,1.320B,0.0433,,AOR,
1995-09,2.601B,2.601B,2.083B,518.00M,,,149.00M,,20.00M,,,,2.083B,2.232B,-1.714B,,,,20.00M,,321.00M,119.00M,202.00M,,,,,202.00M,189.41M,-1.565B,-149.00M,-1.714B,,0.16,0.00,,,0.1500,0.16,,0.16,0.00,,,0.1500,0.16,,1.262B,1.262B,0.0367,,,
1995-06,2.549B,2.549B,2.06B,489.00M,,,148.00M,,-248.00M,,,,2.06B,2.208B,-1.719B,,,,-248.00M,,25.00M,6.00M,19.00M,,,,,19.00M,207.48M,-1.571B,-148.00M,-1.719B,,0.015,0.00,,,0.1638,0.015,,0.015,0.00,,,0.1638,0.015,,1.267B,1.267B,0.0367,,,
1995-03,2.468B,2.468B,2.048B,420.00M,,,149.00M,,-7.00M,,,,2.048B,2.197B,-1.777B,,,,-7.00M,,197.00M,76.00M,121.00M,,,,,121.00M,125.30M,-1.628B,-149.00M,-1.777B,,0.0967,0.00,,,0.1001,0.0967,,0.0967,0.00,,,0.1001,0.0967,,1.252B,1.252B,0.0367,,,
1994-12,2.341B,2.341B,3.329B,-988.00M,,,145.00M,,121.00M,,,,5.363B,2.307B,-3.295B,,,,121.00M,,362.00M,123.00M,239.00M,,,,,239.00M,159.11M,-3.15B,-145.00M,-3.295B,,0.1917,0.00,,,0.1281,0.1917,,0.185,0.00,,,0.1214,0.185,,1.257B,1.257B,0.0367,,AOR,
1994-09,2.47B,2.47B,1.482B,988.00M,1.078B,1.078B,144.00M,-292.00M,-13.00M,,,,790.00M,2.012B,-1.024B,,,,-13.00M,,275.00M,98.00M,177.00M,,,5.00M,,177.00M,185.37M,-880.00M,-144.00M,-1.024B,,0.14,0.00,,,0.1467,0.14,,0.14,0.00,,,0.1467,0.14,,1.257B,1.257B,0.0367,,,
1994-06,2.371B,2.371B,1.444B,927.00M,1.06B,1.06B,145.00M,-291.00M,6.00M,,,,763.00M,1.968B,-1.041B,,,,6.00M,,251.00M,89.00M,162.00M,,,4.00M,,162.00M,158.13M,-896.00M,-145.00M,-1.041B,,0.13,0.00,,,0.1269,0.13,,0.13,0.00,,,0.1269,0.13,,1.256B,1.256B,0.0367,,,
1994-03,2.227B,2.227B,1.395B,832.00M,1.063B,1.063B,143.00M,-280.00M,-9.00M,,,,734.00M,1.94B,-1.108B,,,,-9.00M,,118.00M,44.00M,74.00M,,,4.00M,,74.00M,79.64M,-965.00M,-143.00M,-1.108B,,0.06,0.00,,,0.0645,0.06,,0.06,0.00,,,0.0645,0.06,,1.253B,1.253B,0.0367,,,
1993-12,2.315B,2.315B,1.852B,463.00M,,,143.00M,,-12.00M,,,,,143.00M,320.00M,,,,-12.00M,,233.00M,82.00M,151.00M,,,,,151.00M,158.78M,463.00M,-143.00M,320.00M,,0.1217,0.00,,,0.1280,0.1217,,0.1183,0.00,,,0.1243,0.1183,,1.236B,1.295B,0.0367,,,
1993-09,2.238B,2.238B,1.70B,538.00M,,,286.00M,,1.00M,,,,,286.00M,252.00M,,,,1.00M,,179.00M,116.00M,63.00M,,,,,63.00M,62.40M,538.00M,-143.00M,252.00M,,0.0517,0.00,,,0.0512,0.0517,,0.0517,0.00,,,0.0512,0.0517,,1.219B,1.219B,0.0317,,,
1993-06,2.264B,2.264B,1.843B,421.00M,,,143.00M,,30.00M,,,,,143.00M,278.00M,,,,30.00M,,233.00M,79.00M,154.00M,,,,,154.00M,134.17M,421.00M,-143.00M,278.00M,,0.1233,0.00,,,0.1075,0.1233,,0.1233,0.00,,,0.1075,0.1233,,1.249B,1.249B,0.0317,,,
1993-03,2.123B,2.123B,1.917B,206.00M,,,143.00M,,-1.00M,,,,,143.00M,63.00M,,,,-1.00M,,-12.00M,-3.00M,-9.00M,,,,,-9.00M,-8.25M,206.00M,-143.00M,63.00M,,-0.0083,0.00,,,-0.0076,-0.0083,,-0.0083,0.00,,,-0.0076,-0.0083,,1.08B,1.08B,0.0317,,,
1992-12,2.245B,2.245B,1.826B,419.00M,,,127.00M,,-5.00M,,,,,127.00M,292.00M,,,,-5.00M,,216.00M,64.00M,152.00M,,,,,152.00M,155.52M,419.00M,-127.00M,292.00M,,0.1233,0.00,,,0.1266,0.1233,,0.1233,0.00,,,0.1266,0.1233,,1.088B,1.088B,0.0317,,,
1992-09,2.214B,2.214B,1.816B,398.00M,,,136.00M,,1.00M,,,,,136.00M,262.00M,,,,1.00M,,192.00M,64.00M,128.00M,,,,,128.00M,127.33M,398.00M,-136.00M,262.00M,,0.105,0.00,,,0.1045,0.105,,0.105,0.00,,,0.1045,0.105,,1.219B,1.219B,0.0317,,,
1992-06,2.189B,2.189B,2.501B,-312.00M,,,133.00M,,3.00M,,,,,133.00M,-445.00M,,,,3.00M,,-508.00M,-186.00M,-322.00M,,,,,-322.00M,-323.90M,-312.00M,-133.00M,-445.00M,,-0.2617,0.00,,,-0.2632,-0.2617,,-0.2617,0.00,,,-0.2632,-0.2617,,1.231B,1.231B,0.0317,,,
1992-03,2.086B,2.086B,1.798B,288.00M,,,131.00M,,4.00M,,,,,131.00M,157.00M,,,,4.00M,,93.00M,31.00M,62.00M,,,,,62.00M,59.33M,288.00M,-131.00M,157.00M,,0.05,0.00,,,0.0478,0.05,,0.05,0.00,,,0.0478,0.05,,1.24B,1.24B,0.0317,,,
1991-12,2.276B,2.276B,2.636B,-360.00M,,,133.00M,,24.00M,,,,,133.00M,-493.00M,,,,24.00M,,-543.00M,-187.00M,-356.00M,,,,,-356.00M,-371.73M,-360.00M,-133.00M,-493.00M,,-0.2967,0.00,,,-0.3098,-0.2967,,-0.2967,0.00,,,-0.3098,-0.2967,,1.20B,1.20B,0.0317,,,
1991-09,2.205B,2.205B,1.838B,367.00M,,,126.00M,,-6.00M,,,,,126.00M,241.00M,,,,-6.00M,,160.00M,52.00M,108.00M,,,,,108.00M,112.05M,367.00M,-126.00M,241.00M,,0.09,0.00,,,0.0934,0.09,,0.09,0.00,,,0.0934,0.09,,1.20B,1.20B,0.0292,,,
1991-06,2.125B,2.125B,1.803B,322.00M,,,116.00M,,57.00M,,,,,116.00M,206.00M,,,,57.00M,,184.00M,69.00M,115.00M,,,,,115.00M,79.38M,322.00M,-116.00M,206.00M,,0.0967,0.00,,,0.0667,0.0967,,0.0967,0.00,,,0.0667,0.0967,,1.190B,1.190B,0.0292,,,
1991-03,2.03B,2.03B,1.759B,271.00M,,,126.00M,,19.00M,,,,,126.00M,145.00M,,,,19.00M,,86.00M,29.00M,57.00M,,,,,57.00M,44.41M,271.00M,-126.00M,145.00M,,0.0483,0.00,,,0.0377,0.0483,,0.0483,0.00,,,0.0377,0.0483,,1.179B,1.179B,0.0292,,,
1990-12,2.187B,2.187B,1.818B,369.00M,,,126.00M,,22.00M,,,,,126.00M,243.00M,,,,22.00M,,184.00M,55.00M,129.00M,0.00,,,0.70M,129.00M,113.58M,369.00M,-126.00M,243.00M,,0.11,0.00,,,0.0967,0.11,,0.11,0.00,,,0.0967,0.11,,1.159B,1.159B,0.0292,,,
1990-09,2.063B,2.063B,1.714B,349.00M,,,113.00M,,-3.00M,,,,,113.00M,236.00M,,,,-3.00M,,151.00M,50.00M,101.00M,,,,1.60M,101.00M,103.01M,349.00M,-113.00M,236.00M,,0.085,0.00,,,0.0867,0.085,,0.085,0.00,,,0.0867,0.085,,1.169B,1.169B,0.0292,,,
1990-06,2.047B,2.047B,1.709B,338.00M,,,117.00M,,17.00M,,,,,117.00M,221.00M,,,,17.00M,,159.00M,50.00M,109.00M,,,,3.40M,109.00M,97.35M,338.00M,-117.00M,221.00M,,0.09,0.00,,,0.0801,0.09,,0.09,0.00,,,0.0801,0.09,,1.173B,1.173B,0.0292,,,
1990-03,1.908B,1.908B,1.676B,232.00M,,,117.00M,,5.00M,,,,,117.00M,115.00M,,,,5.00M,,43.00M,17.00M,26.00M,-1.00M,,,3.30M,25.00M,22.98M,232.00M,-117.00M,115.00M,,0.02,-0.0017,,,0.0174,0.0183,,0.02,-0.0017,,,0.0174,0.0183,,1.184B,1.184B,0.0292,,,
1989-12,2.034B,2.034B,1.659B,375.00M,,,100.00M,,-4.00M,,,,,100.00M,275.00M,,,,-4.00M,,188.00M,62.00M,126.00M,-1.00M,,,,125.00M,128.68M,375.00M,-100.00M,275.00M,,0.1033,-0.0017,,,0.1058,0.1017,,0.1033,-0.0017,,,0.1058,0.1017,,1.073B,1.073B,0.0292,,,
1989-09,1.893B,1.893B,1.601B,292.00M,,,116.00M,,64.00M,,,,,116.00M,176.00M,,,,64.00M,,158.00M,64.00M,94.00M,,,,,94.00M,55.60M,292.00M,-113.00M,176.00M,,0.0767,0.00,,,0.0453,0.0767,,0.0767,0.00,,,0.0453,0.0767,,1.226B,1.226B,0.0258,,,
1989-06,1.974B,1.974B,1.627B,347.00M,,,117.00M,,72.00M,,,,,117.00M,230.00M,,,,72.00M,,221.00M,91.00M,130.00M,-2.00M,,,,128.00M,86.80M,347.00M,117.00M,230.00M,,0.1033,-0.0017,,,0.0690,0.1017,,0.1033,-0.0017,,,0.0690,0.1017,,1.259B,1.259B,0.0258,,,
1989-03,1.844B,1.844B,,,,,,,,,,,,,1.844B,,,,,,,,77.00M,5.00M,,,,82.00M,77.00M,1.844B,,1.844B,,0.0583,0.0033,,,0.0583,0.0617,,0.0583,0.0033,,,0.0583,0.0617,,1.330B,1.330B,0.0258,,,
1988-12,2.048B,2.048B,,,,,,,,,,,,,-4.635B,,,,,,,,126.00M,-4.00M,,,,122.00M,126.00M,-4.635B,,-4.635B,,0.0633,-0.0017,,,0.0633,0.0617,,0.0633,-0.0017,,,0.0633,0.0617,,1.788B,1.788B,0.0258,,,
1988-09,1.894B,1.894B,,,,,,,,,,,,,1.894B,,,,,,,,114.00M,6.00M,,,,120.00M,114.00M,1.894B,,1.894B,,0.06,0.0033,,,0.06,0.0633,,0.06,0.0033,,,0.06,0.0633,,1.895B,1.895B,0.0258,,,
1988-06,1.907B,1.907B,,,,,,,,,,,,,1.907B,,,,,,,,-324.00M,-16.00M,,,,-340.00M,-324.00M,1.907B,,1.907B,,-0.175,-0.01,,,-0.175,-0.185,,-0.175,-0.01,,,-0.175,-0.185,,1.838B,1.838B,0.03,,,
